[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由Ray Chen穩資坐墊贊助
[00:04] 各位最近這個行情我看很多人是睡不著覺,上沖下洗,磨來磨去
[00:08] 很多人都在說每天盯夜盤滑推特,一坐就是十幾個小時感覺腰都快斷了
[00:14] 我們的老朋友Ray Chen這次帶著新品穩資坐墊來拯救大家
[00:18] 之前的正級坐墊是硬挺的,它就像是你的紀律教官
[00:21] 如果說你的坐姿跟軟泥怪一樣,正級坐墊會強迫你嚴守紀律,把你的坐姿駕證
[00:26] 但是如果說你是那種瘦得跟猴子一樣
[00:29] 屁股沒有肉
[00:30] 坐硬椅子會挨好的
[00:31] 或是坐下就要戰鬥12小時的馬拉松型選手
[00:35] 強力推薦這一次的新品穩姿坐墊
[00:38] 穩姿坐墊使用高密度泡棉
[00:40] 坐感非常的Q彈
[00:41] 符合身型的凹槽設計
[00:43] 讓屁股大腿都有各自的位置
[00:45] 一坐下去完美接住你的重量
[00:48] 就像是十年線
[00:49] 強力支撐把你穩穩的拖住
[00:51] 把身體的重力平均分攤掉
[00:53] 不會讓壓力集中在坐骨那兩個點
[00:55] 那在我實測之後發現
[00:57] 它這樣子的一個設計會讓你不容易翹腳
[01:00] 因為全部都放在對的位置上
[01:01] 長時間去坐著怕你的屁股積熱
[01:04] 像過熱的顯示卡一樣
[01:05] 文字坐墊它本體就開了七個透氣的散熱孔
[01:09] 使用兩杆表布搭配三明治空氣層布料
[01:12] 就像是幫屁股開了散熱系統
[01:14] 下盤隨時保持涼爽
[01:16] 不會因為悶熱而心浮氣躁
[01:18] Raychen一樣堅持男女分款
[01:20] 依照體型設計不做通用設計
[01:23] 軟泥怪買正級坐墊或是優雅儀
[01:25] 想坐得爽屁股沒肉改正翹腳
[01:28] 需要軟Q試壓的
[01:29] 你就去買新品文字坐墊
[01:31] 文字坐墊首批預購貨量有限
[01:34] 下點選我們資訊欄的連結
[01:35] 國外聽眾專屬全系列優惠
[01:38] 無二折起
[01:39] 價格非常的浮
[01:40] 跟你的停損比起來根本就是零頭
[01:43] 投資自己身體的基本面
[01:44] 絕對是穩賺不賠
[01:45] 連結點下去
[01:46] 選擇適合你的護盤神器
[01:48] 下面另外所有需要的朋友們
[01:50] 這款坐墊也是非常好做
[01:51] 可以在我們資訊欄找到更多的說明與連結
[01:53] 好那我希望天氣是正式的轉涼
[01:55] 就是說今年的冬天蠻誇張的
[01:58] 我覺得很熱啊
[01:59] 那聽朋友講才知道說
[02:01] 原來去年的冬天好像算是排得上榜的
[02:04] 就是那種比較長很冷的冬天
[02:05] 所以今年可能就剛好相反過來
[02:07] 冬天就沒有這麼冷
[02:08] 那最近也開始看到流感
[02:10] 好像有開始要爆發的一個傾向
[02:13] 那像我們全家都有去打流感疫苗
[02:15] 那我是蠻慶幸有去做這樣子的決定
[02:17] 當然再來知道看個人
[02:18] 好像有時候跟朋友分享這個
[02:20] 那就有朋友提到說
[02:21] 他們家裡的那個誰
[02:22] 去打流感疫苗之後
[02:24] 然後後來有一些併發症
[02:25] 有一些問題
[02:25] 所以像這種東西
[02:26] 我都是不敢去跟大家推薦說
[02:28] 你一定要怎麼樣做
[02:29] 那隻能夠分享自己的心得
[02:30] 那因為我自己從小
[02:32] 就算是被爸爸訓練
[02:33] 就知道說反正
[02:34] 每年就是要去打個流感疫苗
[02:36] 所以我現在也是
[02:37] 把這樣的一個做法
[02:38] 沿用到自己的孩子上面
[02:39] 那是絕對比較安心一點
[02:41] 特別是看到
[02:41] 外面現在有各式各樣的
[02:43] 有的沒有的東西在那邊爆發
[02:45] 然後就連我自己
[02:46] 最喜歡的這個樂團
[02:47] Radiohead的主唱Tom York
[02:49] 那最近有新聞寫到說
[02:51] 他在哥本哈根的兩場要延期
[02:53] 就是因為他喉嚨痛
[02:54] 那這應該也是感染到某種flu之類的
[02:57] 那所以我自己也覺得其實蠻幸運的
[02:59] 因為我差一點就要去哥本哈根場
[03:01] 因為哥本哈根跟柏林場是一樣麻煩的
[03:04] 也就是你為了要看這兩場演唱會
[03:07] 你只需要轉機
[03:07] 當然這個可能聽起來有些人會覺得超廢
[03:10] 就是轉機到底有什麼大不了
[03:11] 但我就是覺得說
[03:12] 去外面聽演唱會已經是一個非常麻煩的事情了
[03:15] 然後現在也沒有像以前那種熱血
[03:17] 就是說去追星
[03:18] 所以就有點覺得
[03:19] 如果真的太麻煩
[03:20] 我就不想要去
[03:21] 那本來覺得倫敦場是最好的
[03:23] 因為有直飛的班機
[03:24] 那只是後來倫敦場
[03:25] 剛好有事情要做
[03:26] 所以就沒有辦法去
[03:27] 那在這兩個選擇上
[03:29] 真的覺得說那時候是靈機移動
[03:31] 還好是選了柏林
[03:32] 因為想說反正一樣是12月多
[03:34] 那12月多
[03:35] 我們知道說天氣要變冷了
[03:37] 所以我就乾脆選一個相對暖的地方
[03:39] 哥本哈根感覺是比較冷的地方
[03:41] 它的維度是比較北部的
[03:43] 那我就去柏林好了
[03:44] 所以就是因為這樣的一個簡單的理由
[03:47] 就是也沒有想太多
[03:48] 沒有考慮說什麼
[03:49] 當地要玩什麼
[03:50] 就是真的只是想去看演唱會
[03:52] 然後想要趕快回家
[03:53] 那所以就選了一個相對暖的地方
[03:56] 所以目前看起來是逃過一劫
[03:57] 因為本來他被延期的演唱會
[04:00] 就是我要去看的
[04:01] 那延期嘛延超久
[04:02] 他直接延到12月15 16號
[04:04] 也就是說如果說我不幸
[04:05] 這個時候在那邊的話
[04:06] 我現在就面臨了
[04:07] 是不是要改機票
[04:08] 在那邊等兩個禮拜
[04:09] 可是他媽在哥本哈根
[04:11] 等兩個禮拜是要幹什麼
[04:12] 就是完全不知道自己要幹嘛
[04:13] 所以覺得還好觀音保佑
[04:15] 你看下午都是把所有的功勞
[04:17] 都推給觀音
[04:17] 謝謝觀音保佑我
[04:19] 然後讓我可以選到柏林場
[04:20] 雖然我說話不可以講太快
[04:22] 搞不好他可能
[04:22] 不知道就是下個禮拜的柏林場
[04:24] 還是因為喉嚨不好
[04:25] 又要延期了什麼
[04:26] 但總之就是看起來
[04:28] 已經閃過了第一個結束了
[04:30] 那希望後面可以順利的看到他
[04:32] 那最近在自己的工作上面
[04:34] 我覺得又再一次進入
[04:36] 比較就不知道要幹嘛的一個階段
[04:38] 前面算是比較戰鬥的階段
[04:40] 不然像是減碼
[04:42] 然後再就是抄底的加碼
[04:43] 然後現在有蠻多的部位
[04:45] 就已經慢慢的被動停利出去
[04:48] 就是說並不是自己覺得
[04:49] 要去摸一個頭
[04:50] 而是就是你反彈上去
[04:52] 那可能沒有力氣
[04:53] 那可能開始出一個大黑K
[04:54] 那我又選擇要把東西減
[04:56] 因為其實我整體來看
[04:57] 就是我不會認為說
[04:59] 從這邊可以直接一路幹新高
[05:01] 然後就衝到底這樣
[05:02] 他有可能去摸新高
[05:03] 我覺得摸新高几率
[05:04] 可能還是蠻大的
[05:05] 但是就是沒有辦法
[05:06] 這樣一路直接配上去
[05:07] 雖然其實今年的行情
[05:08] 已經超出很多人想象
[05:09] 搞不好後面再打臉我自己
[05:11] 但我自己會往這個方向去規劃
[05:13] 也就是說手上有東西
[05:14] 轉落的話就先把它減出來
[05:15] 然後一樣幹嘛塞進去指數里面
[05:17] 所以現在自己手上的指數
[05:19] 不會又再一次的開始增加
[05:21] 其實前面抄底的東西
[05:22] 當然有些反彈是很兇猛
[05:23] 可是隻要開始注意到
[05:24] 它有一個軟鳥的跡象
[05:26] 那就會選擇去做調整
[05:29] 最近市場上也有
[05:30] 蠻多有趣的事情持續在發生
[05:32] 首先這個AWS的reinvent
[05:34] 本來大家是有在市場上聽聞說
[05:36] 有可能AWS要加入握鳥聯盟
[05:40] 也就是跟OpenAI會形成一個
[05:42] 這種互相投資的關係
[05:43] 最後面是沒有發生
[05:45] 這個可能算是跌破蠻多人的眼鏡
[05:47] 因為其實有蠻多AWS Chain裡面的一些
[05:50] 關鍵人物
[05:51] 也就是說在過去的各種訊息上
[05:53] 都掌握非常好的人
[05:54] 都有跟我們講這件事情
[05:55] 然後說是沒有這件事情發生
[05:57] 當然我們不排除
[05:58] 也有可能就是後面才要宣佈之類的
[06:00] 或是根本就沒有這件事
[06:01] 我們不知道
[06:02] 但我們在市場裡面
[06:02] 就是不停的去處理這種訊息
