[00:00] 歡迎收聽谷愛維生夢宮本期節目由米紅米紅生衣贊助
[00:04] 我一直說很多人談成功都只在意策略投資組合工作效率
[00:08] 卻往往忽略最基本的是你的體力
[00:10] 就是所有績效的底層邏輯
[00:12] 如果沒有電做什麼判斷都慢
[00:14] 該衝的時候衝不上去
[00:16] 明明腦袋想得快身體卻lag半拍
[00:18] 尤其是現在的市場
[00:19] 不管你是盤中要盯走勢
[00:21] 盤後還要處理工作家庭生活大小事
[00:23] 你一定會發現說體力比想象中的更珍貴
[00:26] 這次要跟大家介紹的是很多老聽眾敲碗迴歸的組合
[00:30] 密宏的私令黑紅馬卡膠囊
[00:32] 加集農黑紅馬卡粉包
[00:34] 我直接說
[00:35] 它們不是功能一樣的兩包東西
[00:36] 而是兩種不同層級
[00:37] 不同場景的補給工具
[00:39] 密宏的雙馬卡
[00:40] 其實就像是投資裡的穩定部位
[00:42] 跟關鍵攻擊部位
[00:43] 兩種的完整配置
[00:45] 私令馬卡膠囊負責日常打底
[00:47] 角色像是資產配置裡的穩定成分
[00:49] 95%高純度黑紅馬卡
[00:52] 600%濃縮萃取
[00:53] 吸收效率好
[00:54] 沒有多餘的雜質
[00:55] 持續補充
[00:56] 能夠讓你的精神跟體力
[00:57] 都維持在水面上
[00:58] 不會忽高忽低
[00:59] 不會突然熄火
[01:00] 用來穩住你的均線最適合
[01:02] 而Ginomaka粉包
[01:04] 就是完全不同的等級
[01:05] 劑量直接拉到6770毫克
[01:07] 再加上人參皂幹
[01:08] 南非醉茄
[01:09] L-金安酸等多種草本複方
[01:12] 當膠囊負責穩定時
[01:14] 粉包就是在你需要的時候
[01:15] 瞬間專注
[01:16] 瞬間把續航拉滿的強勢補量
[01:18] 就像是那一根
[01:19] 把你從盤整區
[01:20] 直接帶出去的長虹
[01:22] 高壓期間
[01:23] 重要場合需要硬撐的日子
[01:25] 它的效果都特別的明顯
[01:26] 那米紅這兩樣酷東西的關鍵使用時間點
[01:29] 就是在於說當你注意到說下班之後
[01:31] 還有會要開
[01:32] 或者說在一整天的高壓情緒之後
[01:34] 晚上還有一些家庭的行程
[01:35] 你需要硬著頭皮撐過去的日子
[01:38] 這時候呢
[01:38] 使用它就會明顯感受到體力
[01:40] 比較不會瞬間掉下來
[01:41] 那這次一樣是老樣子
[01:43] 給我們國外聽眾最簡單
[01:44] 最不用動腦的方式
[01:45] 不用輸入折扣碼
[01:46] 直接下單最高限省1980元
[01:48] 你可以在我們資訊上
[01:49] 找到更多的說明與連結
[01:50] 好那前幾天跟朋友吃飯的時候
[01:52] 就再一次的注意到
[01:56] 特別的瞭解
[01:57] 那就不太知道
[01:58] 人家到底現在外面
[01:59] 是怎麼樣玩
[02:00] 因為後來就是越活越孤僻
[02:01] 整個縮起來
[02:02] 那剛好前幾天
[02:03] 跟自己一個
[02:04] 國中就到現在的好朋友
[02:06] 就稍微聊一下
[02:07] 就說你記得我國中
[02:08] 是一個就是像這樣子
[02:09] 比較偏內向
[02:10] 或者說很避暑的人
[02:11] 他說以前好像還好
[02:13] 可是後來就越來越發現說
[02:15] 你就是這樣子的一個人
[02:16] 所以大家也都習慣了
[02:17] 也不會想要去難為你
[02:18] 或什麼的
[02:19] 對啊
[02:19] 所以就是可能就是
[02:20] 就國高中的時候
[02:21] 還會稍微的演一下
[02:22] 然後到後來就越來越不演
[02:24] 就是把那個孤僻的一面
[02:25] 完全就展露出來
[02:26] 其實就是懶
[02:26] 那個本質核心就是懶
[02:28] 就是今天如果可以
[02:29] 待在家裡睡覺
[02:30] 就一定在家睡覺
[02:31] 就是一定會想要躺在床上
[02:32] 花手機
[02:33] 或者說打個電動
[02:34] 就覺得說出去
[02:35] 是一個很累的事情
[02:36] 先前早一段時間
[02:38] 還會想說
[02:39] 就有時候還是要去認識一下人
[02:40] 或什麼
[02:40] 就逼自己去做一些
[02:41] 什麼yes man運動
[02:42] 可是後來就發現說
[02:43] 密底孤阿康
[02:44] 說在這個龜仔洞裡面
[02:46] 其實最適合我的一個生活方式
[02:47] 只是偶爾還是會
[02:48] 有一些機會出去
[02:49] 然後就發現說
[02:50] 自己對於這些
[02:50] 社交知識是不足的
[02:52] 但好在這些東西其實不是很難
[02:54] 就是你只要願意去問朋友都可以解決
[02:55] 像婚禮到底現在該包多少錢
[02:58] 其實當然是看場合
[02:59] 看人家辦的地方在哪
[03:00] 可是你不知道的話
[03:01] 你就直接看別人答案就好
[03:02] 就直接問別人說
[03:03] 你要包多少
[03:04] 然後你包比較多
[03:05] 這樣就知道說你不是墊底
[03:06] 就類似說什麼被熊追
[03:08] 你只要不是跑最後一名就好
[03:09] 反正你就是
[03:09] 不要當那個比較奇怪的人
[03:11] 稍微知道一下大家的規矩
[03:13] 就沒有什麼問題
[03:13] 這是這個吃飯
[03:15] 是一個好朋友找我去
[03:16] 他只是說
[03:16] 他一次包了整個餐廳十幾個人
[03:18] 然後十幾個人裡面
[03:19] 我只認識主揪
[03:21] 然後跟他另外一個邀請的朋友
[03:22] 因為我們兩個是
[03:23] 跟主揪一起在同一個群組裡面
[03:26] 我們整天在那邊打泥雞的
[03:27] 所以他就想說
[03:28] 那不然就大家出來見個面
[03:30] 認識一下
[03:30] 介紹個朋友或什麼的
[03:32] 可能是因為我們都是
[03:33] 因為泥雞而聚在一起
[03:34] 所以當然就非常爽快地說好
[03:36] 因為這等於就是我們的好宅友
[03:38] 只是後來答應之後
[03:39] 我就跟另外一位朋友
[03:40] 我們兩個其實都是比較
[03:41] 沒有這種社交場合可以出沒的人
[03:44] 所以就有一點尷尬
[03:45] 就不知道說到底我們去
[03:47] 我們要幹嘛
[03:47] 這個是我們要先跟他講說
[03:49] 什麼我們要自己付錢嗎
[03:51] 還是怎麼樣
[03:52] 因為我們也不知道
[03:52] 是怎麼運作
[03:53] 因為平常如果出去吃飯
[03:54] 今天假設什麼三五個人的話
[03:55] 慣例上非常簡單
[03:56] 反正就是誰揪的就誰付
[03:58] 那下一次可能就換別人
[03:59] 就大家會輪流這樣輪一圈
[04:01] 那不會說什麼go dodge
[04:02] 然後算說你那個
[04:03] 你再給我五塊
[04:04] 就這個很煩
[04:07] 所以就反正就是會有主揪
[04:09] 把錢付掉
[04:09] 然後接著再換下一個人
[04:11] 就一般的慣例就是這樣
[04:12] 可是我們想說
[04:12] 這一局超多人
[04:13] 十幾個人
[04:14] 然後那個餐廳叫月白
[04:15] 這個餐廳已經去了第二次了
[04:17] 我知道說它是一個比較不便宜的產品
[04:20] 所以想說一個人要六七千塊
[04:21] 然後有12個人難道主酒要去付嗎
[04:24] 也很奇怪
[04:25] 搞不好他只是想說要去把一個很棒的餐廳給book下來
[04:28] 然後接著找大家進去幫忙分攤跳之類
[04:30] 所以我們就不知道說大家到底要怎麼樣玩
[04:32] 可是最後面想一想就覺得說
[04:34] 先做第一個嘗試
[04:35] 就是假設說對方沒有要收錢的話怎麼辦
[04:37] 很簡單我們就帶一個酒過去就好
[04:39] 所以我就直接找了林口在地的
[04:41] 就是先Google一下清酒
[04:43] 最後賣清酒
[04:44] 然後看了之後就直接衝過去
[04:45] 然後衝過去之後
[04:46] 就帶了五瓶清酒走
[04:47] 同時大概有幾瓶是想要自肥的
[04:50] 因為我就看到他冰箱裡面有那個新政
[04:52] 當然我其實是不太懂酒
[04:53] 但是因為自己身邊的朋友
[04:54] 他們很多是蠻懂的
[04:56] 所以我就會知道
[04:56] 一些可能比較有名的東西
[04:58] 什麼十四代新政什麼的
[05:00] 就這個名字只有聽過也喝過
[05:02] 然後知道說反正就香香甜甜的
[05:04] 帶這個應該可以
[05:05] 那就準備了一系列酒
[05:07] 但其實我心中想的是說
[05:08] 這麼多人吃的
[05:09] 其實應該是不用帶太好的酒
[05:10] 帶到稍微平價一點的
[05:12] 一般一點的也可以
[05:13] 反正就好先帶一堆回家
[05:14] 然後再看怎麼樣處理
[05:15] 然後回家之後
[05:16] 一Google就發現說
[05:17] 靠北
[05:17] 人家開瓶費要1000塊
[05:19] 一瓶要1000
[05:20] 那如果說你今天不是帶那種超大瓶的
[05:23] 那種14袋
[05:23] 就是可能一瓶2萬多塊的
[05:24] 然後你要付1000的開瓶費
[05:26] 你這樣不是很像盤子嗎
[05:27] 而且你這樣不是有一點像是在幫人家制造麻煩嗎
[05:30] 就如果說人家真的不給你付錢的話
[05:31] 然後你帶酒去
[05:32] 然後他還要再付這個開瓶費
[05:34] 反正我就越想就越覺得說
[05:35] 這個真的是不適合我的地方
