[00:00] 歡迎收聽骨癌,我是聖夢宮,本集節目由iHerb贊助
[00:03] 想要過得平安健康美麗大方,不用跑去各種宮,讓夢宮來告訴你怎麼做
[00:07] 只要動動手指上美國保健電商龍頭iHerb,就可以用甜甜價把健康美麗一次送到家
[00:13] 在iHerb上不管是自己要吃的魚油益生菌,健身補給品,還是安泰做要買給女友老婆的保養品
[00:19] 甚至是寵物用品跟小孩的維他命,全家大小的需求在iHerb都能夠一次買齊
[00:24] 而且最快三天就可以送到你手上
[00:26] 上面還有全球使用者的真實評價可以看
[00:28] 跟著大家買彩雷的機率直接降到最低
[00:31] 臺灣聽眾這邊幫我畫個重點
[00:32] 根據規定每個人上下半年各有六次
[00:35] 每次2000元以下的免稅額度
[00:37] 結賬的時候如果說你看到被收的預收關稅
[00:40] 千萬不要緊張
[00:41] 因為只要你的訂單符合免稅的條件
[00:43] 這筆預收的錢會在7到10個工作天內
[00:45] 自動退還給你
[00:47] 完全不用擔心
[00:47] 現在iHerb黑色星期五優惠已經開始
[00:50] 臺港澳日韓新馬泰美國菲律賓的朋友們
[00:53] 接期到12月15號
[00:55] 結賬的時候
[00:55] 輸入我們谷來的
[00:56] 獨家折扣碼
[00:57] GOOAY124
[00:58] 全單直接打76折
[01:00] 萬一你的手腳太慢
[01:01] 錯過第一波也沒有關係
[01:03] 12月15號到12月30號
[01:05] 輸入GOOAY120
[01:07] 一樣享有八折的優惠
[01:09] 連結我們放在資訊欄這邊
[01:10] 趁年底這一波
[01:11] 幫自己跟家人買進
[01:12] 最好的產品
[01:13] 那需要朋友
[01:13] 在我們資訊欄這邊
[01:14] 找到更多的說明與連結
[01:15] 好 最近才很驚訝的意識到
[01:17] 就是原來很多人
[01:18] 可能真的不知道
[01:19] 有種產品叫做抗躁耳機
[01:21] 雖然可能在我們這邊
[01:23] 也已經是廣告過幾次
[01:24] 但我發現說
[01:24] 可能很多臺灣人不知道
[01:26] 那就像是說
[01:26] 很多我們習以為常的事情
[01:28] 然後分享出來之後才知道
[01:29] 或者說去觀察一下
[01:30] 大家的反應之後才知道
[01:31] 說原來這麼多人不知道
[01:32] 像男生其實可以用香水的
[01:34] 男生你在夏天
[01:35] 很多那種搞到普老普老
[01:36] 他媽超臭的
[01:37] 你可以去抹個止汗劑
[01:38] 或者說你衣服呢
[01:39] 其實你只要開始注意到
[01:41] 它有變色有荷葉變
[01:42] 那個可能就是說
[01:43] 你怎麼救都救不回來了
[01:44] 因為那個細菌
[01:44] 已經卡在纖維裡面
[01:45] 所以就是要直接把它丟掉
[01:46] 就是一些那種基本常識
[01:47] 當然如果沒有人跟你講的話
[01:49] 可能你也不會知道
[01:50] 那有些人就是知道的時候
[01:51] 就要儘量的去講出來
[01:52] 然後讓更多人知道
[01:53] 因為搞不好很多人
[01:54] 其實不知道自己可能很臭
[01:56] 或者說他不知道
[01:56] 說他可以戴抗躁耳機
[01:57] 或是像我小時候
[01:59] 小二的時候
[02:00] 那時候我們去配眼鏡
[02:01] 然後我姐就跟我講說
[02:02] 你可以戴這個粗框眼鏡
[02:03] 那時候根本就沒有看過
[02:04] 什麼粗框眼鏡
[02:05] 我小二的時候
[02:06] 大家都還在戴那種
