[00:00] 歡迎收聽古埃,我是星目公,本集節目由NordVPN贊助
[00:03] 我最近發現現在很多人都開始遠端工作
[00:06] 不論是在咖啡廳、機場還是出國邊玩邊工作
[00:09] 看起來非常的自由
[00:10] 但這些公共WiFi可能都潛藏危險
[00:12] 只要連上不安全的網路
[00:14] 你的資料、賬號密碼甚至公司的機密都可能會被攔截
[00:17] 這個時候NordVPN就是遠端工作者的好朋友
[00:21] 它能夠一鍵加密連線保護資料安全
[00:23] 就算用的是免費的WiFi
[00:25] 也能夠安心的開會、傳檔、登入雲端
[00:27] 而且速度快又穩
[00:29] 不會卡不會斷
[00:30] 開視訊會議
[00:31] 或是上傳檔案都很順
[00:32] 我自己有時候還會切換IP
[00:34] 連回臺灣看網路熟悉的內容
[00:36] 或是登入特定網站也超方便
[00:38] 現在只要透過我們的資訊鏈連結
[00:39] nordvpn.com
[00:41] 或在結賬的時候
[00:43] 輸入優惠碼
[00:44] 就能夠想獨家優惠方案
[00:47] 再送4個月
[00:47] 還有30天的退費保證
[00:49] 完全零風險
[00:50] 守護上網安全
[00:51] 也守住工作效率
[00:52] 遠端工作線上開會
[00:54] 都靠NordVPN
[00:55] 好那現在人在柏林
[00:57] 昨天看完的Radiohead演唱會
[00:59] 這個大概非常輕鬆
[01:00] 就可以排上是
[01:01] 時尚最好看的演唱會
[01:03] 那上一次印象比較深刻的演唱會
[01:05] 是看了Manskin的新加坡演唱會
[01:08] 那看完之後呢
[01:09] 他們就類似是
[01:10] 怎麼講
[01:10] 也不是認真的拆夥
[01:11] 就是說他們未來
[01:12] 還是有可能會在一起
[01:13] 但現在就是已經沒有
[01:14] 是以團隊作為演出的選項
[01:17] 他的主唱已經自己跑出來單飛了
[01:19] 所以也非常幸運的
[01:20] 有卡到了他的最後一場
[01:21] 那場演唱會也是印象非常深刻
[01:23] 可是我覺得就是沒有東西
[01:24] 可以跟我昨天看的Radiohead去做比較
[01:26] 然後甚至是在看完演唱會的當下
[01:29] 然後心中想的是
[01:30] 還是我來跟著他們一起巡迴好了
[01:32] 就是他後面的一些巡迴
[01:33] 我應該每一場都要看到
[01:34] 但這樣子的想法呢
[01:36] 就大概是隨著自己出去攔計程車
[01:38] 然後他媽花了半個小時
[01:39] 來40分鐘之後
[01:40] 就完全的打消這個念頭
[01:42] 就最後面還是會發現說
[01:43] 我覺得這個可能是比較年輕人的東西
[01:45] 就是以前我們都是非常喜歡看團
[01:47] 然後喜歡去看演唱會
[01:49] 可是我覺得隨著自己的年紀慢慢變大
[01:51] 可能也只有我
[01:52] 說不定不是年紀
[01:52] 可能是我本質上就很爛
[01:54] 然後就覺得
[01:55] 就是每次去看演唱會都覺得非常累
[01:57] 覺得很累嗎
[01:58] 一堆人在那邊排隊
[01:58] 擠來擠去
[01:59] 然後出場就要等
[02:00] 然後再來就是站著
[02:01] 你的下背會超痛的
[02:03] 我那個下背
[02:04] 我已經是有去早生產
[02:05] 是一個禮拜拉兩次
[02:06] 還是很痛
[02:07] 但是有拉有差
[02:08] 我之前沒有拉的時候
[02:09] 有時候會半夜痛醒
[02:10] 或是早上會超級痛之類的
[02:12] 那現在身體有去做調理
[02:14] 還是發現
[02:14] 就是久站
[02:15] 就是身體是不太舒適
[02:17] 雖然這可能也是自己身體太廢
[02:19] 但反正無論如何
[02:20] 就是發現說自己已經沒有辦法
[02:21] 像年輕的時候
[02:22] 然後就是整天跑去看演唱會
[02:23] 那以前也是衝第一排
[02:25] 像上次看Radiohead是13年前
[02:27] 那時候跟朋友是提早一個禮拜
