[00:00] 歡迎收聽谷海,我是小萌公,本期節目由Sally贊助
[00:03] 出國行程什麼都能忘,但網路真的不能忘
[00:06] 沒有網路就不能夠導航,不能夠查餐廳,連要看盤看新聞都做不到
[00:10] 旅程瞬間變得寸步難行
[00:12] 以前我常常在出發前才想到要去買SIM卡
[00:15] 要麼來不及寄送,要麼就臨時去門市排隊,非常的麻煩
[00:18] 後來我都使用Sally eSIM,整個流程簡單很多
[00:21] 出發前先把eSIM裝在你的APP裡面,落地開機直接連線
[00:25] 而且只需要安裝一次,去不同的國家也能夠自動切換
[00:28] 不用再換卡或是重新設定
[00:30] 它有一個很實用的功能
[00:32] 就是可以直接在APP裡面看到剩餘的流量
[00:34] 像是導航、查餐廳或是看新聞
[00:36] 股市行情很容易把流量用完
[00:38] 有了即時顯示就不會突然斷線
[00:40] 快用完也可以直接在APP裡面即時加購
[00:43] 不需要去找WiFi或是門市
[00:45] 非常的方便
[00:45] 另外Sally還有兩個隱藏的功能
[00:48] 第一個是廣告阻擋
[00:49] 上網的時候不會被亂跳的廣告干擾
[00:51] 也可以省下一些流量
[00:52] 第二個是內建VPN
[00:54] 人在海外也可以順利使用臺灣的APP
[00:56] 查股市、看新聞都沒問題
[00:58] 資訊不漏掉
[00:59] 簡單說
[00:59] 如果最近有出國的計劃
[01:00] Sally eSIM
[01:01] 可以把很多麻煩
[01:02] 直接快速的解決掉
[01:03] 現在透過我們資訊欄的連結
[01:04] sally.com
[01:05] slash goooay1
[01:07] 下載Sally App
[01:07] 結賬的時候
[01:08] 輸入專屬的優惠碼
[01:09] goooay1
[01:10] 就能夠享有
[01:11] 85折專屬優惠
[01:13] Sally eSIM
[01:14] 出國上網變簡單
[01:15] 行程也更順
[01:16] 安心
[01:16] 開頭這邊
[01:17] 先跟大家稍微的抱歉一下
[01:19] 就是佔據了這幾天的
[01:21] 一些社群討論的力量
[01:23] 我覺得其實真的
[01:23] 沒有必要去討論我們節目裡面
[01:25] 分享的某一個QA
[01:26] 但意外的就是
[01:27] 傳出去了
[01:28] 那當然也有很多人在轉傳
[01:30] 所以就變成一個那種
[01:31] 很大的話題
[01:32] 大家都在那邊吵架
[01:33] 可是最好笑的是
[01:34] 我相信大家的想法還跟我一樣
[01:35] 就是我們不知道說
[01:36] 原來臺灣這麼多文盲
[01:38] 原來那個小學的閱讀測驗
[01:39] 真的需要存在
[01:40] 因為對人的媽的
[01:41] 真的是沒有在生眼睛的
[01:42] 就是你其實只要來找這個節目
[01:44] 聽一下
[01:45] 你就知道我要講的重點是什麼
[01:46] 可是他們連找都不願意
[01:47] 然後直接全部跑題到說什麼
[01:49] 我在叫窮人生小孩
[01:51] 我沒有在做這種事情
[01:52] 基本上我懶得去操小
[01:54] 你生不生小孩
[01:54] 我真的懶得去操小
[01:56] 因為我不是那種家中的
[01:57] 什麼年夜飯長輩
[01:59] 你知道很多人在那邊
[02:00] 媽整天吐槽說
[02:01] 什麼原生家庭叫你怎麼樣
[02:02] 你現在就在做那些長輩
[02:04] 在做一樣的事情
[02:05] 你在歧視說
[02:05] 現在小朋友用的社群平臺
[02:07] 你在講說什麼
[02:08] 家人該不該生
[02:09] 要生不該生
[02:10] 你在幫人家做決定
[02:11] 你以前不是最討厭
[02:12] 長輩這樣做決定嗎
[02:13] 你們怎麼變得跟那個長輩一樣
[02:14] 所以你只是慢慢變成長輩而已
[02:17] 反而我是比較不長輩
[02:18] 我根本懶得屌你
[02:19] 要保證幹我屁事
[02:19] 你有馬斯克
[02:20] 你有馬斯克
[02:21] 每天在那邊憂國憂民
[02:22] 地球人口太少
[02:24] 我根本懶得屌
[02:25] 我根本懶得屌別人的事情
[02:26] 我們的QA
[02:27] 完全就是在討論說
[02:28] 一些在製造育兒焦慮的那一種
[02:31] 我講白一點
[02:31] 我本來以為會來罵我的
[02:32] 那種出科媽媽創群人
[02:34] 因為那就是直接被我嘴到的物件
[02:35] 你整天在那邊
[02:36] 罵搞軍備競賽這種人
[02:38] 我看這種人很不爽
[02:39] 其實我在噴這些人
[02:40] 而且我是在保護那些
[02:41] 所謂的比較弱勢的人
[02:42] 因為我在劈頭
[02:44] 我就直接跟大家講說
[02:45] 就是你千萬不要去相信
[02:47] 在社群上面
[02:47] 什麼30歲
[02:48] 你一定要多少資產
[02:49] 你要有個幾百萬
[02:50] 那跟我們看到的
[02:51] 薪資中會數的
[02:51] 那個結果根本就不一樣
[02:52] 我是在保護
[02:54] 比較弱勢的物件
[02:55] 只是有時候很好笑
[02:56] 就是這樣
[02:56] 為什麼我們有時候會講說
[02:57] 當然這樣講可能不好聽
[02:58] 又是一個心一破的抱怨
[03:00] 但有些人會在某些位階
[03:01] 是合理的
[03:03] 他就應該在那邊
[03:04] 因為他認知水準真的不夠
[03:05] 他連人家在保護他
[03:06] 他都不知道
[03:07] 他就是要跑出來嘴說
[03:08] 因為你講話吃到我
[03:10] 什麼的
[03:10] 可是我根本不是在攻擊你
[03:12] 我是在攻擊那一些去製造焦慮的
[03:14] 去讓你感受到你滑社群
[03:16] 然後覺得自己lesser
[03:17] 覺得自己不夠好的這些人
[03:19] 但你卻以為我在講說什麼
[03:22] 你很窮或什麼的
[03:22] 我都覺得超級莫名其妙
[03:24] 因為我們不是那種什麼炫富型YT
[03:26] 也不是炫富型Podcaster
[03:27] 我整天在跟人講說
[03:28] 我那算命師來跟我講說
[03:29] 如果你今天沒有姐姐或妹妹的話
[03:32] 你就是底層
[03:33] 你這個命就會是底層的命
[03:34] 我就是底層
[03:35] 我到現在都還覺得說
[03:36] 一些仰望的大哥他們真厲害
[03:38] 我從頭到尾都不覺得說
[03:39] 自己真的是
[03:39] 特別厲害的存在
[03:41] 所以我不知道
[03:41] 大家怎麼可以曲解成這樣子
[03:43] 那當然其實最後面
[03:45] 你會知道說
[03:45] 你沒有必要去跟這些
[03:47] 在不同圈子的人
[03:48] 做太多的討論
[03:49] 因為你們是不同世界的人
[03:50] 而且我也教大家一個
[03:51] 非常簡單的
[03:53] Rule of thumb
[03:53] 就是當你今天遇到一些
[03:54] 網路糾紛的時候
[03:55] 其實你第一件事情
[03:55] 要避免的是
[03:56] 你要避免在內心中
[03:57] 有一個想法
[03:59] 就是認為說
[04:00] 每一個評論都是等價的
[04:02] 沒有
[04:02] 其實每一個評論是不等價的
[04:04] 那為什麼呢
[04:04] 因為當然
[04:05] 每個人都有資格去講出
[04:07] 自己想要說的一些意見
[04:09] 可是不代表說
[04:09] 每一個人都要拿來採用
[04:10] 因為你們可能來自於
[04:11] 不同的家庭背景
[04:12] 跟生活環境
[04:13] 或者說你們條件不一樣
[04:14] 所以你去聽一些
[04:15] 莫名其妙的人說話
[04:17] 那個對你來說
[04:17] 是沒有幫助的
[04:18] 不管是往下
[04:19] 或是往上都一樣
[04:20] 就像說你今天是一個
[04:21] 年薪一百萬人
[04:22] 去聽一個那種破億元的
[04:23] 跟你講說生活該怎麼樣規劃
[04:24] 其實也差太遠了
[04:25] 就是你們的生活是不一樣
[04:27] 所以你沒有必要去參考
[04:28] 泰圖哈獎的東西
[04:28] 因為你會覺得
[04:29] 跟你的生活是脫節的
[04:31] 類似這樣子
[04:31] 所以絕大多數
[04:33] 我現在會去看一些評論
[04:34] 很簡單
[04:35] 我就先看說是誰講的話
[04:36] 但我們說不要以人廢言
[04:38] 只是這一招真的很有效
[04:39] 你就看一下
[04:39] 講這些很偏激很激進的話的人
[04:41] 他們長什麼樣子
[04:43] 其實你看
[04:43] 你大概就有些輪廓
[04:44] 甚至後來你根本不用點進去看
[04:45] 你已經知道說他裡面會寫什麼
[04:46] 你已經知道說
[04:47] 他在自我介紹那邊會放什麼
[04:48] 他會放什麼hashtag
[04:49] 你全部都知道了
[04:50] 因為這些人的pattern
[04:51] 就是簡單到有一點無趣
[04:53] 就是基本上都長同一個樣子
[04:54] 所以他們才會共鳴
[04:55] 他們才會vibing
[04:56] 他們才會
[04:56] 就是在不對的事情上面
[04:58] 明明就是你們去曲解人家的意思
[05:00] 然後他們還可以曲解得很高興
[05:02] 自己滑坡了
[05:02] 然後還形成一個同溫層
[05:04] 然後去形成一個莫名的這種仇恨
[05:07] 就是明明你是想要去幫這些人說話
[05:10] 明明你是說
[05:11] 千萬不要去相信社群這些
[05:13] 整天跟你講說什麼
[05:14] 你幾歲就要有多少錢
[05:15] 或者說去搞這些軍備競賽的人
[05:16] 你明明是在講這個
[05:17] 可是他們卻曲解成為說
[05:19] 你在講說什麼
[05:20] 沒有錢的人也應該生小孩
[05:22] 我根本他不在意
[05:23] 你有沒有錢要不要生小孩
[05:24] 跟我閉嘴
[05:24] 我完全不在意這樣的事情
[05:26] 所以我只是很訝異
[05:27] 就是說
[05:28] 這是為什麼我們講說
[05:30] 主動選股還是有很多空間
[05:31] 因為市場上笨蛋真的太多
[05:33] 就是笨蛋真的太多
[05:33] 很多時候你都感覺出來
[05:34] 像我覺得說
[05:35] 我自己投資的一些標的
[05:36] 每次在下去的時候
[05:37] 就一直對人家一直罵
[05:38] 一直嘴啊或什麼的
[05:39] 可是最後面就賺錢的總是我
[05:40] 我想說
[05:41] 奇怪了你們都學不會嗎
[05:43] 你們都不知道說
[05:44] 當然我們還是有一些
[05:45] 動人的思維在裡面
[05:47] 只有意思是說
[05:47] 就是你們不會在過往的
[05:49] 一些失敗裡面
[05:50] 找到一些教訓
[05:50] 好像很多人都不會
[05:52] 或者說
[05:52] 很多人他其實拒絕學習
[05:54] 因為學習對他來說
[05:55] 是太痛苦的一件事情
[05:56] 所以其實像這些拒絕學習
[05:58] 或是拒絕閱讀
[05:59] 拒絕去釐清真相的人
[06:01] 他們其實就類似小胡
[06:02] 我就前幾集QA聊到的那一種
[06:04] 反正他會覺得說
[06:05] 他在生活中遇到的一些不順利
[06:07] 痛苦什麼都是別人害的
[06:09] 就絕對不是他自己
[06:10] 因為檢討自己是一個
[06:11] 怎麼講
[06:12] 你有辦法檢討自己的話
[06:13] 你就不會在那裡
[06:14] 他們就是因為沒有辦法檢討自己
