[00:00] 歡迎收聽古埃維生物工本期節目由NordVPN贊助
[00:03] 今天是平安夜在這邊先祝大家聖誕快樂
[00:06] 聖誕假期很多人都開始遠端工作
[00:08] 不管是在咖啡廳機場還是出國邊玩邊工作
[00:11] 看起來非常的自由
[00:12] 但這些公共WiFi可能會潛藏危險
[00:14] 只要連上不安全的網路
[00:16] 你的資料賬號密碼甚至是公司的機密都可能會被攔截
[00:19] 這個時候NordVPN就會是遠端工作上網時很重要的好夥伴
[00:23] 它可以幫你加密網路連線
[00:25] 就算是使用公共的WiFi
[00:26] 不管是開會傳檔案登入工作平臺
[00:29] 都能夠比較安心
[00:30] 而且連線的速度穩定
[00:32] 實際使用的時候
[00:33] 不太會影響到你的工作流程
[00:34] 我自己在海外的時候
[00:36] 都會用NordVPN切換回臺灣的IP
[00:38] 連熟悉的網站處理
[00:39] 平常的工作設定都很方便
[00:41] 對於年底這種
[00:43] 常出國要移動的時候
[00:44] 其實是很實用的
[00:45] 下次要透過我們的資訊
[00:46] 連結nordvpn.com
[00:48] 或在結賬的時候
[00:50] 輸入優惠碼
[00:51] 就能夠想獨家優惠方案
[00:54] 再送四個月
[00:55] 還有30天的退費保證
[00:56] 完全零風險
[00:57] 聖誕假期不只要過得開心
[00:59] 也要上網用得安心
[01:01] 感謝諾爾的VPN
[01:02] 我們繼續今天的節目
[01:03] 在影片會所有需要的朋友們
[01:04] 可以在資訊欄這邊
[01:05] 找到更多的說明與連結
[01:07] 好那這個禮拜經歷了
[01:08] 兩個深復的感動時刻了
[01:10] 就是我們很多時候都會
[01:11] 想到女兒嘛
[01:12] 地方爸爸
[01:13] 每一個我問到幾乎都是這樣子
[01:15] 可是我老是跟大家講
[01:16] 就是在養育兒子的過程之中呢
[01:18] 雖然男生是比較皮啦
[01:20] 男生也是比較會拆家啦
[01:21] 當然我們講的是一個通案啦
[01:23] 我知道一定有個案
[01:24] 一定有女生可能也很皮的
[01:25] 或什麼的
[01:26] 但整體看下來
[01:27] 就是我們身邊朋友的feedback
[01:29] 就男生他會比較體力旺盛
[01:31] 然後搞事情
[01:32] 然後再來就是
[01:32] 沒有像女生那麼貼心
[01:34] 可是偶爾還是會有一些時刻
[01:36] 就讓你非常的感動
[01:37] 那一般都是好發在睡前
[01:39] 我覺得睡前可能是因為
[01:40] 他們會放下一切的提防
[01:43] 因為也累了
[01:44] 然後腦筋可能也沒有這麼清楚
[01:46] 所以就會講一些比較甜的話之類的
[01:48] 那像兒子在睡前的話
[01:49] 他會先有一個反陽的過程
[01:52] 蠻有趣的
[01:53] 就是他明明就是想睡覺
[01:55] 可是他會突然間
[01:55] 又想到什麼東西
[01:56] 然後就不要睡覺
[01:57] 就開始問問題
[01:58] 那可能也是因為
[01:58] 他想要避免睡覺之類的
[02:00] 他就會開始
[02:00] 反正睡前會有很多的
[02:02] 大災問的出現
[02:03] 然後突然間問我講說
[02:04] 爸爸我1000歲的時候
[02:05] 會長什麼樣子
[02:07] 我告訴他說
[02:07] 人沒有辦法活到1000歲
[02:08] 他說你叫AI化看看
[02:10] 因為我兒子家
[02:10] 對於這種新科技
[02:12] 其實我的心態
[02:13] 都是比較抱持的是開放的
[02:15] 就是我認為說
[02:16] 所以孩子的競爭力
[02:17] 一方面是我們爸媽
[02:18] 到底努力了多少
[02:19] 二方面是你到底
[02:20] 有沒有辦法
[02:21] 去尋尋善用
[02:22] 他去使用這些新的科技
[02:24] 我知道有些爸媽是非常的反對
[02:25] 小朋友不可以用這個
[02:26] 不可以用那個
[02:26] 不可以看電視
[02:27] 不可以用手機
[02:28] 不可以怎麼樣什麼的
[02:28] OK我是尊重每個人的教養
[02:31] 那在我的角度
[02:32] 我是認為說適量就是OK的
[02:34] 所以我都會去教他一些新的工具
[02:37] 不管是什麼打電動
[02:38] 然後或者是玩桌機
[02:40] 那嘗試在電腦上面打字
[02:42] 或者是去跟AI對話
[02:43] 跟Grak的這個
[02:45] 他那個什麼紅狸貓嗎
[02:47] 還是什麼的
[02:47] 反正就跟他聊天
[02:49] 然後或者是
[02:50] 我們可以出題目給他
[02:51] 然後請他寫故事
[02:52] 所以我兒子對這AI的工具
[02:53] 就算還蠻熟悉的
[02:55] 所以有時候他就會去跟我講說
[02:57] 你可以問他AI什麼事情
[02:59] 那我就直接跟他講說
[03:00] 人沒有辦法活到1000歲
[03:02] 我們人的話
[03:02] 大概就是最多到100歲
[03:04] 他說你叫AI畫看看
[03:05] 叫AI畫
[03:06] AI當然就畫一個
[03:07] 這個蠻好笑的圖
[03:08] 然後大家笑一笑之後
[03:09] 他就跟我講說
[03:09] 那爸爸你剩下多久
[03:11] 我跟他講說
[03:12] 我大概算下來的話
[03:14] 60幾年吧
[03:15] 我還有60幾年
[03:16] 他說那爸爸我剩下多久
[03:17] 我說你大概還有90幾年吧
[03:19] 而且你的這個時代呢
[03:21] 可能科技會更進步
[03:22] 說不定你可以
[03:22] 還有一百多年
[03:23] 然後突然沉默五秒鐘之後
[03:25] 就開始爆哭
[03:26] 爸爸我不要你死掉
[03:28] 然後就開始狂哭
[03:29] 那他講這個的時候
