[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由無名氏贊助
[00:03] 僅藉由此段口播對12月19日事件中的英勇勇士及所有的受難者表達最深的敬意與哀悼
[00:10] 包含捨生救人的意識與家常,以及展現出巨大堅強與尊嚴的於媽媽
[00:16] 還有所有在那一天承擔傷痛的人
[00:18] 有些人在最危險的時候選擇站出來,有些人在生命流逝之際依然掛心他人
[00:24] 那些選擇並不是偶然,而是一個社會長期累積的價值與風範
[00:29] 有一段來自國外的評述
[00:31] 臺灣人創造了一個天堂
[00:32] 只是他們自己不知道而已
[00:34] 這句話不是說我們沒有問題
[00:36] 而是提醒我們
[00:37] 我們擁有的是這世界上最值得守護的美好
[00:40] 真正的威脅從來都不是事件的本身
[00:42] 而是恐懼是否會讓我們彼此疏離
[00:45] 團結不是為了世界安全
[00:47] 而是因為我們知道
[00:48] 當危險出現的時候
[00:50] 臺灣人懂得冷靜理性彼此照應
[00:52] 甚至在生死之際能夠堅定的發揮人性光輝
[00:56] 我們不需要活在恐懼裡
[00:58] 但必須要認清我們可以做出更好的選擇
[01:00] 準備不是疑神疑鬼
[01:02] 而是預先強化維安觀念
[01:04] 關鍵時刻保持清醒的應對
[01:06] 顧好自己與身邊的人
[01:07] 不讓謠言跑得比事實快
[01:09] 讓每一個人都可以成為穩定局勢的一部分
[01:12] 那最後想要真誠的謝謝臺灣人
[01:14] 謝謝你們在關鍵時刻展現的善良勇敢與秩序
[01:18] 也期許未來的臺灣能夠在面對不確定性時
[01:21] 能夠持續的選擇理性而不是恐懼
[01:23] 選擇彼此而不是對立
[01:25] 讓這片土地在一次又一次的考驗之中
[01:28] 走向更成熟更穩定
[01:29] 也更值得被珍惜的樣子
[01:32] 好那這大概是我接過最特別的一個廣告委託
[01:35] 那他是來自於我們一個老sponsor
[01:37] 只是他特別交代說他要去識別化
[01:39] 他不希望任何人知道他是誰
[01:40] 那他還跟他的團隊講說就不要把他講出去
[01:42] 他覺得不要去偏離焦點
[01:44] 那他想做的只是以一個臺灣人的身份
[01:47] 對其他臺灣人說說話
[01:48] 那光是這樣的一個訴求
[01:52] 對我來說就是還蠻感動的
[01:54] 因為很久沒有看到類似的東西
[01:55] 這有點類似我們以前
[01:56] 國高中跟大學
[01:58] 不知道大夥們去辦過一些
[01:59] 什麼素穎活動或懲罰之類的
[02:01] 累個半死沒有睡覺
[02:02] 然後可能在過程之中
[02:03] 還會互相干剿
[02:04] 可是最後面我們終於把事情給辦完了
[02:06] 接著可能就會去找一個教室
[02:09] 然後把燈關暗
[02:10] 或者說去一個餐廳
[02:11] 要跟老闆說燈不要開太亮什麼的
[02:13] 然後接著輪流上臺去發表一下
[02:15] 自己在過去的這段時間的
[02:17] 一些想法跟感受
[02:18] 你就會發現說
[02:19] 所有東西都釋放出來了
[02:21] 就是你們可能在過程中
[02:22] 有很多的挑戰跟困難
[02:24] 互相堵欄有的沒有的
[02:25] 可是最後面
[02:26] 你們一起完成一件事情
[02:27] 你們共同留下的
[02:28] 只剩下一個非常美好的回憶
[02:30] 那因此你們變成非常好的朋友
[02:32] 有些人在下面就開始哭嘛
[02:33] 有些人那邊醒脾氣超大聲
[02:35] 有些人上去的時候
[02:35] 媽的話都講不好
[02:37] 氣不成聲之類的
[02:38] 然後最後面全部人都抱在一起
[02:39] 這就讓我想起
[02:40] 以前那樣的一個感受啦
[02:42] 就是他是非常單純的
[02:43] 沒有太多的利益
[02:45] 或是算計在背後
[02:46] 這個其實在我們這種
[02:48] 成年人的世界裡面呢
[02:49] 是越來越少見的
[02:50] 那其實我也不會想要去怪說
[02:52] 成年人的世界
[02:53] 真的他媽噁心跟冷酷
[02:54] 不是啊
[02:55] 因為大家要擔心的事情太多了
[02:57] 你是學生時代的時候
[02:58] 你真的擔心的事情沒有這麼多
