[00:00] 歡迎收聽谷外,我是孫夢宮,本集節目由大鹽生醫贊助
[00:03] 股票上上下下,賬面天天在起伏,考驗耐受力
[00:06] 但是有一件事情比盤試更重要
[00:08] 那就是你的身體基本面絕對不能崩
[00:11] 你開始研究財經新聞之後卻忽略自己身體的長期走勢嗎?
[00:15] 其實隨著你的年紀增長,代謝一慢就容易會出現各種問題
[00:18] 這個時候為配置一檔長期持有型的標的就是大鹽生醫的德國極品魚油
[00:23] 這是臺灣第一次透過調節血脂的健康食品認證高濃度魚油
[00:28] 實證六週降低49%
[00:30] 從膽固醇有效降低三酸甘油脂
[00:32] 健康追求的不是短線
[00:34] 而是長期的調整體質
[00:36] 是慢慢的讓你覺得身體的波動變小狀態更穩定
[00:39] 投資有風險
[00:40] 但自己和家人的健康真的不能夠重壓賭運氣
[00:43] 提早佈局長期持有
[00:45] 現在主委加碼輸入GOOAY
[00:47] 或是點選我們資訊欄的專屬連結
[00:49] 新註冊就限折500元
[00:51] 你最值得的人生資產配置
[00:53] 大言聲音的德國頂級預遊
[00:55] 在這邊提供給所有需要的朋友們
[00:56] 好那時間過得很快
[00:58] 馬上就要進入新的一年了
[00:59] 不知道大家在過去的一年表現怎麼樣
[01:01] 有沒有實現自己的目標
[01:03] 在年初的時候呢
[01:04] 自己都會幫自己規劃一些
[01:06] 希望正年度可以完成的事情
[01:08] 當然其實以我這種
[01:09] 三分鐘熱度的個性來說呢
[01:11] 很多時候我自己許下的願望
[01:13] 我都會忘記
[01:13] 可是我大概朦朧中知道說
[01:15] 什麼東西是我生活之中
[01:17] 現在必須要解決的事情
[01:18] 那所以呢
[01:19] 我自己猜想說
[01:20] 就是我過去的一些規劃
[01:21] 八九不離十
[01:22] 因為我會忘記
[01:23] 我可能不知道在2024
[01:24] 或是2025許下什麼願望
[01:25] 但八九不離十
[01:27] 應該是希望說
[01:28] 多花一點時間陪家人
[01:29] 那這一點呢
[01:30] 我覺得在今年是做得非常好
[01:32] 就是真的是
[01:33] 把自己的工作強度降了蠻低
[01:36] 然後接著呢
[01:37] 多出來的時間
[01:37] 當然也是有打電動
[01:39] 只是就是蠻多是花在
[01:40] 自己的小孩身上
[01:41] 包含說陪他洗澡
[01:42] 念個故事
[01:43] 陪他睡覺或什麼的
[01:44] 那跟兒子的關係
[01:45] 也有感的拉近
[01:46] 當然其實我覺得本來就不錯
[01:48] 只是說就是提升到一個新的維度
[01:50] 包含說他家回家
[01:51] 他會知道說
[01:52] 第一件事就是要來找爸爸抱抱
[01:54] 之前不一定
[01:55] 之前有時候會先想到別人
[01:56] 不會想到爸爸
[01:56] 或是說我們在校車接送的時候
[01:58] 爸爸明明站在第一個
[02:00] 他就先往後面去找我其他家人
[02:01] 那今年就會變成說
[02:03] 他會直接先來找我
[02:05] 我就覺得說
[02:05] 這個就是我的一個突破
[02:07] 所以在大兒子的經營方面
[02:09] 我覺得非常的滿意
[02:10] 二兒子的方面
[02:11] 就是在年初的時候
[02:12] 他出生
[02:13] 然後接著有一些身體上的挑戰
[02:16] 最後面每個都是有驚無險的解決掉了
[02:19] 留下了一點點的小遺憾
[02:21] 但對他的生活
[02:22] 其實也不會有太多的影響
[02:24] 那他可以健康的長大
[02:26] 當個快樂的小朋友
[02:27] 那也因為說
[02:28] 自己在第一胎諾亞的時候呢
[02:30] 因為陪伴的時間相對少
[02:32] 那時候是一個不知道
[02:33] 就覺得怨弟是當爸嘛
[02:34] 你想說
[02:35] 啊我的這個條件會不會不夠啊
[02:38] 會不會沒有辦法去供養小朋友
[02:39] 或什麼的
[02:40] 所以那時候其實給自己施加超級多的壓力
[02:42] 然後導致我覺得有點本末導致啊
[02:44] 就是我知道說
[02:45] 現在很多人在討論小朋友的時候
[02:46] 都會非常聚焦在
[02:47] 討論關於這個錢的部分
[02:50] 那你說錢重不重要
[02:51] 錢絕對是非常重要
[02:52] 可是呢
[02:53] 我們自己都當過小朋友
[02:54] 不管你家裡是有錢與否
[02:56] 那個你不能決定
[02:57] 所以說今天有人出來開課
[02:58] 教大家怎麼投胎之類
