[00:00] 歡迎收聽古埃,我是聖夢宮,本期節目由Backbone贊助
[00:03] 在臺灣能夠做到十年的品牌其實不多,Backbone今年十週年
[00:07] 他們在這十年做的事情很單純,就是要讓你做得久做得穩
[00:10] 不管是上班開會還是真的在幹大事
[00:13] 老聽眾應該都知道我自己用了他們家的東西很久
[00:16] Backbone專門做符合臺灣人身形的人體工學傢俱
[00:19] 九年來服務了五千多間辦公室,二十五個國家
[00:22] 很多的上市櫃公司,科技大樓,副委會
[00:25] 其實他們早就在使用了
[00:26] 像是元太衛剛跟麥當勞的辦公室
[00:28] 用的都是他們的辦公傢俱
[00:30] 他的客製化服務也能夠滿足內容創作者
[00:33] 電影人跟音樂人的需求
[00:34] 從金馬大師金曲天王天后到呱吉阿迪
[00:37] 甚至老一輩的孔鏘老師
[00:39] 不同世代不同圈子的人
[00:41] 一直以來都是Backbone的愛用客戶
[00:43] 如果說你是老闆採購人資服委會
[00:45] 公司要換辦公傢俱
[00:47] Backbone不只是賣椅子升降桌工學椅辦公配件
[00:50] 甚至連隔音艙都有
[00:51] 而且北中南都有實體的門市
[00:54] 售後跟保固都很實在
[00:55] 如果你有需要企業方案
[00:57] 可以直接點我們的連結來洽詢
[00:59] 24小時內就會有專人來幫你估價
[01:01] 那如果說你只是一般的上班族
[01:03] 自由工作者
[01:04] 正在聽節目也沒關係
[01:06] Backbone有給古埃聽眾一個專屬的優惠
[01:08] 在我們在官網結賬的時候
[01:09] 輸入gooay2026
[01:12] 桌椅配件圈關92折
[01:14] 10週年限定
[01:15] 只有到1月31號
[01:16] 三個禮拜而已
[01:17] 要把握這次的機會
[01:18] 那他們家的各種工具
[01:20] 其實非常好用
[01:20] 包含像是我自己的家裡
[01:22] 跟我投資的一些小生意
[01:23] 我們都有在使用
[01:24] 追作工學Backbone的傢俱
[01:25] 那有需要的朋友可以在我們的資訊欄這邊找到更多的說明與連結
[01:28] 那開年至今的臺股真的是非常恐怖啦
[01:31] 跟吃春藥其實是沒有什麼兩樣的
[01:33] 那不知道大家的新的一年是怎麼樣展開的
[01:35] 這一次我的新的一年是透過打手遊展開的
[01:38] 那就是跟幾個快樂好朋友一樣我在玩尼基的
[01:41] 因為剛好在跨年那一天的晚上11點
[01:44] 白雪公主上線了
[01:46] 所以我們全部在那邊抽白雪公主
[01:47] 然後後來抽一抽就發現說
[01:49] 啊時間到了已經過了新的一年了
[01:51] 然後跟大家說一聲新年快樂
[01:52] 其實心中那時候就有點百感交集啦
[01:54] 一來就是發現說
[01:55] 其實打手遊跟抽卡
[01:56] 真的是很快樂的事情
[01:57] 然後二來就覺得說
[01:59] 自己他媽有過可悲的
[02:00] 就是你不是應該至少要
[02:01] 不知道坐在電視前面
[02:03] 數個什麼跨年倒數嗎
[02:04] 還是應該要跟朋友去哪聚餐
[02:06] 你怎麼會在家裡打手遊
[02:07] 可是最後面想一想
[02:08] 覺得說好算了
[02:09] 這就是一個人生的進展
[02:10] 以前我們也會跑去101那邊看煙火
[02:12] 然後現在發現說
[02:13] 你知道你跑進去就已經很辛苦了
[02:15] 你還要出來
[02:16] 重點是你還要出來
[02:17] 你還要散場
[02:17] 你光想到那個人就覺得說超累
[02:19] 完全不想要出門
[02:20] 之前可能又在家裡玩一些
[02:22] 有儀式感的東西
[02:23] 像我跟大家分享說
[02:24] 就是你在最後面倒數的階段要狂吃葡萄
[02:28] 只是還要跟大家下警語說
[02:29] 你要小心你不要噎到
[02:30] 然後後來發現說在臺灣
[02:31] 最近也在流行這個東西吃葡萄
[02:33] 但我們只有前幾年有玩吃葡萄
[02:35] 然後後來也沒有再玩了
[02:37] 特別是有小孩之後也不敢亂教
[02:38] 小朋友跟著這樣吃葡萄的話
[02:40] 真的怕他們會哽到
[02:41] 大家還是要小心
[02:41] 所以就是用一個相對平淡的方式
[02:44] 開啟新的一年
[02:45] 也沒有什麼特別的感受
[02:47] 新的一年股市的表現是非常好了
[02:49] 相較於個人的績效
[02:51] 當然我們知道那種績效比很短
[02:53] 是沒有什麼太大的意義
[02:54] 當然就是目前就屌輸大盤
[02:56] 這個大盤太恐怖了
[02:57] 大盤碰成這樣子
[02:58] 幹你要怎麼贏啊
[02:58] 太厲害了
[02:59] 就除非說你這陣子
[03:00] 剛好手上全部都是買到
[03:01] 不知道群創吧
[03:02] 那不然就是滿手機一體之類的
[03:04] 不然像自己手上
[03:05] 是有很多的裝置
[03:06] 那裝置其實也是
[03:07] 波段走得還蠻不錯
[03:09] 可是問題就是說
[03:09] 你要贏過大盤
[03:10] 其實還是非常的困難
[03:11] 那外加
[03:11] 其實最近的盤面
[03:12] 開始有一些
[03:13] 我覺得那種
[03:14] 蠻大的轉折性出現
[03:16] 這可能後面再跟大家分享
[03:17] 所以我覺得至今就覺得說
[03:19] 表現得還好而已
[03:20] 但其實身邊的朋友蠻多
[03:22] 特別是我們在做量化
[03:23] 或所長庭的
[03:24] 他們就想說
[03:24] 最近的這個盤面
[03:25] 真的有開始有變化
[03:26] 很多的散戶都重新的加入了
[03:29] 之前他們又一直在抱怨說
[03:30] 什麼散戶都不見了
[03:31] 當然這個並不是
[03:31] 我很熟悉的一種言語
[03:33] 因為他們所長庭的
[03:34] 有一個說法就是說
[03:35] 看那個買盤的強弱
