[00:00] 歡迎收聽谷愛,我是孫夢公,本期節目由嘉宜國際2026全明星年菜大集合贊助
[00:04] 你各位捏軟陣線聯盟聽好,盤式變來變去,但老婆過年想放假的心永不改變
[00:10] 今年嘉宜國際全明星年菜大集合又更強大了,一一來點名
[00:14] 五星飯店臺北精華,喜來燈,長龍鳳凰,臺北遠東香格里拉
[00:18] 國宴名廚阿基斯,黃錦龍,米其林推薦的錦霞樓
[00:22] 山內雞肉,上海鄉村,心願小料理衚衕鳥喜,蠻魚四代目菊川
[00:27] 一夾子餐飲和善心
[00:28] 上海江浙菜
[00:30] 上海鄉村
[00:30] 紅豆食譜
[00:31] 基隆百年名店連針
[00:33] 寬心元舒食
[00:34] 港點名店一牙居
[00:35] 阿萬師新港點和點點心
[00:37] 還有過年必吃的寶來發蜜汁
[00:39] 火腿肉
[00:40] 小林山川物語子
[00:41] 伴手禮有今年和慕敏聯名的
[00:44] 鬍子國王蛋卷
[00:45] 連續四年金馬獎指定品牌
[00:46] 啟示公爵甜點
[00:48] 使用大樹總統玉盒包
[00:50] 方鏡合作社
[00:51] 冰糖燉銀耳露禮盒
[00:52] 嘎茲酥脆懶咪尼
[00:54] 咪尼脆可頌
[00:55] 24間名店
[00:56] 70道年菜任選
[00:58] 讓你像是基金經理人一樣
[00:59] 可以自己去挑股票組ETF
[01:01] 如果你想吃衚衕鳥喜雞湯
[01:03] 阿基斯佛跳牆
[01:04] 米其林山內雞肉
[01:06] 心願玉尼鴨
[01:07] 隨意搭配
[01:08] 不用買整套強迫中獎割韭菜
[01:10] 通通都可以並運出貨
[01:12] 趕快點我們資訊欄的連結
[01:14] 用手機FB LINE
[01:15] 登入想捏卵陣線的專屬優惠
[01:17] 年菜滿額
[01:18] 或加購梅雅鎧甲鍋具
[01:20] 再送ERG人氣港點
[01:22] 手速快一點
[01:23] 萬一沒有買到軟蛋就得捏緊點
[01:26] 那最後跟大家分享一下自己的心得
[01:27] 這次的年菜呢
[01:28] 還是像過往一樣
[01:29] 非常的豪華
[01:30] 非常的大方
[01:31] 那我跟自己的身邊的朋友呢
[01:33] 我們把這一波年菜給分掉
[01:35] 每個人都吃得很開心
[01:36] 都幫各位試試過
[01:38] 超讚
[01:38] 而且它出貨速度極快
[01:40] 一站式購買
[01:41] 有需要的朋友可以趁這一次
[01:42] 好好的來搶購一下
[01:43] Happy wife happy life
[01:45] 大家趕快下單
[01:45] 好那我真的沒有想到
[01:47] 我在過去一段時間
[01:47] 會變成是酒精成癮者
[01:49] alcoholic
[01:50] 就是幾乎大概
[01:51] 不知道每一兩天
[01:52] 就一定要大喝一頓
[01:53] 那我說的大喝呢
[01:54] 就是真的就是
[01:54] 把各種酒開啟來
[01:56] 然後就跟朋友
[01:57] 趕快把它分掉
[01:58] 然後或者說
[01:58] 有一些飯局出去的時候
[01:59] 我現在都變成是那個
[02:00] 會自己帶酒的人
[02:01] 那以前對我來說
[02:02] 自己會帶酒那些人
[02:03] 我就是非常講究的人
[02:04] 那大家看到我
[02:05] 可能覺得說
[02:06] 哎呦你變講究了
[02:06] 我開始懂喝別的
[02:07] 我不懂
[02:07] 我真的完全不瞭解
[02:08] 我只是因為
[02:09] 反正有一次
[02:10] 因為過去幾個
[02:11] 跟大家分享嘛
[02:12] 就是去朋友的飯局
[02:13] 那我就不知道幹嘛
[02:13] 想說要帶個酒或什麼
[02:14] 所以因為那樣子
[02:15] 跑去看酒之後
[02:16] 就意外的發現說
[02:17] 其實我蠻喜歡去看這些
[02:18] 在架上的酒
[02:19] 不知道怎麼看
[02:20] 就覺得心情很好
[02:20] 就即便我自己
[02:21] 並不是很喜歡喝酒
[02:22] 可是看到架上那種
[02:23] 各式各樣新的包裝
[02:25] 新的瓶子
[02:25] 上面的設計
[02:26] 上面的貼紙的材質
[02:29] 或什麼的
[02:29] 不知道為什麼
[02:30] 就覺得心情很好
[02:31] 所以突然間就發了一個宏願
[02:33] 就是我要把這些
[02:34] 所謂的很屌的酒
[02:35] 全部都喝一輪
[02:36] 所以就找了林口當地的店家
