[00:00] 歡迎收聽國外,我是孫夢宮,本期節目由綿豆腐贊助
[00:03] 去年這個時間一樣是綿豆腐,一樣是臺股進入風關倒數
[00:07] 不一樣的是綿豆腐2.0已經再度進化升級到3.0
[00:12] 感謝各位綿友以行動支援我們不斷改版
[00:15] 也可能是深蹲獨立統家肉鬆豆腐綿太厲害
[00:18] 綿豆腐3.0上市之後創下了史上最佳的單月銷售額
[00:22] 升級的豆腐感恩的心不變的價格在此立下年末的承諾
[00:27] 1月31號前下單
[00:29] 保證農曆年前送達
[00:30] 1月31號前下單
[00:32] 保證農曆年前送達
[00:34] 今年的冬天來得晚
[00:35] 棉豆腐棉被窩
[00:36] 現在買還不算晚
[00:38] 取自登山衣概念的
[00:39] 礦物纖維和鋁金屬無紡布
[00:41] 把人體熱輻射留下
[00:43] 溼氣排出
[00:44] 一蓋上蓬鬆又剛剛好的重量感
[00:47] 如同兒時記憶的安穩被窩
[00:49] 臺灣設計製造
[00:50] 可以直接積洗
[00:51] 乾淨又安心
[00:52] 不用輸入折扣碼
[00:54] 官網就有合購的優惠
[00:55] 兩件就有折
[00:56] 事件更便宜
[00:57] 一起東購
[00:58] 溫暖東購
[00:59] 新的一年新的豆腐
[01:00] 是給自己跟家人最好的祝福
[01:03] 在這邊提供給所有需要的朋友
[01:04] 你可以在資訊欄這邊
[01:05] 找到更多的說明與連結
[01:07] 好那我最近又有感的意識到
[01:08] 自己進入一個新的階段
[01:10] 那首先是在網路上
[01:11] 看到一個討論蠻有趣的
[01:13] 他說年輕的時候沒錢玩正版
[01:15] 那現在呢是沒時間玩盜版
[01:18] 因為玩盜版很麻煩嘛
[01:19] 你還要破解
[01:20] 還要弄一堆的沒有的
[01:21] 以前真的很有精力
[01:22] 慢慢在那邊破解遊戲
[01:24] 或甚至去找那些
[01:25] 賣大補鐵的店之類的
[01:26] 看怎麼樣改機有的沒有的
[01:28] 然後現在誰會做這種事
[01:29] 正版就這麼容易取得
[01:30] 你一定是買正版
[01:31] 然後外加就是
[01:32] 可能像是以前你會覺得
[01:34] 去買個煙或者說買個酒
[01:36] 然後人家想說誒證件拿出來
[01:37] 心中會有點不爽
[01:39] 甚至會有點不知道
[01:40] 就是那種態度會擺出來
[01:41] 怎樣啦就18歲
[01:43] 不知道要怎樣什麼的
[01:44] 然後現在如果人家問你說
[01:45] 誒證件可不可以拿出來看一下
[01:46] 超爽心花怒放
[01:48] 哇你的意思是
[01:50] 你覺得我17歲嗎或什麼的
[01:51] 所以我覺得就是有些事情
[01:54] 雖然感覺是同樣的
[01:56] 它沒有什麼變化
[01:56] 可是因為你現在內心的狀態
[01:58] 就會產生一些新的變化
[02:00] 你會有不一樣的觀點跟想法
[02:02] 最近上傳了一些
[02:04] 自己的家庭生活照
[02:06] 有眼尖的聽眾
[02:08] 其實也不是眼尖
[02:09] 猴子都看得出來
[02:10] 猴子刮掉這是誰
[02:12] 這個人好年輕
[02:13] 臉是尖的
[02:14] 我看到超級爽
[02:15] 其實不是為了說
[02:17] 什麼要改變造型去刮鬍子
