[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由NordVPN贊助
[00:03] 最近準備要過年了,相信很多人都在規劃春節出國或是返鄉
[00:07] 回臺灣過年,機場,飯店,咖啡廳幾乎都擠滿人
[00:10] 這種時候很常會使用公共WiFi
[00:11] 不管是查資料,訂住宿,訂票,或是臨時要處理工作
[00:14] 但公共網路的安全性比較難掌握
[00:17] 這種時候我自己會開啟NordVPN
[00:18] 它會幫你加密網路連線
[00:20] 就算是在機場或是飯店用WiFi
[00:22] 登入賬號傳資料
[00:23] 或是使用各種網站都比較安心
[00:25] 而且連線速度穩定
[00:26] 實際下來不太影響到操作體驗
[00:28] 那另外春節是旅遊旺季
[00:30] 我自己在查住宿或是比價的時候
[00:31] 也會用NordVPN切換不同地區看看
[00:34] 有時候真的會看到不一樣的房價
[00:36] 操作非常的簡單
[00:37] 按一下就可以切換地區
[00:38] 對於過年這種訂房電型
[00:40] 成密集的時候蠻實用的
[00:41] 那像我之前在打手遊
[00:42] 有時候遇到像臺灣的海底電纜
[00:44] 如果比較慢的話
[00:45] 可以跨區到別的地方
[00:46] 這樣速度就會變快
[00:47] 所以也是有很多延伸的應用
[00:49] 那如果說女人在國外
[00:50] NordVPN也可以切換回臺灣的IP
[00:52] 連熟悉的網站
[00:53] 平常用的服務
[00:54] 使用上會順很多
[00:55] 不管是出國過年
[00:57] 或者返鄉途中
[00:58] 其實都很適合開著
[00:59] 現在只要透過資訊欄的專屬連結
[01:01] nordvpn.com
[01:02] slash goaie
[01:03] 或在結賬的時候輸入優惠碼
[01:05] goaie
[01:06] 就可以享有期間限定的優惠方案
[01:08] 購買兩年方案加送四個月
[01:09] 還有30天的退款保證
[01:11] 不滿意都可以隨時取消
[01:12] 完全零風險
[01:13] 春節出門在外
[01:14] 行程要順
[01:15] 網路也要用的安心
[01:16] 有需要的朋友可以在資訊欄
[01:17] 這邊找到更多的說明與連結
[01:18] 好那我真的覺得小朋友長得很快啦
[01:21] 因為我上次看到我小舅子小姨子的時候
[01:23] 覺得他們還算是小朋友
[01:24] 可是這一次呢就已經不是小朋友了
[01:26] 非常明顯的感覺到像是青少年的感覺
[01:28] 那像我小姨子才十歲出頭而已
[01:30] 她的身高已經快跟我老婆一樣高
[01:32] 她的手已經快比我還大
[01:33] 那我覺得非常的誇張
[01:35] 就是小朋友真的長得很快
[01:36] 所以要好好把握他們還是小孩子的這一段時間
[01:39] 以前跟他們玩都覺得非常有趣
[01:40] 那現在也不是說不有趣
[01:42] 就只是因為他們年紀也大了
[01:44] 所以就沒有這麼好哄
[01:45] 那很多時候變成是
[01:46] 我們要去稍微再關心一下
[01:48] 他們家喜歡的東西是什麼
[01:49] 然後多給他一點機會去表達
[01:51] 以前就直接抄起來抱
[01:53] 那現在幹這麼大一隻要怎麼抱
[01:55] 所以就只能夠從旁邊觀察他
[01:56] 那變成說我的小舅子小姨子
[01:58] 現在會幫忙照顧我的兩個兒子
[02:00] 這個令我非常感動
[02:02] 那我的小舅子呢
[02:03] 就理論上是13 14歲
[02:05] 這樣的一個非常活潑的年紀
[02:06] 他應該是不會想要照顧小朋友
[02:08] 但是在他身上我看到了
[02:10] 超乎於常人的一種耐心
[02:13] 那他可以陪我兒子
[02:14] 在那邊打電動
[02:15] 一坐就是坐好幾個小時
[02:16] 或者陪他玩足球
[02:17] 一玩就是玩一兩個小時以上
[02:19] 那我覺得非常厲害
[02:20] 因為連自己
[02:21] 身為生父
[02:22] 我都沒有辦法做到這樣子
[02:23] 那小姨子的話也是
[02:25] 只是小姨子
[02:25] 他的個性就是比較
[02:27] 怎麼講
[02:27] 就對小朋友來說
[02:28] 小朋友會有點怕他
[02:29] 因為他太多了
[02:30] 就是太多了
[02:31] 他會
[02:31] 怎麼講
[02:32] 他是非常的熱心
[02:34] 關懷或什麼的
[02:35] 可是對於兒子來講
[02:36] 就覺得說
[02:37] 你幹嘛要一直弄我
[02:38] 你去弄你自己
[02:39] 而且剛剛已經讓你自己
[02:41] 你不要一直過來弄我
[02:42] 但還是非常感謝有這兩個小保姆的照顧
[02:45] 所以讓我自己在這個歐洲的行程
[02:48] 感覺到更加輕鬆
[02:50] 那外加其實本來每次來這邊都會立刻生病
[02:53] 我也不知道為什麼
[02:54] 可能是那種水土不服吧
[02:55] 那外加自己的呼吸道是比較屬於那種過敏的
[02:59] 那所以很多時候呢
[03:00] 就當我發現我到歐洲大概一兩個禮拜內
[03:03] 幾乎都會先身上一場大病
[03:05] 就大概需要花三到四天去痊癒
[03:07] 那接下來的兩個禮拜呢
[03:09] 可能就會在瘋狂的咳嗽之中
[03:11] 去把那種就是卡在呼吸道里面的痰
[03:13] 之類的都弄掉
[03:14] 所以就每次來都會有一種
[03:16] 那種身體上的反感
[03:17] 甚至是有一點覺得說
[03:18] 反正去就會生病
