[00:00] 歡迎收聽谷愛,我是孟公,本期節目由木鶴單一麥芽威士忌贊助
[00:04] 開始分享前提醒大家幾件事情
[00:07] 請理性飲酒,未滿18歲,禁止飲酒,禁止酒駕,酒後請找代駕
[00:11] 時間過得好快,又要過新年了,每到送禮時刻都在煩惱要送什麼嗎?
[00:16] 我自己覺得酒是一個蠻適合在年節期間送禮的選擇
[00:20] 不管對方喜歡朋友聚在一起喝,還是自己在家偶爾小酌都很合時宜
[00:24] 現在跟大家分享一款我覺得很不錯的威士忌木鶴單一麥芽威士忌
[00:29] 木赫來自於蘇格蘭斯貝賽區的達夫鎮
[00:33] 開創了威士忌界獨一無二且繁複的2.81蒸餾工藝
[00:36] 讓木赫威士忌有獨特的醇厚肉脂風味
[00:40] 這次新年推出兩款年份的新年禮盒
[00:42] 第一個要推薦的是木赫16年新春珍藏版
[00:45] 禮盒外觀是深邃五葉藍禮盒
[00:48] 俐落切角的設計就像是駿馬飛揚一樣
[00:50] 開盒是紅金色更增添新年的祝福感
[00:53] 分享我喝完的總結
[00:55] 16年一定要試試
[00:56] 是用100%水利桶熟成
[00:58] 酒體喝起來有種圓潤飽滿感
[01:00] 有獨特的肉脂味之外
[01:02] 我對它的皮革香料喝下去
[01:04] 再變化成一點蜂蜜味的香氣
[01:06] 很驚喜
[01:07] 喝起來很順
[01:08] 工作或是過完小孩一整天
[01:10] 真的超需要來一杯
[01:11] 搭配一點生活腿或煎個牛小排
[01:13] 是幫自己在忙碌生活中
[01:15] 找到放鬆的方式之一
[01:17] 那另外也有木鶴12年新春珍藏版
[01:20] 同樣是午夜藍的外盒
[01:21] 以流動的筆觸勾勒駿馬
[01:23] 代表力量與優雅
[01:25] 象徵接下來都是奔騰好運
[01:26] 對比前一款12年更多一點果香清香
[01:30] 是由木鶴首席調酒師Craig Wilson
[01:32] 致敬風味之島臺灣
[01:34] 以全新四桶熟成工藝
[01:36] 讓香氣同時有焦糖布丁與熱帶水果氣息
