[00:00] 歡迎收聽谷愛維生物工本期節目由扇存贊助
[00:03] 你有這種經驗嗎?忙了一整年,自己的氣色狀態一直在遞減
[00:07] 過年時親戚一句,你怎麼變這樣?那個瞬間比大盤迴答還痛
[00:11] 提醒大家,很努力地在生活,但也別總是消耗自己
[00:15] 把營養的基本面顧好,才有機會常常久久開紅盤
[00:18] 真心推薦大家要吃扇存綜合維他命
[00:21] 我都有在吃扇存,長期下來覺得有吃有差
[00:24] 因為扇存一次補充22種必需營養素
[00:27] 還依照不同的年齡性別設計專屬配方
[00:30] 像我在吃的男性擅存增量
[00:32] B1跟B12還有新
[00:33] 讓我活力充沛思緒清晰
[00:36] 不只工作有精神
[00:37] 過年聚會陪家人都神采奕奕
[00:39] 超有續航力
[00:40] 也別忘了女性擅存增量
[00:42] C 蓋 美
[00:43] 給你好氣色好代謝
[00:45] 拍照不用靠濾鏡
[00:46] 好狀態由內而外就散發出來
[00:48] 請大家好好照顧自己
[00:50] 一天一擅存把營養的基本工作好
[00:53] 累積下來讓你整體狀態都完勝
[00:55] 也別忘了用銀寶扇存來照顧長輩
[00:58] 一次把全家的健康基本面顧好
[01:00] 氣色活力都線上
[01:01] 有需要的朋友
[01:02] 在我們資訊欄這邊
[01:03] 找到更多的說明與連結
[01:04] 那先前協助完成我老婆的小夢想
[01:07] 就帶她去旁邊的俄羅斯商店買東西
[01:10] 那我自己講到這有都有點汗顏
[01:11] 就是怎麼會是一個夢想
[01:13] 真的嗎
[01:13] 超級簡單的東西
[01:14] 可是我就真的很懶得出門
[01:15] 那所以呢
[01:16] 因為老婆真的一直念想說
[01:18] 好就帶她去
[01:18] 那像她之前俄羅斯商店
[01:20] 其實都蠻厲害
[01:20] 他們都直接把自己改名
[01:22] 叫做烏克蘭商店
[01:23] 或者說本來裡面有一些
[01:24] 俄羅斯的印刷品什麼
[01:26] 他全部都把它換成是烏克蘭的
[01:27] 因為這邊在民間方面
[01:29] 其實都是不太喜歡俄羅斯人
[01:31] 因為覺得說他們創造了戰爭
[01:33] 可是在官方方面很有趣
[01:35] 就雖然整個歐盟看起來
[01:36] 是一個撻伐的一個狀態
[01:38] 但實際上就像是貝森特講的
[01:40] 你們都還在跟俄羅斯買油買氣
[01:42] 所以等於你們在資助
[01:44] 針對你們的戰爭
[01:45] 那就很好笑
[01:46] 反正就是說
[01:47] 在商務的交流上面還是有持續
[01:49] 可是官方也是在撻伐
[01:51] 所以官方跟民間
[01:52] 其實大家都不太喜歡俄羅斯人
[01:53] 那在這邊的一些商店呢
[01:55] 也就立刻的improvise
[01:57] 就趕快去換一下自己的旗幟
[01:58] 那假裝自己是烏克蘭的商店
[02:00] 那像我太太她學的語言是俄文
[02:02] 所以她就很怕在這些地方講俄文
[02:04] 有時候她乾脆就講英文
[02:05] 那後來才發現說
[02:06] 他們這邊語言蠻有趣的
[02:08] 就是烏克蘭人跟俄羅斯人
[02:09] 好像可以瞭解彼此
[02:10] 可是他們裡面的一些用詞呢
[02:13] 是不太一樣
[02:13] 所以還是聽得出來說
[02:14] 你是在哪裡的
[02:15] 類似說可能我們跟臺中人講話
[02:17] 一直逆來逆去
[02:18] 就知道說是臺中人
[02:19] 那可能會講比較多臺語的
[02:21] 那應該有機會是南部人
[02:22] 就是你可以大概的去猜一下
[02:24] 然後再來就是像
[02:26] 因為老婆他們是摩托娃來的
[02:28] 那摩托娃這邊
[02:29] 還會有些人去學羅馬人亞文
[02:30] 那他們都是算是
[02:31] 彼此是某個程度的互通
[02:33] 可是又有一點不太一樣
