[00:00] 歡迎收聽谷外,我是星風公,本期節目由Sally贊助
[00:03] 出國行程什麼都能忘,但網路真的不能忘
[00:06] 尤其是春節這種出國回國的旅遊旺季
[00:08] 沒有網路就不能夠導航,不能夠查餐廳
[00:11] 連訂住宿看新聞處理事情都會卡住
[00:14] 旅程會直接大亂
[00:15] 以前我也常常拖到出發前才發現還沒有買SIM卡
[00:18] 不是來不及寄送,就是隻能夠去門市排隊
[00:20] 春節人一多,整個流程就變得很麻煩
[00:23] 後來我開始用Sally eSIM這件事情就輕鬆很多
[00:26] 出發前先用APP裡面的eSIM安裝好之後
[00:29] 落地開機就能直接連線
[00:30] 而且只要安裝一次之後
[00:32] 去不同國家也會自動切換
[00:33] 不用換卡不用掃PDF
[00:35] 連長輩都能夠輕鬆上手
[00:37] 那也不用擔心說會實體eSIM卡弄丟
[00:40] Sally App裡面還可以直接查你剩餘的流量剩多少
[00:43] 像春節出國一定會一直用導航查餐廳訂住宿
[00:46] 流量用得很快
[00:47] 有即時顯示就不怕會突然斷線
[00:49] 快用完也可以在APP裡面加購
[00:51] 不用再找WiFi
[00:52] 那另外我自己覺得很實用的是
[00:54] 它內建VPN的功能
[00:55] 春節旅遊旺季
[00:56] 我實際用VPN比較過住宿的房價
[00:58] 有時候切換不同地區檢視
[01:00] 價格真的會有差
[01:01] 在國外也能夠順利瀏覽臺灣的網站
[01:04] 看臺灣的價錢
[01:05] 不管是訂房或是購物都更安心
[01:07] 再加上它有廣告阻擋的功能
[01:09] 在國外上網的時候
[01:10] 不容易誤點到奇怪的廣告或是網站
[01:12] 也能夠順便節省一些流量
[01:14] 簡單來說
[01:15] 如果你春節期間有出國或者回國的計劃
[01:17] Sally eSIM可以把上網這件事情一次處理好
[01:20] 少一個煩惱行程也會順很多
[01:22] 下載透過我們資訊欄的連結
[01:24] sally.com
[01:24] sally.com
[01:25] sally.com
[01:26] 結賬的時候
[01:27] 輸入專屬的優惠碼
[01:28] gooay
[01:29] 就能夠享有
[01:30] eSIM方案
[01:31] 85折的專屬優惠
[01:32] sally eSIM
[01:33] 春節出國
[01:34] 上網更簡單
[01:35] 也更安心
[01:36] 好那全家跑到西班牙度假
[01:38] 那這一次除了是
[01:39] 陪老婆去感受一下
[01:40] 這個童年成長的地方
[01:42] 然後她喜歡吃的東西
[01:43] 全部都走一輪之外
[01:44] 那最主要呢
[01:45] 是因為老婆想要看房
[01:46] 那其實我們在西班牙
[01:47] 已經有房子了
[01:48] 只是她最近又開始
[01:49] 給我一個大哉文
[01:50] 就是說如果說小朋友
[01:51] 要在西班牙唸書的話
[01:52] 現在這空間是不夠的
[01:54] 所以我們要去找一個房子
[01:55] 然後讓這個空間是足夠
[01:56] 他可以在那邊唸書
[01:57] 可以在那邊生活
[01:58] 那我心中就在想說
[01:59] 是怎樣
[02:00] 現在是已經決定
[02:01] 小孩要在西班牙唸書了嗎
[02:02] 那其實我本身覺得說
[02:04] 在臺灣受教育
[02:05] 是還蠻不錯的
[02:05] 因為後來就是有
[02:06] 蠻幸運的找到一間學校
[02:08] 那這間學校呢
[02:09] 是私立的學校
[02:10] 但是呢
[02:11] 他在學風方面
[02:12] 是比較開放
[02:13] 那小朋友是比較注重體育
[02:15] 游泳
[02:16] 可能雙語
[02:17] 可是在學業方面
[02:18] 其實講白一點
[02:20] 就是沒有這麼要求
[02:21] 可是這個對於我
[02:22] 或是對於很多來唸這些學校
[02:24] 我們自己身邊的朋友
[02:25] 或者說同業
[02:26] 其實我覺得大家的想法都很類似
[02:28] 就覺得說小朋友就是快樂長大就好
[02:30] 他只要去學會一些生活中的禮儀
[02:32] 然後一些生存的模式跟方式
[02:34] 然後之所進退
[02:35] 這個對我們來講
[02:36] 可能是最重要的事情
[02:37] 只是最近就聽到
[02:38] 諾亞的一些同學的爸爸媽媽
[02:41] 因為他們的小朋友
[02:42] 可能有在唸什麼小學部中學部
[02:44] 然後就有提到說
[02:45] 其實這個學校的學風
[02:46] 現在慢慢在改變
[02:47] 就是他們已經開始去著重升學
[02:49] 其實我每次在心中都在想一件事情
[02:52] 就是為什麼臺灣人做什麼事情
[02:53] 最後面都會變一窩蜂
[02:54] 就是為什麼全部人
[02:56] 最後面都會做一樣的事情
[02:57] 你搞個夾娃娃機店
[02:59] 然後每個人都去夾娃娃機
[03:00] 你搞什麼就一堆人就是跟風學習
[03:02] 然後你搞一個升學班
[03:03] 就是每個人都要去走升學班
[03:05] 你不知道說你的客人
[03:06] 就是有一些
[03:07] 他不一定是要小朋友
[03:08] 所謂的填鴨教育
[03:09] 或是逼他升學嗎
[03:11] 說不定升學對他來講
[03:12] 就不是他對小朋友規劃裡面
[03:14] 最重要的事情
[03:14] 當然你說唸書重不重要
[03:16] 絕對重要
[03:16] 教育重不重要
[03:18] 重要
[03:18] 可是可能對有些人來講
[03:19] 他不會覺得說
[03:20] 這個可能是tip top
[03:21] 就是最重要的東西
[03:22] 就就像說我們去看一些美式教育
[03:24] 也知道說他們非常強調的是體育
[03:26] 所以我自己也會覺得說
[03:27] 體育是相對重要的東西
[03:30] 其實我知道教育這種東西
[03:31] 你沒有辦法一言以蔽之
[03:33] 因為其實每個人的需求不太一樣
[03:35] 像我們自己身邊的一些朋友
[03:36] 在竹科那附近的
[03:38] 因為他們從小就是可能會念書
[03:39] 然後長大之後就去選理工科
[03:41] 然後接著就到竹科裡面去當馬
[03:44] 或者去僱雞臺
[03:45] 那他們可能就發現說
[03:46] 這樣的生活雖然壓力大
[03:47] 可是賺的錢蠻多的
[03:48] 所以他們也會訓練
[03:49] 他們的小朋友要去走一樣的路
[03:50] 可是又反過來
[03:51] 就是可能幹到很大的一些朋友
[03:53] 然後就有提到說
[03:55] 在公司裡面要去做這些什麼鬥爭
[03:57] 人際關係
[03:58] 他覺得超累的
[03:59] 對啊 錢是不錯
[04:00] 沒錯
[04:00] 可是他就不希望他小孩走一樣的路
[04:02] 所以他可能就往另外一個方向去
[04:03] 幫小朋友點技能書
[04:05] 那我覺得我自己就是因為
[04:06] 從小是比較那種填鴨教育
[04:08] 雖然我自己也不是那種很會念書的孩子
[04:10] 但我覺得正是因為
[04:11] 我自己不是很會念書的孩子
[04:12] 然後外加後來
[04:13] 我出來社會之後
[04:14] 就是我們身邊
[04:15] 不乏那些頂尖大學出來的
[04:17] 可是其實大家在做的事情
[04:18] 都不是大學唸的東西
[04:19] 那學歷這件事情
[04:20] 當然它某個程度上
[04:21] 是一種你學習力的認證
[04:23] 或者說你到底會不會念書
[04:25] 也是你的能力的一環
[04:26] 可是其實能力有很多個面向
[04:28] 不一定要把某個面向
[04:29] 一定要點到哪個方向去
[04:30] 這個我相信畢業一陣子的人
[04:32] 應該都會有類似的想法
[04:33] 所以就覺得說
[04:34] 小朋友如果可以在一個
[04:35] 快樂的環境下長大
[04:37] 然後著重體育
[04:38] 會游泳
[04:39] 不會說什麼
[04:39] 不小心掉到水裡面
[04:40] 然後就死掉之類的
[04:41] 對我來講
[04:41] 就是我教育的核心
[04:43] 我覺得這個是最重要的事情
[04:44] 然後只是就沒有想到說
[04:46] 聽說這個學校的學風
[04:47] 開始要去做一些改變
[04:48] 我想說為什麼要一窩蜂呢
[04:50] 就如果真的有些家長
[04:51] 他覺得說小朋友
[04:52] 應該要會念書什麼的
[04:53] 媽的
[04:53] 臺灣的學校99%都是要念書的
[04:55] 你就去別邊就好嘛
[04:57] 就是為什麼這個學校會這樣改變
[04:58] 我也不清楚
[04:59] 搞不好是高成績的想法之類的
[05:01] 反正這件事情
[05:02] 確實讓我有點煩惱
[05:03] 我是不會去覺得說
[05:04] 立刻就要去做什麼處置
[05:06] 可是我太太就馬上
[05:07] 她可能不知道PTSD之類的吧
[05:09] 她就認為說
[05:09] 小朋友不應該是在這種壓力超大的環境長大
[05:13] 那她就會很常去跟我舉例說
[05:15] 她在西班牙長大的環境怎麼樣
[05:16] 她們可能上課只上到兩點
[05:18] 然後回家呢
[05:19] 大家就開開心心的
[05:20] 什麼曬太陽啊
[05:21] 然後去游泳池旁邊
[05:22] 什麼念個書什麼的
[05:23] 那你說她們真的過得比較差嗎
[05:25] 或是她們沒有工作能力嗎
[05:26] 也沒有啦
[05:26] 因為Lisa來到臺灣
[05:27] 好像之前在弄旅館
[05:29] 或者我在弄什麼事情
[05:30] 有時候請她幫忙
[05:30] 這個人是很明快很聰明的
[05:32] 所以就不代表說什麼
[05:34] 他們的教育
[05:34] 教出來的小朋友就是不行之類
[05:36] 他認為說這個也是可以的
[05:37] 所以他可以在沒有壓力的環境下
[05:39] 然後長得還蠻不錯的話
[05:41] 那為什麼要在一個超級有壓力的環境
[05:43] 那我之前都可以跟他講說
[05:44] 我們選的學校是比較開明的
[05:46] 比較開放
[05:47] 也沒有像以前就是會逼你念書或什麼
[05:49] 只是現在我就越來越站不住腳了
[05:51] 所以他就會講說
[05:52] 那不然我們可能就要考慮其他的選項
[05:54] 那像上次我們去完美西之後
[05:56] 我們也有考慮過
[05:57] 美國可能是一個不錯的地方
[05:58] 那美國我自己比較不喜歡的
[06:00] 我知道有些人不喜歡說
[06:01] 距離太遠
[06:02] 花費太高
[06:03] 可是對我來講
[06:04] 我不喜歡說
[06:05] 整天出太陽
[06:05] 其實我真的很不爽
[06:06] 整天出太陽
[06:07] 絕大多數人覺得
[06:08] 是優點的地方
[06:09] 我反而覺得很煩躁
[06:10] 就是每天曬
[06:11] 曬到很痛苦
[06:12] 其實西班牙也有類似的問題
[06:13] 西班牙比美國
[06:14] 更糟糕的地方是
[06:15] 我覺得它食物的選項
[06:16] 是相對少很多
[06:17] 所以我就是卡在
[06:19] 食物這一關
[06:20] 當然這可能是我個人
[06:21] 比較自私的理由
[06:22] 可是如果說是比較
[06:23] 家庭的理由的話
[06:25] 就我自己的工作
[06:26] 我每天
[06:27] 兩點要起床
[06:28] 就凌晨兩點要起床看班
[06:30] 怎麼可能
[06:30] 這樣子我可以燒多久
[06:32] 雖然可能理論上
[06:33] 我們現在在努力的方向
[06:34] 就是往資產家的方向
[06:36] 資產不要去整天去做一堆交易
[06:38] 有些東西用放的
[06:39] 可以放出很大的報酬
[06:41] 那也驗證了幾年
[06:42] 可是我就發現說
[06:43] 就我興趣還是在股票的交易
[06:45] 或者說在投資的選擇上面
[06:47] 所以我還蠻喜歡
[06:48] 在那邊點來點去的
[06:49] 那就變成說
[06:50] 我每天兩點要起床
[06:51] 這怎麼可能可以持久
[06:53] 所以就是有很多的考量
[06:55] 可是你又發現說
[06:55] 你老婆心意已見
[06:57] 那這時候怎麼辦
[06:58] 我覺得說可能就折中吧
[06:59] 不然就先可能
[07:00] 挑個房子之類的
[07:02] 反正自個產
[07:03] 在海外放一些東西也好
[07:05] 之後看怎麼樣再說
[07:06] 暑假至少有個地方可以去
[07:08] 可是這邊同時又讓我很猶豫的一點
[07:10] 就是說
[07:10] 雖然其實西班牙的房子是便宜
[07:12] 可是你買一個
[07:14] 一樣就幾千萬的東西
