[00:00] 歡迎收聽谷外,我是孟公,本期節目由Cashback反多多贊助
[00:04] 這幾年消費市場上普遍反映信用卡跟電子支付的回饋玩法越來越多
[00:08] 但規則卻越來越複雜,讓大家想要賺優惠卻常常失手
[00:12] 買東西想要更簡單透明快速回饋,購物就選Cashback反多多
[00:16] 由綠界科技及旗下綠界大資料打造的全新返利回饋平臺Cashback反多多
[00:22] 吸手一卡通iPath Money,介面支付,拍錢包三大支付平臺
[00:26] 以及全方位零售整合解決方案Shopline
[00:29] 日常消費習慣怎麼付就怎麼領回饋
[00:32] 2月份他們打出新春回饋接力戰
[00:34] 活動豐富多元怎麼逛都逛不完
[00:37] 2月21號正式開工當天
[00:39] 除了原本高達10%的回饋
[00:41] 還要請你喝咖啡
[00:42] 買東西就選cashback反多多
[00:44] 讓你怎麼付都回饋
[00:45] 有興趣的朋友給他們資訊
[00:46] 在這邊找到更多的說明與連結
[00:48] 上期節目跟大家分享完之後
[00:50] 非常感謝有海量的聽眾
[00:52] 各路的捏軟陣線
[00:53] 各路的美少女都寫信進來
[00:55] 給我各種建議
[00:56] 分享他們的小朋友在哪邊唸書
[00:58] 然後他們覺得那邊的學風不錯之類的
[01:01] 所以我們的想法也不是說
[01:02] 像人家講的什麼體制外
[01:04] 不是說什麼要去找一個
[01:05] 什麼體制外的教育
[01:06] 然後要跟社會脫節
[01:08] 絕對不是這個意思
[01:09] 只是因為我們看到像孩子的學校
[01:12] 他們以前就是屬於那一種
[01:14] 反正比較重視體育
[01:15] 那在教育的部分
[01:16] 當然還是會叫你念書
[01:17] 只是不會逼著你念而已
[01:19] 然後像變成是
[01:20] 我們看到他有一些那種學長姐
[01:21] 他們可能一天都花三到四個小時
[01:23] 然後坐在下面寫功課
[01:25] 雖然這個我分享出去
[01:26] 跟一些朋友講之後
[01:27] 他們說三到四小時在臺灣其實算還好
[01:29] 但就是我們不喜歡這樣子
[01:31] 所以我們就試著要去找一些學校
[01:33] 可能比較不會這麼去
[01:35] 在功課方面上去做很多的這種填鴨
[01:38] 當然有些人喜歡寫功課
[01:41] 我們沒有要去反對大家的教育的選擇
[01:43] 你覺得小朋友就是要念書
[01:45] 就是要寫一堆功課
[01:46] OK那是大家自己的選擇
[01:48] 只是我們就是想要去了解看看
[01:49] 有什麼其他的方案
[01:50] 我太太的解方就是覺得說
[01:52] 反正就是把小朋友送到國外去唸書
[01:54] 這樣就比較單純
[01:55] 那我的解放呢
[01:56] 是我還是想要留在臺灣
[01:57] 所以呢
[01:57] 我就是非常認真的去搜集
[02:00] 這些聽眾給的意見
[02:01] 他們跟我講說
[02:02] 你可以去考慮一下
[02:03] 看看什麼臺北的歐洲學校
[02:05] 或者說美國學校
[02:06] 因為我們林口也有美國學校
[02:07] 那他說他們對教育的方面呢
[02:10] 我覺得是比較開放的
[02:11] 也就是說他們不會是說
[02:13] 大家都是一定要走某一個路線
[02:14] 然後一直去壓你
[02:15] 那再來呢
[02:16] 又有人跟我講說
[02:17] 我們自己選的這個學校
[02:18] 又有分什麼國內班跟國際班
[02:21] 如果是選國際班的話
[02:22] 就不會這麼誇張
[02:23] 所以國內班呢
[02:24] 就這個學校也很清楚
[02:25] 因為你要在國內
[02:26] 國內要跟人家競爭
[02:27] 你就要瘋狂地念書
[02:28] 你就要瘋狂地寫作業
[02:29] 這樣說也沒錯
[02:30] 所以對
[02:31] 就是各自選擇自己的一個路線
[02:33] 非常感謝這麼多聽眾給我各種
[02:36] 真的是有些我沒有想過
[02:37] 像什麼森林小學之類的
[02:38] 這我還真的沒有想過
[02:39] 就是我並沒有希望說
[02:40] 我的兒子要跟什麼貓狗一樣
[02:42] 在樹上長大之類的
[02:43] 不用到那樣的一個程度
[02:44] 就只是希望說
[02:46] 他在未來的選擇上面
[02:48] 有更多的路線
[02:49] 其實這跟我們在生命中去打拼
[02:52] 我覺得是差不多的意思
[02:53] 很多人會以為說
[02:54] 你今天可能賺到錢之後
[02:56] 然後你就是會往某個方向去
[02:58] 你就一定會做什麼事情
[02:59] 像很多人去遐想幻想
[03:01] 什麼有錢人他們一定怎麼樣
[03:03] 有錢人一定開Toyota
[03:04] 什麼有錢人一定開Mercedes
[03:07] 還是說什麼最高階的
[03:08] 什麼小還是Ferrari
[03:09] 沒有不一定
[03:10] 有錢人就是他想幹嘛就幹嘛
[03:12] 有錢的意思不是代表說
[03:13] 你要跟別人穿制服
[03:15] 如果說你還是要跟別人一樣穿制服的話
[03:17] 代表你可能還不夠有錢
[03:19] 這是我自己的見解
[03:20] 因為我看到一些真的超有錢的
[03:22] 怎麼講
[03:23] 它是一個階段
[03:23] 就是從可能你一開始
[03:25] 是什麼三級貧富
[03:25] 然後慢慢往上爬
[03:26] 那你會先試著
[03:28] 就有點像fake it till you make it吧
[03:29] 你看到有些人開始會戴一些
[03:31] 厲害的手錶啊
[03:32] 會去吃一些厲害的板錢
[03:34] 或者說
[03:34] 他們的車子一定要買到什麼水種
[03:36] 你就會先學嘛
[03:37] 那學到後來你就會發現說
[03:39] 我覺得就真的還有在進階的
[03:41] 會認為反正
[03:42] 生活的重點在於彈性啊
[03:44] 就是你賺錢的目的
[03:46] 就是為了說你有更多的選擇
[03:47] 所以老子今天要吃一餐三萬塊的
