[00:00] 歡迎收聽谷愛,我是聖木公,本期節目由擅存益生菌贊助
[00:03] 三餐常常外食,吃飯配工作會擔心消化道機能嗎?
[00:07] 益生菌白白種,常常不知道怎麼選哪一款益生菌最有效嗎?
[00:11] 擅存三效順暢益生菌,新增鳳梨酵素,順暢消化好體質,一包三效
[00:15] 擅存70年專業品牌這款三效順暢益生菌
[00:19] 雙專利益生菌搭配鳳梨酵素,幫你養出消化道好環境
[00:23] 雙專利益生菌讓你代謝順暢
[00:25] 大大幹淨
[00:25] 維持健康
[00:26] 人自然年輕
[00:27] 還有新增鳳梨酵素
[00:28] 加速分解蛋白質
[00:30] 消化更有感
[00:30] 有效才敢推薦給你
[00:32] 那另外擅存還有書棉益生菌
[00:34] 食品及植萃成分
[00:35] 擁有五大晚安因子
[00:36] 專利新增書棉番紅花
[00:38] 多國專利益生菌
[00:39] 嘎巴 芝麻素 色胺酸等
[00:41] 可以幫助放鬆好入睡
[00:43] 讓你天天吃好安心
[00:44] 想睡就睡
[00:45] 睡醒精神好
[00:46] 好菌天天吃
[00:47] 養成好體質
[00:47] 天天精神好
[00:48] 投資財富靠自己
[00:50] 投資健康就讓上存來幫你
[00:51] 青春什麼龍馬順
[00:53] 益生菌限定優惠
[00:54] 即時起到2月28指
[00:56] 上MOMO購買上存挺力
[00:58] 克補保健產品滿2499
[00:59] 就送三效順暢益生菌粉末顆粒40包一盒
[01:03] 好吃又有效
[01:04] 益生菌滿額免費送給你
[01:05] 那需要的朋友可以在我們資訊欄這邊
[01:07] 找到更多的說明與連結
[01:08] 好那在回國之際又有一些drama的產生
[01:11] 那好在最後面是沒有發生什麼事情
[01:13] 那我久違的許願
[01:14] 因為其實我已經很久很久沒有許願了
[01:16] 我真的是不太記得說什麼許願
[01:18] 因為基本上
[01:19] 我覺得老天對我還蠻不錯的
[01:20] 就像我跟大家分享
[01:21] 我最早就覺得說
[01:22] 在股票裡面一年有40萬就很好了
[01:24] 那只是很快就去超越這個數字
[01:26] 已經超越好幾年了
[01:27] 然後到現在回頭
[01:28] 我看到覺得說非常的不可思議
[01:30] 然後外加說
[01:30] 有老婆有小孩
[01:32] 所以覺得說一切都還蠻圓滿的
[01:33] 然後外加之前跟大家分享
[01:35] 其實我覺得許願這種東西
[01:36] 某個程度上
[01:37] 就是一定是有一種
[01:38] 那種等價交換的感覺
[01:39] 就是你要去許一些願望
[01:41] 然後這些願望如果說
[01:42] 他匹配得到你的話
[01:43] 你當然是不用許了嘛
[01:45] 如果是匹配不到的
[01:46] 然後特地要
[01:46] 這種愚尊降貴到你身上
[01:48] 那你勢必要去交出一些
[01:50] 不知道貢品之類的
[01:51] 或是一些東西要交換出去
[01:52] 所以其實我是蠻信
[01:54] 這一套思維框架的
[01:56] 所以就不太敢亂許願
[01:57] 那發生在兒子上的事情
[01:59] 我就非常敢許願
[02:00] 所以那時候兒子又生病
[02:01] 所以我就
[02:02] 在心中就許了一個願望
[02:04] 就是說如果他可以好起來的話
[02:06] 我就捐200萬出去
[02:07] 那目前是捐的
[02:08] 這個羅馬治療他的醫院
[02:10] 20萬
[02:11] 然後也捐了臺大的兒童醫院20萬
[02:13] 只是臺大兒童醫院
[02:14] 不讓我一次20萬信用卡
[02:16] 他只能夠2萬2萬
[02:17] 然後按10個月去扣
[02:18] 然後再額外挑一些機構
[02:20] 反正就是要把它湊200萬出去
[02:21] 非常感謝這是願望的一個達成
[02:24] 那總之呢
[02:24] 就是在回國的前幾天
[02:26] 小朋友又再一次的發燒
[02:28] 那他發燒
[02:29] 其實我們是比較警戒一點
[02:30] 我講的是二兒子其安
[02:31] 因為諾亞的話
[02:32] 就是一個健康的寶貝
[02:33] 諾亞他如果今天掉到地上
[02:35] 我是擔心地板會破掉
[02:36] 不是說他的頭會怎麼樣
[02:37] 因為諾亞就是
[02:38] 反正從以前到現在
[02:39] 都是給你一種那種無敵的存在
[02:41] 非常快樂的一個小朋友
[02:42] 那其安呢
[02:43] 就是相對的比較多一些災難
[02:46] 比較多艱勞
[02:47] 那這次又生病
[02:48] 而且就是一次發燒燒了好幾天
[02:50] 那當然就是在過往的一個訓練之下
[02:52] 我們知道說這個小朋友
[02:53] 他只有一個腎
[02:54] 他有那個泌尿道的問題
[02:55] 可能要稍微注意一下
[02:56] 所以呢我們就擔心說會有感染嘛
[02:58] 那趕快去聞尿布
[02:59] 可是羅馬的尿布呢
[03:00] 很奇怪
[03:00] 他們那個聞不太到味道
[03:02] 因為我覺得有一種特別的味道
[03:03] 剛好把那些尿味給蓋掉
[03:04] 可能是故意的設計之類的
[03:06] 那所以就變成說
[03:07] 我們不到嘛
[03:08] 那我們就只好去找
[03:09] 旁邊的診所
[03:09] 因為他有去賣一些那種
[03:11] 反正就像是試劑的東西
[03:12] 但你不是自己去做
[03:13] 這個檢測
[03:15] 你只是把他尿踩起來之後
[03:16] 然後交回去給這個診所
[03:18] 然後他就會幫你去做送驗
[03:20] 那送第一次沒有問題
[03:21] 可是後來他連續燒了一兩天
[03:22] 持續的復洩
[03:23] 我們再送第二次
[03:24] 然後就
[03:24] BBQ出事情了
[03:26] 直接是迅速爆表
[03:27] 那於是我們就要立刻找醫院
[03:29] 那在羅馬這邊找醫院的話
[03:30] 我自己的想法是這樣
[03:31] 反正就是往私立醫院去跑
[03:33] 因為其實跟臺灣有蠻大的差距
[03:35] 我發現說可能歐洲美國
[03:36] 都是類似的一個狀況
[03:38] 反正是那種公立的地方
[03:39] 就是會比較擠一點
[03:41] 因為他可能是國家要補助
[03:42] 有補貼比較便宜
[03:43] 所以就是會比較擠
[03:45] 醫療品質也不敢說不好
[03:46] 因為反正都是合格的醫生
[03:47] 只是說因為人多
[03:48] 所以他搞不好
[03:49] 不一定可以花很多時間在你身上
[03:51] 像我太太她在西班牙的話
[03:52] 他們就是有跟隔壁的醫院
[03:54] 去買她的保險
[03:55] 所以變成說你生病
[03:56] 你就送那個私立醫院
[03:57] 那他們的私立醫院
[03:58] 跟我們的私立醫院
[03:58] 就有蠻大的差別
[03:59] 我們的私立醫院
[04:00] 基本上跟公立醫院
[04:01] 還是差不多
[04:01] 反正醫療是拿健保
[04:03] 可是在他們那邊
[04:04] 私立醫院
[04:05] 反正你如果沒有
[04:06] 自己要額外去做自費的話
[04:07] 很多你就是沒有辦法進去
[04:09] 你進去的話
[04:10] 你相對就不用排隊
[04:11] 你可能可以獲得一個
[04:12] 比較好的照護
[04:13] 所以比較好的照護
[04:14] 不是說那種醫術
[04:15] 一定比較高
[04:15] 就是說人比較少
[04:16] 當然他可以
[04:17] 放在你身上的注意力
[04:19] 就是稍微再多一點
[04:20] 去找了私立醫院
[04:21] 結果就很遺憾的發現
[04:22] 他們講說
[04:23] 他只有一個腎
[04:24] 然後外加他是外國人
[04:26] 然後可能過去有一些病史
[04:28] 所以他覺得他可能沒有辦法
[04:29] 給這麼好的一個醫療
[04:31] 反正就給我們一個軟釘子
[04:32] 然後建議我們去找當地的公立醫院
[04:34] Bambino Jesu
[04:35] 那這間Bambino Jesu
[04:37] 耶穌聖靈醫院
[04:38] 算是一個蠻特別的存在
[04:40] 當地人把它稱為是
[04:41] 就是小朋友的守護神
[04:42] 那我覺得這個醫院很屌的地方
[04:44] 是在於說它是免費的
[04:46] 非常誇張
[04:46] 它是免費的
[04:47] 那我聽到是免費的
[04:48] 當然如果今天是我什麼
[04:49] 高中大學階段聽到是免費的
[04:51] 一定覺得說贊
[04:52] 好棒
[04:52] 可是我現在聽到是免費
[04:53] 我心裡就知道說完蛋了
[04:54] 一定排隊排到爆炸
[04:56] 那果不其然
[04:57] 這個醫院
[04:57] 你要進去看到診的話
[04:59] 如果你不是那種超級嚴重的急診病患
[05:02] 大概就是五到七個小時起跳
[05:04] 甚至是像那時候
[05:05] 我的孩子送醫的時候
[05:06] 我們只要在外面等
[05:08] 就是說你沒有辦法進到醫院裡面
[05:09] 你要在外面等
[05:10] 因為裡面全部都是人
[05:11] 所以其實覺得非常的煎熬
[05:13] 就寧願要花錢
[05:14] 只是說花錢的地方不收你
[05:16] 就只好去這種免費的醫院
[05:17] 那當然這個免費的醫院品質是非常好
[05:19] 其實我後來回來跟朋友有討論一下
[05:22] 就是第一代的KOL
[05:23] 他就是第一代的Influencer
[05:25] 只是他這個Influencer
[05:26] 是已經高到一個層級
[05:27] 他就變神
[05:28] 也就是說Influencer
[05:29] 如果今天強到一個階段
[05:30] 你可能就變成是神
[05:31] 那神之下的話
[05:32] 我們認為說
[05:33] 可能Michael Jackson
[05:34] 有這樣的一個能力
[05:35] 就是你到底要用什麼樣的名號
[05:36] 你才可以匯聚一群醫師
[05:38] 來這邊
[05:39] 可能薪水也不是拿的特別高
[05:40] 在那邊奉獻
[05:41] 然後看他媽一堆病人
[05:43] 那你是怎麼樣
[05:43] 才可以讓這個醫院
[05:44] 有無數的信眾
[05:46] 願意捐錢進來
[05:48] 然後讓他可以去維持
[05:49] 免費醫療的一個狀態
[05:52] 耶穌有這個號召力
[05:53] 我真的仔細想是這樣子
[05:54] 那可能第二名就麥可傑克森
[05:56] 有機會他如果要搞一個紀念醫院的話
[05:58] 可能真的有人會去捐錢
[05:59] 或是有醫生就是第一志願要跑去那個地方
[06:02] 不然你孰難想像就會靠北
[06:03] 這樣的事情怎麼會發生
[06:05] 那後來才知道像我老婆的爸爸
[06:08] 就他的生父現在是沒有聯絡
[06:10] 那這個生父後來跟另外一個女生有了一個孩子
[06:13] 然後那個孩子得了癌症在莫多瓦
[06:15] 那莫多瓦的醫療沒有辦法照顧他
[06:17] 怎麼辦呢他們也是帶來這個板冰用血素
[06:19] 然後是免費幫他把癌症治好超誇張
[06:21] 而且是連那種可能家屬的住宿
[06:24] 他都會幫忙你去做協調
[06:26] 有些就可能去讓你住
[06:27] 他們有聯名的一些地方
[06:30] 當然可能品質不一定到特別好
[06:31] 可是就是免費可以住
[06:32] 那有些人可能就是幫你安排說
[06:34] 讓你可以住男
[06:35] 只要付一定程度的錢就好
[06:37] 所以就是
[06:37] 這真的是在做善事超誇張的
[06:40] 那我的孩子進去
[06:41] 因為我們有拿到尿檢的一個證明
[06:43] 就是說他的菌數是過高
[06:45] 所以就是獲得了減傷排行第三名
[06:48] 我也不知道那個排行是怎麼樣算
[06:50] 反正就給我們三的一個指示
[06:53] 那在那邊大概等了一兩個小時左右
[06:55] 就看到
[06:55] 後來做了所有檢測之後呢
[06:57] 就是沒有事情就回家
[06:58] 那只是我老婆還是非常擔心
[07:00] 她覺得說
[07:00] 會不會是這個板壁
[07:01] 都結束的檢驗的品質不夠好
[07:04] 因為回來之後
[07:04] 那個診所就在那邊靠背
[07:05] 講說我們這個都不會錯
[07:07] 絕對不會錯
[07:08] 所以一定是醫院那邊
[07:09] 可能因為太忙了
[07:10] 所以他沒有幫你做全部的專案
[07:12] 所以就想說
[07:12] 我們真的是每天都聽到這樣子
[07:15] 超級多的指示
[07:16] 那家長本來心裡就很煩的
[07:18] 然後你們媽的叫我去醫院
[07:19] 我去醫院回來
[07:20] 你又說醫院的不準
[07:21] 那我到底要相信誰
[07:22] 就已經變成
[07:23] 很煎熬的一個狀態
[07:24] 然後後來
[07:25] 還有就是
[07:26] 又是我們的地方聽眾
[07:27] 那一層
[07:28] 他真的是我們的守護神
[07:29] 他要再救我一次
[07:30] 那跟我講
[07:31] 因為他本身是
[07:32] 小額醫學專業
[07:33] 反正就是把那些報告
[07:34] 都給他看一下
[07:35] 他就跟我講說
[07:36] 其實你們可能
[07:36] 努力錯方向
[07:37] 我覺得你不要太擔心
[07:38] 這個應該不是腎
[07:39] 這可能是腸胃相關的
[07:41] 那後來
[07:41] 因為剛剛我們就要回國了
[07:42] 所以其實非常擔心說
[07:44] 在飛機上面
[07:44] 假設有燒會怎麼樣
[07:45] 還有他是已經提早就退燒了
[07:47] 退燒兩天之後上飛機
[07:48] 那回到臺灣立刻就送臺大的急診
[07:50] 那看了一下發現說
[07:52] 確實不是這個泌尿道跟腎臟相關的問題
[07:54] 比較偏向是腸胃型的感冒之類的
[07:57] 然後其實已經在一個康復的階段
[07:59] 那在早上抽血的時候
[08:00] 這個孩子真的很常嚇我們
[08:02] 那早上抽的時候是說
[08:03] 白血球數量過低
[08:05] 那醫生一樣講說
[08:06] 這個數量如果說低成這樣子的話
[08:07] 他有機會要住院
[08:09] 所以當下我心又一沉
[08:10] 真的這個小朋友整天都讓我心沉下去
[08:12] 所以很多時候我都跟大家講說
[08:13] 如果我第一胎是安哥
[08:14] 我應該不會有第二個小孩
[08:15] 老實講真的不會有第二個小孩
[08:17] 因為太多狀況了
[08:19] 你會怕啦
[08:20] 你是真的會害怕
[08:21] 那後來就還好
[08:23] 然後在下午因為打了點滴
[08:25] 稍微休養一下
[08:26] 意思說我們要再更確保
[08:27] 我們就再做一次檢查
[08:29] 因為可能第一次抽血沒有這麼多
[08:31] 他一直動來動去
[08:32] 然後外加說他養得比較好一點
[08:33] 所以血管比較難找
[08:35] 比較肥
[08:35] 那所以第二次去做檢驗
[08:37] 這個抽血就抽得還蠻順利的
[08:40] 那一看就發現
[08:40] 所有的指標都是正常的
[08:42] 於是就立刻讓我們出院
[08:43] 那當下我真的就覺得說
[08:45] 非常感謝老天的保佑
[08:47] 也不知道是不是自己的祭品奏效了
[08:49] 那還是說呢
[08:50] 這個誠意感動天之類的
[08:51] 因為每次發生這樣的事情呢
[08:53] 其實我在心中許的願望
[08:54] 就是我所有的東西都可以給出去
[08:56] 你只要給這個小朋友健康就好
[08:57] 就是我每次我心中想的
[08:59] 都只有這一件事情
[08:59] 那所以非常的煎熬
[09:01] 但老實講就是我們安哥
[09:03] 雖然很多那種
[09:04] 很drama的事情跑出來
[09:05] 可是最後面真的都沒事
[09:07] 那我就更難去想象
[09:08] 或者說其實我現在可以共情
[09:10] 就是那一些
[09:10] 最後面就是有事的那些家長
[09:12] 或是有些可能會到我們的QA
[09:14] 希望去尋求一些
[09:16] 怎麼講
[09:17] 他也不一定是要你同情他或撒嬌
[09:19] 他只是他也沒有人可以說了
[09:20] 因為這種煎熬你要對誰說
[09:22] 你跟你的爸媽講
[09:23] 你爸媽可能擔心得要死
[09:25] 他們什麼也不能做
[09:26] 你也不想讓他的心情被毀滅掉
[09:27] 所以他只好跑來我們這邊去留言
[09:29] 就是那些聽眾
[09:30] 我都可以感受到他們
[09:31] 心中的那些痛苦跟煎熬
[09:34] 所以其實在這邊就順便
[09:36] 除了我自己的願望達成之外
[09:38] 我也會去幫各位的小朋友
[09:41] 我知道有些有遇到一些問題
[09:43] 那我們聽眾的小朋友
[09:44] 我都希望
[09:45] 我們沒有辦法
[09:45] 顧到全世界的小朋友
[09:47] 可是聽眾的小朋友
[09:48] 希望可以幫忙到
[09:49] 那希望說他們都可以身體健康
[09:51] 希望他們都可以
[09:52] 不管現在遇到什麼樣健康的問題
[09:54] 都可以把它處理掉
[09:55] 那你是不是會覺得說
[09:57] 就是小朋友的問題
[09:58] 後來會凌駕於所有的問題
[09:59] 我以前還會擔心一些
[10:00] 什麼工作啊
[10:01] 股票啊
[10:02] 那或者是什麼節目
[10:03] 有時候給人家嘴啊
[10:04] 或什麼
[10:04] 我現在都覺得說
[10:05] 不知道
[10:06] 我都覺得這些事情很好笑
[10:07] 就是說節目
[10:07] 現在有些人會嘴我要吵架
[10:09] 我會覺得就很好笑
[10:11] 就是這一點都不重要
[10:12] 就說奇怪
[10:12] 我的人生重點在我的孩子
[10:15] 你的人生重點在我身上
[10:16] 你整天要講我有的沒有的
[10:18] 就很可憐
[10:18] 真的超可憐
[10:19] 然後再來就是像工作
[10:20] 我覺得說其實怎麼講
[10:22] 你賺多賺少
[10:23] 發展的好發展的不好
[10:24] 那都是一個過程
[10:26] 可是孩子的成長只有一次
[10:28] 孩子的身體只有一個
[10:29] 所以你就完全會去篩選出
[10:32] 說哪個事情是比較重要
[10:33] 哪個事情是需要你放注意力在上面
[10:35] 那當然你注意力放得多
[10:36] 你相對的你也會煎熬
[10:38] 你會有新的一些煩惱
[10:39] 但往好處講就是說
[10:41] 有了孩子之後
[10:41] 我就再也不擔心
[10:42] 我的工作跟其他
[10:43] 有的沒有的事情
[10:44] 我覺得那也真的
[10:44] 沒有什麼大不了的
[10:45] 所以大概這樣
[10:46] 我簡單的心得
[10:47] 跟大家分享一下
[10:48] 其實我心中想的是
[10:49] 靠北
[10:50] 如果以後真的有人的
[10:51] 小孩子有什麼樣的問題
[10:53] 沒有救
[10:53] 或者說不知道
[10:54] 沒有預算
[10:54] 可以考慮一下
[10:55] 版面要結束
[10:56] 雖然版面要結束
[10:57] 離我們這邊真的太遠了
[10:58] 可是如果在附近的話
[10:59] 可以理解
[11:00] 就為什麼他們那邊
[11:00] 會有這麼多
[11:01] 國際化的病患
[11:03] 因為第一個免費
[11:04] 光是免費
[11:04] 就可以吸引超多人來
[11:05] 然後第二個就是
[11:06] 反正他們就會
[11:07] 全力的救你
[11:08] 所以你真的會覺得說
[11:09] 這種神靈的力量
[11:10] 非常的強大
[11:12] 他雖然
[11:13] 像我們很多人
[11:14] 以前不相信的
[11:15] 會去調侃
[11:15] 你又看不到他
[11:16] 你又不知道
[11:16] 人家敘述的是真是假
[11:18] 可是這就是實質的影響力
[11:19] 這個就是influence
[11:21] 點到最滿
[11:22] 就是人家可以為了他
[11:24] 然後去那邊工作
[11:25] 任勞任怨
[11:26] 或者說瘋狂的捐款
[11:28] 這個就是一個
[11:29] 非常偉大
[11:29] 非常屌炮的存在
[11:30] 所以我覺得
[11:31] 對於這種耶穌
[11:32] 或者是我們的什麼觀音
[11:33] 各種神明
[11:34] 我都是敬畏
[11:35] 我都覺得說
[11:36] 還要有你們在
[11:37] 那有些人呢
[11:38] 非常相信你們
[11:39] 他們去奉獻
[11:39] 這是一個很好的迴圈
[11:41] 所以稍微跟大家分享
[11:42] 自己這次的心得
[11:43] 那接下來我們就來進入市場的話題
[11:46] 那回來A君就馬上的振作了
[11:48] 他果然就是在國外說要放假
[11:50] 就不動就不動
[11:51] 然後這次呢我就問他說
[11:52] 要過年的
[11:52] 你怎麼樣打算
[11:53] 他就說滿倉過年
[11:55] 他直接過來滿倉過年
[11:56] 那我覺得蠻欣慰的
[11:57] 因為其實我們在節目裡面
[11:59] 已經講了好幾年
[12:00] 就是到底過年的部位該怎麼樣
[12:01] 我就跟大家講說
[12:02] 其實過年的部位
[12:03] 是不應該去做任何的調整
[12:04] 雖然有幾次過完年之後
[12:06] 也就BBQ
[12:06] 可是你拉長來看
[12:08] 持續的持倉
[12:09] 也不要講說什麼過年與否
[12:11] 就是你持續都是應該要在市場裡面
[12:13] 對你來說是會比較好的
[12:14] 所以不管是廉價放幾天
[12:17] 就理論上你都是要待在市場裡面
[12:19] 當然在一些條件之下
[12:20] 是可能會去做一些減碼跟調節
[12:22] 像我自己的話
[12:23] 就是在過年前
[12:24] 是有做減碼調節
[12:25] 為什麼
[12:25] 因為上次節目跟大家分享
[12:27] 在抄底
[12:28] 抄底的時候就把部位打到很多
[12:30] 然後回來又再繼續那邊點點點
[12:32] 所以在今天
[12:33] 也就是說最後的一個交易日的時候
[12:35] 那就會把槓桿的部位
[12:36] 都把它剪掉
[12:37] 就剩下線骨
[12:38] 就只留線骨去過年
[12:39] 所以這是我的一個規劃
[12:40] 那只是我蠻意外
[12:42] 就是說A君在
[12:43] 我沒有跟他耳提面面的狀況之下他就已經知道說部位就是要拿才會有錢所以這個是蠻有天分的一件事情那這一場上面有一些話題我們這邊就稍微簡單的跟大家討論一下
[12:55] 那第一個還是比較聚焦在記憶體方面
[12:57] 就是有人在傳說
[12:58] 可能美光與這一代的Rubin
[13:01] 驗證上可能有一些問題的出現
[13:04] 於是可能不會跟著VR一起出來
[13:06] 就是他有機會會
[13:08] 就在說在後面驗證過的時候才會起量
[13:11] 那當然一些供應鏈人士
[13:12] 也有提到這件事情
[13:13] 就是說可能在庫存方面
[13:14] 沒有看到美光的東西
[13:16] 那我們這邊就講一個
[13:17] 可能比較冷門
[13:19] 但自己身邊有一些朋友
[13:20] 在討論的說法
[13:21] 就其實現在有一些狀況
[13:23] 是海力士
[13:23] 而不是美光
[13:24] 就美光跟三星是OK的
[13:26] 那是海力士有一些狀況
[13:28] 可是我覺得無論如何
[13:29] 不管是A版本
[13:30] 就別人講的版本
[13:31] 說是美光問題
[13:32] 或是我們這邊知道的B版本
[13:33] 就其實是海力士有一些卡關
[13:35] 我覺得終究就是
[13:36] 反正它並不是一個
[13:37] 什麼太空科技的東西
[13:38] 就三家都會有它的份額
[13:40] 我們的認知還是這樣
[13:41] 三家都有它的份額
[13:42] 所以就只是看說
[13:43] 你要不要去交易
[13:44] 這種極短期的一些
[13:46] 那種情緒上的變化
[13:47] 假設有新聞跑出來
[13:48] 可能就跌個幾趴之類
[13:49] 可是我覺得也跌不遠
[13:50] 為什麼
[13:50] 因為其實現在在
[13:52] 記憶體的應用上面
[13:54] 你會發現說
[13:54] 應該說從幾個月前
