[00:00] 歡迎收聽谷外,我是星夢宮,本期節目由NordVPN贊助
[00:03] 最近準備要過年了,相信很多人都在規劃春節出國或是返鄉
[00:07] 回臺灣過年,機場,飯店,咖啡廳幾乎都擠滿人
[00:10] 這種時候很常會使用公共WiFi
[00:11] 不管是查資料,訂住宿,訂票,或是臨時要處理工作
[00:14] 但公共網路的安全性比較難掌握
[00:17] 這種時候我自己會開啟NordVPN
[00:18] 它會幫你加密網路連線,就算是在機場或是飯店用WiFi
[00:22] 登入賬號傳資料
[00:23] 或是使用各種網站都比較安心
[00:25] 而且連線速度穩定
[00:26] 實際下來不太影響到操作體驗
[00:28] 那另外春節是旅遊旺季
[00:30] 我自己在查住宿或是比價的時候
[00:31] 也會用NordVPN切換不同地區看看
[00:34] 有時候真的會看到不一樣的房價
[00:36] 操作非常的簡單
[00:37] 按一下就可以切換地區
[00:38] 對於過年這種訂房定型成密集的時候
[00:40] 蠻實用的
[00:41] 那像我之前在打手遊
[00:42] 有時候遇到像臺灣的海底電纜
[00:44] 如果比較慢的話
[00:45] 可以跨區到別的地方
[00:46] 這樣速度就會變快
[00:47] 所以也是有很多延伸的應用
[00:49] 那如果說女人在國外
[00:50] NordVPN也可以切換回臺灣的IP
[00:52] 連熟悉的網站
[00:53] 平常用的服務
[00:54] 使用上會順很多
[00:55] 不管是出國過年
[00:57] 或者返鄉途中
[00:58] 其實都很適合開著
[00:59] 現在只要透過資訊欄的專屬連結
[01:01] nordvpn.com
[01:02] slash goaie
[01:03] 或在結賬的時候輸入優惠碼
[01:05] goaie
[01:06] 就可以享有期間限定的優惠方案
[01:08] 購買兩年方案加送四個月
[01:09] 還有30天的退款保證
[01:11] 不滿意都可以隨時取消
[01:12] 完全零風險
[01:13] 春節出門在外
[01:15] 行程要順
[01:15] 網路也要用的安心
[01:16] 有需要的朋友
[01:16] 可以在資訊欄這邊
[01:17] 找到更多的說明與連結
[01:18] 感謝上天
[01:20] 最後面小孩是沒有什麼
[01:21] 身體上的狀況了
[01:23] 所以我們就按照原定計劃
[01:24] 還是帶他們出國
[01:25] 本來老婆跟我講說
[01:26] 就算可能小安哥
[01:27] 還是持續有發燒
[01:28] 或是有的沒有的
[01:29] 我們就自己去
[01:31] 就是我跟我大兒子去
[01:32] 因為我都已經跟我大兒子說
[01:34] 我要帶他去游泳
[01:35] 你突然間放鳥他
[01:36] 這樣他不是一個好的事情
[01:38] 我老婆是這樣講
[01:39] 可是我心中想的是
[01:40] 沒有辦法
[01:41] 就我覺得整個家庭
[01:42] 還是要同進同出
[01:43] 至少以現階段來說
[01:45] 不知道
[01:45] 我可能覺得小孩子
[01:46] 還很小很可愛
[01:47] 所以我覺得想要
[01:48] 多花一點時間陪他們
[01:49] 所以如果他今天生病的話
[01:50] 那就大家一起不要去
[01:52] 我覺得是OK的
[01:52] 搞不好他們國中之後
[01:53] 想法就會改變
[01:54] 我就覺得說
[01:55] OK你破病你在家
[01:56] 那我帶另外一個健康的出去
[01:57] 這個可能是OK的
[01:58] 那還很小的時候
[01:59] 就覺得沒有辦法
[02:00] 那最後面就非常感謝
[02:02] 老天的保佑
[02:02] 這個小朋友
[02:03] 是以健康的狀態出國
[02:05] 然後出國之後
[02:06] 不知道這個地方
[02:07] 是比較chill
[02:08] 氣候比較好
[02:09] 還是怎麼樣的
[02:10] 他們兩個感覺活動力都大幅的加倍
[02:12] 大的本來在歐洲
[02:13] 整天給我打Astrobar
[02:14] 打到他媽說
[02:15] 他會不會是電玩中毒
[02:16] 我說應該不是
[02:18] 應該是因為羅馬真的太無聊了
[02:19] 因為我的大兒子
[02:20] 他在臺灣他就不玩Astrobar
[02:22] 不然說我們中間回到臺灣的
[02:24] 那個短短几天
[02:25] 他連開啟PlayStation都沒有意願
[02:27] 他就整天在玩他自己的玩具
[02:29] 所以我覺得可能就是在
[02:30] 羅馬家那邊太無聊了
[02:32] 所以他就整天在那邊打電動
[02:34] 那回到家裡呢
[02:35] 他可能頂多就是看一下iPad之類的
[02:37] 可是到這邊呢
[02:38] 他就只有吃飯的時間
[02:39] 可能會要求要看一下iPad
[02:40] 其他時候他都是
[02:41] 整天在游泳池附近走來走去
[02:44] 或者說就在房間裡面衝來衝去
[02:46] 在VR裡面
[02:47] 看到什麼可以摸都摸一下
[02:48] 玩得非常高興
[02:49] 小的也很好笑
[02:50] 就是整天去拿水果
[02:52] 然後抓起來丟到地上
[02:53] 抓起來丟到地上
[02:54] 以前我會去阻止這樣的事情
[02:56] 只是現在我就覺得說
[02:57] 反正我會把它善後好就好
[02:58] 這個東西丟一丟壞掉就算了
[03:00] 因為我看了那個什麼
[03:01] Neo de Gris Tyson
[03:02] 他在一個訪問裡面所提到的
[03:04] 他說你看到你一個小孩
[03:06] 他抓蛋
[03:07] 然後接著丟到地上
