[00:00] 歡迎收聽谷海,我是星夢公
[00:01] 本期節目由Osen 8電極家用提紙劑贊助
[00:04] 你各位整天在算Kager,算複利
[00:07] 想著幾年後要財富自由
[00:08] 如果說沒有一個健康的身體
[00:10] 那些複利最後都是留給別人花的
[00:12] 很多人盤後覆盤做得比誰都還勤
[00:14] 但自己的體檢報告卻不敢看
[00:16] 這就是典型的逃避現實
[00:18] 這臺就是來幫你做身體的Due Diligence
[00:21] 一般的家用提紙劑只有腳下的四片電極
[00:24] 這臺配置了專業的伸縮式手把
[00:26] 透過八個電極片的測量
[00:28] 給你58項詳細資料
[00:30] 這就像是看延遲報價升級到專業的終端機
[00:33] 連你的骨骼肌肌肉量內臟脂肪
[00:36] 手圍腰圍都能夠追蹤
[00:38] 讓你看清楚身體的基本面是在成長
[00:40] 還是在假突破
[00:41] 機器支援24位使用者
[00:43] 還有貼心的報音模式
[00:44] 全家人甚至寵物都可以一起監控
[00:47] 以往這種專業級裝置動輒數千上萬元
[00:49] 現在諸位專屬的優惠免千元
[00:51] 不到一張的小朋友
[00:53] 這個價格比你隨便停損一單還便宜
[00:55] 而且還可以加購泡腳筒
[00:57] 運動後泡個腳
[00:58] 放鬆肌肉
[00:58] 新年新希望
[01:00] 不是隻是喊口號
[01:01] 與其對著脂肪凹單
[01:02] 不如現在就用科學資料
[01:04] 管好體態
[01:05] 現在就點選我們下方的資訊欄連結
[01:07] 使用FB或是LINE
[01:08] 登陸想專屬優惠
[01:09] 把這臺帶回家
[01:10] 好好最佳化你人生中
[01:11] 最重要的一筆長期投資
[01:13] 那我之前平常也會跑到健身房
[01:15] 去做這類的體脂監測
[01:16] 但這臺家放在家裡
[01:17] 它是一個簡易輕便又快速的選項
[01:20] 那如果需要朋友
[01:21] 可以在資訊欄這邊找到更多的說明與連結
[01:23] 終於回到臺灣了
[01:24] 我覺得其實在交通方面是最辛苦的
[01:27] 除了交通以外
[01:29] 所有的東西我都覺得是非常容易的事情
[01:31] 所以有在來如果可以發明任意門
[01:33] 或者說用火箭可以快速的旅遊
[01:35] 到某一個地方去的話
[01:36] 真的是再高的金額我都會付出去
