[00:00] 歡迎收聽谷外,我是孟公,本期節目由Dr.情趣贊助
[00:03] 在場有小孩的請跳過業配,人到走廊倒數3、2、1
[00:09] 我快笑死,這次Dr.情趣要業配的東西叫做特斯拉電動按摩棒
[00:14] 吃噠噠的詩,如果見到易龍馬斯克,我真的送他一隻
[00:17] 笑歸笑,我去查了一下,這隻完全沒有在鬧
[00:20] 論壇心得多到炸裂,看完我很羨慕生理女性
[00:24] 礙於尺度,細節我們不多說
[00:25] 根據公開的資料
[00:27] 特斯拉系列連續三年網評第一名
[00:30] 銷量更是在Shopee、Momo、PC Home全部霸榜
[00:33] 而且第二名是連車尾燈都看不到的那一種
[00:35] 目前推出了兩款
[00:37] 藉由傳奇大師加騰銀兼制
[00:39] 第一款是經典款特斯拉智慧加溫脈衝按摩棒
[00:43] 主打磁力脈衝加短伸插模式
[00:46] 內外雙動力溫柔又綿密
[00:48] 體貼型老公路線
[00:50] 第二款有點兇叫做特斯拉Model Socks
[00:53] 外部改成吸損機制
[00:55] 西田拍頂正一次全給
[00:57] 內部衝刺更火力全開
[00:59] 超不講武德的霸氣老公路線
[01:02] 要問樓選經典款
[01:03] 要翻白眼選西純版
[01:05] 你都大人了
[01:06] 那就別選擇
[01:07] 兩個老公直接帶回家
[01:08] 各位愛喊孟公老公的
[01:10] 對就是你
[01:10] 快去下架特斯拉
[01:11] 讓廠商出貨到懷疑人生
[01:13] 不然你喊的我都當空包蛋
[01:15] 新春開工
[01:16] 馬年績效想要大爆色
[01:18] 請謹記Happy wife happy life鐵綠
[01:20] 來當個好老公
[01:21] 特斯拉整組買回去
[01:23] 你就知道今年績效有多噴
[01:24] 特斯拉全系列由Dr.情趣獨家販售
[01:27] 相信可以在我們資訊欄
[01:29] 找到更多的說明與連結
[01:30] 輸入我們的程式碼
[01:31] GOOAYE520
[01:33] 直接85折老公帶回家
[01:35] 好那準備要開工大吉
[01:37] 希望大家在新的一年都非常的順利
[01:39] 那我自己應該是過了
[01:41] 我覺得從不知道高中大學畢業以來
[01:44] 第一次這麼chill的一個農曆新年
[01:47] 就過往的節目
[01:48] 大家應該都知道說
[01:48] 第一個我超級討厭放假
[01:50] 第二個我非常期待每天的開盤時刻
[01:52] 那所以每次只要放長假呢
[01:55] 應該大家都可以感受到
[01:56] 我的那一種不悅感
[01:57] 或是甚至有時候會稍微的抱怨一下
[01:59] 幹怎麼又放假
[02:00] 怎麼又颱風假
[02:01] 怎麼又吧吧吧吧吧
[02:02] 那後來呢
[02:04] 我是因為發現說去抱怨放假會被罵
[02:06] 因為絕大多數人是喜歡放假
[02:07] 因為絕大多數人呢
[02:08] 他們其實不是很想要上班
[02:10] 跟我們這種很喜歡上班的人其實相反
[02:12] 那所以呢
[02:13] 後來就從善如流啦
[02:14] 就不會這麼常去批評
[02:16] 可是其實我心中都還是覺得說
[02:17] 一直放假是很不好的事情
[02:19] 那這一次不知道是怎麼樣
[02:21] 就是整個那個身體的構造
[02:22] 可能發生了一些劇烈的變化
[02:24] 或是什麼
[02:25] 可能不知道
[02:25] 小朋友我覺得可能也長大了
[02:27] 因為三四歲之後
[02:28] 他可以自理了
[02:29] 他不會像過去亂鬧脾氣
[02:31] 所以陪他玩是很開心的一件事情
[02:33] 就過去陪他玩也是很開心
[02:35] 只是就是你會累
[02:36] 你還是會希望說要上學
[02:37] 可以把他送出去幾個小時
[02:39] 讓你喘一下
[02:39] 現在基本上是可以
[02:41] 整天跟他待在一起
[02:42] 所以我覺得可能是種種的理由
[02:44] 搭配可能不知道
[02:45] 老天給我某一種宇宙訊號
[02:47] 然後跟我講說
[02:48] 其實你要稍微chill一下
[02:49] 所以這次的部位調節之後
[02:52] 在新年是過得非常的開心
[02:54] 雖然嚴格上來說
[02:55] 這個部位應該是要留
[02:57] 像本來過年前那樣子的
[02:59] 大量的倉位跟槓桿
[03:01] 因為看起來
[03:01] 新年的這段期間
[03:03] 其實盤制還OK的
[03:05] 除了美股
[03:06] 美股真的是還蠻爛的
[03:07] 再來其實我們都知道說
[03:08] 統計上就是要留部位
[03:10] 過去我是把自己
[03:11] 放在比較高壓的環境之下
[03:13] 然後這一次
[03:13] 可能就是靈機一動
[03:15] 就選擇要把這個部位降低
[03:16] 但也意外的發現
[03:18] 人生的美好
[03:19] 重新的回到那一種
[03:20] 高中大學以後
[03:21] 就再也沒有感覺到
[03:22] 就是那種可能放暑假
[03:24] 或者放寒假的
[03:24] 一種很chill
[03:25] 很舒服的一個氛圍
[03:27] 那其實我也不知道
[03:28] 為什麼自己會有
[03:29] 這樣子一個自我要求
[03:30] 就是不管是放假
[03:31] 或者怎麼樣
[03:32] 都是全年無休
[03:33] 那我知道有一些聽眾
[03:36] 因為我是聽
[03:36] 我的深展室友跟我講說
[03:38] 他看到在Fresh上面
[03:40] 有人講說
[03:41] 我是什麼全年無休在更新
[03:42] 好像說這件事情
[03:43] 是還蠻屌的
[03:44] 可是對我來講
[03:44] 全年無休去更新這個節目
[03:46] 其實超簡單的一件事情
[03:47] 這個根本不是什麼
[03:48] 很難的事情
[03:49] 那其實全年無休
[03:51] 去搞股票
[03:51] 晚上睡覺
[03:52] 有時候兩三點跳起來
[03:53] 想要東西跑去查
[03:54] 那個才是真的是
[03:55] 對我來講
[03:56] 是比較辛苦的一個部分
[03:57] 那節目呢
[03:58] 只能夠說是一種副產品
[04:00] 就是因為自己瘋狂的
[04:01] 在做這件事情
[04:02] 所以對我來講
[04:03] 要在節目分享
[04:04] 是很輕鬆的事情
[04:05] 所以我都不覺得說什麼
[04:06] 節目要持續錄製
[04:07] 很痛苦啊
[04:08] 怎麼要有時間啊
[04:10] 要去寫指令碼
[04:10] 我們都沒有這樣子的東西
[04:12] 那可能是因為
[04:12] 就是說
[04:13] 有一喜就有一憂啦
[04:15] 那喜的部分
[04:16] 就是說節目變得很簡單嘛
[04:18] 那憂的部分就是
[04:19] 因為你每天工作的壓力
[04:20] 可能是稍微大一點
[04:22] 但這次真的是有感的釋放
[04:23] 那我真的是過了一個
[04:24] 我覺得啦
[04:25] 就是假設用我自己
[04:26] 把那個標準來說的話
[04:27] 是屬於很廢的一個假期啊
[04:30] 就是除了在放假之外
[04:31] 就整天在打電動
[04:31] 我玩了一大堆線上遊戲
[04:33] 那昨天還在那邊趕末班車
[04:35] 去搞那個暗黑破壞神2
[04:37] 因為ManiGo
[04:37] 我想說暗黑破壞神2
[04:38] 有新的職業
[04:39] 速逝出來
[04:40] 所以趕快去把它找來玩
[04:42] 那前面幾天呢
[04:43] 就是各式各樣的手遊
[04:44] 跟以前復古的遊戲
[04:46] 像RO的全系列
[04:47] 我全部都把它尻下來玩
[04:48] 在羅馬的時候
[04:49] 就開始在玩RO的一些
[04:50] 新出的版本
[04:52] 然後現在是回去玩
[04:53] 那種RO的原始服
[04:54] 都玩得非常的開心
[04:56] 同時也發現說
[04:57] 長大真的是還蠻美好的
[04:59] 因為大人的世界
[05:00] 就是可以用心抬臂
[05:01] 大人的世界
[05:02] 就是有資本的力量
[05:03] 以前小時候練功練得半死
[05:05] 然後現在可能就是花錢
[05:06] 去買別人幫你練功
[05:07] 或者花錢直接去買人家
[05:08] 幫你弄好的裝備
[05:09] ZM充可能你
[05:11] 嚴格上來講
[05:12] 就是如果說
[05:12] 用機率套的話
[05:14] 你一個裝備充好
[05:15] 你搞不好也是要
[05:16] 可能到一兩萬塊之類的
[05:17] 可是你找人家買
[05:19] 5000塊 6000塊就可以買到
