[00:00] 歡迎收聽古玩,我是孟公
[00:01] 本集節目由黑家家圍棋HJJGO贊助
[00:04] 不管做交易還是做生意
[00:06] 核心邏輯都一樣
[00:06] 在充滿不確定性的環境下
[00:08] 要做出希望值最好的決策
[00:10] 今天要推的我覺得是一個
[00:11] 對於做決策很好的大腦訓練工具
[00:13] 就是把玩學融為一體的圍棋
[00:15] 跟一般的現場課程
[00:16] 只是單純看影片不太一樣
[00:18] HJJGO是真正在意學習者有沒有在進步
[00:20] 買了課程之後
[00:21] 你可以擁有一個完整的學習APP
[00:23] 包含課程、練習、AI測驗
[00:25] HGGGO最強的是已經訓練了10年的
[00:27] Goal AI培練系統
[00:29] 就像是我們的交易回測系統一樣
[00:30] 下完每盤棋都會直接畫出勝率變化圖給你看
[00:33] 告訴你是哪一步做對了
[00:34] 哪一步導致崩盤
[00:35] 讓你透過覆盤去看見你的盲點
[00:37] 修正邏輯
[00:38] 等於人人都可以有自己的左圍
[00:40] 在APP上有上千只角色
[00:42] 無論你的棋藝是在哪一個水平
[00:44] Goal AI都可以有效做到降維
[00:46] 讓你隨時隨地和恰恰好的對手下棋
[00:48] 進入心流練習
[00:49] 讓每一個近藤光都能夠找到他的他始量
[00:52] 除了自己玩
[00:53] 家裡有半壽人階段的小朋友
[00:55] 更適合一起同樂
[00:56] 用圍棋建立共同的回憶
[00:57] 無論是諾亞還是安哥
[00:58] 都希望他們以後也可以透過圍棋學會輸得起
[01:01] 下圍棋一定會有輸的經驗
[01:03] 但強者的重點永遠是專注在下一盤要怎麼下得更好
[01:06] 像是在股市交易一樣
[01:07] 錯了括號單
[01:08] 專心看下一次怎麼贏才是重點
[01:10] 從小訓練這種抗壓性
[01:11] 比學什麼才藝都還要來得實際
[01:13] 投資腦袋絕對是最值得的價值投資
[01:16] 黑家家圍棋HJJ GO
[01:17] 將在2026年陸續升級
[01:19] 並階段調漲課程價格
[01:21] 3月3號前
[01:22] GO課想全站課程包折優惠
[01:24] 現在買的人以後可以免費升級
[01:26] 等於說你現在先卡位在低基期之後
[01:28] 直接享受增值
[01:30] 有興趣的朋友
[01:30] 在結賬的時候
[01:31] 輸入古埃專屬的折扣碼
[01:32] GOOAYEGO500
[01:35] 除了全站折扣之外
[01:36] 指定課程再折500元
[01:38] 折扣碼一個月內有效
[01:40] 連線在我們的資訊欄
[01:40] 推薦給我們所有需要的朋友們
[01:42] 今天早上在跟Telegram聽眾聊天的時候
[01:44] 就非常有感的感受到
[01:46] 時間真的流失了極快
[01:48] 特別是早上在看半島新聞臺
[01:50] 在討論烏魯戰爭的一個專題報道的時候
[01:52] 提到說這個戰爭已經五年
[01:54] 我想說沙嘯五年
[01:55] 感覺只是昨天的事情
[01:56] 然後竟然已經打了五年了
[01:58] 同時再回頭看一下肺炎
[02:00] 其實肺炎已經是六七年的事情了
[02:02] 仔細想想真的覺得不可思議
[02:03] 時間過超快
[02:04] 我們的聽眾其實也是經歷過了一番
[02:07] 怎麼講就是說那種重整
[02:09] 有些被淘汰
[02:10] 有些新加入
[02:11] 但新加入的人其實不多
[02:12] 所以就像是那些群友所提到的
[02:14] 其實新加入的一些股民
[02:17] 他們可能比較多會在FRED
[02:18] 或是其他新的股市的KOL
[02:20] 下面去做討論
[02:21] 雖然可能很多人都在感覺
[02:23] 你們很年輕
[02:24] 但是其實你們跟我都已經一起
[02:26] 在這個地方待了五六年左右
[02:28] 所以其實我們已經某個程度上
[02:29] 變成是類似那種中年大叔的感覺
[02:32] 所以新一輩的那種少年股神
[02:33] 其實不一定會是我們股來的聽眾
[02:35] 但有些有
[02:36] 只是蠻多
[02:37] 可能他們都已經選擇去一些新的平臺
[02:39] 所以才會導致有些聽眾在Telegram裡面講說
