[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由NordVPN贊助
[00:03] 廉價剛回來,我身邊已經有不少朋友開始規劃下次的旅行
[00:07] 像是去日本看WBC賽事,賞鷹,或者是規劃清明廉價
[00:11] 提早查機票,看住宿,往往會比較有彈性
[00:14] 在規劃行程的時候,常常會在家裡,咖啡廳或是外出時
[00:17] 使用各種網路環境去查資料定行程
[00:19] 但是公共網路其實在安全性上比較難掌握
[00:22] 這個時候使用NordVPN可以幫你加密網路連線
[00:26] 就算是在公共WiFi的環境下
[00:28] 去查住宿機票
[00:29] 或是登入賬號去處理付款
[00:31] 也能夠多一層的保障
[00:32] 同時連線速度穩定
[00:34] 不太會影響實際操作的體驗
[00:36] 那另外透過NordVPN切換不同地區來比價
[00:39] 也是不少人在規劃旅遊會使用的一種方式
[00:42] 在查詢住宿或是機票的時候
[00:43] 不同地區顯示的價格
[00:45] 有時候會有所差異
[00:46] 對於想要控制預算
[00:47] 提早規劃行程的人來說
[00:49] 是相當的實用
[00:50] 操作也很簡單
[00:51] 只要一鍵就可以完成切換
[00:52] 如果之後人已經在國外
[00:54] NordVPN也可以切換回臺灣的IP
[00:56] 連線熟悉的網站
[00:58] 或是常用的服務
[00:59] 使用上會更加的順暢
[01:00] 那我自己還發現一個
[01:01] 額外好用的用法
[01:02] 就是當海底電纜
[01:03] 有時候又出問題的時候
[01:04] 一些手遊會有lag的情形
[01:06] 那這時候透過NordVPN
[01:07] 也可以解決lag的問題
[01:08] 而且現在NordVPN
[01:10] 不只是支援手機平板跟電腦
[01:12] 也支援Smart TV和Apple Vision Pro
[01:14] 一個賬號最多
[01:15] 可以同時使用於10臺裝置
[01:17] 不論是在家或是外出
[01:18] 都可以靈活使用
[01:19] 那現在只要透過我們資訊欄的
[01:21] 專屬連線nordvpn.com
[01:22] 或在結賬的時候
[01:25] 輸入優惠碼
[01:25] 立即享有期間限定優惠
[01:28] 購買兩年方案
[01:29] 加送四個月
[01:30] 並提供30天的退款保證
[01:32] 不滿意都能夠隨時取消
[01:33] 零風險嘗試
[01:34] 這邊聽了所有需要的朋友們
[01:36] 這個禮拜我兒子被我太太懲罰
[01:38] 因為他對他的弟弟出言不遜
[01:41] 因為你知道
[01:41] 小嬰兒現在有時候
[01:43] 還是會無法控制的大苦
[01:45] 應該說救援哥哥
[01:46] 他自己偶爾還是會這樣子
[01:47] 但小嬰兒的話
[01:48] 因為那個好發的頻率
[01:50] 是比較高一點
[01:51] 那所以呢很多時候他情緒不對了
[01:53] 或者是說
[01:54] 可能有一些讓他不滿意的地方
[01:55] 因為小朋友不會講話
[01:57] 所以他只能夠用哭的
[01:58] 那他一哭呢
[01:59] 他哥哥就說怎麼那麼吵
[02:00] 就開始對他惡言相向
[02:02] 那之前都只是抱怨或是罵一下
[02:04] 可是在有一天
[02:05] 他可能是因為他在打那個寶可夢
[02:07] 然後壓力比較大一點
[02:08] 那所以呢他就直接講說
[02:09] 我希望弟弟去死掉
[02:10] 反正就講出了一些
[02:12] 比較難聽的話
[02:13] 那他媽媽聽到呢
[02:14] 就立刻把他的電動關掉
[02:15] 然後跟他說
[02:16] 從現在開始你不準打電動一個禮拜
[02:17] 那接著把他找到房間
[02:19] 跟他說為什麼他不可以
[02:20] 這樣跟弟弟說話
[02:21] 那他還是試著用很多方式
[02:22] 去解釋自己的行為
[02:23] 不然說弟弟真的太吵啊
[02:25] 影響到他或什麼的
[02:26] 那我覺得這點
[02:26] 我老婆蠻厲害的
[02:27] 她就是慢慢地跟他講說
[02:28] 為什麼你不可以這樣講話
[02:29] 那同時讓他將心比心
[02:31] 就是說如果今天
[02:31] 有一個陌生人進來
[02:32] 然後他覺得你太吵
[02:33] 他讓你去死掉的話
[02:34] 請問你會怎麼樣想
[02:35] 那所以這一點
[02:36] 我覺得跟以前
[02:37] 我們受到的教育
[02:38] 就不太一樣了
[02:38] 以前如果我們亂講話
[02:39] 是一巴掌直接過來
[02:40] 也不會跟你說為什麼
[02:41] 那很多時候呢
[02:42] 我們心中就會覺得委屈
[02:43] 或者說其實我們是錯的
[02:44] 但是因為腦袋沒有發育好
[02:46] 所以你也不太知道
[02:47] 為什麼自己是錯的
[02:48] 就需要有人跟你熏熏善誘
[02:50] 可是以前的長輩
[02:51] 可能沒有這樣子的耐心
[02:52] 那現在的長輩就比較有耐心
[02:53] 會好好地跟他講
[02:54] 那我自己是屬於那種
[02:55] 會比較心軟的型別
[02:57] 就我老婆剛剛講說一個禮拜
[02:58] 我心中就想說
[02:59] 一個禮拜也太久了吧
[03:00] 就我兒子真的是現代宅男
[03:02] 一個禮拜應該要說什麼
[03:03] 不準看iPad
[03:04] 不準看電視
[03:04] 不準打電動
[03:05] 我真的覺得這是一個很重的懲罰
[03:07] 所以我就跟我太太私下就想說
[03:09] 有沒有可能我把他變三天或五天就好
[03:11] 那我就立刻被白驗
[03:12] 然後他說小朋友一定要有紀律
[03:13] 你一定要去
[03:14] 幫他行訴一個正確的價值觀
[03:16] 所以我後來就尊重
[03:17] 那我覺得兒子也蠻屌的
[03:19] 他在這個禮拜
[03:20] 基本上就是乖乖的去服從他媽的指令
[03:22] 那他也沒有記仇
[03:24] 當今天可能有像
[03:25] 公公婆婆來找他玩的時候
[03:26] 然後就問他說
[03:27] 你怎麼這麼乖
[03:28] 怎麼你在吃飯的時候都不用看iPad
[03:30] 就以前可能吃飯的時候
[03:31] 讓他看個五分鐘十分鐘的Netflix之類的
[03:34] 那現在都沒有看
[03:34] 然後就會跟公公婆婆說
[03:35] 因為我現在是在被懲罰中
[03:37] 那我還有四天
[03:39] 就他自己會跟大家倒數
[03:40] 那同時呢
[03:41] 跟他媽媽也都是玩得很高興
[03:42] 所以我覺得像他這種個性
[03:44] 是還蠻難得的
[03:44] 就是比較樂天
[03:45] 比較不會記仇
[03:46] 那像自己的小兒子的話
[03:48] 就非常有感的
[03:49] 他是會記仇的
[03:49] 所以等他長大一點
[03:51] 也不知道會發展成
[03:51] 什麼樣的一個樣子
[03:53] 可能要用不一樣的方式
[03:54] 去對他施加教育
[03:55] 但大兒子的話
[03:57] 我覺得他的個性
[03:57] 是真的蠻不錯的
[03:58] 就是每次
[03:59] 就算他有一些這種
[04:00] 脾氣的爆發出來
[04:02] 可是隻要好好跟他講
[04:03] 他後面都可以理解
[04:03] 那接著呢
[04:04] 他也會自己去
[04:05] 加強自己的印象
[04:06] 不然說可能在洗澡的時候
[04:07] 跟你聊這件事情
[04:08] 他就說我下次不應該說什麼
[04:10] 就他會去反思
[04:11] 他自己做過的事情
[04:12] 以一個只有四歲的小朋友來說
[04:14] 我是覺得還蠻難得的
[04:15] 所以有時候就覺得說
[04:16] 他媽對他的懲罰會不會太重
[04:18] 可是這方面我看一下
[04:19] 我的小舅子跟小姨子
[04:20] 我覺得他們的教育
[04:21] 真的是非常好
[04:22] 因為不然說像我的兩個兒子
[04:24] 去義大利玩的時候
[04:25] 你知道我小舅子
[04:26] 他就是大概十三十歲
[04:27] 一個非常活潑好動
[04:29] 以及以下來說
[04:31] 就是很愛打電動的年紀
[04:32] 同時他們的attention span
[04:34] 理論上是比較短一點
[04:35] 因為下有很多的端音音
[04:36] 跟各式各樣的刺激
[04:37] 可是他厲害的點在於說
[04:39] 當我的兒子去搶他電動的時候
[04:41] 他就真的會讓他玩
[04:42] 然後就在旁邊看著他
[04:43] 我會說當他們在玩球的時候
[04:44] 即便他有電動要打
[04:46] 即便他有朋友call他
[04:47] 他也就是說沒有辦法
[04:48] 他現在要照顧小朋友
[04:49] 所以一個十幾歲的小朋友
[04:51] 我覺得說這個教得真好
[04:52] 所以當我老婆每次有一些
[04:54] 特別的方式
[04:56] 或是一些我沒有看過的東西
[04:58] 要教給我兒子的時候
[04:59] 我就不會去阻止
[05:01] 我就會去抱持一個尊重的心態
[05:03] 然後覺得說感恩上帝
[05:04] 有人幫你生小孩
[05:05] 還有人幫你教小孩
[05:06] 那這真的是一個非常好的事情
[05:08] 不然很多時候老婆講說
[05:10] 我會把小孩寵壞
[05:11] 那所以其實用我自己的一個實驗
[05:14] 就可以跟大家分享蠻多的心得
[05:16] 不然說像是我們小朋友
[05:18] 雖然是有給他打電動
[05:19] 看電視做什麼的
[05:20] 但他在控制上
[05:21] 其實都還是做得不錯
[05:22] 當然可能每個小朋友的特性
[05:23] 不一定一樣
[05:24] 那在吃東西方面
[05:25] 我們家小朋友
[05:26] 也是比較沒有在做管制
[05:28] 像我們搭飛機回臺灣的時候
[05:29] 我就看到兒子抓著洋芋片
[05:31] 在那邊屌吃一頓
[05:32] 然後桌上放可樂
[05:33] 我就問他媽說
[05:34] 你覺得這樣是對的嗎
[05:35] 就是我讓他吃沒錯
[05:37] 只是他真的可以這樣
[05:38] 無限量的吃嗎
[05:39] 然後老婆說
[05:40] 這哪有很多
[05:41] 你小時候吃的一定比這個多
[05:42] 而且現在是holiday
[05:43] 好像是vacation
[05:44] 所以他本來就是
[05:45] 可以做這樣的事情
[05:46] 平常在家的時候
[05:47] 他是沒有辦法這樣吃的
[05:48] 或者說
[05:49] 平常因為在學校
[05:50] 吃的相對健康
[05:51] 所以他認為是沒有問題
[05:52] 當然我覺得
[05:52] 我還是有一點點那一種
[05:54] 就想要管制的思維
[05:55] 當然有管制的思維
[05:56] 絕對是好的
[05:56] 只是比較太多
[05:57] 那我就是偶爾會想要去
[05:58] 幫忙踩個剎車
[05:59] 那感覺我老婆沒有在踩剎車
[06:01] 可實際上她還是有在看著
[06:03] 那關於這件事情
[06:04] 我就覺得蠻有趣的
[06:05] 其實後來也會發現說
[06:06] 像我們自己身邊
[06:07] 一些朋友圈子
[06:07] 本來可能小朋友
[06:08] 會一起出去遛
[06:09] 那後來也會開始分化
[06:10] 那這個分化沒有任何的惡意
[06:11] 就只是單純就在說
[06:12] 我的小孩子
[06:13] 是可以吃甜的東西
[06:14] 你的小孩子是不行的
[06:15] 那我們今天如果出去吃飯
[06:17] 我兒子在吃甜的東西
[06:18] 然後你兒子不能吃
[06:19] 你兒子在旁邊乾瞪眼
[06:20] 那這樣其實很尷尬
[06:21] 那所以後來我也發現說
[06:22] 就是跟我們相處的一些家長
[06:24] 其實大家的觀念是比較一致
[06:25] 就是說在有效的管理之下
[06:28] 他們是可以去做各式各樣的一個嘗試
[06:30] 那一天也去問我自己的媽媽
[06:33] 我就說那我小時候是怎麼樣被帶大的
[06:35] 我的印象中
[06:36] 就是我在小學的時候
[06:37] 因為可能幼稚園以前我也不記得
[06:39] 小學的時候
[06:40] 我們都可以拿什麼十塊五塊之類的
[06:42] 或是好幾個一塊存起來的
[06:44] 然後就到對面的雜貨店去買什麼
[06:46] 大豬公
[06:47] 可樂糖
[06:48] 或者是一塊錢的那種足球巧克力
[06:50] 那我就不記得我從小有被做任何的管制
[06:53] 那後來問我媽
[06:54] 我媽說真的不會管
[06:55] 她說我們家是沒有在管這個
[06:56] 你們要吃什麼
[06:57] 我就是買一堆
[06:57] 讓你吃吃到飽
[06:59] 她甚至是連像我太太
[07:01] 或是我這種
[07:01] 可能初步的節制
[07:03] 一天不要吃太多
[07:03] 她都沒有在叼
[07:04] 就讓你隨便亂吃
[07:05] 那你可以說她是不負責任
[07:06] 但她很有自信
[07:07] 她認為這個教育方式是正確的
[07:09] 那我就跟我媽分享說
