[00:00] 欢迎收听谷爱,我是圣梦宫
[00:01] 本期节目由ZZSlipper
[00:03] 富二度C良感忘忧诊赞助
[00:05] 嗨,大家这几天过得好吗?
[00:07] 大盘跌掉了几千点
[00:09] 内心凉凉,脑袋热到快烧坏
[00:11] 如果说你现在还在凉点去刷Discord
[00:13] 看一堆群组盯着夜盘心脏加速
[00:16] 结果隔天醒来脖子却卡住
[00:18] 肩膀硬得像钢铁
[00:19] 那你的睡眠基本面已经破产
[00:22] 要注意,看不懂盘最好的操作就是多睡觉
[00:24] 因为脑袋发烫做出来的决定跟自杀没有两样
[00:28] 一个顶尖的猎人
[00:29] 在猎物还没有出现之前
[00:30] 最重要的工作就是保存体力
[00:32] 跟保持冷静
[00:33] 那如果说现在焦虑到落枕
[00:35] 压力大到肩膀比钢铁还硬
[00:37] 换这颗ZZ Sleeper
[00:39] 富二度C两杆望幽枕
[00:40] 它是物理治疗师跟医师联手设计
[00:43] 专门用来救过热的脑袋
[00:45] 有三种高度跟特殊的双弧度切面
[00:47] 不管你仰睡想着你的TSM
[00:50] 还是侧睡在被子里面流泪
[00:51] 它都可以稳稳撑住你的颈椎
[00:53] 不让你的身体先破产
[00:55] 全新的WinCore量感纱内枕套
[00:58] 真的很强
[00:59] 头发上去瞬间冷静
[01:00] 让你的大脑从融资断头的边缘拉回来
[01:03] 不要在情绪高涨的时候随便做决定
[01:06] 先去睡个好觉
[01:07] 让这颗量感枕来帮助你物理降温
[01:10] 等你睡饱脑袋清楚了再来做决定
[01:12] 资讯栏这边点一下去
[01:14] 诸位专属无二折起
[01:15] 先睡好等盘是看准
[01:17] 重拳出击才是聪明的做法
[01:19] 那这个枕头真的是非常棒
[01:20] 我除了睡在我的脖子下面垫着之外
[01:22] 另外一个是放在我的腿下面
[01:24] 我觉得这样是睡觉最完美的一个姿态
[01:26] 那有需要的朋友可以在我们资讯栏这边
[01:27] 找到更多的说明与连结
[01:29] 那不知道现在大家感受怎么样
[01:31] 终于可以体验一下
[01:32] 我们美股投资人的感觉了
[01:33] 因为如果说你今年是做台股
[01:35] 或者说做亚股的
[01:36] 没有什么感觉啊
[01:37] 老实讲就直到这几天才开始
[01:39] 有一点那种受到天罚的味道
[01:41] 那像我们做美股的呢
[01:42] 我们从1月1号就被罚到现在
[01:44] 所以就会觉得说
[01:45] 就是以台股的角度来讲
[01:47] 现在只是获利回吐
[01:48] 没有什么关系
[01:49] 那只是呢我知道
[01:50] 因为台股已经是算是
[01:51] 从开年涨到现在嘛
[01:54] 很多人来说
[01:54] 特别有蛮多今年才加入的
[01:56] 他就觉得说
[01:56] 完了
[01:57] 是不是要出大事的
[01:58] 千点招待
[01:59] 但我自己心中是觉得
[02:01] 千点招待根本没什么
[02:02] 因为千点招待
[02:03] 是我们以前还在那种
[02:04] 一万点两万点的时候
[02:05] 讲的东西
[02:06] 现在三万多点
[02:07] 所以我就觉得说
[02:08] 要两千点招待
[02:09] 我们再来说大场面来
[02:11] 因为千点招待以下来说
[02:12] 就是你用百分比
[02:13] 根本就没什么
[02:14] 那所以呢
[02:15] 就是后面还是有机会
[02:16] 可以看到更大的场面
[02:17] 终究都是会看到的
[02:18] 所以如果说在这几天
[02:19] 就直接受到那种致命重击的
[02:22] 代表你的部位一定有问题
[02:23] 代表你可能杠杆开太大
[02:25] 可能跟COSPI一样
[02:27] 就那种韩国的指数
[02:28] 你会看到直接崩烂
[02:29] 两天就跌了快20%
[02:31] 我觉得超屌
[02:31] 后来我就跟朋友在讨论的时候
[02:33] 我也不知道是不是真的是这样子
[02:34] 但我说搞不好加密货币最近这么烂
[02:37] 因为我们知道说加密货币
[02:38] 或是过去的一些
[02:39] 那种比较偏投机的资产
[02:40] 其实很多都是韩国人在背后推
[02:42] 那一些那种美国券商
[02:44] 也会发报告跟你讲说
[02:45] 那种亚洲的投资人
[02:46] 那如果说你细看
