[00:00] 欢迎收听骨牙,我是圣梦宫,本期节目由NordVPN赞助
[00:03] 3月气温回升正是春有好时机
[00:06] 现在可能大家正忙着关注热闹开打的棒球赛事
[00:09] 或是把握时机赏阴
[00:11] 同时也别忘了提早规划亲民廉价查机票住宿
[00:14] 往往会比较有弹性
[00:16] 在规划行程的时候常常会在家里,咖啡厅或是外出的时候
[00:19] 去使用各种网络环境查资料定行程
[00:21] 但公共网络在安全性上比较难掌握
[00:24] 这个时候使用NordVPN可以帮助加密网络连线
[00:27] 就算是在公共WiFi环境下查住宿机票
[00:30] 或是登录账号要处理付款也能够多一层保障
[00:33] 同时连线速度稳定不太会影响到实际的操作体验
[00:37] 另外透过NordVPN来切换不同地区笔价
[00:40] 也是不少人规划旅游会使用的方式
[00:43] 在查询住宿或是机票的时候
[00:44] 不同地区显示的价格有时候会有所差异
[00:47] 如果想要控制预算提早规划
[00:49] 新城镇人来说是相当实用
[00:51] 操作也非常简单
[00:52] 只要一键就可以完成切换
[00:54] 如果之后人已经在国外
[00:55] NordVPN也可以切换回台湾的IP
[00:57] 连接熟悉的网站或常用的服务
[01:00] 使用上更加顺畅
[01:01] 那有时候遇到像海底电缆出问题的时候
[01:03] 像我自己打手游会有lag的问题
[01:05] 透过VPN也可以有效的解决
[01:07] 而且现在NordVPN不只是支援
[01:09] 手机平板与电脑
[01:11] 也已经支援Smart TV和Apple Vision Pro
[01:14] 一个账号最多可以同时使用于
[01:16] 实体装置
[01:17] 不论是在家或是外出都能够灵活使用
[01:19] 现在只要透过我们资讯链的连结
[01:21] nordvpn.com
[01:22] 或在结账的时候输入优惠码
[01:25] GOOAYE
[01:26] 立刻享有期间限定的优惠
[01:28] 购买两年方案
[01:29] 加送四个月
[01:30] 并提供30天的退款保证
[01:32] 不满意随时都可以取消
[01:34] 零风险尝试
[01:35] 这边听完所有需要的朋友们
[01:36] 好那不知道大家最近过得怎么样
[01:38] 那我自己是觉得说
[01:39] 最近的盘子还OK啦
[01:41] 就我自己真的是觉得还OK
[01:42] 但我看到已经有蛮多人在
[01:44] 惊声尖叫
[01:45] 那自己身边有些朋友
[01:46] 比较焦虑的
[01:47] 已经每天晚上都在那边狂贴新闻
[01:49] 就已经看得出来说
[01:50] 加这个盘有让一些人
[01:51] 可能不知道
[01:52] 心情担心受怕吧
[01:53] 但我自己感觉是真的觉得还好
[01:55] 因为台股今年至今
[01:56] 或者说像我自己
[01:57] 有去投日本股市
[01:58] 都是非常好
[02:00] 那稍微有些回荡
[02:01] 根本就不足挂齿
[02:02] 那在美国这边
[02:03] 虽然是还蛮痛苦的
[02:04] 可是严格上来说
[02:06] 美国也是在走一个轮动
[02:08] 就是有东西上去
[02:09] 就有东西下去
[02:09] 所以你没有办法突破
[02:11] 但是老实讲
[02:11] 你也没有真的下到哪里去
[02:13] 所以在我自己的感受
[02:14] 是觉得还好
[02:15] 可能会受伤的是那种
[02:17] 不知道就是每次行情一好
[02:18] 就开始狂追
[02:19] 那接着开始回荡
[02:20] 像现在液盘又跌了两三趴
[02:22] 那明天搞不好
[02:23] 不是就礼拜一搞不好又有人要在这个跳楼的价格
[02:26] 砍出来让小弟可以把你的票收走
[02:28] 所以我觉得可能就是不要打得太极限吧
[02:31] 可能是因为前面的行情太好
[02:33] 所以很多人打得很极限
[02:34] 那导致呢
[02:36] 一下开始这种震动放得很大
[02:37] 有些人可能看到下底就立刻乱砍
[02:40] 然后隔天感觉没事又立刻追回来
[02:42] 你这样玩个一两次可以
[02:44] 你玩到五六次的话
[02:45] 很多时候钱就没了
[02:46] 一来一往就没了
[02:48] 会不会你妈的可能一个月之后看
[02:49] 你的股票跟指数停在差不多的位置
[02:52] 你的钱没了
[02:52] 很多人会在这个震荡里面
[02:54] 然后就受到蛮大的一个伤害
[02:56] 但我自己是觉得
[02:57] 最近的身心灵都还蛮富足的
[02:59] 像昨天又跑去利木吃饭
[03:01] 那这次是跟我们生产店的
[03:02] 一些同仁们一起
[03:04] 那搞了一个小尾牙
[03:06] 办在那边
[03:06] 那非常感谢利木老板
[03:08] 跟老板娘的一个招待
[03:09] 他们的料理真的是
[03:10] 我不知道
[03:11] 我感觉到那个灵魂满出来了
[03:12] 他们是用心在做的
[03:14] 他们那个料理是
[03:14] 吃完你会想要感谢说
[03:16] 妈的怎么会有人
[03:17] 这么用心在做料理
[03:18] 他不是只是说
[03:19] 把东西煮熟
[03:20] 把东西烫一烫
[03:21] 照一照给你吃
[03:21] 你感觉那个东西
[03:22] 是有灵魂的
[03:23] 所以又一次的意犹未尽
[03:26] 那这次呢
[03:27] 带了一些快乐好朋友一起
[03:28] 像台通的两位主持人
[03:30] 因为后来我介绍
[03:30] 那个生产店的老板
[03:31] 给他认识
[03:32] 所以他们竟然私下
[03:34] 就约了起来
[03:35] 这个尾牙
[03:35] 我一开始也不知道说
[03:36] 这个台通有两位仁兄
[03:38] 要一起来参加
[03:38] 那当知道他们要来的时候
[03:40] 就非常开心
[03:41] 那一起享用了一个
[03:42] 非常好的晚餐
[03:43] 那同时也收到了
[03:44] 一个小礼物
[03:45] 这小礼物是来自一个听众
[03:46] 他跑去那边吃饭的时候
[03:47] 然后就托老板给我
[03:49] 是非常感谢啦
[03:50] 但我们尽量以后
[03:51] 不要这样
[03:52] 因为可能这个
[03:53] 会对于老板或老板娘
[03:54] 造成一些困扰之类
[03:55] 我不知道他们会不会困扰
[03:56] 但我心中会想说
[03:57] 他们搞不好会觉得说
[03:58] 妈的东西干嘛放在我这边
[04:00] 你不会自己拿给他喔
[04:01] 因为像平常我们家人
[04:02] 假设要叫我拿东西给别人
[04:04] 我都会说你不会自己拿喔
[04:05] 这个是我最常讲的话
[04:06] 那只是后来因为
[04:07] 我这样讲话
[04:07] 然后儿子会学
[04:08] 而且还有时候他学
[04:09] 他会把它加强
[04:10] 就是我绝对没有
[04:11] 在他面前讲过说什么
[04:12] 你是没有熟是吗
[04:13] 我没有讲过这种话
[04:14] 虽然我们都知道说
[04:15] 這是一個很正常的台灣人的幹話
[04:18] 叫你拿東西
[04:18] 媽你是沒有手是不是
[04:20] 我沒有講過這個
[04:20] 但是我確實是很常講說
[04:22] 你不會自己拿嗎
[04:23] 類似這樣子的話
[04:24] 那所以有一次
[04:25] 當孩子的媽叫孩子去拿東西的時候
[04:27] 她說你不會自己拿嗎
[04:28] 你沒有手嗎
[04:29] 我媽我直接笑出來
[04:30] 但我笑出來的時候我就立刻忍住
[04:32] 就你知道小朋友在做一些
[04:33] 你認為是不對的事情
[04:34] 雖然很好笑
[04:35] 可是你要忍住
[04:36] 你要讓他知道說
[04:37] 不可以跟長輩這樣子講話
[04:38] 甚至你跟同學都不可以這樣子講話
[04:40] 反正總之就是
[04:41] 對啦就盡量
[04:42] 如果說你有在路上遇到我
[04:44] 你要拿给我可能再OK啦
[04:45] 但我们不要不要放在别人的店里面
[04:47] 这个我自己会有点拍谁
[04:49] 那最近呢也陪儿子很常跑去玩
[04:51] 那个Mezastar
[04:52] 就是一个宝可梦的机器台
[04:53] 那大家应该很常看到在
[04:55] 家乐福或是在7-11都有
[04:57] 那我那时候看到这个机器台的时候
[04:59] 不知道怎么某个程度上
[05:00] 我心中有被燃起来
[05:02] 因为就是看到这种
[05:02] 类似卡牌机制的东西
[05:04] 虽然它不是真正的卡牌
[05:05] 它是一个塑胶片嘛
[05:07] 那这个塑胶片呢
[05:08] 你就是派三只宝可梦上场
[05:10] 就可以跟机器台里面的宝可梦对战
[05:12] 那同时呢
[05:13] 当你的塑胶片放上去之后
[05:14] 他就有点像是说
[05:15] 以前我们看那个游戏王的对决deck
[05:17] 当你把卡片放在那个deck上面
[05:19] 那个怪兽就会跑出来
