[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由Sally赞助
[00:03] 出国行程可以临时改,但网络真的不能够出事
[00:06] 4月即将来的清明连家,一堆人前两天直接飞日本、韩国、东南亚
[00:10] 机票订好才发现没有上网怎么办,这个顺序不太对
[00:13] 没有网络问题超级多,不能够导航、不能叫车、不能查餐厅
[00:17] 改住宿、收验证码、看航班旅程都会卡住
[00:20] 直接变成是压力测试
[00:21] 那以前我也是拖到出发前才会买SIM卡
[00:24] 不是来不及寄到,就是在机场排队排超久
[00:26] 廉价人多的时候那个时间成本偏高
[00:29] 后来改用Sally eSIM
[00:30] 出发前在APP装好落地直接连线
[00:32] 不用换卡不用找针不用扫QR code
[00:35] 而且安装好一次之后
[00:36] 只要买不同地区的方案自动切换
[00:38] 整个流程干净有效率
[00:40] APP里面可以看剩余的流量
[00:42] 廉价每天开地图查餐厅滑影片流量其实掉很快
[00:45] 快用完可以直接加购不用到处找WiFi
[00:48] 它还有内建VPN
[00:49] 出国订房比价的时候切不同地区
[00:51] 看有时候价格真的有差
[00:53] 而且人在国外也可以顺利的看台湾网站
[00:55] 加上广告阻挡的功能
[00:57] 少一点乱跳的页面
[00:58] 也顺便省一些流量
[01:00] 那如果说你亲民廉价
[01:01] 有出国的计划
[01:02] 网路这件事情可以先处理好
[01:04] 少一个变数旅程会顺很多
[01:06] 现在透过我们的资讯链联结
[01:07] sally.com
[01:08] slash goay1
[01:09] 下载Sally App
[01:10] 结账的时候输入
[01:11] goay1 eSIM方案85折
[01:14] Sally eSIM把上网这件事
[01:16] 变成确定性
[01:17] 好那本来在礼拜一个的时候
[01:19] 想说这一节节目开头
[01:20] 应该会什么
[01:20] 英师作对啊
[01:22] 写个词之类的
[01:23] 来诉说一下说
[01:24] 去当一个投资人是还蛮辛苦的
[01:26] 然后去经历这些波动
[01:28] 那可能也会有一些犯错的发生
[01:30] 那也会有一些扼腕的发生
[01:31] 特别是像我自己在这一破的低点
[01:34] 我也是有杀一些东西出去
[01:35] 那比较不算是被吓到
[01:37] 比较算是有点那种
[01:38] 制作聪明的一个状态
[01:40] 后面再跟大家分享
[01:40] 但反正总之就是
[01:41] 现在看起来是一个happy ending
[01:43] 没错啦
[01:44] 那只是还是会有一些遗憾
[01:45] 有些东西你会觉得说
[01:46] 我应该是要把它做到更好之类的
[01:47] 但已经是不值得
[01:49] 在节目的开头
[01:50] 什么吟诗作对唱歌之类的
[01:51] 反正目前看起来就是没有事情了
[01:53] 那在过去两天的这个市场
[01:54] 还是表现得非常好
[01:55] 那今天我算是做了一个
[01:57] 我觉得彻底改变我生命的事情
[01:59] 那我本来以为说改变生命的事情
[02:01] 都一定是一些大事
[02:03] 然后一些比较大的事件
[02:04] 但没有想到说一些小事情
[02:06] 竟然可以影响到自己这么多
[02:07] 所以非常高兴的
[02:08] 想要来跟大家分享这个
[02:09] 怎么讲
[02:10] 它有点像说微不足道的发现
[02:12] 可是这个小发现
[02:13] 我才明白
[02:14] 原来它对生活的影响这么大
[02:16] 然后甚至让我产生了很多
[02:17] 那种哲学式的思考
[02:19] 那反正总之呢
[02:20] 就是今天把自己的电脑风扇给关掉了
[02:23] 就是我PC的风扇
[02:24] 同时把侧边的机壳盖给拉掉
[02:28] 然后接着就发现
[02:29] 我的电脑还是可以运作无碍
[02:31] 还是可以开那种最耗能的游戏
[02:33] 搭配5090显卡
[02:35] 并没有出现说有过热的问题
[02:37] 因为当然有些风扇已经拆不掉
[02:39] 像CPU的水冷扇拆不掉
[02:40] 上面有温度计
[02:41] 就发现说你怎么样开
[02:43] 它可能就大概在一个
[02:44] 四十几度快五十度的一个位置
[02:46] 所以其实根本就不需要那些风扇
[02:48] 我当然不知道说风扇没有用
[02:49] 只是可能在我的use case里面
[02:51] 因为我的房间可能平常就不会是太热的一个情形
[02:53] 就算是夏天我会开冷气
[02:55] 所以在我的状态里面
[02:57] 原来我是不需要那些风扇的
[02:58] 那些风扇把它移除掉之后
[03:00] 才发现说生命之美
[03:02] 就大家都知道说
[03:03] 我们的眼睛会去脑补掉一些东西
[03:05] 脑袋会去脑补掉眼睛的一些看到的画面
[03:07] 就是说可能你有时候
[03:09] 稍微的静下心来的时候
[03:11] 坐下然后你再看看你的鼻子
[03:12] 其实你是看得到你的鼻子的
[03:14] 只是很多时候
[03:15] 当我们在看外面的一些风景
[03:17] 或者我们在看远处一些东西
[03:18] 你会发现说
[03:19] 你根本就不会注意到
[03:20] 说有鼻子挡在那边
[03:21] 直到我跟你提醒说
[03:22] 你现在其实是
[03:23] 看得到你的鼻子
[03:24] 那才注意到
[03:24] 原来我看得到我鼻子
[03:25] 那这个就是说
[03:26] 你脑袋把那个画面
[03:27] 给拿不掉了
[03:28] 那我自己本身
[03:29] 一开始在我的电脑
[03:30] 买回来的时候
[03:31] 其实我就注意到
[03:31] 我的电脑很吵
[03:32] 所以那时候才会有一些
[03:33] 对话产生
[03:34] 就是有在节目
[03:35] 去问一些听众
[03:36] 然后说有没有办法
[03:38] 去帮我搞出一个解房
[03:39] 它是Fanless的
[03:40] 因为其实我在国外
[03:40] 有看到
[03:41] 那要价不菲
[03:42] 但其实我那时候的想法
[03:43] 这个噪音是吵到你多贵我都要给你买
[03:45] 那比较可惜
[03:46] 它的解方其实都只有做到大概4060
[03:49] 在网上就没有办法
[03:50] 它没有办法解那么高的一个瓦数
[03:51] 它具体的做法就是
[03:52] 它没有任何的风扇
[03:53] 然后它就是把所有东西都接上
[03:55] 铜的散热片
[03:55] 那机壳也是铜
[03:56] 等于说直接这样导热导出来
[03:58] 那后来就发现说
[03:59] 这样的一个解方
[04:00] 最多就只有支援到4060
[04:02] 那在我分享这样的一个话题出来之后
[04:04] 也有一些在系统厂
[04:06] 跟在散热厂的朋友
[04:07] 想要帮我去处理看看
[04:08] 那只知道说
[04:09] 我是用什么4090 5090之后
[04:10] 他们都是讲说
[04:11] 这个没有办法
[04:12] 这还是要去吹电扇
[04:13] 那后来发现说
[04:14] 它当然还是需要吹电扇
[04:15] 它只是
[04:16] 因为GPU本身的风扇
[04:18] 它声音其实是不大的
[04:19] CPU的吹电扇
[04:20] 声音也不大
[04:21] 其实会有声音的风扇
[04:22] 一般都是机壳上面的风扇
[04:23] 然后其他机壳上面的风扇
[04:24] 又非常多
[04:25] 那这个声音
[04:26] 可能对很多人来讲
[04:27] 它是没有感觉的
[04:28] 像那个老板来帮我弄的时候
[04:30] 他是我们理发店的
[04:31] 老板的老公
[04:32] 他只是
[04:33] 平常会聊一些股票的东西
[04:35] 后来知道他会搞电脑
[04:36] 就请他来帮忙看一下
[04:39] 他一開始進來他也沒有感覺到很吵
[04:41] 他就問我說是什麼聲音
[04:43] 我就說風扇你聽不到它很大聲嗎
[04:45] 他說他覺得還好
[04:46] 然後後來把他關掉之後說
[04:47] 欸有內有內
[04:48] 一下真的變超安靜
[04:49] 那對我來講更是那種如釋重負的感覺
[04:51] 我才發現說原來那個聲音
[04:53] 我一直以為說我已經習慣它了
[04:55] 但是我其實根本就沒有習慣它
[04:57] 一個最具體的表現就是
[04:59] 我每次在錄節目的時候
[05:00] 因為我是錄筆電嘛
[05:01] 那我就要把我的PC關掉
[05:03] 平常我的PC是不關掉的
[05:04] 可是為了錄節目我就要把它關掉
[05:05] 因為我覺得它真的太吵
[05:06] 它已經影響到我了
[05:07] 到我
[05:07] 就是对声音敏感到
[05:09] 可能外面有人在走路
[05:10] 我对他说
[05:10] 你们可以先不要走路吗
[05:11] 我现在录节目
[05:12] 就即便可能他根本就
[05:13] 录不进麦克风
[05:14] 但我就会受到这些
[05:16] 微小声音的影响
[05:17] 那像老板他比较幸运
[05:18] 他就是平常是听不到这些声音
[05:19] 他觉得没差
[05:20] 可是等到这个声音
[05:21] 真的被抽掉之后
[05:22] 连他也发现说
[05:23] 真的变得好安静
[05:24] 原来可能前面这么大声之类的
[05:27] 那总之呢
[05:27] 就是在我们去
[05:28] 把风扇给关掉
[05:30] 把机壳给拉掉之后呢
[05:31] 那稍微再去测试一下
[05:33] 玩的那些
[05:34] 可能非常耗能的游戏
[05:35] 然后同时开好几个萤幕
[05:36] 然后就注意到说
[05:38] 其实那个温度是上不去的
[05:39] 所以这样的一个小发现
[05:40] 它真的是彻底的
[05:42] 就是改变了我的人生
[05:43] 甚至我现在会开始去思考说
[05:44] 你有没有曾经在家里
[05:46] 可能不知道
[05:46] 你们家里有一块地砖
[05:47] 是有稍微凸起来的
[05:49] 那已经习惯了
[05:49] 反正经过那个地方
[05:50] 你就把它跨过去
[05:51] 你就不要踩到去
[05:52] 或者说你可能已经习惯说
[05:54] 你的热水打开之后
[05:55] 不知道要等个50秒之后才热
[05:57] 你已经习惯说
[05:58] 你坐在书房里面
[05:59] 就是有那个声音
[06:00] 然后这些东西
[06:00] 你有没有想过说
[06:01] 如果你把它除掉
[06:02] 会发生什么事情
[06:03] 我以前都不会去想这个
[06:04] 我以前都觉得说
[06:05] 要改变生命的事情
[06:06] 一定都是一些大事情
[06:07] 大事件
[06:08] 然后下半说
[06:09] 我光是把电脑的声音给弄掉
[06:11] 我今天一整天他妈心情超好
[06:13] 但你说这个心情超好
[06:14] 不会是早上台股喷1400点
[06:15] 我觉得有部分是
[06:17] 可是怎么讲
[06:18] 因为喷来喷去
[06:19] 或者说叠来叠去
[06:20] 对我们来讲
[06:20] 我从事上已经习惯
[06:21] 那就是生活的日常之一
[06:23] 但我今天心情特好的一个主因
[06:25] 我觉得就是因为
[06:25] 那个风扇的声音
[06:27] 就此被排除掉
[06:28] 然后突然觉得
[06:29] 原来我的生活品质可以是这样子的
[06:32] 所以这边我觉得
[06:33] 虽然你可能会听起来觉得很废
[06:34] 但我相信像我这样的人一定不少
[06:37] 特别是家有很多那种生意敏感
[06:39] 整天对小朋友发脾气的人
[06:40] 你有没有想过
[06:41] 就是你在家里其实你也是很吵
[06:43] 都没有休息到
[06:43] 所以你出去外面有时候
[06:44] 人家稍微讲话大声一点
[06:46] 你就超级不爽
[06:47] 是因为你就已经是在一个那种
[06:48] 非常怎么讲紧绷的状态了
[06:51] 然后你会觉得说
[06:52] 为什么我都不能够休息一下
[06:53] 你有没有想过
[06:53] 那个压力来源
[06:54] 可能是来自于你的家里之类的
[06:56] 就是你最该休息的地方
[06:58] 你可能回家
[06:58] 不知道就隔壁打破碗大声
[06:59] 或者说你像我一样
[07:00] 风扇很大声之类
