[00:00] 欢迎收听谷爱,我是圣梦宫,本期节目由军企医美赞助
[00:03] 万众期待的医美心得分享,先说结论
[00:05] 军企真的拯救了我,医美真的有差
[00:07] 前面有打水漂,越早投入复利效果越明显
[00:10] 这次我去的是最大的医美品牌
[00:12] 军企医美一口气做了凤凰电波、海福音波
[00:15] 第四代魅必提跟皮秒雷射三项疗程
[00:18] 那凤凰电波就是陈美凤跟林心如代言
[00:20] 连我都听过的
[00:21] 电波它是去针对真皮层促进胶原蛋白增生
[00:24] 达到紧致气纹抚平的效果
[00:26] 阴波则是主打深层的聚焦式加热
[00:28] 直达金膜层实现向上拉提轮廓雕塑的效果
[00:31] 电波阴波两者互补
[00:33] 可以全面改善又松又垂的脸部状态
[00:35] 皮秒雷射是以极短脉冲时间
[00:37] 产生光振波效应
[00:39] 精准极碎黑色素达到淡化斑点
[00:41] 不管是晒斑 干斑 老人斑都可以
[00:43] 同时也会缩小你的毛孔
[00:45] 改善暗沉跟肤色不均的问题
[00:47] 整体痛感我觉得没有像大家讲的这么可怕
[00:50] 那恢复期呢
[00:50] 大概是差不多一个礼拜
[00:52] 他会建议你说不要晒太阳
[00:53] 同时呢
[00:53] 你可能脸上红红
[00:54] 都会需要抹一些药膏
[00:55] 电硬破的话呢
[00:56] 是完全没有修复期
[00:57] 大概一到两个月的时间之后
[00:59] 会很有感
[01:00] 军企医美其实已经二十几年了
[01:01] 台湾医美龙头品牌
[01:02] 与其多多专业找哪一间最好
[01:04] 推荐一开始就直接去军企
[01:06] 因为够大够稳
[01:07] 资讯透明
[01:07] 因为医美很贵
[01:08] 但是你看到效果
[01:09] 你就会觉得说
[01:10] 怎么没有早一点来
[01:11] 如果你是医美菜鸡
[01:12] 最简单的策略就是找案例多
[01:14] 医师经验值高的
[01:15] 而且北中南都有门市
[01:16] 那我自己去施作之后呢
[01:18] 但首先我觉得我的医师廖寒杰
[01:20] 是非常非常厉害的人
[01:21] 他真的是针对我的一些
[01:23] 所谓的痛点都去做解决
[01:25] 那最后面效果也真的就像他讲的
[01:27] 觉得整个脸变蛮小的
[01:28] 连我老婆这样说
[01:29] 那有网友前子听到我的分享
[01:31] 就已经先跑去了
[01:32] 打完不只是满意
[01:33] 金额还比预想的便宜
[01:34] 电波加音波包案有找
[01:36] 有老婆说要打医美
[01:37] 我也会一起去
[01:38] 那如果各位另一半有保养的需求
[01:40] 建议也无条件用钱包支持
[01:42] Happy wife happy life
[01:42] 那最后呢
[01:43] 前恩节还没有想到送另外一半什么
[01:45] 或是觉得自己的颜值已经落后
[01:47] 同龄人都可以去免费咨询
[01:49] 提醒大家越早进场保养
[01:51] 越早享受
[01:52] 有兴趣的可以在我们咨询栏这边看一下
[01:53] 那不要问我说需要什么
[01:54] 你去问医生
[01:55] 那医生就会给你很多的建议
[01:57] 那最近是属于那种战斗周
[01:59] 所以应该蛮多人都感受到
[02:01] 自己手上的部位
[02:02] 当然如果你不要一直密集的去看她的话
[02:04] 你会发现说
[02:05] 可能都处在差不多的地方
[02:06] 但如果你是很密集的去看她
[02:08] 然后又在那边搞操作的话
[02:10] 就会像我们之前跟大家稍微警示过的
[02:13] 就是很多时候这种震荡盘
[02:14] 就是有些人会一下追一下砍一下追一下砍
[02:17] 那最后面等了一个月之后发现说
[02:19] 其实盘停在差不多的位置
[02:20] 但你的钱可能就少了两成之类的
[02:23] 所以这会是一个比较致命的一个选项
[02:26] 但当然其实没有人知道说
[02:27] 后面的行情一定会怎么样走
[02:28] 所以那些选择又追又砍的人
[02:31] 说不定就是最后面被他闪掉很多的风险
[02:34] 或者说可能最后面被他咬到的时候
[02:35] 他可以赚很多钱
[02:36] 但以我自己的角度来讲
[02:38] 就是我会去按照下的一些状态
[02:40] 那去做出我认为当下
[02:42] 可能比较适合的判断
[02:43] 那这个判断呢
[02:44] 有时候就是在短期内看起来
[02:46] 好像是不对的
[02:47] 可是长期看起来是OK的
[02:48] 所以那有点像是说
[02:49] 你最后面还是会把它
[02:50] 磕到你的那种肌肉记忆里面去吧
[02:52] 你就会知道说
[02:53] 可能在过去我是这样子做
[02:55] 那最后面可能结果是不错
[02:56] 那在当下即便可能看起来是一些
[02:59] 像是错误的决定
[03:00] 可是可能拉长看就没有问题了
[03:02] 就像说在上一集的节目
[03:04] 才跟大家分享说
[03:05] 就是我本来是规划说
[03:06] 我要直接屌买一顿嘛
[03:07] 那只是后来看到那个油价
[03:09] 看到一些有的没有的指标
[03:10] 所以呢
[03:10] 最后面我的那个勇气
[03:12] 是失去了一半
[03:12] 那就没有买这么多
[03:14] 甚至有些东西
[03:14] 我直接砍在阿呆股
[03:15] 那当下看会觉得
[03:17] 是砍在阿呆股很痛苦嘛
[03:18] 因为随后的两天
[03:19] 就在那边拼命的疯涨
[03:20] 那可是你现在再去看一下
[03:22] 是不是又有不一样的感受
[03:24] 现在再回听我那一节节目
[03:25] 就发现说
[03:26] 我当下会觉得
[03:27] 我的决定好像是错的
[03:28] 是因为我看到连续的膨胀
[03:29] 那可是像现在
[03:30] 美股又直接要跑去攻前低
[03:33] 就要摔回去
[03:34] 那台股的话还好
[03:35] 台股是相对强势
[03:37] 但是呢
[03:37] 现在也都会在夜盘的时候
[03:38] 被国际盘市所影响
