[00:00] 欢迎收听谷爱,我是星目公,本集节目由擅存叶黄素赞助
[00:04] 通勤路上用手机跟盘,到公司继续用电脑关心股市
[00:08] 心情随着指数上下波动,溺爱整天用3C井跟盘是吗?
[00:12] 投资理财更要投资健康,记得爱吃叶黄素,做好有神保养
[00:16] 叶黄素三大选购关键跟你分享
[00:18] 1.有科学研究的数据支持专业好信赖
[00:21] 擅存叶黄素成分经研究,不止三周看见不同还有超过百篇科学研究发表
[00:27] 二选叶黄素好吸收是关键
[00:29] 擅存游历型叶黄素
[00:31] 分子小好吸收高17%
[00:32] 加上独特液态胶囊
[00:34] 天天吃叶黄素浓度提升10倍
[00:36] 三时间就是金钱
[00:38] 擅存叶黄素用专业保留纯粹
[00:40] 叶黄素原料萃取自天然万寿菊
[00:43] 一天一颗轻松补充20毫克
[00:45] 效率做好有声保养
[00:47] 国外独家MOMO现实优惠
[00:49] 擅存叶黄素二入组
[00:51] 直接打88折还送慕敏陶瓷盘
[00:53] 诸位加码送星巴克券100块
[00:56] 下单还可以抽追蜜吹风机
[00:58] 这么好看还不手刀买进
[01:00] 做好有神保养
[01:01] 精准投资不在古海茫茫
[01:03] 详细资讯放在资讯栏
[01:05] 有兴趣的朋友走过路过
[01:07] 千万不要错过
[01:08] 那昨天晚上跟一些交易圈的朋友
[01:10] 有了一个这个非常好的晚餐
[01:13] 但同时又让我再去深思了一下
[01:15] 在家庭时间的规划方面问题
[01:17] 那其实我已经花很多时间在家里了
[01:20] 那可能出去的话
[01:21] 一个礼拜最多就是一到两次
[01:24] 可能会有一些午餐或是晚餐之类
[01:25] 已经是降到非常低的一个频率
[01:27] 那每次我出去吃饭的时候呢
[01:29] 特别是晚上
[01:30] 那儿子就会打电话来
[01:31] 然后就会跟我讲说
[01:32] 爸你家在干嘛
[01:33] 爸你怎么不回家
[01:34] 家里就有煮饭啊
[01:36] 你为什么不在家里吃饭
[01:37] 那当然有时候我知道说
[01:39] 他打来是因为他妈妈
[01:40] 想要看我在干嘛啦
[01:41] 可是绝大多数的时间
[01:42] 我可以识别说
[01:43] 哪个是妈妈指挥的
[01:44] 哪个是他自己要打的
[01:45] 那近期其实看得出来
[01:47] 都是他自己想要打电话给我
[01:49] 他希望我可以快点回家
[01:50] 那每次讲一讲都会讲到苦
[01:51] 他就希望我快点回去
[01:52] 那我每次听到他开始哭之后呢
[01:54] 我就会立刻的
[01:55] 跟身边的朋友说
[01:56] 没有办法
[01:57] 我现在要回家
[01:57] 儿子叫我回去
[01:58] 我要继续念故事
[01:59] 或什么的
[01:59] 然后直接就离开
[02:01] 那每次回来呢
[02:02] 很幸运
[02:03] 就是可能我离开的时间
[02:04] 也都没有太晚
[02:05] 所以每次到家的时候呢
[02:07] 孩子都还没有睡着
[02:08] 所以他没有睡着
[02:09] 其实我看到
[02:09] 他是非常开心的
[02:10] 就会把他整个抱起来
[02:11] 然后可能跟他玩一下
[02:12] 念个故事在睡觉
[02:13] 一般都是被我老婆骂
[02:14] 就妈这么晚了
[02:15] 你还在搞什么
[02:16] 你赶快去睡觉
[02:17] 所以我就好
[02:17] 可以赶快跟他去睡觉
[02:18] 那可是昨天回来的时候呢
[02:20] 他已经是睡着了
[02:21] 然后我就站在床边
[02:23] 大概停了一分多钟
[02:24] 我就在思考说
[02:25] 我的人生到底做错了什么事情
[02:26] 我怎么可以错过他睡觉
[02:28] 那他需要我的时间
[02:30] 可能已经不多了
[02:30] 了不起再几年吧
[02:32] 接着有一天
[02:33] 我一定很后悔说
[02:33] 为什么我他妈的要跑出去吃饭
[02:35] 那当然其实每次出去吃饭
[02:36] 我觉得我现在都已经是
[02:37] 精挑细选的局了
[02:38] 所以都是还蛮有趣
[02:40] 蛮好玩的
[02:40] 有很多那种很充实的感觉
[02:42] 但我还是觉得说
[02:43] 可能要再多花一点时间陪小孩
[02:45] 这是我近期的一个思考
[02:48] 然后在饭局里面
[02:48] 有一个朋友就问我说
[02:50] 为什么你当时会想要录这个节目
[02:53] 其实像这样的问题
[02:54] 已经被问了很多次
