[00:00] 欢迎收听骨癌,我是圣梦宫,本期节目由Dr.CYJ赞助
[00:03] 我太太很久以前就是Dr.CYJ建法中心的客人
[00:07] 产后发脆弱的问题最后面在那边获得有效的改善
[00:10] 很多人脸会保养,身体会保养,但头皮常常是最后才会想到的地方
[00:15] 毛囊一生的生长周期是有限的
[00:17] 如果头皮环境没有好好的维持,发根就会变得比较脆弱,比较容易掉
[00:21] 大部分的人都是等到事情严重了才会开始紧张
[00:24] 等到头皮老化,发量开始撤退,才在后悔没有早一点去处理
[00:28] 这跟有些人讲说
[00:29] 出手牌就买
[00:30] 大崩盘就买
[00:31] 结果一等就是好几年过去
[00:33] 市场不会等你
[00:34] 毛囊也不会
[00:35] 毛囊还在的时候去保养
[00:36] 跟等到发际线一路向北
[00:38] K线直接破底
[00:38] 才想处理
[00:39] 那个难度差很多
[00:40] 有时候投资错过就算了
[00:42] 但如果连头皮的
[00:43] 最后一大防线也错过
[00:44] 那就真的回不去了
[00:45] 所以如果说你最近有在关注
[00:47] 像是掉发
[00:47] 头皮出油
[00:48] 敏感骚痒
[00:49] 压力型掉发之类的问题
[00:50] 或者是说你太太最近在抱怨
[00:52] 洗完澡排水孔都被头发塞住
[00:54] 其实可以带大家去
[00:55] Dr.CYJ健法中心体验看看
[00:57] 他们有AI头皮检测系统
[00:59] 会从敏感、发劲、发亮、毛孔、皮脂、皮屑
[01:02] 等六个面向去分析头皮的状况
[01:04] 先把问题看清楚
[01:06] 再做后续的保养
[01:07] 现在Dr.CYJ健法中心
[01:09] 全台有很多的门市
[01:10] 有兴趣的可以在我们资讯栏这边
[01:12] 找到更多的说明与连结
[01:13] 好那首先跟一些身边的朋友
[01:15] 讨论AI的使用跟近期的应用
[01:18] 那觉得获得非常大的一个收获
[01:20] 在那边稍微的简单跟大家分享一下
[01:22] 那我觉得首先要先厘清的一点
[01:24] 就是说我们去讨论AI的时候
[01:25] 或者说你要去跟别人讨论AI的时候
[01:27] 你尽量找到这些人
[01:29] 他们是把AI用在他们的工作里面
[01:31] 并且是实际的有获得产出的人
[01:34] 你获得的讨论会是比较扎实的
[01:36] 因为我自己现在是对于外面的
[01:38] AI Doomsday Point非常的反感
[01:40] 就是那些整天拿AI出来讲说
[01:42] 又要取代谁又要取代谁
[01:43] 妈就取代你自己
[01:44] 那听到这种都是很烦
[01:46] 就是取代你
[01:47] 取代你那种整天po干文的
[01:49] 你知道他每天看到这种文章
[01:51] 其实已经就觉得非常的反弹
[01:52] 或者说看到中国那边的一些尬锤文
[01:55] 就整天在写说什么
[01:56] AI怎么让大家惊呆了
[01:58] 什么下巴掉下来
[01:59] 掉了一桶杆
[02:00] 就是他看到这种东西
[02:01] 真的会觉得说
[02:02] 妈的人类真的是活该被AI取代
[02:04] 可实际上在我们自己的经验里面
[02:06] 我们知道的状态是
[02:07] AI并没有这么快
[02:08] 可以去对我们人类的社会
[02:10] 去造成很大的一个颠覆
[02:12] 绝大多数的东西
[02:13] 你会发现说它是慢慢渐进式的
[02:15] 可能就是在AI的导入之下
[02:16] 就像是当年可能有了电脑
[02:18] 有了一些智慧型手机之后
[02:19] 它会去加强
[02:20] 然后去产生一些新的工作
[02:22] 它当然也可能会去
[02:23] 排斥掉一些旧的工作
[02:25] 可是整体来说
[02:25] 社会是一个渐进式的转变
[02:27] 那帮你入到我们的工作里面
[02:29] 你也发现它是一个渐进式的转变
[02:31] 就是说你可能在过去
[02:33] 最早是会去问AI一些问题
[02:35] 可是当你发现它有幻觉之后
[02:36] 其实后来我们对它的依赖
[02:38] 就没有这么高
[02:39] 可是到近期的Agentic AI
[02:41] 或者说后来Gemini的一个崛起
[02:43] 然后到近期
[02:43] 我去使用的Perplexity Computer
[02:45] 我觉得我最大的一个体验是
[02:47] 现在幻觉的程度已经降低很多
[02:49] 同时你可以去开一些
[02:51] 把你的资料串在这些AI的模型里面
[02:55] 那它在有你的资料辅助之下
[02:57] 其实它幻觉的程度就会降低很多
[02:59] 所以这些东西已经可以
[03:00] 立刻变成是一种集战力
[03:01] 但是这个时候我们又要跳出来
[03:03] 用外在的角度去看
[03:05] 接下来说
