[00:00] 欢迎收听谷外,我是圣梦宫
[00:01] 本集节目由台湾莱雅集团
[00:03] 全球No.1医学美容品牌
[00:04] 修理可赞助
[00:05] 今天来分享一个有意思的东西
[00:07] 也是我太太用了
[00:08] 会主动回购
[00:09] 还会帮忙发限动的好品牌
[00:10] 修理可最近出了一个新品
[00:12] 叫做AGE极效复活紧致精华
[00:14] 大家都叫它电波V脸瓶
[00:16] 让你U脸变V脸
[00:18] 先问大家一个问题
[00:19] 很多人打了电波跟音波
[00:20] 那一阵子你的脸很紧
[00:21] 但问题是效果可以撑多久
[00:23] 很多人抗老的逻辑
[00:24] 就像是散户买股票
[00:25] 一直补一直补
[00:26] 胶原蛋白不够
[00:27] 就是疯狂补
[00:28] 但问题不是补多少
[00:29] 而是结构撑不撑得住
[00:31] 很多人的脸开始松垮往下走
[00:33] 不是说完全没有胶原蛋白
[00:34] 而是胶原的支撑结构开始掉
[00:36] 这罐修力可电波V点平
[00:38] 在做的事情不是只有表层
[00:40] 它有一个关键成分
[00:41] 叫做35%普利斯链Proxy Lane
[00:43] 这个浓度算是业界很高的
[00:45] 它做的事情就是帮胶原结构往内撑
[00:48] 再加上所谓的换活四重胶原机制
[00:50] 简单讲就是让你的胶原变多
[00:52] 还帮你排列加撑起加撑住
[00:54] 很多的版品就有做到第一层
[00:56] 它是做到深层的结构支撑
[00:58] 主打一个叫做
[00:59] 胶原结构重塑科技
[01:01] 官方的数据是胶原撑力
[01:02] 加184%
[01:04] 但是不用了解太多
[01:05] 反正记得就是
[01:06] 它不是只是让你短线发光
[01:07] 它是长期持有型
[01:08] 所以很多人会说
[01:09] 插起来有点像是
[01:10] 模拟打完电波的那种紧实感
[01:12] 原本比较U型的轮廓
[01:14] 慢慢会走向V点
[01:15] 如果你发现你的轮廓
[01:16] 渐渐不明显
[01:17] 法令纹开始出现
[01:18] 脸颊有点松
[01:19] 那你就非常适合这一次的新品电波V点瓶
[01:22] 而且修理可是全球No.1的医学美容品牌
[01:25] 基本上就像是基本面拍
[01:26] 不玩噱头 质地清爽
[01:28] 男生擦起来也不会排斥
[01:29] 抗老配置不要单压一档
[01:31] 比较合理的配置给大家参考
[01:33] AGE精华加AGE紧致霜
[01:35] 精华负责撑结构
[01:36] 霜负责保护胶原不要被破坏
[01:38] 一个进攻一个防守
[01:39] 如果白天使用可以搭配
[01:41] AGE精华加CE精华
[01:43] 抗老需要先抗氧化加结构撑起
[01:45] 或者是AGE精华加PTOX精华
[01:48] 动态纹路加抗老一起处理
[01:50] 包含跟投资一样
[01:51] 不要只会追高还要做配置
[01:52] 那接下来分享优惠
[01:54] 这是新品上市
[01:55] 有一个骨骸限定的优惠
[01:56] 因为我们专属连结下单
[01:57] 新品直接打九折
[01:59] 而且还有满额送不错的东西
[02:00] 满8000送你修理可
[02:02] 可定制化妆镜手机支架
[02:04] 限量1000组
[02:05] 满12000送你大容量明星精华15毫升
[02:08] 满15000送你KING有多功能两用蒸汽运抖
[02:12] 然后只要下单还会再多送一个
[02:14] AGE紧致霜3毫升
[02:15] 刚好可以试试看
[02:16] AGE精华搭配AGE颈治霜的组合
[02:19] 最后跟大家分享
[02:20] 知道很多听众都是男生
[02:22] 自己不太研究
[02:22] 但如果说有听到老婆太太女友妈妈在讲
[02:25] 说是不是脸有点松
[02:26] 这个时候与其乱买
[02:28] 不如就直接挑这个试试看
[02:29] 连结在资讯栏这边
[02:30] 有兴趣的朋友可以自己来参考看看
[02:32] 这个礼拜回去做抽血检查
[02:34] 又额外的被医生宣布说要再吃一些药
[02:38] 因为我的leg feel打下去之后
[02:40] 虽然说可能在施打完的一阵子
[02:43] 会注意到胆固醇降到很低的一个位置
[02:45] 低密度胆固醇
[02:46] 可是呢就差不多就是你下一针要打的时候
[02:49] 就是六个月之后
[02:49] 他会再一次的爬到大概100出头左右
[02:53] 那其实100出头左右
[02:54] 对于绝大多数人已经是OK了
[02:56] 而且你也不是停在那边很久嘛
[02:58] 因为你接着又打下一针
[02:59] 那可能会跑回去10 20这样一个超低的数字
[03:02] 只是因为我有LP小A
[03:04] 也就是所谓的子弹白
[03:05] 这个数字也是过高
[03:06] 我真的觉得他妈超衰小
[03:07] 那最近就要去指望我爸妈
[03:09] 说到底是他妈谁给我这样子的基因
[03:10] 那好在呢
[03:12] 我这个遗传的因子都是比较偏向
[03:14] 是可以靠药物就去做解决的
[03:16] 所以已经觉得没有什么好抱怨了
[03:18] 有些人被家人遗传什么癌症之类的
[03:20] 那真的是比较衰小
[03:21] 很容易离癌什么的
[03:23] 在身边有看到一些朋友这样子
[03:24] 那真的是很惨
[03:25] 那总之呢
[03:26] 我的东西就是靠吃药就可以去控制
[03:29] 只是说蛮遗憾
[03:29] 本来想说我故意不要吃药
[03:31] 我就只想要打针
[03:32] 因为我觉得这样比较方便
[03:33] 然后没有想到最后面
[03:34] 就还是得靠吃药去协助做控制
[03:37] 稍微有一点小小的遗憾
[03:38] 但是为了自己的身体健康
[03:40] 那现在就是什么都会做
[03:41] 我之前就会觉得说
[03:42] 你知道有时候量到什么胆固醇过高
[03:44] 刚无屁事
[03:45] 即便是我自己的身体
[03:46] 光挖屁事无不屌
[03:47] 反正妈还年轻
[03:48] 但现在就真的会觉得
[03:49] 想要看到小孩长大的话
[03:51] 那你就要非常注意各个细节
[03:53] 那同时我也跟医师表示说
[03:55] 就现在我会很乐意的
[03:56] 去做一些身体的调整
[03:57] 只要你有注意到
[03:58] 哪里可能不太对劲
[03:59] 你就跟我讲一下
[04:00] 我就立刻去做调整
[04:01] 那所以他就跟我讲说
[04:02] 因为你这个高血压的数值呢
[04:04] 也是已经偏向第一期了
[04:06] 就是你那个什么
[04:06] 舒张压的数字比较高一点
[04:08] 所以呢
[04:09] 这其实可以靠体重去控制啊
[04:10] 因为你可能也是家族遗传
[04:12] 因为他问我说
[04:12] 家人的血压状态
[04:13] 我说我爸也是啊
[04:15] 他跟我讲说
[04:15] OK那你可能就是
[04:16] 可以透过去减一点体重
[04:18] 那我就跟他说
[04:19] 其实我现在已经是
[04:20] 每天中午都吃健康便当
[04:22] 那当然晚上可能有时候
[04:23] 比较猖狂
[04:24] 会吃一些火锅乱吃
[04:25] 有的没有的东西
[04:25] 或者会吃一些零食或什么的
[04:27] 但我已经算是蛮节制了
[04:29] 那可是呢
[04:29] 就体重一直维持在
[04:30] 一个差不多的地方
[04:31] 那更何况我现在
[04:32] 除了重训之外
[04:33] 我又再去额外
[04:33] 做了蛮多的有氧
[04:35] 所以我自己也是蛮觉得
[04:37] 困扰的啦
[04:38] 就是这个体重
[04:38] 怎么可以降得这么慢
[04:39] 当然我知道
[04:42] 慢爵掉下去
[04:43] 讲都很简单
[04:44] 可是实际上
[04:44] 我会觉得说
[04:45] 如果再往下降的话
[04:46] 可能会影响到
[04:47] 自己的一些生活
[04:48] 就真的要去饿肚子之类的
[04:49] 所以我就跟他说
[04:50] 那你要不要试看看瘦肉侦
[04:51] 那我就跟他说
[04:52] 我就之前看到
[04:54] 有些人打瘦肉侦
[04:55] 像我愿意打瘦肉侦
[04:57] 然后他的状态就是
[04:58] 他打下去之后
[04:59] 他去吃干杯的烧肉便当
[05:01] 就中午我们会去
[05:02] 从outlet叫外送过来
[05:04] 那个烧肉便当上面
[05:05] 大概有10块肉
[05:06] 他给我吃两块
[05:07] 就是快吐了
[05:09] 然后很饱
[05:09] 然后再来就身边朋友
[05:10] 也有分享
[05:11] 像有一个晚上要过门去打电动的
[05:13] 然后大家去吃羊肉炉的时候
[05:14] 你就看他坐在那边腿夹起来
[05:17] 靠杯吃两口就饱
[05:18] 想说到底是啥小
[05:19] 所以因为你看过这些人
[05:20] 就是他的整个食欲被破坏
