[00:00] 欢迎收听谷外,我是星梦宫
[00:01] 本集节目由KINGYO支支教电极式补温灯赞助
[00:05] 各位啊,投资市场最近波动这么大
[00:08] 大家夜盘交易叮得凶
[00:09] 最烦的通常不是点位没抓到
[00:11] 而是凌晨三点正在复盘财报
[00:13] 在Discord里面跟团看筹码
[00:16] 结果耳边传来那个嗡嗡嗡的声音
[00:18] 你以为它只是要吸你一点血布
[00:20] 它是在吸你的专注力
[00:21] 破坏你的投资报酬率
[00:23] KINGYO最新上市的支支教电极式补温灯
[00:26] 完全符合数据控的胃口
[00:28] 机身上有显示
[00:29] 萤幕会帮你记录
[00:30] 杀了几只蚊子
[00:31] 这个设计简直天才
[00:33] 当你在夜盘被割韭菜
[00:34] 损异惨不忍睹的时候
[00:36] 转头看一下补文灯
[00:37] 发现萤幕显示18
[00:38] 心理至少会平衡一点
[00:40] 让你在各种震荡
[00:41] 信心崩盘的时候
[00:43] 有种虽然市场在收割我的部位
[00:45] 但至少我也收割了
[00:46] 18只蚊子的报酬
[00:48] 规格上也是补文界的顶规
[00:50] 采用冷阴级诱蚊灯管
[00:52] 寿命长达12万小时
[00:54] 稳定度比很多
[00:55] 凹单的生命周期都还要来得长
[00:57] 而且光线非常柔和
[00:58] 完全不刺眼
[00:59] 半夜盯着萤幕看K线
[01:01] 他在旁边温柔守护
[01:02] 最强的是双面电极网设计
[01:05] 就像是同时布了多空单
[01:07] 左右开工
[01:07] 蚊子不管是想追高或杀低
[01:09] 只要靠近这台机器
[01:11] 就是两面夹杀
[01:12] 别再用你的肉身
[01:13] 去当补蚊灯测试压力位了
[01:15] 资讯栏连结点下去
[01:16] 主委听众专属69折起优惠
[01:19] 让你看着数据跳动
[01:20] 找回赢家成就感
[01:21] 同场加映过年卖很好的
[01:25] 电及家用提止剂
[01:26] 把生活中的干扰跟坠落
[01:28] 通通都收割掉
[01:29] 那真的是一款很赞的补温灯
[01:31] 我们自己去做使用之后呢
[01:33] 发现它补温的效率极好
[01:35] 在这边推荐给所有需要的朋友们
[01:36] 好那已经进入第二针
[01:37] 瘦瘦针
[01:38] 那我觉得现在体感就已经是
[01:40] 有感受到药物的威力了
[01:42] 那只是还是没有像一些身边的朋友
[01:44] 或是像我岳母这样
[01:45] 会对食物感觉到反感
[01:46] 或是想吐
[01:47] 那或是恶心
[01:48] 一点都没有
[01:49] 那反而呢
[01:50] 对食物是充满了好奇跟新鲜感
[01:52] 好像回到那种
[01:53] 就是国中可能打完球
[01:55] 然后想要吃东西的感觉
[01:56] 那每次只要时间一到
[01:58] 食欲就会整个开上来
[01:59] 超级想吃
[02:00] 那可是呢
[02:01] 像之前跟大家分享
[02:02] 打第一针的时候
[02:03] 你大概觉得你的胃口
[02:04] 是缩了10到15%左右
[02:06] 那现在大概缩了三成
[02:08] 所以我觉得非常满意
[02:09] 这样的一个状态
[02:10] 那甚至没有意外的话
[02:11] 因为我最近看
[02:12] 自己的医师朋友
[02:13] 有贴给我说口服的要上市的
[02:15] 那如果可以这样一路吃的话
[02:16] 好像也是一个蛮不错的选择
[02:18] 那总之我个人是认为说
[02:19] 按照下达的一个进度的话
[02:21] 应该可以非常有效的
