[00:00] 欢迎收听谷外,我是孙梦宫,本期节目由米红米红生医赞助
[00:03] 大家都在研究投资策略,看投资组合
[00:05] 但老实说,体力就是大脑的电源供应器
[00:08] 电源不稳,再强的处理器都会降频
[00:10] 市场波动大的时候,判断慢半拍
[00:12] 不是因为笨,而是因为没电了
[00:14] 米红这次回归的马卡组合,逻辑很简单
[00:16] 私立马卡胶囊就是日常打底,这是你的基本持股
[00:19] 95%高纯度,600%浓缩
[00:22] 目标是要让你在每天的精神都维持于均线之上
[00:25] 不要让体力出现断层
[00:26] 基东马卡粉包则是加强保养
[00:28] 这就是你的杠杆工具
[00:29] 6770毫克的顶规剂量
[00:31] 加上人参造肝和L氢氨酸
[00:33] 当你遇到高压会议
[00:34] 或是必须要硬撑的关键时刻
[00:36] 这一包让你突破盘整
[00:37] 强势续航的关键
[00:39] 如果说你感觉你的体力快要瞬间跳空往下探
[00:42] 这组就是你的最强支撑
[00:43] 这次一样是老样子
[00:45] 给骨癌听众最简单
[00:46] 最不用动脑的方式
[00:47] 不用输入折扣码
[00:48] 直接下单最高限省1980元
[00:50] 省下的时间跟钱拿去专注在
[00:52] 更重要的是爱你马卡
[00:54] 好那我昨天看到一个很有趣的分享
[00:57] 在这边跟大家讨论一下
[00:58] 我觉得可能可以帮助一些
[00:59] 想要戒烟的朋友
[01:00] 因为像我自己以前也是抽烟抽超大的
[01:03] 那虽然我不知道老烟枪
[01:05] 我大概就是从高中
[01:06] 可能抽到出社会的几年吧
[01:09] 我也忘记了
[01:09] 反正就是大概
[01:10] 中间有断断续续想要戒烟几次
[01:12] 可是都失败
[01:13] 大概最多可能一两个月
[01:15] 就会直接停掉
[01:16] 那最主要原因是因为
[01:17] 还是会跟朋友去唱K
[01:18] 或者说去吃热炒
[01:20] 然后你只要在那样的环境之下
[01:22] 就会触发你想要去来根之类的
[01:24] 那以前自己抽烟真的算抽蛮大的
[01:26] 因为就会一天大概完结掉两包左右吧
[01:30] 最喜欢的就是像那什么七星的蓝莓啊
[01:32] 黑七星啊
[01:33] 不然就是红marble
[01:34] 所以都是属于那种比较浓的烟
[01:36] 那抽到后来是自己都会发现说
[01:38] 有时候在走楼梯的时候你会喘
[01:40] 或者说你明明就没有在做什么事情
[01:42] 你会喘
[01:42] 然后早上起来一堆痰
[01:43] 所以抽烟本身呢
[01:45] 就除了你身边的人会觉得你很臭之外
[01:47] 然后路人会觉得说干你妈的
[01:48] 就是跟在你后面就会觉得超衰小
[01:50] 你可能会被人家侧目
[01:51] 然后再来就是
[01:52] 对自己的身体
[01:52] 其实也不好
[01:53] 所以非常推荐
[01:54] 大家都要勇敢的去戒烟
[01:56] 那我昨天就是看到一个
[01:58] 非常有趣的影片分享
[01:59] 突然间就意会到
[02:01] 为什么以前会这么喜欢抽烟
[02:02] 以前我自己很喜欢抽烟
[02:04] 我是觉得说
[02:04] 就是可能早上一根
[02:06] 或是说什么
[02:06] 你要拉屎拉不出来的时候
[02:08] 抽一根
[02:08] 这个有抽烟的应该知道
[02:09] 就整个就顺畅了
[02:11] 就觉得抽烟真的是
[02:12] 好像是让我们的身体
[02:14] 可以按下开机键的感觉
[02:15] 但其实某个程度上
[02:17] 是有点像说
[02:17] 先帮你弱化
[02:18] 然后弱化之后
[02:19] 那可能让你补充你古丁之后
[02:21] 你就再一次的强化回去
[02:23] 所以其实你只是严格上来说
