[00:00] 欢迎收听谷外,我是星风公,本期节目由NordVPN赞助
[00:03] 虽然4月已经过了廉价,大家可能还没有规划下一次的长假
[00:07] 但一想到旅游规划,最让人家头痛的还是贵松松的机票
[00:10] 最近受到国际局势动荡的影响,例如中东地区的紧张情势
[00:14] 让机票价格居高不下,旅游预算很难控制
[00:17] 面对贵松松的机票,不少人会透过NordVPN来切换不同地区比价
[00:21] 这也是规划旅游时最实用的小技巧
[00:23] 在查询机票或者住宿的时候
[00:25] 不同国家跟地区显示的价格
[00:27] 确实会有所差异
[00:28] 对于想要精打细算
[00:30] 控制预算的人来说
[00:31] 只要一键就可以完成切换
[00:32] 相当的实用
[00:33] 那说比价
[00:34] 使用NordVPN也大大提升网络安全保障
[00:37] 在规划行程的时候
[00:38] 常常会在家里咖啡厅或外出的时候
[00:40] 去使用各种网络的环境查资料定行程
[00:42] 但公共网络其实在安全性上比较难掌握
[00:45] 这种时候去使用NordVPN
[00:47] 可以帮助加密网络连线
[00:48] 就算是在公共的WiFi环境下
[00:50] 查询住宿机票
[00:51] 或是登录账号处理付款
[00:53] 也能够多一层保障
[00:54] 同时连线速度稳定
[00:55] 不太会影响到实际操作的体验
[00:57] 如果你之后人已经在国外
[00:59] NordVPN也可以切换为台湾的IP
[01:01] 连接熟悉的网站
[01:02] 或是常用的服务
[01:03] 使用上会更加的顺畅
[01:05] 我自己还额外提供几种
[01:06] 自己会使用的情境
[01:08] 包含像是你手游要连回台湾去领宝物
[01:10] 或者是说如果你遇到
[01:11] 网路的电缆速度很慢的时候
[01:13] 换区有时候可以解决
[01:14] 最后面就是一些软体所需
[01:16] 也都可以靠NordVPN来处理
[01:18] 而且现在NordVPN
[01:19] 不只是支援手机平板跟电脑
[01:21] 也支援Smart TV和Apple Vision Pro
[01:23] 一个账号最多可以同时使用于10台装置
[01:26] 不论是在家或是外出都能够灵活使用
[01:29] 现在透过我们资讯栏的专属链接
[01:30] nordvpn.com slash gooay
[01:32] 或在结账的时候输入优惠码gooay
[01:35] 立即享有期间限定优惠
[01:37] 购买两年方案加送4个月
[01:39] 并提供30天退款保证
[01:41] 不满意都可以随时取消
[01:42] 零风险尝试
[01:43] 因为我自己在节目里面
[01:44] 蛮常跟大家讲说
[01:45] 自己是属于那一种
[01:47] 蛮有弹性的人
[01:48] 包含说像是我们有时候去
[01:49] 看待这个股票市场的行情
[01:51] 那我们自己会去设一些底线
[01:53] 那如果说今天可能达成一些条件
[01:55] 我们就会立刻的去做一些
[01:57] 转向跟调整
[01:58] 那我自己是对于这样子的一个
[02:00] 充满弹性的个性
[02:02] 某个程度上是还蛮自豪的
[02:03] 虽然小时候很多时候
[02:04] 会被老师讲说
[02:05] 什么这个叫做玩世不恭
[02:07] 这个叫做你这个人改来改去
[02:09] 怎么朝三暮四
[02:11] 或者说人家讲说
[02:13] 你是属猴的啦
[02:14] 跳来跳去
[02:14] 或者说双子座
[02:15] 就是这样子
[02:16] 把他整天善变或什么的
[02:17] 但其实我长大之后
[02:19] 发现说这样的个性是好的
[02:20] 就充满弹性
[02:21] 然后去应对各式各样的人事物
[02:23] 特别是在我们自己的工作里面
[02:25] 是很适合
[02:26] 那当然如果今天
[02:26] 像我这样子的个性
[02:27] 你放我去当什么会计师
[02:30] 或什么会计事务所
[02:31] 去上班之类的
[02:31] 我应该没有几天
[02:32] 就立刻给人家开除
[02:33] 所以那些非常讲究
[02:35] 要做到很精确
[02:37] 不能够失误
[02:37] 然后重复性很高的东西
[02:38] 完全不能够做
[02:39] 所以你只要能够掌握自己的个性
[02:41] 某个程度上
[02:42] 我觉得还是可以在社会上面
[02:43] 是过得还蛮不错
[02:44] 即便可能从小老师会告诉你说
