[00:00] 欢迎收听谷爱,我是香木工,本集节目由New Balance赞助
[00:03] 天气开始变热,知道大家都在看机票或是去户外走
[00:06] 但在那之前要先把你的装备给配置好
[00:08] 很多人出国旅游喜欢穿设计前卫外形潮到天上的话题款
[00:12] 那种东西穿搭上像是短线题材股
[00:15] 穿上去那一刻可能很爽,但走不到半天
[00:17] 脚底板就告诉你这笔交易烂透了
[00:19] 出门穿搭就像是要找旅伴
[00:21] 旅伴必须要找有潜力的长期标的
[00:23] 那我会说New Balance这套就像是那种优质资产
[00:27] 便宜日走三万步依然有体力看盘
[00:29] 随便一套就有型
[00:30] 不论股市红或绿
[00:31] 你的造型随时在线
[00:32] 先看这一件NBBOY系列上衣
[00:35] 插画好看
[00:35] 不会太单调
[00:36] 也不会显得臭宅
[00:37] 这种不退流行的东西就是优质资产
[00:40] 全家大小一起穿也很温馨
[00:41] 至于脚下那双鞋
[00:43] 决定你出门在外心态稳不稳
[00:44] 这次推的740
[00:46] 脚感舒适
[00:47] 外形也耐看
[00:48] 不管你是去东京或是欧洲的石板路
[00:50] 它的回馈感就像是稳定的报酬
[00:52] 没有花言巧语
[00:53] 但很实在
[00:54] 如果要一双鞋打天下
[00:56] 跟老公约会
[00:57] 拍美照又要走景点
[00:58] 那可以看240L
[01:00] 线条简约又好搭
[01:01] 不管什么场景都能够应付
[01:03] 总之NB的东西
[01:04] 就是基本面扎实设计在线
[01:06] 投资自己的穿搭
[01:07] 绝对比乱听名牌划算
[01:09] 有兴趣的朋友
[01:10] 可以去全台的New Balance
[01:11] 门市试穿或是官网看看
[01:13] 相关的连结
[01:14] 我放在资讯栏这一边
[01:15] 那我自己本身
[01:15] 是非常推New Balance的鞋子
[01:17] 包含像我自己
[01:17] 我老婆跟我的孩子
[01:18] 我们每个人都一双
[01:19] 那他真的是一双
[01:21] 非常好穿的鞋子
[01:21] 在这边推荐给
[01:22] 所有需要的朋友们
[01:23] 那昨天有收到一封私讯
[01:25] 那这封私讯是来自于
[01:27] 我们宜兰的快乐听众好朋友
[01:29] 那他跟他的先生呢
[01:30] 都是我们招的说法
[01:32] 就是每集都会听的听众
[01:34] 但是在四月初的时候呢
[01:36] 很遗憾的我们失去了
[01:37] 一位听众朋友
[01:38] 那他也失去了他的先生
[01:40] 那他有私讯我
[01:42] 有跟我讲一些话
[01:43] 他希望可以
[01:44] 在节目上面念出来
[01:45] 因为他说他留言
[01:46] 都没有成功过
[01:47] 那我们就来帮这位太太
[01:49] 圆一次她的梦想
[01:50] 她说其实我的留言都没有被念到过
[01:52] 希望这一段话可以送给她
