[00:00] 欢迎收听谷外,我是孟公
[00:01] 本集节目由巧虎、诱惑原理儿童保健系列联名赞助
[00:06] 白天操盘看着K线上冲下洗
[00:08] 晚上带小孩忍受灵魂回荡
[00:10] 人生两条线同时面临压力测试
[00:13] 持股可以震荡,但小孩健康一定要稳
[00:16] 在育儿这个战场,最忌讳像是选股一样乱听名牌乱世偏方
[00:20] 直接找基优股才是最实际的生存法则
[00:23] 各位拈软针线朋友有福了
[00:25] 诱惑原理这次与育儿界台积电巧虎联名
[00:28] 推出叶黄素综合维他命
[00:30] 钙鱼油多糖体
[00:32] 直接帮你打包成为一档儿童健康ETF
[00:35] 口味分散风险
[00:36] 避免单一标的巨吃断头风险
[00:38] 基本面扎实
[00:39] 国际大厂原料家第三方公正检验
[00:42] 良率层层把关
[00:43] 好知道小孩愿意主动要生下
[00:45] 连红带片让补给自动进行
[00:47] 内线消息
[00:48] 5月5号是巧虎的生日
[00:50] 截至5月5号
[00:51] 优活原力开出一系列利多
[00:53] 在Momo下单抽金饰赠品
[00:55] 拿好拿满最高在8折优惠
[00:58] 要是赛道抽中金饰
[00:59] 老婆开心资金安稳
[01:01] 直接帮你平仓这阵子的家庭压力
[01:03] 这种有基本面支撑
[01:05] 又有加码的活动
[01:06] 通常就是进场讯号
[01:07] 小孩的健康从现在开始定期定额
[01:10] 趁优惠分批买进
[01:11] 另外还有成人保健品
[01:12] 从小到大一起雇
[01:14] 有需要的朋友
[01:14] 可以到我们资讯栏这边
[01:15] 找到更多的说明与连结
[01:16] 好那我想我在接下来的一阵子
[01:18] 都会一直记得2026年的4月
[01:21] 4月是一个非常难忘的月份
[01:23] 那当然在股票市场
[01:24] 我相信大家的表现一定都很好
[01:26] 如果说你今天有看到
[01:26] NASDAQ是怎么样喷的
[01:27] 我说台纸价
[01:28] 是直接来到38000点
[01:30] 大家应该都非常傻眼
[01:32] 就是在过去的一个月
[01:33] 特别是前面还有利空还四指价
[01:35] 然后后来就打出了
[01:36] 很棒的一个报酬
[01:37] 这其实印证了
[01:39] 长期的一个说法
[01:40] 就是在市场
[01:40] 可能大家最绝望的时候
[01:42] 很多时候就会产生一些
[01:43] 令你难以相信的行情
[01:44] 我是觉得行情的部分
[01:46] 当然对自己来说
[01:47] 是还蛮开心的
[01:48] 但更开心的是
[01:49] 在昨天去健身房量体重的时候
[01:51] 发现说自己的体重
[01:53] 只剩下79.8
