[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由Ergotron赞助
[00:03] 我发现一件事蛮有趣的,很多人花几个小时在刷财报,看筹码,研究半导体产业链
[00:08] 结果回过头来,你的交易环境跟狗屎一样
[00:11] 一目高度不对就会弯腰驼背,姿势歪七扭八也继续撑,反正能动就好
[00:16] 但说实话,这就是一种低效率的自我折旧
[00:19] 你每天盯盘工作至少8个小时,如果硬体的配备不好用,长期下来不只是产出变差
[00:25] 你的脖子跟肩膀一定会出问题
[00:27] 这就跟投资一样
[00:28] 基础没有搞好
[00:29] 后面都是浪费成本
[00:30] 后来我换了Agrotron的萤幕支架
[00:32] 本来想说这个东西不过就是个架子
[00:34] 结果用了之后真的回不去
[00:36] 它的支撑力跟流畅度没在开玩笑
[00:38] 基本上一根手指头
[00:39] 就可以把萤幕推到最舒服的位置
[00:41] 不管你是要专心的看盘拉报表
[00:44] 还是下午要躺着追剧
[00:45] 都能够秒调到最爽的角度
[00:47] 这就是那种你没有用过觉得没差
[00:49] 用过之后想说我之前在干嘛的东西
[00:52] 特别是你有双萤幕的人
[00:53] 那个空间解放感更明显
[00:55] Eggotron支架是给十年保固
[00:57] 基本上这可能是你整张桌子最耐操的东西
[01:00] 搞不好用到台股十万点
[01:01] 这支架还在那屹立不摇
[01:03] 如果说你也想优化一下自己的配置
[01:06] 现在结账的时候
[01:06] 输入我们的优惠代码
[01:07] 大写的GOOAYE
[01:09] 全管萤幕支架直接九折
[01:12] 投资自己身体的硬体设施
[01:14] 是大概是这辈子胜率最高的交易
[01:16] 连结放在资讯栏这边
[01:17] 那这个萤幕支架真的非常好用
[01:18] 那像我自己也是有注意到说
[01:20] 长期坐在电脑桌前面
[01:21] 包含说像你
[01:22] 就像说假设你坐得太低的话
[01:25] 那你可能就有耸肩的问题
[01:26] 那坐得太高的话
[01:27] 那有时候就有驼背的问题
[01:29] 那除了把椅子跟可能脚踏垫处理好之外
[01:31] 我觉得把荧幕支架也弄好
[01:33] 它会让你更妥善的找到
[01:35] 适合自己的一个完美的姿势
[01:37] 那这边请问所有需要的朋友们
[01:38] 可以在资讯栏那边找到更多说明与连结
[01:40] 那自从开始红酒探险之旅之后呢
[01:42] 我觉得这个人生变得更加的充实
[01:45] 那我觉得它可能让我觉得
[01:46] 非常扎实的一点是在于说
[01:48] 因为红酒还蛮耐放的
[01:49] 那有些东西甚至是
[01:50] 据说你买一些2022年份的酒
[01:52] 那你上网查一下就知道说
[01:54] 它的试饮期可能是在2035年以后之类的
[01:57] 所以它需要放一段时间
[01:58] 那搭配自己的酒柜呢
[01:59] 像每天就是起床去稍微看一下自己的酒柜
[02:02] 湿度的状况是怎么样
[02:03] 然后看一下自己补或补的状况是怎么样
[02:05] 那自己喝下来呢
[02:07] 我觉得还是跟就是数年前
[02:08] 那时候岳母的男朋友
[02:09] 因为他自己在意大利有一个酒庄
[02:11] 我也是后来听自己身边有在喝酒的朋友
[02:13] 才知道说那个酒庄的酒其实还蛮特别的
[02:16] 那时候就跟我讲说
[02:17] 他自己的酒大概是卖差不多最贵的是30到50欧元左右
[02:22] 那他是觉得说其实在欧洲呢
[02:24] 大概十几块到二十几块欧元就可以喝到很好的酒
[02:27] 那我是觉得说那个是可能真的是懂品名之后
[02:29] 才会开始有办法去识别到说
[02:32] 就像说像我现在去看一些YT Channel
[02:33] 我不一定要去看说订阅数最高的频道嘛
[02:36] 我甚至有时候找到一些那种Hidden Gem
[02:38] 我会超级高兴的
[02:39] 那差不多是这样子的一个概念
[02:41] 但是呢一开始先透过Price Tag的方式
[02:43] 就直接去因为像说无脑的跟单
[02:46] 到底五大酒庄是怎么样
[02:47] 那美国的什么Cold Vineyard
[02:49] 是怎么样的一个状态
[02:51] 那每个都喝一轮之后
[02:52] 我觉得现在自己对于这些
[02:54] 像是一些酒类的识别度
[02:56] 是有变高
[02:56] 就像那时候清酒
[02:57] 我是全部喝了一轮之后
[02:58] 那我发现我最喜欢的是
[02:59] 新政的某一个
[03:00] 大概3000多块的东西
[03:02] 那现在红酒
[03:03] 也开始慢慢的喝得出来
[03:05] 一点点感觉
[03:06] 我觉得就是靠金钱战术
[03:08] 然后快速的去累积
[03:10] 自己对于红酒的一个认知
[03:12] 那是有效的
[03:13] 那当然这个喝法
[03:14] 绝对不是用那种
[03:15] 超必要的喝法
[03:16] 或者说什么
[03:16] 都故意要直上最贵的
[03:18] 就是说因为你一开始
[03:19] 真的没有概念
[03:19] 所以为了要建立概念
[03:20] 那就去找一些
[03:22] 特别的地块
[03:22] 或者说特别的年份
[03:23] 那你大概喝了之后
[03:24] 你就会大概知道说
[03:25] 原来我之前喝的东西
[03:27] 大概是怎么样
[03:28] 那甚至会很意外的发现
[03:29] 原来以前我可能
[03:30] 蛮喜欢喝的某一种
[03:31] 那时候我也不知道
[03:32] 是什么东西
[03:33] 那原来它是可能属于
[03:34] 哪一种葡萄
[03:35] 或是哪一个地区的
[03:36] 那时候我的直觉就是对的
[03:37] 因为我就是喜欢这个东西
[03:39] 那只是我不知道说
[03:40] 原来可以在
[03:41] 红酒的挑选上
[03:42] 我可以去挑选
[03:42] 就是我特別喜歡的某些地塊去拿來喝之類的
[03:46] 所以整個體驗下來是蠻讚
[03:47] 那我覺得另外一個很棒的收穫是
[03:49] 昨天跟太太去好市多
[03:51] 因為本來講我真的超級討厭去好市多
[03:53] 可是就昨天想要去了解看看
[03:55] 因為我已經是把各種那種傳奇等級的紅酒都收集
[03:58] 然後跟也喝一輪了
[04:00] 還沒有全部喝過
[04:01] 但就是都有已經去張羅了
[04:02] 那有些已經透過一些朋友拿到就趕快先開喝了
[04:05] 那我就想去了解說
[04:06] 那在好市多裡面
[04:07] 因為我一直聽說好市多裡面有時候會有一些酷東西
[04:10] 所以我就跟老婆去逛好市多
[04:13] 那一般我是超级讨人趣的
[04:14] 但那一天就特别期待
[04:15] 那到了那个红酒区之后
[04:17] 我就直接看到它
[04:18] 反正它上面有一区是
[04:20] 它用玻璃罩起来
[04:21] 你没有办法自己拿
[04:21] 你必须要去写提货单的
[04:23] 我想说一样嘛
[04:24] 就是无脑直接写
[04:25] 反正那一瓶就大概一万多块而已
[04:27] 就相较你自己可能跟酒商
[04:28] 或是跟朋友拿的
[04:29] 那个算便宜的东西
[04:31] 反正我先试看看好市多
[04:32] 就是看起来价格最顶的东西怎么样
[04:34] 那在出发前还问一下
[04:35] 非常懂红酒的朋友
[04:36] 他就跟我讲说
[04:37] 几个概念
[04:40] 但是相对可以参考的
[04:41] 就像说像那个红酒的屁股
[04:44] 如果说你可以塞大拇指进去的话
[04:46] 一般来讲就是不会太差
[04:47] 但它不是绝对
[04:49] 跟一般来讲不会太差
[04:50] 然后在这么酒精浓度
[04:51] 要什么13.5%以上之类
[04:52] 然后就给我耳提面
[04:53] 面几个东西之后
[04:54] 那我就快乐而去挑选
[04:56] 反正就是本来想说
[04:57] 好就是包鬼全包
[04:59] 上面这一排
[04:59] 我都回去试看看
[05:00] 然后接着再往下试
[05:01] 反正都是先从
[05:02] 你可以offer最顶的东西开始
[05:05] 那接着后来就跟儿子去旁边
[05:07] 想说买一下宝可梦的玩具
[05:08] 那不知道好事都是怎么搞
[05:09] 就是他有一区是
[05:11] 在南侃店那边是放酒的
[05:12] 然后在酒的旁边是冰箱
[05:14] 可是他有另外一区
[05:16] 就是在玩具的隔壁
[05:17] 不知道为什么
[05:18] 就额外拉一个小booth
[05:19] 然后里面有放红酒
[05:20] 然后一看
[05:21] 这些东西不就是
[05:22] 我自己有在跟酒商叫的东西吗
[05:24] 就是什么木桶堡
[05:25] 然后拉飞
[05:26] 我怎么想说
[05:27] 这个地方怎么可能买到这种东西
[05:29] 那一查还发现
[05:30] 像拉飞的话
[05:31] 我自己的酒商
[05:32] 竟然会贵八千
[05:33] 那当然不想说我酒商坑我
[05:34] 我酒商在很多地方
[05:35] 都是比其他地方都还便宜
[05:37] 可是有些东西
[05:38] 可能好事多
[05:39] 他有他的采购的力量
[05:41] 所以
[05:41] 哇靠这也太便宜了吧
[05:42] 那我就直接问他说剩几瓶
[05:43] 然后就全部拿走
[05:44] 我就直接把
[05:44] 他有五大宝里面的三个宝
[05:47] 那就全部都把它带回家
[05:48] 非常高兴
[05:49] 但他可能是属于比较年轻的酒
[05:51] 所以可能不能够太早开这
[05:53] 但反正总之就是最近去
[05:54] 试了这些东西之后
[05:56] 我是没有去续酒
[05:57] 就没有说什么一天一定要喝多少
[05:59] 然后出去一定要一直拱人家喝什么
[06:00] 反正我就是自己就是很好奇
[06:02] 到底你们在屌什么
[06:03] 就是每次都看到
[06:04] 大家的红酒怎么样
[06:05] 一定要喝什么
[06:06] 我想说你们在屌什么
[06:07] 跟之前可能看那个清酒量
[06:08] 所以其实有点那种反骨的味道进去
[06:11] 就是你们到底整天吹在吹什么
[06:12] 那去试了之后
[06:13] 就会慢慢的找到自己喜好的东西
[06:16] 所以最终会明白说
[06:17] 其实最好的东西绝对不是说用price stack
[06:20] 或者说用什么
[06:21] 大家去把它封为是cold vineyard
[06:23] 就是所谓的邪教式的这种酒庄
[06:26] 因为供需是失衡嘛
[06:27] 大家都要抢
[06:28] 就是最酷的东西不一定是那个
[06:29] 因为你喝了你不一定会喜欢
[06:30] 那总之呢
[06:32] 就是你只要能够找到自己喜欢的味道就好
[06:34] 那我觉得光是去训练这个记忆
[06:36] 稍微让我觉得心里比较舒服的一点就是
[06:39] 像以前身边有一些朋友
[06:41] 发生过两三次了
[06:42] 反正就是要么就是搬家
[06:43] 要么就是可能家里需要清除空间
[06:45] 他们就会讲说
[06:46] 孟公来啊
[06:47] 我们家有红酒你把它带回去
[06:49] 那因为以前我都不懂
[06:50] 我觉得说红酒看起来就是
[06:52] 怎么讲
[06:52] 一般都在喝啤酒
[06:53] 喝便宜的东西
[06:54] 红酒感觉就是自带一种
[06:56] 感觉比较高贵的味道
[06:57] 你叫我去帮忙拿一点红酒
[06:59] 我就拿
[06:59] 那有些东西我就一直放在我家里
[07:01] 我根本就没会动它
[07:02] 然后后来才发现说
[07:03] 干嘛一堆根本就是把垃圾丢给我
[07:06] 說這個東西是怎麼便宜
[07:07] 或者有些可能也是幾千塊
[07:08] 跟看那個就很難喝
[07:10] 所以好處就是以後就不會給人家
[07:13] 這個丟垃圾了
[07:14] 當然不知道說這些朋友
[07:15] 故意要丟垃圾給我
[07:15] 意思就是說下次會知道說
[07:18] 這個我不要你可以給別人
[07:19] 我可以把你介紹給看誰來拿
[07:21] 我就不要自己扛這種東西回家
[07:23] 因為這到底是傻小
[07:24] 但光是這一種
[07:25] 就是你有一點那種見別度的感覺
[07:27] 就覺得在心裡面是非常的舒服
[07:30] 我就會覺得
[07:31] 我現在好像分得出來一些東西
[07:33] 所以會繼續往這個方向再努力一下
[07:35] 那按照我現在的一個推進速度
[07:37] 我大概是估計
[07:39] 可能半年內就可以整個都走過一輪了
[07:41] 那接著呢
[07:42] 但我覺得這需要時間去累積啊
[07:44] 可能就是慢慢去深化
[07:45] 然後挑到真的自己超喜歡的東西
[07:47] 然後或許就可以再拿出來跟大家分享
[07:49] 我發現紅酒的世界
[07:50] 又比清酒的世界再更加的複雜一點點
[07:53] 所以可能要再多花一點時間
[07:55] 那當然可能整個玩完之後就
[07:57] 就不喜歡
[07:57] 就搞不好就換去下個東西啊
[07:58] 這就是我
[07:59] 但反正就是會想挑戰看看
[08:01] 那順便跟大家分享一下
[08:02] 就是因為我現在收入整理已經進入到了
[08:04] 我本來是Ozempic
[08:05] 然後現在換成是Montreal
[08:07] 我已經有看到一些聽眾有私訊
[08:09] 我想說你要記得講你的心得是怎麼樣
[08:11] 我的心得是簡單講就是Ozempic
[08:13] 因為那時候是朋友買的
[08:15] 簡單就是說他們那時候去做大量的採購
[08:17] 就會有一些東西可以分出來
[08:19] 我不知道它是劑量最高的東西
[08:20] 我那時候就直接直上劑量最高
[08:22] 然後本來以為自己有可能會什麼
[08:24] 急性胰臟炎殺小
[08:25] 但後來是完全沒有什麼事情
[08:27] 這次到Montreal其實我本來是打算
[08:29] 因為醫生開給我的是5毫克的
[08:30] 然後六個檔說5毫克可能就轉30個刻度
[08:33] 就打2.5 2.5這樣慢慢試
[08:34] 我想說這什麼東西啊
[08:36] 我才不是這樣子他媽的
[08:37] 威威縮縮的人
[08:38] 我要打就直接直上
[08:39] 但因為前面有這個Ozempic的教訓
[08:41] 所以怕說
[08:42] 因為人家講說
[08:43] Mongar的藥效真的很強
[08:44] 所以就牢牢實實的密底刮
[08:46] 從2.5開始
[08:47] 那打下去不得了
[08:49] 發現說完全沒有感覺
[08:50] 他比Ozempic又再更加的弱
[08:52] 可能是因為Ozempic已經直上了
[08:53] 所以打Mongar只打2.5真的是沒有感覺
[08:55] 那甚至是會開始需要去用意志力
[08:58] 來控制食慾
[08:59] 就是你真的他媽太餓了
[09:00] 你會很想吃東西
[09:01] 那吃完之後
[09:02] 還會想再去開個可樂果之類的
[09:04] 但是有把它忍住
[09:06] 所以我覺得下次可能
[09:06] 盡量要直接拉上去
[09:07] 不然就會失去減肥真的效果
[09:10] 就在我的身體裡面
[09:11] 我是真的沒有感覺到
[09:12] 這個東西有影響到我
[09:13] 我就只有感覺到一點點的負重
[09:15] 就是口渴
[09:15] 我每天晚上都口渴
[09:17] 除此之外就沒有任何的感受
[09:19] 體重還是持續的微微的往下降
[09:22] 已經快要到自己的目標了
[09:23] 非常高興
[09:24] 也希望有在減重的朋友都可以順利
[09:26] 大概這樣子
[09:27] 好 接下來我們來進入節目的話題
[09:29] 現在市場還是爽到一個
[09:31] 不知道该怎么样去形容的一个地步
[09:33] 那当然在礼拜四的时候
[09:34] 我们看到台股出现一个压力测试
[09:36] 直接给带来一个大逃杀
[09:38] 那基本上身边所有人
[09:40] 包含像我自己呢
[09:40] 都有做一些部位的调节
[09:42] 那你当然看到礼拜五
[09:43] 可能蛮多东西喷回去
[09:44] 想说你为什么前面要做调节
[09:46] 那老样子就是我们每次
[09:47] 我们都不会想要去摸头跟猜底
[09:49] 反正看到盘面是怎么样
[09:51] 该做什么就去做什么
[09:53] 那只是我在礼拜五的时候
[09:54] 算是有对我的持股
[09:56] 做超重大的改变
[09:57] 大概是可能从过去以来
[09:59] 第一次去调这么多的持股
[10:01] 那先稍微讲一下美股的市场
[10:03] 美股市场还是非常好
[10:04] 那CPU的肋骨全面是喷出去
[10:06] 因为Intel开出来的数字
[10:07] 是还蛮不错的
[10:08] 而且后面也要开始涨价
[10:09] 那面CPU肋骨就算是在市场里面
[10:11] 已经是全面的传开了
[10:13] 所以可能像我们自己
[10:14] 前面在讲的时候
[10:15] 我们只是从技术面里面
[10:16] 去找到一些端倪
[10:17] 那外加从自己的产业分析
[10:19] 知道说你现在要去推
[10:21] Agentic AI就需要用到CPU
[10:23] 那一样这都不是什么事后收割
[10:25] 就是我是不太喜欢做这样的事情
[10:26] 但节目都是白
[10:27] 都是有时间走
[10:28] 大家可以自己去回听一下
[10:29] 所以我們是有一個推理的依據
[10:31] 然後去做測試
[10:33] 當然有些東西就會像CPU這樣直接噴出去
[10:36] 有些東西有時候覺得不小心可能講得太早
[10:39] 它就需要時間去醞釀
[10:40] 就像是MARVEL可能上去打第三次才成功打贏
[10:43] 但其實前面你壓住的東西
[10:45] 跟這次的邏輯都是蠻類似的
[10:47] 但同樣的一個邏輯不一定在每次都會賺到錢
[10:49] 這個是要注意
[10:50] 這次CPU的討論是已經旺盛到
