[00:00] 欢迎收听谷爱,我是盛梦宫,本期节目由NordVPN赞助
[00:03] 暑假旅游旺季即将到来,现在正是提前规划家庭旅游的好时机
[00:07] 面对贵松松的机票,不少人会透过NordVPN切换不同地区来比价
[00:11] 这也是规划旅游时最实用的技巧
[00:14] 在查询机票跟住宿的时候,不同国家跟地区显示的价格有时会有所差异
[00:18] 对于想要精打细算控制预算的人来说,一件就可以完成切换相当实用
[00:23] 除了比价,使用NordVPN也可以大大的提高网路安全保障
[00:26] 在规划行程的时候
[00:28] 常常在家里咖啡厅
[00:29] 或是外出的时候
[00:30] 去使用各种网络环境查资料定行程
[00:32] 但公共网络其实在安全性上比较难掌握
[00:35] 这个时候使用NordVPN
[00:36] 可以帮助加密网络连线
[00:38] 就算是在公共的WiFi环境下去
[00:40] 查住宿机票或登录账号处理付款
[00:42] 也都多一层保障
[00:43] 同时连线速度稳定
[00:45] 不太会影响实际操作的体验
[00:46] 那如果说人已经在国外
[00:48] NordVPN也可以切换回台湾的IP
[00:50] 连接熟悉的网站或常用的服务
[00:52] 使用上会更加的顺畅
[00:53] 像我自己在海外
[00:54] 遇到一些软体
[00:55] 或是游戏的索区
[00:56] 我都会使用NordVPN
[00:57] 而且现在NordVPN
[00:58] 不只是支援手机平板跟电脑
[01:00] 也已经支援Smart TV
[01:02] 跟Apple Vision Pro
[01:03] 一个账号最多
[01:04] 可以同时用于10台装置
[01:06] 不论是在家或是外出
[01:07] 都可以灵活的使用
[01:08] 下次要透过我们资讯栏的
[01:09] 专属链接
[01:10] nordvpn.com
[01:11] slashgooay
[01:12] 或在结账的时候
[01:13] 输入优惠码gooay
[01:14] 立即享有期间限定优惠
[01:16] 购买两年方案
[01:17] 加送四个月
[01:18] 并提供30天退款保证
[01:20] 不满意都可以随时取消
[01:21] 零风险尝试
[01:22] 下礼拜六正式进入
[01:23] 五月的第一个交易日
[01:24] 自己是觉得非常的兴奋且期待
[01:27] 因为四月相信绝大多数人
[01:29] 都缴出了非常暴力的成绩
[01:30] 就算你没有在做交易的
[01:32] 你只是把部位放在
[01:33] 可能0050台积电什么的
[01:34] 大家的成绩都是非常的好
[01:36] 在五月希望可以维持
[01:38] 这样的一个长势
[01:39] 但用我自己内心的声音来说的话
[01:41] 我觉得这个长势
[01:42] 应该是没有办法持续多久
[01:44] 因为真的他妈太疯狂了
[01:45] 所以自己会做一个假设
[01:47] 就後面應該會有一些
[01:48] 可能是蠻像樣的回檔會出現
[01:50] 就是一定會有一些上課的機會
[01:52] 只是你沒有辦法確定說是5月初
[01:54] 5月中還甚至是到6月中
[01:56] 但反正該出現都會出現
[01:57] 如果說沒有去做好準備的
[01:59] 就算你可能前面再多賺個幾天
[02:00] 那後面都會去收到蠻大的一個打擊
[02:02] 其中一個我自己還蠻喜歡的指標
[02:04] 就是我注意到說
[02:05] 當然你現在要去講說什麼
[02:06] 誰是插鞋童
[02:06] 這個都很奇怪
[02:07] 因為插鞋童從1萬點插鞋子
[02:09] 插到4萬點
[02:10] 插鞋童自己都已經開鞋店了
[02:12] 所以不要整天去笑人家在插血桶
[02:13] 那可是在我们的感受
[02:14] 就是当我们今天
[02:15] 可能注意到市场上
[02:16] 某一些标的
[02:16] 它其实走得好好的
[02:17] 但开始会很多人出来骂说
[02:19] 什么啊它怎么下跌了
[02:20] 怎么它之前都不会跌
[02:21] 它怎么下跌了
[02:22] 其实你听这个
[02:23] 我老实讲这个话呢
[02:24] 就是你听在一些
[02:25] 有一点经验的人的耳中
[02:27] 就会知道说
[02:27] 你到底在讲什么
[02:28] 这股票本来就涨涨跌跌
[02:29] 可是有时候就是股票
[02:30] 连续涨一段时间
[02:31] 大家就真的会相信
[02:32] 股票是不会跌的
[02:33] 那那个时候呢
[02:34] 可能就会有一些这个
[02:35] 引爆的行情出现
[02:36] 所以呢
[02:37] 正哥带蛋
[02:38] 希望后面都可以顺利的度过各种难关
[02:41] 那最近在自己的生活的体验上
[02:43] 我觉得又再一次的往上更上一层楼
[02:46] 因为最近就是去搞那个红酒柜之后
[02:49] 那很快的那个红酒柜理论上都可以放七十几瓶
[02:52] 那我本来想说以我一个外行的角度
[02:55] 刚好去做切入
[02:56] 去找一些名装的东西补一补
[02:58] 慢慢看
[02:59] 可能就是对我来讲
[03:00] 搞不好一两年才把它装满吧
[03:02] 结果呢两个礼拜要装满
[03:04] 两个礼拜这个红酒柜装满
[03:05] 所以一些前辈讲的是对的
[03:07] 就是小型的酒柜
[03:08] 真的是不够用了
[03:09] 那当然我也想要
[03:10] 再有一个更大一点的酒柜
[03:12] 可是如果说
[03:12] 我们家里不够大的话
[03:14] 你放那么大的酒柜
[03:14] 也很奇怪
[03:15] 你会占到大家的使用空间
[03:16] 所以呢
[03:17] 就是可能不知道
[03:18] 就之后再找一些空间
[03:19] 去做厨藏吧
[03:21] 那我自己也有想到说
[03:22] 因为可能在今年
[03:23] 或是明年
[03:24] 有机会去投一些餐厅
[03:25] 那或许可以把一些酒类
[03:27] 放到那个餐厅
[03:27] 因为我想说那些酒类
[03:28] 如果说今天
[03:29] 是用公司的名义去买的话
[03:30] 就那个餐厅
[03:31] 其实对他来讲
[03:32] 就是有一些
[03:33] 可能比较高单价的
[03:34] 你囤那个货在那
[03:35] 你又不一定卖得出去
[03:36] 不一定大家会喝到那样的程度
[03:37] 可是我又觉得说
[03:39] 如果说有一些高单价的酒
[03:40] 放在那边
[03:41] 或者说在menu上面是看得到
[03:42] 那一定是很多人会想要去打卡拍照
[03:45] 或者说我在朝圣
[03:46] 这个东西可能平常看不到
[03:47] 所以想想觉得说
[03:48] 如果说今天可以去搞一个餐厅
[03:50] 然后把自己喜欢的一些东西
[03:51] 放在那边
[03:51] 如果有卖掉
[03:52] 我们再看怎么样去解
[03:53] 如果没有卖掉
[03:54] 我就自己把它喝掉
[03:55] 那可能是一个不错的选择
[03:56] 或许又可以解决掉
[03:57] 所以我就不要在家里
[03:58] 放一堆有的没有的东西
[03:59] 这样的困扰
[04:00] 那平常心说
[04:01] 我是觉得红酒收集
[04:02] 是一个蛮有趣
[04:03] 蛮好玩的事
[04:04] 所以呢
[04:05] 就是在可能
[04:06] 非常夸张的一个采买之后呢
[04:08] 那心中还是很踏实的
[04:10] 还是很感谢那些长辈
[04:12] 就是若有事无的
[04:13] 引导我入坑
[04:14] 他们没有真的要叫我入坑
[04:16] 可是我就是看他们这样
[04:17] 我觉得他们很特别
[04:17] 所以想要试看看
[04:19] 那觉得这是一个
[04:20] 很赞的体验
[04:21] 就是可能跟自己
[04:22] 有一点那种收集癖
[04:23] 也有关系吧
[04:24] 我觉得像我自己的
[04:25] 一些股票部位
[04:26] 有些账号的部位是这样
[04:28] 就我一个波段
[04:28] 我随便举例
[04:29] 我赚500万好了
[04:30] 那我可能就会
[04:31] 最后面要出场的时候
[04:32] 我就留50到100万的
[04:33] 不会在那边
[04:34] 我就不卖了
[04:34] 就这样股票
[04:35] 我怎么样都不会再买
[04:36] 因为在我的认知是
[04:37] 我已经曾经在你商场赚过钱了
[04:39] 这个我就当成是
[04:40] 公司免费送我的一个股份
[04:42] 会用这样的一个
[04:43] 那种类似心理账户的心态去面对
[04:45] 然后有时候就会注意到
[04:46] 一些非常夸张的报酬率
[04:47] 在这边打出来
[04:48] 那虽然它可能对你的
[04:50] 净值是没有什么太大的影响
[04:51] 但就是一个爽感吧
[04:53] 一种那种
[04:53] 收集东西的味道
[04:55] 那种每次去收
[04:56] 可能寄来的股东心
[04:58] 一大碟
[04:59] 这个也是一个有趣的体验
[05:00] 那再来像自己也蛮喜欢收集
[05:02] 什么游戏玩卡或是公仔之类的
[05:04] 可是后来发现说这些东西
[05:06] 游戏玩卡的话
[05:07] 是后来你注意到说
[05:08] 这个发行商
[05:08] 他真的就在割韭菜了
[05:10] 虽然我至今是没有去卖出
[05:12] 我的任何一个收藏
[05:13] 那时候一开始还会觉得说
[05:15] 你是不是
[05:15] 你囤到某个时间点
[05:16] 你是要卖
[05:17] 你是要去做价差
[05:18] 没有人会有病到
[05:19] 在这边去做这种事情
[05:20] 或许可能你是专职
[05:22] 在做这行的会
[05:23] 可是我们在做市场的
[05:25] 那个速度是更快的
[05:26] 没有必要去玩这种无聊的事
[05:28] 那所以呢
[05:28] 其实东西都还留着
[05:29] 那但你就发现说
[05:30] 有些东西你会想是限量的
[05:31] 然后你后面狂出
[05:32] 那真的是不爽
[05:33] 所以就啊
[05:33] 就懒得去收集了
[05:34] 那在公仔的话
[05:36] 就是你可能家里的空间就不够
[05:37] 再大的地方都不够
[05:39] 可能给你一个博物馆就不够
[05:40] 就是总是有办法把它放满
[05:42] 那最终呢
[05:43] 你就必须得把一些东西
[05:44] 真的是送给朋友啦
[05:45] 就我也不会再拿去卖掉什么
[05:46] 我都拿去送朋友
[05:47] 那像红酒的话
[05:48] 我觉得有趣的地方是
[05:49] 你如果今天放满
[05:50] 你就把它喝掉
[05:51] 超爽
[05:52] 你就把它喝掉
[05:52] 即便我觉得跟我可能一开始的感受有点像
[05:56] 虽然我的红酒之旅才启动没有多久
[05:57] 可是我是用非常高的一个效率在做尝试
[06:00] 我不是每瓶都把它喝掉
[06:02] 我就是开了之后
[06:02] 我可能自己喝个一杯两杯
[06:04] 然后剩的就交给朋友邻居
[06:06] 让他们去把它处理掉
[06:07] 他们也爱喝
[06:08] 他们可能也觉得说
[06:09] 你买这些东西有病
[06:10] 你怎么会花钱买这种东西
[06:11] 没关系
[06:12] 你们平常可能不一定会想要花这个钱
[06:14] 那就让我这个韭菜来花这个钱
[06:16] 我只想去吃它的味道
[06:17] 味道吃到之后
[06:18] 可以让你们把它喝掉
[06:19] 所以在短短一段时间内
[06:21] 算是累积了蛮多的一个
[06:23] 那种类似作品集
[06:25] 我自己都会去写笔记
[06:26] 笔记没有很认真写
[06:27] 就大概记录一下
[06:28] 你可能喝到的感受怎么样
[06:29] 然后给他一个分数
