[00:00] 欢迎收听谷爱,我是星梦宫,本期节目由ZZSleeper-2度两感忘忧枕赞助
[00:05] 最近盘市强到让人害怕,大盘指数42000点,台积电喷到2345
[00:10] 很多人在问这是不是高点泡沫,但跟你说真正的泡沫是你每天睡不到4小时的体力
[00:15] 各位在那边算期望值什么风暴比,却放任自己的颈椎每天处于违约的边缘
[00:21] 很多人凌晨3点还在刷美股,醒来脖子卡了跟发哥关进币一样动弹不得
[00:26] 你要知道决策品质跟睡眠品质是正相关的
[00:29] CCC per 1U诊
[00:31] 由物理治疗师联手设计
[00:32] 三种高度跟双弧度切面
[00:34] 不管你是正躺正在思考停力点
[00:37] 还是侧睡滑群组看谁又在汪汪叫
[00:39] 它的双弧度切面都能够完美的贴合
[00:42] 让你的颈椎不再跌破支撑
[00:44] 帮你撑住那颗装满标鼓的脑袋
[00:46] 特别是那个负二度两杆内整套
[00:49] 在这个市场过热
[00:51] 大家都想要all in的时刻
[00:52] 头一靠上去那一种强迫冷静的降温感
[00:55] 真的会让你少下几笔冲动的单
[00:57] 咨询员这边点下去
[00:58] 登陆立即享诸位专属
[01:00] 无二者起优惠
[01:02] 投资有赚有赔
[01:03] 但睡好觉绝对是最好的套利空间
[01:05] 那这个枕头真的是非常好
[01:07] 所以我很喜欢
[01:07] 我自己的枕头呢
[01:08] 其他都是习惯会使用两个
[01:10] 一个是放在脖子下面
[01:11] 当然
[01:12] 那另外一个呢
[01:12] 是放在
[01:13] 假设是侧睡的话
[01:14] 就两腿之间
[01:15] 如果正躺的话
[01:16] 就是放在大概膝盖下面
[01:17] 我觉得整体的睡眠品质
[01:18] 都变得非常好
[01:19] 那我希望朋友可以到我们资讯栏
[01:20] 这边找到更多的说明连结
[01:22] 好那进入到五月第二周呢
[01:23] 航行還是沒有要煞車的意思
[01:25] 我老實講
[01:26] 我已經不知道這個盤
[01:27] 到底是發生什麼事情了
[01:29] 但我自己看一下身邊的朋友
[01:30] 我發現好像也沒有多少人
[01:32] 要提早去降槓
[01:33] 或者說去把部位給降低
[01:35] 當然在過程之中
[01:37] 過去的幾天
[01:37] 都有那一種突然間嚇你一下
[01:39] 像昨天的台股盤中
[01:40] 然後就有蠻多的漲停
[01:42] 都直接打開來
[01:43] 打開之後又再一次鎖回去
[01:45] 像這種一般就是算是
[01:46] 抽馬洗衣蠻乾淨的
[01:48] 一堆那種怕事的
[01:50] 或者說槓桿開太大的
[01:51] 或者說跟追漲停的受不了的
[01:53] 就会直接在打开来的时候
[01:55] 就把所有的乱卖就砍掉
[01:56] 那当然其实如果说
[01:58] 你今天部位是比较新建的
[01:59] 你这样被吓跑
[02:00] 我觉得还可以接受
[02:01] 勉强可以接受
[02:02] 但如果说部位是建在下面的
[02:04] 一般这一波
[02:05] 我是觉得说不容易被吓到
[02:07] 或者说你甚至是不应该被吓到
[02:08] 因为其实蛮多人的成本都拉非常的远
[02:10] 那所以呢
[02:11] 我觉得后面的回档会发生的状态是
[02:14] 就是大家可能都已经是赚太多钱了
[02:16] 所以就随便乱买随便乱丢
[02:18] 可能是我们之后看到的回档
[02:19] 会长这样子一个样态
[02:20] 但是你说要让可能投资人赔钱
[02:22] 我觉得真的是太困难了
[02:23] 因为今年的
[02:24] 不管是大盘指数
[02:26] 或者说各式各样的表底
[02:27] 其实蛮多都直接喷出去
[02:28] 那刚好在前天还昨天
[02:31] 就是我们身边有些朋友在讨论
[02:33] 他们转贴了一个
[02:34] 不知道是报道还是什么消息
[02:35] 我也没有认真看
[02:36] 反而大致上就是说
[02:37] 什么台湾的亿万富翁
[02:38] 在过去的某一段时间
[02:40] 然后增加了什么几十个百分比之类的
[02:42] 那其中就有个朋友讲说
[02:43] 光是四月可能就增加了几十个百分比
[02:46] 这个数字其实
[02:47] 你硬要讲的话
[02:48] 我还真的会是相信的
[02:49] 因为这妈太恐怖了吧
[02:50] 你先别提说
[02:51] 什么这些超股债
[02:52] 你就说那些大股东就好
[02:54] 那些大股东
[02:55] 在过去的这种短短的一段时间
