[00:00] 欢迎收听谷爱,我是孟公
[00:01] 本集节目由MIT情爱精品Haru寒春赞助
[00:05] 看看床上的机油股你是哪一种
[00:07] 仔细观察你会发现
[00:08] 一场完美的床试就跟股票走势一样
[00:11] 最怕那种一字锁叠亭冷门股
[00:13] 还没开始就结束
[00:14] 或是一路平躺毫无波动的僵尸股
[00:16] 真正的顶级体验应该是要是
[00:18] 潜力黑麻股就像是Haru的Orgasm
[00:21] 大麻热感润滑翼的温暖陪伴一样
[00:24] 刚开始的温柔逢低布局
[00:26] 一点点试探一点点加量
[00:27] 让气氛慢慢升温加热
[00:29] 当你感觉到对方的节奏开始加快
[00:31] 那不是乱动
[00:32] 那叫冲天炮
[00:33] 此时就像是用了
[00:34] Haru Desire Ultimate Hot
[00:35] 大麻热浴焚身高潮液加麻点缀
[00:38] 给你五倍热感再升级
[00:40] 把气氛拉到最高点
[00:42] 所有的情绪都在瞬间引爆
[00:43] 就像是骨架直冲天际
[00:45] 这不叫涨停
[00:46] 这叫做翻倍再翻倍
[00:47] 体验那种大脑荡机
[00:49] 全身肃麻的感觉
[00:50] 就是这场情爱投资里最完美的获利
[00:52] 所以不要整天只研究大盘
[00:54] 今晚回家好好观察对方的走势
[00:56] 当一个懂操作不贪心
[00:58] 能够带领对方
[00:59] 冲向历史新高的快乐操盘手
[01:01] 结账输入去OOAYE2026
[01:03] 马上想单评9折折扣无上限
[01:06] 结账金额满1000
[01:07] 正套套四入一合
[01:09] TN高潮迭起传送门
[01:10] 就在我们的连结
[01:11] 这边提供给所有需要的朋友们
[01:13] 方方这一拜带家人去台中
[01:15] 稍微的走跳一下
[01:16] 那当然也去了
[01:17] 我老婆非常喜欢的餐厅
[01:18] 皮诺可可
[01:19] 我们当时差点
[01:20] 因为这个餐厅就搬去台中
[01:21] 那时候在节目跟大家讲的东西
[01:23] 童手无欺
[01:24] 非常夸张
[01:25] 反而我老婆就找到一个
[01:26] 她真的很喜欢的餐厅
[01:27] 她就跟我讲说
[01:28] 她要搬到那一边去
[01:28] 所以我们真的认真的去台中
[01:30] 看过几次房子
[01:31] 最后面我自己就觉得
[01:32] 还要有选林口
[01:33] 因为林口虾在教育方面
[01:35] 我觉得非常的方便
[01:36] 小朋友就念这边的学校
[01:37] 还可以一路念到高中
[01:39] 我觉得心情特好
[01:40] 我也不用去再烦恼
[01:41] 其他有的没有的东西
[01:42] 但比较有一点点美中不足的是
[01:45] 其实那时候搬来林口
[01:46] 是希望搬到一个
[01:46] 比较没有人的地方
[01:48] 但自从我们搬来之后
[01:49] 连续好像三到四年的
[01:51] 迁入冠军就是林口
[01:54] 有点那种爆炸的状态
[01:55] 那我还记得我刚来的时候去看房子
[01:57] 大概一平就是二十几到三十之间
[02:00] 那现在已经有开到八十几
[02:02] 还甚至是九十
[02:03] 然后有成交
[02:04] 所以有时候不免会想说
[02:06] 难怪这么多人喜欢炒房
[02:07] 你什么事都没做
[02:08] 你就买一个房子
[02:09] 然后房子就这样子涨
[02:10] 那像我自己的房子也是
[02:12] 就在那边被他屌涨
[02:13] 可是我觉得可能是个人喜好问题
[02:15] 然后外加
[02:16] 其实我们知道自己在股票的绩效表现
[02:17] 是还是赢房子
[02:18] 所以像我自己至今都没有
[02:20] 一直想要再去
[02:21] 可能多买一些房子之类的
[02:23] 但就非常赞叹林口后来人口爆炸
[02:25] 然后跟房地产也直接射出去的一个现状
[02:28] 那在台中这边呢
[02:30] 我觉得是非常喜欢的一个城市
[02:32] 就是它的
[02:32] 怎么说
[02:33] 我觉得天气总是非常好
[02:35] 那道路又大
[02:36] 店面又是弄得很气派豪华
[02:38] 那虽然后来是有听一个朋友跟我讲
[02:41] 说为什么台中的房子盖得比较好看
[02:43] 那个是一个建商朋友跟我分享
[02:44] 他说因为台中的那些土地
[02:47] 就是他挖下去的那个土是可以卖钱的
[02:49] 那像我们林口挖下去的那个土是红土
[02:51] 那个是不能卖钱的
[02:52] 所以台中的建商
[02:53] 他们挖出来那种地下室的东西
[02:55] 可能就会拿去回馈到
[02:57] 就是可能整个建筑物
[02:58] 会弄得好看一点之类的
[02:59] 他说一个最具体的观察
[03:01] 就是你去看台中
[03:02] 那些非常屌炮的建商
[03:03] 他们跑到北部盖
[03:04] 盖出来的东西
[03:05] 可能就还蛮鸟的
[03:06] 那就是因为
[03:06] 还是回到成本跟价格的一个问题
[03:09] 我们自己本身那时候的假设
[03:10] 是认为说
[03:11] 可能是台中竞争非常激烈
[03:13] 所以你一定要做到那样的程度
[03:14] 才有办法
[03:15] 我觉得一定有部分是这样
[03:16] 只是后来有听建商朋友就讲说
[03:19] 是因为台中的土是值钱的
[03:20] 这个还蛮有趣的
[03:22] 那这次当然也有去
[03:23] 这个太太的那个皮诺可可
[03:25] 那后来就还蛮傻眼的
[03:27] 就整间餐厅跟开我们的同学会一样
[03:29] 就出来都是各路的听众
[03:31] 那不管是合照或是上来聊天
[03:33] 我觉得蛮有趣的
[03:34] 就是大家不知道为什么
[03:35] 跟我都是有点那种
[03:36] 妈吉妈好像真的认识超久一样
[03:38] 即便我们是第一次看到
[03:39] 但马上就可以对上话题
[03:40] 那马上可以跟我分享
[03:42] 他们的生活跟工作发生什么事情
[03:44] 所以我觉得这个是这个节目
[03:45] 对我的一个非常好的恩惠
[03:48] 就好像真的是默默的交了一大堆的朋友
[03:50] 那非常感谢大家的支持
[03:52] 那其实大家下去评论课
[03:54] 都会整天tag我
[03:55] 我之所以就尽量不要再分享太多
[03:57] 因为餐厅就不是我开的
