[00:00] 欢迎收听谷外,我是孙梦宫,本集节目由NordVPN赞助
[00:03] 暑假旅游旺季即将到来,现在正是提前规划好时机
[00:07] 面对贵松松的机票,不少人会透过NordVPN来切换不同地区比价
[00:11] 这也是很实用的一个小技巧
[00:13] 在查机票跟住宿的时候,不同地区跟国家显示的价格有所差异
[00:17] 想要精打细算,控制预算的人来说,一键完成切换相当实用
[00:21] 除了比价,使用NordVPN也可以大大提升网路的安全保障
[00:24] 在规划行程会在咖啡厅外出
[00:27] 或是使用各种网络环境去查资料定行程
[00:29] 但是公共网络有时候在安全性上是难以掌握的
[00:32] 这个时候使用NordVPN可以帮助加密网络连线
[00:35] 就算是在公共的WiFi环境下查住宿机票
[00:38] 或是登录账号处理付款也能够多一层保障
[00:41] 同时连线速度稳定
[00:42] 不太会影响到实际操作的体验
[00:44] 如果只有人在国外
[00:45] NordVPN也可以切换回台湾的IP
[00:47] 连接熟悉的网站或是常用的服务
[00:49] 使用上会更加的顺畅
[00:51] 那像我自己在使用一些被锁区的软体
[00:53] 或者说你今天在海外要回来台湾
[00:55] 去领手游的宝物的话
[00:57] 使用NordVPN都非常的方便
[00:58] 而且现在NordVPN不只是支援手机平板跟电脑
[01:01] 也支援Smart TV跟Apple Vision Pro
[01:04] 一个账号最多可以同时使用于实台装置
[01:06] 不论是在家或是外出都能够灵活使用
[01:09] 下次要透过我们资讯栏的专属链接
[01:10] nordvpn.com slash goaoy
[01:13] 或在结账的时候输入优惠码goaoy
[01:15] 立即想好期间限定优惠
[01:16] 购买两年方案
[01:17] 加送四个月
[01:18] 并提供30天退款保证
[01:20] 不满意都可以随时取消
[01:21] 另风险尝试
[01:22] 然后大概一个月前
[01:23] 有听众在QA问说
[01:25] 校园资本最近有什么新的动作
[01:27] 那时候是跟大家讲说
[01:28] 因为可能大家听我们节目
[01:29] 听习惯会知道说
[01:30] 你知道像我们可能
[01:31] 在开年的时候
[01:32] 在讲低轨道卫星
[01:33] 后来又换成是一些光通的东西
[01:35] 现在又换成是
[01:36] 可能像是被动元件之类的
[01:38] 这个股票是真的
[01:39] 就是在几个月内
[01:40] 会有很多新的题材的变化
[01:42] 可是在我们这种
[01:44] 比较平常是创投的
[01:45] 游戏资本里面呢
[01:46] 它并不会在短期内有很多的变化
[01:48] 所以呢
[01:49] 其实我们的游戏就是
[01:50] 按部就班的推过去
[01:51] 那除非台湾在短期内
[01:53] 突然间冒出一堆团队的话
[01:55] 那有可能推进的速度就会变快
[01:57] 但实际上都是慢慢的
[01:58] 有东西会推出来
[01:59] 那当然在今年就是
[02:00] 希望大家都可以支持红颜鹿笔
[02:02] 那另外一款在明年会推出的
[02:04] 叫做暗花夜战Noah Bloom
[02:06] 那这款呢
[02:07] 是一个2D的枪舞动作游戏
[02:09] 最近在YouTube上面
[02:11] 已经可以查到它的试玩的影片了
[02:13] 那大家也可以在我的FRED
[02:15] 就平常我不会在FRED发文
[02:16] 可是呢就是为了我们的游戏资本
[02:18] 那我就会去FRED上面稍微的借用FRED
[02:20] 它有一个怎么讲
[02:22] 那种坐标之力的感觉
[02:23] 帮忙广告推广一下
[02:25] 那大家可以去看一下它的试玩的影片
[02:27] 相信是非常的精彩
[02:29] 那这一款应该是会在明年才会推出
[02:31] 那也希望大家可以持续支持
[02:32] 这些优秀的台湾团队
[02:34] 那同时呢也可以支持湘南资本
[02:36] 湘南资本会持续的去找寻台湾的优秀团队
[02:40] 那去进行资本的长期投资
[02:42] 也就是说我们不会说投了之后
[02:44] 然后就整天问你说ROI是怎样
[02:46] 或者说甚至想要去影响一些游戏的创作
[02:48] 因为其实我们看了很多
[02:50] 现在做很大的游戏工作室
[02:52] 会注意到说其实有蛮多的游戏
[02:54] 现在开始出现一些像是剧情的同时性之类的
[02:57] 当然也不要直接点名去臭人家
[02:58] 但我相信老玩家一定都感受到说
[03:00] 现在有一些大型的游戏工作室
[03:02] 他们写的剧情好像说千篇一律都是同一种
[03:05] 或者说可能会为了顾及政治正确
[03:07] 然后就要去搞一些
[03:08] 就是会实际上让这些买单的玩家
[03:11] 很不爽的内容
[03:12] 就我会觉得很多在骂这些游戏
[03:14] 说什么太血腥啊
[03:15] 太色情啊
[03:16] 太怎么样有的没有的
[03:17] 那很多自己都不玩游戏的
[03:19] 他并不会拿钱出来啊
[03:20] 可是呢游戏公司为了去讨好这些人
[03:22] 为了去搞所以的PC
[03:23] Political Correct
[03:24] 那就得罪到了蛮多玩家
[03:26] 那也引起了很大的一个反扑
[03:28] 所以呢在近年其实Indie Games
[03:30] 或是一些比较小型的游戏工作室呢
[03:32] 那开始受到很多玩家的喜爱
[03:34] 因为他可能是有很多创新的玩法
[03:36] 或是一些比较可以去
[03:38] 跳脱俗套叙事的故事行进方式
[03:42] 让大家非常的喜欢
[03:43] 我们也是针对这样子的游戏工作室
[03:45] 去做投资
[03:46] 希望可以扮演好一个
[03:47] 好的资本方的角色
[03:49] 也就是其实讲难听一点
[03:50] 我们就是一群敢玩敢投资的人
[03:53] 输了算的死了算的
[03:54] 但当然我们并不是抱持着
[03:56] 钱乱丢没关系
[03:57] 因为这都是大家的辛苦钱
[03:58] 我们的心态是
[04:00] 反正我们就是看好一个东西之后
[04:02] 下好礼首
[04:02] 希望你可以发展得好
[04:04] 不会在过程之中
[04:05] 去给予过多的一个指导期
[04:07] 那当然如果说团队有需要的话
[04:08] 我们都还是会持续的去用
[04:10] 我们自己的人脉跟关系
[04:11] 作为一些辅助
[04:12] 那大概是这样子
[04:13] 我跟大家报告一下
[04:14] 那大家也不是股东
[04:15] 我只是要强调一下
[04:16] 因为有时候看到人家贴来
[04:17] 就讲说什么
[04:18] 这个是什么对外募资
[04:19] 这不是对外募资
[04:20] 这个全部都是我们自己人
[04:21] 就是自己人
[04:22] 自己的快乐好朋友
[04:23] 那大家因为有同样的理念
[04:25] 所以就一起搞钱来投资
[04:27] 所以就拿自己的钱来做一件
[04:28] 看起来可能以现在的角度来说
[04:30] 是偏向浪漫
[04:32] 有些人说去投资游戏
[04:33] 就等于是把钱丢到水里
[04:34] 但我们就觉得反正爽跟开心是很重要的
[04:37] 人就是只有活一回
[04:38] 那在我们认真的去做DD
[04:40] 尽职调查之后呢
[04:42] 那我们相信我们会把钱放在一个很好的地方
[04:44] 我们也相信台湾的游戏团队
[04:46] 我们也相信在AI时代呢
[04:48] 就是现在你的开发工具是变多了
[04:49] 那我也相信说生产力会加强
[04:52] 所以我认为我们应该是会达到一个不错的顺风车
[04:54] 那后面有后续再跟大家报告
[04:56] 那请大家支持这个暗花夜战
[04:58] 在Steam上面可以找到
[05:00] 你要记得把它放到你的愿望清单
[05:02] 那希望大家都可以来玩这些游戏
