[00:00] 欢迎收听谷爱,我是孟公,本集节目由东碧堂赞助
[00:03] 懂得擒贼先擒王的道理
[00:05] 这一集干嘛,东碧堂一开始联络不是问我要不要试吃
[00:08] 而是指名寄给我太太体验
[00:09] 这款热销的东碧堂珍珠艺人红豆粉
[00:12] 就是被五星认证的好东西
[00:14] 东碧堂招牌珍珠艺人红豆系列
[00:17] 被广大爱用者号称消水神器
[00:19] 身体湿气对男女来说都不能够忽视
[00:21] 尤其是久坐办公室冷气吹整天
[00:23] 小腿肿胀脱掉袜子的袜痕
[00:25] 可以夹死蚊子那一种湿气卡住的感觉
[00:27] 或是像是丁盘酒做熬夜打电动宵夜吃太闲
[00:31] 应酬喝酒隔天早上起来肿得像肉包
[00:34] 都是典型的湿气太重造成的沉重感
[00:36] 这次的新品珍珠艺人红豆粉
[00:38] 是全新升级的粉剂
[00:40] 吸收更快一个月后身体轻盈有感
[00:42] 连贫富的透亮度都提升
[00:44] 这东西完全符合这种数据控跟效率控
[00:47] 我的逻辑
[00:48] 它不是市面上那一种叫你慢慢煮
[00:50] 慢慢熬到天荒地老的红豆水
[00:52] 而是直接给你1000倍的日本专利红豆萃取技术
[00:54] 还有60倍浓缩艺人萃取精华
[00:57] 不只取得SGS认证
[00:58] 连中医师都背书推荐成分干净
[01:01] 买东西要直接供顶有效率
[01:02] 一包直接帮你消水透亮
[01:04] 把那些不需要的负担排掉
[01:06] 刚好今天播出是520
[01:07] 520这个日子以前都是商人的烂把戏
[01:10] 但现在自己结婚当老爸
[01:11] 经历过社会毒打就发现
[01:13] 找机会在特定的日子跟另一半表示一下
[01:15] 胜率极高
[01:16] 这次东碧堂给听众的诚意真的很大
[01:19] 优惠逛要等618电商购物节才有
[01:22] 但是古来的听众没有在排队的
[01:23] 最杀优惠节在节目里提前开跑
[01:26] 全台第一手拿到折扣价
[01:27] 不用等物流塞车人挤人
[01:29] 现在买就是最快到货
[01:30] 再加码开运堂的招财小马皮革吊饰
[01:33] 不限金额前三百名下单都可以拿到
[01:36] 只限古来的听众一马在手股市狂涨
[01:38] 弄好这一档
[01:39] 整年都不用黏在墙壁上
[01:41] 520拿着东碧堂的下单画面去壁咚另一半
[01:44] 真心建议男生女生都可以试看看
[01:46] 东碧堂的珍珠艺人红豆粉
[01:48] 好那这边要跟大家非常骄傲的
[01:50] 也不是说宣布啦
[01:51] 就是稍微的分享一下
[01:52] 就是我的减重目标呢
[01:54] 78公斤直接就达到了
[01:56] 就是大概只花了一个月多左右
[01:59] 快两个月的时间
[02:00] 那顺利的从大概84 85左右
[02:03] 直接回到就像每天早上去量的话呢
[02:06] 大概落在77 78
[02:07] 那当然你说这个瘦瘦症
[02:09] 要不要在这个地方就把它停掉
[02:11] 因为我自己是觉得说
[02:12] 瘦瘦症对我的生活影响是极小
[02:14] 我爸说像是胃口不止没有被影响
[02:16] 反而胃口变好
[02:17] 很想要吃东西
[02:18] 那食量呢稍微的小一点点
[02:20] 那内脏脂肪又往下跑
[02:21] 所以我自己是觉得说
[02:22] 那既然来都来了
[02:23] 就把它再继续往下压
[02:25] 可能压到不知道7271吧
[02:27] 那我所谈到这个想法呢
[02:28] 因为我的健身教练呢
[02:29] 反正就是一个超级猛男
[02:30] 然后长得像Rain就超壮
[02:32] 那结果那一天我看到他限动
[02:33] 才发现说
[02:34] 妈这家伙71公斤
[02:35] 他长得超级壮
[02:36] 然后他只有71公斤
[02:37] 那我就想说
[02:38] 奇怪我的肌肉量跟他比输这么多
[02:40] 我怎么还有7778之类的
[02:42] 所以觉得说
[02:43] 反正一不做二不休
[02:44] 就是希望可以把它降到
[02:45] 不然就7273之类的
[02:47] 然后再看是不是要把针停掉
[02:49] 那稍微跟大家分享一下
[02:50] 就是在过去的一点点的心路历程
[02:52] 虽然很多人应该会讲说
[02:53] 妈的你有打瘦肉针
[02:54] 就等于是作弊了
[02:55] 但是其实身边也有蛮多朋友
[02:56] 打了瘦肉针之后
[02:58] 还是受不下去
[02:58] 那我觉得瘦肉针
[02:59] 当然它是一个
[03:00] 对我来说很重要的心理的cue
[03:02] 但是其实生活的一些调整
[03:04] 也蛮关键的
[03:05] 那包含像是说
[03:06] 整天跑去打网球
[03:07] 那现在都超级热
[03:08] 所以就是会一直爆汗
[03:10] 那除此之外呢
[03:11] 也去找了重训教练
[03:12] 大概一个礼拜会固定上
[03:13] 两到三堂课
[03:14] 那除此之外
[03:15] 自己大概会再练两堂
[03:16] 大重量之类的
[03:17] 那自己跑去训练的
[03:18] 那再来呢
[03:19] 就是只要小朋友
[03:20] 找我去打Mesa Star
[03:21] 以前有时候会叫他的姑姑
[03:23] 或者说我老婆去带
[03:24] 那现在都会觉得说
[03:25] 我自己要多走路
[03:26] 所以就是有意识的
[03:27] 一直往外面去走
[03:28] 那所以就是在一段时间之后
[03:30] 就发现说我自己呢
[03:31] 基本上肌肉不只是没有掉
[03:33] 甚至还有逆势的增长一点点
[03:35] 那最主要都是减掉脂肪
[03:36] 所以算是一个
[03:38] 我认为还蛮成功的减重
[03:40] 那身体的体验
[03:41] 我觉得是最直接的
[03:42] 就是你真的会明白说
[03:44] 原来我以前那些酸痛
[03:45] 真的就是人家讲的
[03:46] 什么身体发炎之类的
[03:48] 因为你都不知道
[03:48] 你就习惯了
[03:49] 我都三十几岁了
[03:51] 三十几岁起来
[03:52] 本来就应该腰酸背痛
[03:53] 你真的本来这样觉得
[03:54] 就是认为说
[03:55] 腰酸背痛叫做正常
[03:57] 因为你身边每个人都这样子
[03:58] 但是他发现说
[03:59] 其实你是不需要腰酸背痛的
[04:01] 你是不需要肩颈疼痛
[04:02] 或者说什么
[04:03] 这边扭一下
[04:03] 那边扭一下
[04:04] 有时候身体也不太舒服
[04:05] 那现在我自己呢
[04:06] 就只剩下下背痛
[04:08] 那这个下背痛呢
[04:09] 其实也困扰我
[04:10] 蛮长一段时间
[04:10] 像之前跟听众分享说
[04:12] 我可以在我的膝盖下面
[04:13] 去放一个枕头
[04:13] 会好转之类的
[04:15] 然后再来就去做一些硬举
[04:16] 也会好转
[04:16] 但是呢
[04:17] 就是时不时都还是会痛
[04:18] 那最终就发现说
[04:19] 因为我还是久坐坐太久
[04:21] 那因为过去
[04:22] 一直在训练的关系
[04:23] 所以都有站起来
[04:24] 那背痛就有缓解
[04:25] 但变成是痛另外一个地方
[04:27] 那最终呢
[04:28] 我自己研判
[04:29] 就是我还有去找一些
[04:30] 物理治疗师去做诊断
[04:32] 那我判断是因为我学了网球
[04:35] 因为学了网球都是用右手在发力
[04:37] 不管正排反排都是右手在打
[04:39] 那所以呢
[04:39] 就是左下背痛得比右下背明显
[04:42] 那物理治疗师就教我一些动作去调
[04:44] 那当然最主要还是要感谢我的健身教练
[04:46] 就那个机能训练真的在那边屌到爆炸
[04:49] 就他立刻就知道说
[04:50] OK所以你的物理治疗师讲的东西是哪一块
[04:53] 那我锁定那一块之后呢
[04:54] 他就帮我去排了
[04:55] 今天就是第一次
