[00:00] 欢迎收听谷外,我是圣梦宫,本集节目由植村秀赞助
[00:03] 想要在颜值这一块稳定获利,需要植村秀的这些组合
[00:07] 助你避开暗沉,让颜值一路涨停
[00:09] 第一个先讲全新上市的开光小红喷
[00:12] 第一眼就被它吸睛的红色液体给吸引
[00:14] 简单说这一支是妆容的涨停版锁死
[00:16] 小红喷细致的雾化水露可以在脸上形成一层保护膜
[00:19] 出油出汗都能够确保你的妆容维持在高档不跳空
[00:22] Lisa喷完直接爱上这一罐
[00:24] 连我这种直男都可以发现脸今天特别亮
[00:26] 不会像是之前有时候做完指甲都不知道的尴尬
[00:29] 小红喷一喷一整天都精致红润光泽底妆
[00:32] 依然亮丽如新
[00:33] 再来是超快充量盐乳
[00:35] 这款妆前乳具备高系数的防晒与校色的功能
[00:38] 除了防晒足够之外
[00:39] 还能够修饰肤色不均脸变亮同时保湿
[00:42] 那一天老婆才说这一罐其实我自己也可以用
[00:45] 一直呼吁广大的男性做好体位的管理
[00:47] 更精益就是做好面子的管理
[00:48] 尤其是最近迷恋打网球防晒非常重要
[00:54] 保护肌肤还让你变得很好看
[00:55] 那最后面子好清洁最重要
[00:58] 酒破洁盐油超特别
[01:00] 大家都知道我一阵子很迷清酒
[01:01] 这款里面用了清酒酒破
[01:03] 让肌肤边清洁边保湿
[01:05] 毛孔清干净
[01:06] 肌肤维持细致的优质状态
[01:08] 敏感剂也适合
[01:09] 想要快速让面子开光
[01:11] 5月30号到6月4号限时9折起
[01:13] 精选开运红盘组
[01:14] 最高优惠64折限量100组
[01:17] 卖场链接在资讯栏这边
[01:18] 植村秀百货柜点官网
[01:20] 以及MOMO的官方也有同款的限量组合
[01:22] 这边听完所有需要的朋友们
[01:23] 上集有跟大家聊了一下
[01:25] 关于说在自己的生活
[01:26] 稍微的把速度放慢下来之后的一些显著的改变
[01:30] 后来就有一些地方的听众有私讯
[01:32] 我跟我讲说
[01:33] 其实我在做的事情
[01:34] 就是他们称为是内观
[01:36] 后来我自己身边的一位天传法师
[01:39] 之前有跟大家聊到
[01:40] 但那个是我自己给他的一个封号
[01:42] 因为他是学佛的
[01:43] 他是达赖很大的一个donor
[01:45] 就整天在那边捐钱
[01:47] 同时把股票搞得非常好
[01:48] 在短线上是非常利落
