[00:00] 欢迎收听谷外,我是星梦宫,本集节目由NordVPN赞助
[00:03] 6月了,夏日旅游旺季已经展开,你是否还在犹豫旅游规划?
[00:08] 现在正是时候为你的家庭旅行完成最终准备
[00:11] 面对贵松松的机票,不少人会透过NordVPN切换不同地区来比价
[00:15] 这也是规划旅游时最实用的小技巧
[00:18] 在查询机票或住宿的时候,不同国家跟地区显示的价格确实会有所差异
[00:23] 对于想要精打细算控制预算的人来说,只要一键就能够完成切换相当实用
[00:28] 除了比价
[00:28] 使用NordVPN也能够大大的提升网络安全保障
[00:31] 在规划行程时
[00:32] 常常会在家里咖啡厅或外出的时候
[00:34] 使用各种网络环境查资料定行程
[00:37] 但公共网络其实在安全性上比较难掌握
[00:39] 这个时候使用NordVPN可以帮助加密网络连线
[00:42] 就算是在公共的WiFi环境下查询住宿机票
[00:45] 或是登录账号处理付款
[00:47] 也能够多一层的保障
[00:48] 同时连线速度稳定
[00:50] 不太会影响到实际的操作体验
[00:51] 如果之后人已经在国外
[00:53] NordVPN也可以切换回台湾的IP
[00:55] 连接熟悉的网站跟常用服务
[00:57] 使用上更加顺畅
[00:58] 那像我自己有时候会使用NordVPN
[01:00] 来解决跨区被锁住的问题
[01:02] 非常的好用
[01:03] 现在NordVPN不只是支援手机平板跟电脑
[01:06] 也支援Smart TV和Apple Vision Pro
[01:08] 一个账号最多可以同时使用于实态装置
[01:11] 不论是在家或外出都能够灵活使用
[01:13] 现在再透过我们资讯栏的专属链接
[01:15] nordvpn.com slash gooay
[01:17] 或在结账的时候输入优惠码gooay
[01:19] 立即享有期间限定优惠
[01:22] 购买两年方案
[01:22] 加送四个月
[01:23] 并提供30天的退款保证
[01:25] 不满意都能够随时取消
[01:27] 零风险尝试
[01:28] 好那过去一个礼拜
[01:29] 在精神跟口腹上面
[01:31] 都获得了巨大的一个满足
[01:33] 那当然精神方面
[01:34] 就还是持续的去实践
[01:36] 最新的慢下来运动
[01:38] 包含说像是好好的呼吸
[01:39] 那好好的深呼吸
[01:41] 不只是你的腹腔
[01:42] 包含说你的下背
[01:43] 都要把它鼓起来
[01:44] 让你的身体有支撑
[01:45] 那再来就是把一些动作变慢
[01:47] 小到去对面的7-11
[01:50] 买一瓶咖啡
[01:51] 大到可能不知道
[01:52] 就是陪孩子洗澡的时候
[01:54] 以前就是赶快露一露
[01:55] 每天重复的事情
[01:57] 现在就会想说
[01:58] 就慢慢的把每根头发都洗好
[02:00] 然后再来用吹风机
[02:01] 慢慢的把它吹干之类的
[02:03] 就是你把一些事情慢下来之后
[02:05] 那又有新的一番风味了
[02:07] 所以最近都还在慢慢的感受这件事情
[02:09] 那当然老天众都知道我的个性
[02:11] 反正我是一窝蜂
[02:12] 说不定一段时间之后
[02:13] 我想说真的是只有娘炮才这么慢
[02:15] 赶快回去那种很快速的生活
[02:17] 但总之我现在对我自己的一个要求
[02:19] 就是当我现在喜欢什么东西
[02:20] 我就非常认真的投入
[02:21] 那最终呢
[02:22] 就算他没有留下来
[02:24] 可是他也帮我留下了一段记忆
[02:25] 那这我觉得是一个挺好的事情
[02:27] 那在口腹方面的满足呢
[02:29] 就是非常感谢
[02:30] 我也不知道那个乐花
[02:31] 他们是怎么样找到我了
[02:33] 反正就是可能不知道
[02:34] 有听众还是怎么样吧
[02:35] 然后就我说
[02:36] 先生要不来参加品酒会啊
[02:38] 那我看了一下
[02:38] 我就自费去参加了
[02:40] 那也好在自己有去参加
[02:42] 因为本来我心中在那边
[02:43] always是在想说
[02:44] 这种场合真的适合我
[02:46] 这种他妈菜逼吧去嘛
[02:47] 然后再来就是
[02:48] 因为大家都知道说
[02:49] 我是比较不喜欢人多的场合
[02:52] 或甚至是有可能
[02:52] 需要去发表的一些场合
[02:54] 所以那时候还跟
[02:55] 来邀请的业务就问他说
[02:57] 有没有办法
[02:58] 就是你把我放在某一个角落
[03:00] 那我不需要去跟任何人对话
[03:01] 他说先生
[03:02] 你只要专注的
[03:03] 跟你面前的酒对话就好
[03:04] 你不用跟任何人对话
[03:05] 我说太好了
[03:06] 就是这样子一个场合就对了
[03:08] 我就去
[03:08] 那他们是办在加佩的饭店
[03:10] 真的是一个非常精美的饭店
[03:12] 那个饭店做得很精致
[03:14] 那它里面有一些特殊的空间
[03:16] 每个都让我充满
[03:18] 这个非常深的印象
[03:19] 也在想說之後有機會的話
[03:21] 可能可以去包場
[03:22] 然後帶一些朋友進去之類的
[03:23] 那他們的經理呢
[03:25] 就帶我們一行人
[03:26] 就到處看了一下裡面的各種設施
[03:28] 包含像餐廳或是一些特殊的空間
[03:29] 有些空間蠻特別的
[03:31] 就是說在一個飯店裡面打開一道門
[03:33] 突然好像回到你家一樣
[03:34] 然後裡面有一個廚房
[03:34] 他說你可以自己帶自己的廚師
[03:36] 來這邊做菜給大家吃
[03:37] 或是你可以請我們飯店的廚師
[03:39] 就把這個地方包下來
[03:40] 你還有自己的一個小terrace
[03:42] 可以走出去那一面之類
[03:43] 我覺得說哇這個飯店超級精緻
[03:45] 然後在這麼精緻的飯店裡面
[03:46] 去品名這麼好的酒
[03:48] 我真的是觉得人生的一大乐趣
[03:50] 太开心了
[03:51] 当天当然喝的这些东西
[03:53] 老实讲以我的水位来说
[03:55] 我目前是没有办法喝懂太多
[03:57] 可是我觉得我非常幸运
[03:59] 遇到一群非常热心的大哥跟大姐
[04:01] 其实我本来心中想的是
[04:03] 我就是不要跟任何人对话
[04:04] 我就是进去一面自闭
[04:06] 而做完自己的事情就好
[04:07] 同时也是有一点那种
[04:08] 就是小自卑感
[04:09] 就知道说我自己就菜皮包
[04:11] 我都不懂
[04:11] 我讲话一定丢脸
[04:12] 所以最好都不要有人问我任何东西
[04:14] 就让我自己默默的去感受就好
[04:16] 只是没有想到这个圈子
[04:17] 至少我現在接觸到的人
[04:19] 包含說像是
[04:20] 之前帶我入坑的一些大哥們
[04:22] 然後或者是說
[04:24] 去這次品酒會的
[04:25] 這些地方賢達大大們
[04:26] 其實大家都是非常的熱情
[04:28] 他們不會因為說
[04:29] 像我有一次
[04:30] 在可能大家喝完一輪之後
[04:32] 然後去發表一些意見
[04:34] 那時候你知道我是很緊張的
[04:36] 我就想說
[04:36] 他們每個人都可以言之有物
[04:38] 而且他們講的
[04:39] 你知道不是在什麼
[04:40] 嚎啸fucking bullshit之類
[04:42] 他去形容的一些味道
[04:43] 那真的就是
[04:44] 你認真聞
[04:45] 你可以聞得出
[04:46] 他们所提到的这些味道
[04:48] 一开始你会先感受到什么
[04:49] 那后面是什么
[04:50] 那甚至有一些
[04:51] 非常生活化的
[04:52] 像他讲说
[04:53] 有其中的一品
[04:54] 他可能是已经是
[04:55] 差不多到巅峰期
[04:56] 要开始往下走
[04:57] 那像这样子的酒
[04:58] 会有什么样的特性呢
[04:59] 它可能会闻起来
[05:00] 有一点像是金针菇的味道
[05:02] 一讲我想说
[05:03] 原来这就是金针菇的味道
[05:05] 因为我刚才就在想说
[05:06] 这是什么味道
[05:06] 这个就是我平常在家
[05:08] 自己煮麻辣火锅
[05:09] 在切金针菇的
[05:10] 那个尾巴的时候
[05:11] 就是会闻到这个味道
[05:12] 那所以我后来开始
[05:13] 去意会到一件事情
[05:14] 這有點像是在學語言
[05:16] 當你不懂這個語言的時候
[05:17] 你說法國人在講什麼
[05:18] 什麼
[05:19] 就是你只會覺得說
[05:21] 你不愛說什麼
[05:22] 你只會用這種
[05:24] 甚至有點戲謔的方式說
[05:25] 或什麼的
[05:26] 可是當你認真的去了解這個語言之後
[05:30] 你會發現他們在形容的一些
[05:32] 可能水果 泥梅
[05:33] 或是說花香
[05:35] 甚至是金針菇 香菇
[05:37] 什麼松露 菌菇 地板 土壤
[05:40] 什麼的味道
[05:41] 那個是你真的是有辦法
[05:42] 在這裡面聞到
[05:43] 那我觉得其中一个最容易理解的是
[05:46] 当你把酒喝完之后
[05:47] 那它开始有点干涸
[05:48] 你会在里面闻到一股茶味
[05:50] 这个茶味就是
[05:51] 你应该是找一个Monkey进来
[05:53] 他都有办法闻到这个茶味
[05:54] 所以在他们的引导之下
[05:56] 我就觉得说
[05:56] 我好像真的懂了
[05:58] 就是我面前这杯东西
[05:59] 它到底是什么
[06:00] 那当然我们先不去讨论
[06:01] 有的没有的什么价格
[06:02] 稀缺性什么都不去讨论
[06:04] 至少我终于知道
[06:05] 我自己喝的东西是什么
[06:06] 那之前我可能都不知道
[06:07] 我只有办法讲出
[06:09] 好吃不好吃
[06:10] 这边也跟大家讲一下
[06:11] 因为有些人看到报道
[06:12] 丢给我说
[06:13] 你只要跑去当500碗的评审
[06:15] 那其实也不是评审
[06:16] 就好玩
[06:16] 反正就邀我
[06:17] 来分享一下你喜欢的500
[06:19] 不是500
[06:19] 小吃10个
[06:21] 要参加500碗
[06:23] 还有后面有一个500盘
[06:25] 对
[06:25] 小弟就有去列出
[06:26] 自己喜欢的一些餐厅之类
[06:28] 但你知道我的词是不多的
[06:29] 我吃的东西应该算是很多
[06:31] 跟一般人比起来
[06:33] 反正不管是很高端的
[06:35] 还是很接力气的
[06:36] 摊贩或什么的
[06:37] 反正我就是到处吃
[06:38] 我也有很多机会
[06:39] 这样去做尝试
[06:40] 可是当你叫我去形容的时候
[06:41] 我永远就是
[06:42] 好吃
[06:42] 不好吃
[06:43] 好喝
[06:44] 不好喝
[06:44] 就这样没了
[06:45] 那甚至以前
[06:46] 我会觉得说
[06:47] 形容太多的人
[06:47] 这样装逼宅
[06:48] 就是你就是装逼宅
[06:49] 可是当你看到一些人
[06:51] 他把这个味觉跟嗅觉
[06:53] 玩到已经是
[06:54] 不知道
[06:55] 好像我们小时候
[06:57] 在玩游戏玩卡
[06:57] 熟悉各种规则一样
[06:59] 他已经知道
[07:00] 每个东西
[07:00] 可能会有什么味道
[07:01] 那其中一位大哥更屌
[07:03] 他专门去喝那种
[07:04] 就是在我的角度
[07:05] 是已经是变质的酒
[07:07] 他已经是
[07:07] 那红酒跟白酒
[07:08] 放到某个程度
[07:09] 他就变绍兴酒
[07:10] 他就变黄酒了
[07:11] 可是他就专门找这种东西去喝
[07:13] 他连这种很偏门的东西
[07:14] 他都可以喝出他的学问
[07:16] 他可以知道说
[07:17] 现在这个瓶子跟他的瓶栽
[07:18] 跟这个酒的颜色的状态是怎么样
[07:21] 我们要怎么样处理
[07:22] 才可以去发挥它最好的味道
[07:23] 所以他已经把品名
[07:25] 他妈点到满了你知道吗
[07:26] 那我看到这种人
[07:27] 我真的是就觉得
[07:28] 大开眼界的感觉
[07:29] 所以我觉得这个坑路的真好
[07:31] 就我的感受就是
[07:32] 我真的去探索了一个
[07:33] 我之前甚至有点
[07:35] 持之以鼻的东西
[07:36] 不只是说酒
[07:37] 就是说各种的味道
[07:38] 对我来讲
[07:38] 反正好吃就好
[07:39] 好吃跟不好吃
[07:40] 可是我现在或许未来的有一天
[07:43] 就当然又可能是打脸过去的自己
[07:45] 以前我就想说
[07:46] 那味道有什么好不好
[07:47] 反正那都是个人的主观
[07:48] 只是问题是
[07:49] 你确实是有办法去
[07:51] 当我今天可能知道
[07:52] 你喜欢的味道是什么
[07:53] 那我有办法把它具现化
[07:55] 形容出来
[07:55] 我把这个语言给参透之后
[07:57] 我可以去抓到
[07:59] 不管是自己或是身边
[08:00] 你爱的人你喜欢的人
[08:01] 或甚至你新交的朋友
[08:03] 你喜欢的东西可能是什么
[08:04] 我可以立刻的去做一些联想
[08:05] 就很像说你是一个
[08:06] 那个human algorithm之类的
[08:07] 你已经是有办法
[08:09] 在脑中直接去跑你的演算法
[08:11] 然后去推荐
[08:12] 可能对方会喜欢的东西
[08:13] 猜你喜欢
[08:14] 好像那个不知道
[08:15] Amazon的购物车之类的
[08:16] 那我就觉得说
[08:17] 像这样子的一个技能
[08:18] 是非常值得去学习的
[08:19] 那所以听他们的分享
[08:22] 像那时候轮到我的时候
[08:23] 我心中就在想说
[08:24] 还是我现在想说
[08:25] 我妈叫我回去洗澡
[08:26] 我老招
[08:27] 我妈突然叫我回去洗澡
