[00:00] 欢迎收听谷爱,我是孙梦宫,本期节目由Raychen正级坐垫EX赞助
[00:04] 最近市场很刺激,前面AI热到不行,结果台子奇夜盘杀到跌天水准,最终大跌3000多点
[00:10] 本来只是滑一下美股,结果打开报价,台子奇先瘦一大圈,新野跟着瘦
[00:15] 投资就是这样子,涨多了不会变胖,跌下来又变瘦,重点不是胖瘦,是知道哪些可以留,哪些该挪动
[00:21] 选坐垫也是一样,身形、臀部、坐感、偏好都不同,当然不可以使用通用尺寸坐垫
[00:26] Raychen正极坐垫累积销售超过20万张
[00:29] 也是市售唯一依照不同体型需求设计的正极坐垫
[00:33] 经典款提供男女不同体型两种尺寸
[00:36] 现在新增正极坐垫EX
[00:38] 专门给身型高大、臀部比较有肉
[00:40] 或是单纯不喜欢坐得太紧、偏好宽松坐感的人
[00:44] 正极坐垫EX完整保留支撑设计
[00:46] 帮助维持稳定坐姿
[00:48] 左右加宽3公分、软垫加厚0.7公分
[00:51] 以身增加1.5公分
[00:52] 坐起来最直接的差别就是大腿两侧包覆感降低
[00:55] 臀部空间更宽松
[00:56] 不会坐下去
[00:57] 就像是喝到没醒的红酒
[00:58] 第一秒觉得人生困难
[01:00] 投资不能够熬单
[01:01] 久坐不能够委屈
[01:02] 所以如果你的身形比较高大
[01:04] 臀部比较有肉
[01:05] 或是原本就喜欢正极坐垫的支撑
[01:07] 但希望坐起来更宽松一点
[01:08] 可以看一下RayChain正极坐垫EX
[01:11] 那我自己的心得是觉得
[01:12] 它的支撑性是没有改变
[01:13] 变大变宽更加的舒适
[01:15] 资讯栏这边点下去
[01:16] 登录像主委专属
[01:18] 无二者起
[01:18] 选一张真正符合自己体型的正极坐垫
[01:21] 让你平久看盘上班的时候
[01:23] 至少屁股跟骨盆都有基本面的支撑
[01:25] 这边听完之后
[01:26] 需要有朋友们
[01:26] 那我觉得大家都应该要养成
[01:28] 看说明书的习惯
[01:29] 那这个是来自于一个
[01:30] 从小到大完全都不看说明书的
[01:32] 是坏在自己的这个股票工作里面
[01:34] 因为有些规则
[01:35] 然后有一些这个条件
[01:38] 如果说你没有搞清楚的话
[01:39] 会直接立刻对你的部位造成一些损害
[01:41] 那所以后来就会对说明书
[01:43] 稍微的认真一点
[01:44] 可是仅限于在
[01:45] 可能是股票相关的工作上面
[01:47] 会去看一下说明书
[01:48] 那其他时候呢
[01:49] 其实我还蛮享受那种
[01:50] 就自己土炮硬干乱搞乱组
[01:53] 不管是什么家具市区车什么的
[01:55] 我觉得那是一个很快乐的过程
[01:57] 那当然乐高可能就比较没有办法
[01:59] 因为那个零件真的太多
[02:00] 那个会勉强看一下
[02:01] 但是就绝大多数的时间点
[02:02] 一定是不看说明书
[02:04] 那有时候就会去尝到一些恶果
[02:06] 像之前跟大家分享说
[02:07] 我第一次去打瘦肉疼
[02:08] 那一开始打欧山PIC
[02:10] 那就是因为我没有看说明书
[02:11] 所以我就直接打到最高剂量
[02:13] 那还好我身体对最高剂量的反应是很低
[02:15] 然后现在已经进入到猛剑了
[02:17] 其实我现在也是在打最高剂量
[02:18] 我的反应也还是很低
[02:20] 像我刚才才刚吃完
[02:22] 摩斯汉堡的海洋珍珠宝
[02:23] 加和风炸鸡
[02:25] 加和风腿块
[02:26] 加全糖红茶
[02:28] 大杯
[02:28] 整个把它干掉
[02:29] 然后还是超饿
