[00:00] 欢迎收听谷外,我是星梦高空,本集节目由NordVPN赞助
[00:03] 6月了,夏日旅游旺季已经展开,你是否还在犹豫旅游规划?
[00:08] 现在正是时候为你的家庭旅行完成最终准备
[00:11] 面对贵松松的机票,不少人会透过NordVPN切换不同地区笔价
[00:15] 这也是规划旅游时最实用的小技巧
[00:18] 在查询机票或住宿的时候,不同国家跟地区显示的价格有时候会有所差异
[00:23] 对于想要精打细算,控制预算的人来说,只要一键就可以完成切换,相当实用
[00:28] 除了比价
[00:28] 使用NordVPN也可以大大的提升网络安全保障
[00:31] 在规划行程时
[00:33] 常常在家里咖啡厅
[00:34] 或是使用各种网络环境去查资料定行程
[00:36] 但公共网络在安全性上较难掌握
[00:39] 这个时候使用NordVPN可以帮助加密网络连线
[00:42] 就算是在公共WiFi环境下查住宿机票
[00:44] 或是登录账号去处理付款
[00:46] 也能够多一层保障
[00:47] 同时连线速度稳定
[00:49] 不太会影响实际操作体验
[00:50] 如果只有人在国外
[00:52] NordVPN也可以快速切换为台湾的IP
[00:54] 连接熟悉的网站跟常用服务
[00:56] 使用上更加顺畅
[00:57] 那像我自己也会使用它来
[00:59] 手游跨区就可以领到台湾的宝物
[01:01] 而且现在NordVPN
[01:02] 不只是支援手机平板跟电脑
[01:04] 也支援Smart TV和Apple Vision Pro
[01:07] 一个账号最多可以同时使用于10台装置
[01:09] 不论是在家跟外出都能够灵活使用
[01:11] 下期要透过我们资讯栏的专属链接
[01:13] nordvpn.com
[01:14] 或在结账的时候输入优惠码
[01:17] 立即享有期间限定优惠
[01:19] 购买两年方案加送4个月
[01:21] 并提供30天退款保证
[01:23] 不满意都能随时取消零风险尝试
[01:25] 好那上集跟大家提到
[01:26] 就是我们在林口
[01:27] 应该会在持续的去推动各种小生意之后呢
[01:30] 然后就收到了制片班的来函
[01:33] 那当然这些来函呢
[01:34] 都非常感谢大家有各式各样的提议啦
[01:37] 那我们自己优先会去筛选的团队
[01:39] 或是人呢
[01:40] 都是那些自己头曾经洗下去过的
[01:43] 那因为对我们来讲
[01:44] 就是你自己愿意下去尝试
[01:46] 不管过去是失败或是成功
[01:48] 那因为某些事情而停摆
[01:50] 那都代表说
[01:51] 你是比较决心的人
[01:52] 当然也有一些外围的人就跑来了
[01:55] 不然他可能本来不是我听众
[01:57] 所以开口闭口就什么
[01:57] 古埃我也要加入
[01:59] 反正就我老婆讲那句
[02:00] 后来就发现说
[02:01] 就整天叫你古埃的
[02:02] 就可以不用屌他了
[02:02] 因为代表说他跟你就是不熟
[02:04] 不熟的就不需要花时间在他们身上
[02:07] 我们其实不是没事找事
[02:08] 或者钱太多要把钱丢出去
[02:10] 单纯是希望这个地方可以更加的热闹
[02:12] 如果是刚好有需要帮助的人
[02:14] 我们就可以去帮他
[02:15] 所以大家也不用去帮我介绍什么
[02:16] 那个谁谁谁来来来
[02:18] 因为他要投
[02:19] 我们没有这么无聊
[02:20] 对我们来讲
[02:20] 反正这个钱在市场里面滚
[02:22] 绝对是最快的
[02:23] 但如果说有一点余裕
[02:24] 可以稍微的去推一下
[02:26] 在地的一些发展
[02:27] 像我自己在林口
[02:28] 已经投了复数个店家以上了
[02:30] 那我就会觉得是还蛮快乐的事情
[02:32] 那外加
[02:33] 其实那时候是在林口当地的
[02:35] 一些投资公司的朋友
[02:37] 那外加现在有一些建商的朋友
[02:38] 他们都觉得这个idea
[02:39] 是还蛮不错的
[02:40] 所以我们之后应该会慢慢的推进
[02:42] 这个不会是什么大刀阔斧
[02:44] 然后立刻的广撒钱太多乱砸
[02:46] 这样会比较偏向是
[02:47] 像我自己会希望说
[02:48] 我们自己的餐厅在林口建立起来
[02:50] 因为这个餐厅的主厨本身算是非常强的人
[02:54] 那我就可以透过母鸡带小鸡的方式
[02:57] 然后他去帮我辅导其他的店家
[02:58] 然后看可不可以把它整个一包做起来这样子
[03:01] 因为我自己是绝对没有空去什么
[03:03] 管餐饮或者是去
[03:05] 还要去注意说你们每个店的状况怎么样
[03:08] 那甚至像我自己在林口投资的店面
[03:10] 他们要给我看财报什么
[03:11] 我都懒得看了
[03:12] 反正就是投了就是相信你
[03:14] 那要么就go big or go home
[03:16] 我像是最近自己
[03:17] 在几年前投的某个喜剧俱乐部
[03:20] 那他们现在给我的分红
[03:21] 我一直直接跟他讲说
[03:22] 这个分红我都不需要了
[03:23] 你们就直接把它当奖金都分掉就好
[03:25] 那要么就是你们上市的那一天
[03:27] 我就可能就写专业笔
[03:28] 要么就是
[03:29] 如果你一辈子都没有办法上市的话
[03:31] 那没关系
[03:31] 我光是可以参与到这样子的生意
[03:33] 我就觉得是非常高兴
[03:35] 更与我荣焉
[03:36] 所以其实态度会比较偏向
[03:38] 是这样子的一个方式去进行
[03:39] 那如果后面有一些
[03:40] 什么有趣的发展
[03:41] 再来跟大家讲
[03:42] 那当然我不会立刻的
[03:43] 去回所有的信息
[03:44] 我总是说那是一个缘分
[03:45] 那当然有些我已经有回信了
[03:47] 那就是反正最后面总之就是
[03:49] 一定是需要有人去带这个计划
[03:52] 那这个人呢
[03:53] 基本上我已经心中是有人选的
[03:55] 那看这个计划后面可以走得怎么样
[03:57] 但是你要我自己投喜下去
[03:58] 然后去管大家或什么的
[04:00] 那个不可能啊
[04:01] 就是一个可能数百
[04:02] 或是千万左右的投资
[04:04] 然后你整个要丢下去
[04:05] 这个真的是以我们家的状态
[04:07] 是没有办法这样子去做的
[04:08] 所以呢就会去杠杆借力使力
[04:10] 有找到好的人
[04:11] 有找到好的团队
[04:12] 这是最重要的
[04:13] 所以呢就是后面再
[04:14] 持续跟大家讲
[04:15] 会有什么样的一些发展
[04:17] 那再来呢
[04:18] 就是祝大家在端午节的时候
[04:19] 都可以平安快乐健康
[04:21] 不管是跟家人去什么样的地方
[04:23] 相聚的时候呢
[04:24] 要注意防晒啦
[04:25] 这个是我最近真的是
[04:26] 特别小心的东西
[04:27] 因为发现说
[04:28] 现在太阳超堵的
[04:30] 那这个晒下去
[04:31] 是有可能会晒到那种
[04:32] 头晕脑脏
[04:33] 眼冒金星
[04:34] 所以自己要稍微小心
[04:35] 像我那网球课
[04:36] 以前我都是跟我教练讲
[04:37] 因为我都专门打那种替补时间
[04:39] 就是只要有人跳
[04:39] 那我就去补课
[04:41] 就是帮教练去当这个
[04:42] 补漏的一个学员
[04:44] 然后只是后来就发现说
[04:46] 这个蛮多人都会跳那种
[04:47] 什么正午时段
[04:48] 那我不可能去啊
[04:49] 那会死掉啦
[04:49] 那真的会死掉
[04:50] 所以我就只打四点半以后
[04:52] 那所以大家出去玩的时候
[04:53] 真的要注意防晒啦
[04:55] 就尽量不要在太阳下面
[04:56] 站太久之类的
[04:58] 那再也要小心蚊虫哦
[04:59] 因为我接下来
[05:00] 要带我孩子去
[05:01] 不知道就那种各种
[05:02] 就是有亲子饭店的地方
[05:04] 稍微的走一下之类的
[05:05] 那有些
[05:05] 像自己身边的朋友就讲说
[05:07] 干那边超多虫的
[05:08] 你自己要注意
[05:09] 像我最近我家里也突然有一个
[05:11] 那可以叫虫吗
[05:13] 蚕算是虫吗
[05:14] 应该算吧
[05:14] 反正就是有一個蟬
[05:15] 就突然聽到我殺的聲音
[05:16] 超大一隻的
[05:18] 我把他以為死掉
[05:19] 後來開窗戶出去看
[05:20] 他應該是活的
[05:21] 本來想說要不要就直接把他
[05:23] 可能放在下樓
[05:25] 拿個什麼樹
[05:26] 把他放在上面
[05:27] 後來覺得說
[05:27] 反正他自己也不知道怎麼跑來的
[05:29] 二十幾樓也不知道怎麼上來的
[05:31] 來了就來了
[05:32] 就讓他待在那邊
[05:33] 然後雖然他真的蠻吵的
[05:34] 就在那邊叫的時候
[05:35] 你會覺得說
[05:35] 怎樣我是住在森林裡面是不是
[05:37] 怎麼會有蟬鳴這麼大聲
[05:39] 那在喊大聲的時候
[05:41] 就會想要把他移除掉
[05:42] 只是因為我Google查了一下
[05:44] 好像有禅到你家里
[05:45] 是蛮好的一个急躁
[05:48] 老师就觉得说
[05:49] 来都来了
[05:49] 就让你待在那边
[05:50] 有事没事
[05:51] 他会这样稍微叫一下
[05:52] 反正总之
[05:53] 希望这样子的一个
[05:55] 快乐的正向能量
[05:57] 也可以分享给大家
[05:58] 希望大家的门口
[05:59] 都会停个禅
[06:00] 然后这样稍微叫一下
[06:01] 然后把你的福气也叫来
[06:04] 因为现在那种天气
[06:05] 真的超热
[06:06] 所以我在想说
[06:06] 我下一个礼拜
[06:07] 岳母来的时候
[06:08] 我真的是不知道
[06:08] 带她去什么地方
[06:10] 之前她来的时候
[06:11] 可能会稍微带她去一些
[06:12] 就是可以看人的地方
[06:13] 因为我岳母是一个非常伊人的
[06:16] 跟我老婆是相反
[06:17] 我跟我老婆在我岳母的眼中
[06:19] 他们把我们称为是老人家
[06:20] 不然说像之前
[06:21] 因为他想要去看一下
[06:22] 这些可能新潮的人们
[06:25] 会打扮
[06:26] 会出来party的人们
[06:27] 所以我们就会找一些
[06:28] 什么台北的酒吧带他去
[06:29] 去个几次之后
[06:30] 后面我们真的都不想去了
[06:32] 因为每次去
[06:32] 第一个他打扮就要花两个小时的时间
[06:35] 第二个真的到现场之后
[06:37] 就只有他会很高兴
[06:38] 在那边东张西望
[06:39] 我跟我老婆就真的就只想回家
[06:40] 就是我们实在是不太能够理解
[06:42] 就是所以这些party
[06:44] 到底是在冲啥笑
[06:45] 那当然以前
[06:45] 我们可能在大学的时候
[06:46] 像我曾经在夜店上过班
[06:48] 然后以前也会跟朋友去夜店
[06:50] 那时候你就会觉得说
[06:51] 可能是一个蛮好玩的事情
[06:52] 可是现在就真的会觉得说
[06:54] 就不知道这个到底是在干嘛
[06:55] 反正就可能真的是老了
[06:56] 就想要回家
[06:57] 所以后来因为我们要在
[06:59] 就我们去哪一地方
[06:59] 我们也不想去
[07:00] 第一个又要等你
[07:01] 然后第二个是
[07:02] 到那边我们真的不知道要怎样
[07:03] 然后每次十点一到
[07:04] 就想睡觉
[07:05] 就只想赶快回家里
[07:06] 所以就是可能到这个节骨眼
[07:09] 就已经是分散成两种人
[07:11] 就是一种人就是
[07:11] 为什么他会回归家庭
[07:13] 也不一定说他的家庭观特别好
[07:14] 就是单纯他觉得在外面无聊
[07:17] 他就只想要回家
[07:18] 另外一种人就是觉得在外面
[07:19] 还是有一些充电的效果
[07:21] 所以就像我们自己身边有些朋友
[07:22] 他们就整天会想要救吃饭
[07:24] 或是要救大家去哪
[07:25] 因为他觉得出来他才有充电的感觉
[07:28] 对我们来讲就是出来一律都是放电
[07:30] 几乎都是放电
[07:31] 只是当然你跟一些能量比较好的人
[07:33] 会放得比较慢一点
[07:34] 可是还是放电
[07:35] 你不可能整天待在外面
[07:36] 所以我还在想说
[07:37] 要怎么样去处理我岳母
[07:38] 还好说后来就是
[07:39] 因为像刚刚前面讲的
[07:41] 有把一些朋友引来领口
[07:43] 然后也介绍给我岳母的时候
[07:44] 岳母也很喜欢
[07:45] 所以我觉得去麻烦
[07:46] 可能其中一个老板
[07:47] 你就带岳母到处走一走
[07:49] 他可能也蛮高兴的
[07:50] 我岳母可能也蛮高兴的
[07:51] 这就看会怎么样
[07:52] 其实我岳母最近
[07:53] 也开始面对一些问题
[07:54] 因为她的孩子
[07:55] 大概已经是来到
[07:56] 十三十四岁左右
[07:57] 也就是进入了青春期
[07:59] 青春期的孩子
[08:01] 可能真的是蛮麻烦的
[08:02] 虽然我在想说
[08:02] 我们小时候的青春期
[08:04] 可能相对的还好
[08:05] 就是你可能会稍微的
[08:06] 想要不知道
[08:07] 就奇装异服之类的
[08:08] 你可能一到五要穿制服
[08:09] 然后六日你不用穿制服的时候
[08:10] 你可能就会开始穿一些
[08:11] 那种奇怪的东西
[08:12] 那个可能就是
[08:13] 以前我们的叛逆期
[08:14] 最多就是走到这样子一个程度
[08:16] 那只是我后来发现说
[08:18] 像那种欧洲的小朋友
[08:19] 那叛逆期
[08:19] 其实有时候都会蛮严重的
[08:21] 就开始讲话会那种
[08:22] 那种比较大神
