[00:00] 欢迎收听谷外,我是星梦宫,本集节目由EVOASIS赞助
[00:03] EVOASIS是原点科技旗下的充电服务品牌,股票代号7922,最近刚登陆新贵
[00:10] 我自己是电动车主,也去他们的林口站充电体验很好
[00:13] 有时候你开车在外面,最怕的其实不是没电,是找不到合适的充电站
[00:17] 或是到了之后还要再排很久
[00:19] EVOASIS给的感觉是站点够多,操作直觉,随时补电很方便
[00:24] 整体流程很顺,对电动车主来说稳定性非常的重要
[00:28] 现在他们持续在全台扩展
[00:30] 已经是全台最大的充电网
[00:32] 提供快充慢充家用充电
[00:34] 还有跨品牌充电慢油服务
[00:36] 意思就是说
[00:37] 不管你是平常通勤假日出游
[00:39] 甚至是临时跑远一点
[00:41] 只要是EV Oasis的会员
[00:42] 都比较容易找到地方补电
[00:44] 不用一直焦虑剩几趴
[00:46] 尤其现在电动车越来越多
[00:47] 充电这个事情跟加油一样
[00:49] 变成日常的一部分
[00:51] 那这样暂点密度高
[00:52] 充电速度跟整体的便利性
[00:54] 就会直接影响到用车体验
[00:56] 如果说本来就是电车车主
[00:58] 或是正在考虑入手电动车
[01:00] 可以去了解一下EVOASIS
[01:02] 想要看最新的站点
[01:04] 充电费率跟活动资讯
[01:05] 可以直接下载EVOASIS的APP来查看看
[01:08] 以上为品牌合作资讯
[01:10] 不构成任何投资建议
[01:11] 有任何需要的朋友们
[01:12] 都可以在我们资讯栏找到
[01:13] 更多关于EVOASIS的说明与连结
[01:16] 时间过得非常快
[01:17] 2026就这样要过掉一半了
[01:19] 我相信大家应该都跟我一样
[01:21] 是抱持着一个非常震惊的心态
[01:23] 就连我现在讲这一段话
[01:25] 我都觉得有一点吓到
[01:26] 就时间也过得太快了吧
[01:28] 那在这个上半年呢
[01:30] 不知道大家过得怎么样
[01:31] 不管是你的生活上还是工作上
[01:33] 那我这边就简单的去做一下
[01:34] 自己上半年的一些总结
[01:36] 那在下一期节目的时候呢
[01:38] 就会进入到7月1号
[01:39] 也就是下半年的开始
[01:41] 跟第三季的开始
[01:42] 那时候呢
[01:43] 我们就把它当成是一个新的开始
[01:45] 我觉得有时候去稍微的总结一下
[01:47] 就可以去wrap it up
[01:48] 就是大概在过去一阵子
[01:49] 你自己的表现
[01:50] 那如果是好的话呢
[01:51] 那就提醒自己不要膨胀
