[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由绿藤生机赞助
[00:03] 每天早上8点59分,大盘都还没开,情绪已经先开盘
[00:07] 昨晚股票在震荡,群组讯息跳不停,看着一目手指放在下单键
[00:11] 真的是知道自己在干嘛,还是单纯被行情推着走
[00:14] 开盘前使用绿藤生机,authentic,觉醒alpha,呼吸精粹
[00:18] 舒服且干净的草木清香,抹在手腕或是颈侧
[00:22] 吸气吐气,给大脑一分钟的降噪时间,让思绪重新专注
[00:26] 转换成为冷静的猎人
[00:27] 情绪要稳
[00:28] 身体状态也要顾
[00:30] 看盘开会忙碌整天
[00:31] 头皮又油又痒
[00:32] 整个人闻起来像是被市场修理过的狼狈感
[00:35] 最该管理的不是部位而是自己
[00:37] 使用绿藤头皮净化风胶洗发精
[00:40] 内含黄柠檬萃取带走油闷跟异味
[00:43] 加上顶级绿风胶跟99.6%天然来源
[00:46] 头皮味油痒一直解决
[00:48] 再使用弹力修护荷包蛋组抹一下脸
[00:51] 男生保养真的不用搞那些化妆水乳液乳霜一堆繁琐的步骤
[00:55] 这一组就是精华液在搭配精华油
[00:58] 直接挤在手掌心像荷包蛋一样
[01:00] 拉一拉直接涂上去就好
[01:02] 一步骤搞定
[01:02] 吸收速度超快
[01:04] 完全不黏
[01:05] 能够快速帮皮肤修护
[01:06] 稳住面子的基本面
[01:08] 我们不用再去追求精致发光机
[01:10] 至少维持有精神的状态
[01:11] 让脸不要干不要暗
[01:13] 不像蝶蝶
[01:13] 不管市场怎么震都老神在在的从容
[01:16] 加绿藤全系列韧香两件
[01:18] 88折优惠
[01:19] 满额再送头皮净化洗发精
[01:22] 或是绿色海洋清华油
[01:24] 交易要专注
[01:25] 要放松直接带authentic呼吸精粹两件组
[01:29] 想把头皮油味跟疲惫连一起整理好的
[01:31] 可以选洗发精搭配荷包蛋组
[01:33] 咨询栏这边点下去
[01:34] 把自己理干净也带一组送给老婆
[01:37] 那这个东西非常好用
[01:38] 控油一整天洗完头皮非常的爽快
[01:41] 有需要朋友可以到咨询栏这边找到说明链接
[01:43] 那前几天我们笑男的股东会算是顺利的落幕了
[01:46] 非常的开心
[01:47] 见到了各位快乐股东好朋友们
[01:50] 那其实绝大多数都是自己的sign up
[01:52] family foods and friends
[01:53] 那只当有些是自己的股东
[01:55] 在前线
[01:56] 所以我们就是一群
[01:57] 反正快乐好朋友
[01:58] 不是说大家是富
[01:58] 只是大家可能
[01:59] 对于游戏都有一些想法
[02:01] 然后都有一些梦想
[02:03] 想要去实践吧
[02:03] 聚在一起人多势众
[02:05] 我们也筹组了
[02:06] 目前应该是台湾
[02:07] 最大的一个游戏资本
[02:08] 后面还会再持续的长大
[02:10] 希望可以把这些资源
[02:12] 直接灌注到
[02:13] 台湾优秀的
[02:14] 新创游戏开发团队里面
[02:15] 目前看起来是非常顺利
[02:16] 我们面临丢出去的案子
[02:17] 大概加起来已经有五六个了吧
[02:19] 就是有五六个计划
[02:20] 包含的有些是我们
[02:22] 自己去做开发
[02:23] 这个可能是当时连想都不敢想的东西
[02:25] 因为其实本来的想法就是
[02:27] 我们有点类似说是纯资本方的角色
[02:30] 反正就是如果今天找到一些不错的团队
[02:32] 我们去扶植他
[02:33] 让他可以顺利的在市场上面过关斩将
[02:36] 只是后来因为我们自己有幸的
[02:39] 就是有跟一些IP方达成合作
[02:41] 所以就变成有可能
[02:42] 我们自己也会去做一些发行的事情
[02:44] 所以对我们来说是一个
[02:46] 当时根本就没有想过的发展
[02:48] 还记得当时小南资本的成立
[02:50] 是因为我有一款
[02:51] 我自己蛮喜欢的游戏
[02:52] 那我发现说
[02:53] 它在市场上面呢
[02:54] 遭遇到了一些逆风
[02:55] 所以我的想法是
[02:56] 我看那个创办人
[02:57] 他们在自己的
[02:58] 粉专上面的发文
[03:00] 感觉像是已经
[03:01] 在求救的感觉了
[03:02] 那所以就觉得说
[03:03] 那不然就这样子
[03:04] 我出钱让你们把它做完
[03:06] 希望你们可以顺利
[03:06] 那后来就发现说
[03:07] 我自己想太多
[03:08] 其实人家在还蛮赚钱的
[03:09] 那反正总之呢
[03:10] 就是觉得说
[03:10] 反正既然想法
[03:11] 都已经是丢出来了
[03:13] 那钱也已经准备好了
[03:14] 那不然就干脆
[03:15] 就把这件事情
[03:16] 把它做大
[03:17] 那当时呢
[03:18] 就是因为身边有一些快乐好朋友
[03:19] 他们自己本身对游戏也是非常的了解
