[00:00] 欢迎收听谷爱,我是沈木工,本集节目由善存赞助
[00:03] 你有没有发现以前每年总是在拼报酬率
[00:05] 现在开始每天要拼自己的精神状态
[00:07] 是否还能撑住一整天
[00:09] 25岁看K线,35岁看自己的气色状态在递减
[00:12] 这种落差比大盘回挡令人痛心
[00:15] 在股市闯荡后才发现
[00:17] 每天在市场被教育的同时
[00:18] 我们也默默地被氧化压力给教育
[00:20] 呼吸、熬夜、压力等全部都会让身体氧化
[00:23] 就像是苹果发安纳,没干嘛也会变黄变老
[00:26] 多数人想要抗氧化
[00:27] 问题是搞一堆
[00:28] 瓶瓶罐罐组合剂太麻烦
[00:29] 那后来就走一个ETF流派
[00:31] 膳存综合维他命
[00:33] 直接一颗解决分散风险
[00:34] 我长期吃膳存觉得有吃有差
[00:37] 它就是那种已经帮你配好的一篮子
[00:39] 一天一定补充22种人体必须营养素
[00:41] 里面有维生素C、E、鑫、锡
[00:44] 这些帮你抗氧化压力的关键营养
[00:46] 等于每天都在帮你打好抗老的基本面
[00:49] 而且它不是乱配套
[00:50] 70年的科学经验
[00:52] 还分男女不同年龄设计的专业配方
[00:55] 像我这次的男性扇存
[00:56] 就有增量的B1 B12和新
[00:59] 让活力充沛思绪清晰
[01:00] 工作家庭都有超强的续航力
[01:02] 买给老婆的女性扇存
[01:04] 有增量的C盖美
[01:05] 给女性好气色好代谢
[01:07] 好状态由内而外散发出来
[01:09] 简单讲就是扇存
[01:11] 不会叫退休族跟上班族
[01:12] 都搞同一套配置
[01:14] 如果说是每天订盘家上班的上班族
[01:16] 就靠成人扇存
[01:17] 如果想要照顾好爸妈
[01:19] 就靠银宝扇存
[01:20] 让长辈维持熟悉
[01:21] 有安心的身体状态
[01:23] 持续精彩过每一天
[01:24] 其实跟投资有点像
[01:26] 不一定每天涨停板
[01:27] 但不能够持续的在赔
[01:28] 一天一颗扇存
[01:29] 就是有个专业团队
[01:31] 在帮你投资健康的状态
[01:32] 投资你会做的资产配置
[01:34] 身体也要
[01:35] 那这是我真实推荐
[01:36] 可以长期持有的最佳选择
[01:38] 就靠扇存
[01:39] 把一家的健康基本面顾好
[01:41] 气色活力都在线
[01:43] 那我需要朋友
[01:43] 可以在资讯栏这边
[01:44] 找到更多的说明连结
