[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由NordVPN赞助
[00:03] 7月的暑假正式开始,大家的旅游计划应该都准备就绪了吧
[00:07] 除了帮你规划行程,也要提醒大家
[00:09] NordVPN不只是VPN,而是一个全方位的数位安全解决方案
[00:13] 只要一个APP就可以阻止钓鱼诈骗,提供反诈骗防护,进行暗网监控
[00:18] 还能够封锁弹出式广告等,为你的数位生活打造最坚实的防护网
[00:23] 当然旅游是想省钱,NordVPN依然是规划行程的实用工具
[00:27] 面对贵松松的机票
[00:29] 透过切换不同地区比价
[00:30] 对于想要精打细算
[00:31] 控制预算的人来说
[00:33] 只要一件就可以完成切换
[00:35] 相当的实用
[00:35] 除了比价
[00:36] NordVPN也可以大大提升网络安全保障
[00:39] 在规划行程时
[00:40] 常常会在家里咖啡厅或外出时
[00:42] 使用各种网络环境去查资料
[00:43] 定行成
[00:44] 但公共网络其实在安全性上较难掌握
[00:47] 这个时候使用NordVPN
[00:48] 就可以帮助加密网络连线
[00:50] 就算是在公共的WiFi环境下去
[00:52] 查住宿机票或登录账号来处理付款
[00:54] 也能够多一层保障
[00:56] 同时连线速度稳定
[00:57] 不太会影响到实际操作体验
[00:59] 如果只有人已经在国外
[01:00] NordVPN也可以切换回台湾的IP
[01:02] 连接熟悉的网站或常用服务
[01:05] 使用上会更加顺畅
[01:06] 像我自己最常用的一个使用情境
[01:08] 就是当遇到软体或是一些游戏的索区
[01:10] 都可以透过NordVPN来解决
[01:12] 而且现在NordVPN
[01:13] 不只是支援手机平板跟电脑
[01:16] 也已经支援Smart TV和Apple Vision Pro
[01:18] 一个账号最多可以同时使用于实体装置
[01:21] 不论是在家或外出都能够灵活的使用
[01:23] 下集要透过资讯栏的专属链接
[01:25] nordvpn.com slash goaie
[01:27] 或在结账的时候输入优惠码goaie
[01:30] 立即享有期间限定优惠
[01:32] 购买两年方案加送四个月
[01:33] 并提供30天退款保证
[01:35] 不满意都能够随时取消零风险尝试
[01:38] 好那这些对我来说
[01:39] 就是开始慢慢发现AI工具有其局限性
[01:42] 那当然这个我不会把它称为是某一种瓶颈
[01:44] 它可能比较类似
[01:46] 就是对我的使用情境来说
[01:47] 它的甜蜜点已经到了
[01:49] 就是在网上的话
[01:50] 可能编辑效益是有感的递减
[01:52] 那当然对于一些朋友来讲
[01:54] 它可能是马农之类的
[01:55] 说不定现在每一代的AI变化
[01:57] 对他来说都还是影响非常大
[01:59] 那可是对我来讲
[02:00] 就是我终于是走到
[02:01] 可能在现在对我来说
[02:02] 可能成本它是比较重要的一个环节了
[02:05] 那怎么说呢
[02:06] 像是Fable跟Opus 4.8
[02:08] 其实在我的心目中是差不多的东西
[02:10] 我觉得在我的使用情境上
[02:12] 每个人使用情境应该都是不太一样
[02:14] 那但是在我的使用情境
[02:15] 也就是让他去帮我去找资料
[02:17] 或是我喂资料给他
[02:19] 那让他去做统整
[02:20] 或是说借由我喂的资料
[02:22] 输入之后呢
[02:23] 那Shin变成我自己要的一个样子
[02:25] 那就帮我爬东西
[02:26] 在外接OPUS 4.8
[02:27] 那在我的感受上是
[02:29] 他跟Fable的差距
[02:31] 其实已经没有到很大
[02:32] 那如果今天我使用Fable的话
[02:33] 我反而会拼白无故的
[02:35] 烧掉一大堆的Token
[02:36] 那不知道大家有没有类似的感受
[02:39] 还是说大家都还是觉得
[02:40] 就是每一代AI模型
[02:41] 像我之前自己就是觉得说
[02:43] 每一代AI模型的变化都还是很大
[02:45] 非常期待
[02:45] 但现在开始已经是有一点
[02:47] 会想要去往Costdown的方向去走
[02:49] 那我觉得这也是蛮神奇的一种体验
[02:51] 那像最近就有发现一些问题
[02:54] 就在说像过去朋友会去听一些
[02:57] 可能不管是某一些电话会议
[02:59] 或是小厂的会议
[03:01] 那再来一些专家会议等等的
[03:03] 那过往可能就是说
[03:04] 看谁听完之后
[03:05] 就会把笔记伸出来
[03:07] 那让自己身边一些
[03:08] 比较要好的朋友稍微的看一下
[03:09] 那有一次
[03:10] 因为还没有人有时间去做笔记
[03:13] 可能当天场次比较多
[03:14] 所以朋友就把云石档给我
[03:15] 让我自己用我的AI去听
[03:17] 过完我的AI去听
[03:18] 你需要担心的是
[03:20] 它会不会漏掉一些重点
[03:21] 可是我觉得走到后来的模型
[03:23] 基本上他们不太会漏掉重点
[03:25] 但开始产生一个新的问题是
[03:27] 因为我想说让Fable去跑看看
[03:29] 跑一跑
[03:30] 因为一般我们把东西丢给这种
[03:32] Agenting AI
[03:33] 反正我只要把指令下下去之后
[03:35] 我可能就离场了
[03:36] 我可能已经跑去喝咖啡
[03:37] 还是吃个午餐
[03:38] 敲个枪之类的
[03:39] 你就已经没有在现场
[03:40] 没有盯着它
[03:41] 一般来讲
[03:42] 你知道他会把事情做完
[03:44] IDOL在那边
[03:45] 那等到你需要的时候
[03:45] 再把结论拿出来看嘛
[03:48] 那只是那一天
[03:49] 就突然间灵机一动了
[03:50] 我记得我有一个电话会议
[03:52] 叫他提一句看
[03:52] 哇靠他竟然还在跑
[03:54] 然后一句看我token
[03:54] 干烧超多钱的
[03:56] 就是呢
[03:57] 他烧的那个数量是基本上
[03:58] 你去找宫主真
[04:00] 可能找十个都还会找这样
[04:01] 那就是也不知道
[04:03] 什么那个token会花到这么多钱
[04:04] 那我去细部看他推理的步骤
[04:06] 才知道他为了追求准确
[04:08] 他是把整个录音档
[04:09] 大概二十几分钟
[04:10] 然后分成什么十几个片段
[04:11] 然后反复的去验证
[04:12] 那因为在录音档里面呢
[04:14] 可能有些内容是
[04:15] 我随便举例
[04:17] 我要讲一个字LT
[04:18] 我讲LT
[04:19] 那当然LT对每个人的定义是不太一样嘛
[04:21] 那可是对于可能我在追供应链的知道说
[04:24] LT有可能就代表是Letan
[04:25] 所以像这类的东西
[04:27] 可能是因为你也没有跟AI非常详细的去说明
[04:29] 说它是什么东西
[04:30] 所以每一个关键字
[04:32] 或是它很简单带过的东西
[04:33] 三大厂
[04:34] 那这个AI就会查什么叫三大厂之类的
[04:37] 所以它来来回回为了去求精确
[04:39] 它就烧掉超级多的Token
[04:41] 但这个东西对我们来讲
[04:42] 其实我未必要你走到这么精确
[04:45] 就是你这个多做的
[04:46] 对我来说只是多花钱而已
[04:48] 而且这个花钱
[04:49] 已经不是可能几十块
[04:50] 或是几百块
[04:51] 一两千块可以解决的东西
[04:52] 那就开始会产生一些问题
[04:54] 就你真的要盯着它
[04:55] 所以在我自己的use case
[04:56] 也开始理解
[04:57] 为什么有一些科技巨头
[04:58] 现在会去限制大家的token
[04:59] 不要让你token maxing
[05:01] 因为当然我们不会把它解释成为
[05:03] 说是模型上的阴谋
[05:04] 然后故意来来回回
[05:05] 确认很多次
[05:06] 因为他们一定是可以
[05:07] 讲得非常好听
[05:08] 就是他为了给你一个
[05:09] 最标准的答案
[05:10] 所以他多做一些确认
[05:12] 来回的去对答案
[05:13] 但这个来回
[05:14] 有时候真的会做到太夸张
[05:15] 现在有一个很简单的案例
[05:16] 其实我觉得你要去验证
[05:18] 你的AI到底行不行
[05:19] 你不应该去问你不知道的东西
[05:20] 在你要去完全相信这个AI之前
[05:23] 请先去问你非常熟悉的东西
[05:25] 假如说你是果农
[05:26] 你就是问水果相关的东西
[05:28] 你是马农
[05:29] 你就是问城市
[05:30] 如果你是搞投资的
[05:31] 你就问一些投资理论的东西
[05:32] 其实你蛮高的机率
[05:34] 都会发现说
[05:35] AI有其不足之处
[05:37] 可是现在很多人上网去吵架
