[00:00] 欢迎收听谷外,我是星风公
[00:01] 本期节目由乔治庸国际有限公司赞助
[00:04] 太热了,夏天全民运动体位管理
[00:07] 必须持有体香膏界古王Lan蓝体香膏
[00:10] 有时候搭电梯大家突然开始研究天花板
[00:12] 或是捷运上一个位置空着但大家宁愿站着
[00:15] 你以为这是社交距离,其实可能只是空气有点精彩
[00:18] 如果你不想成为人味道卫生道的人
[00:21] 请试试Lan蓝体香膏
[00:23] 不含铝盐、酒精、重金属等成分
[00:25] 还通过多项国家标准认证用起来相对安心
[00:29] 它不是拿来止汗
[00:30] 是帮你做好体位管理
[00:31] 香味最长可以维持约24小时
[00:34] 早上擦一次通勤开会健身聚餐
[00:37] 基本上都够用
[00:38] 手机钱包钥匙再加一个蓝体香膏
[00:40] 差不多就是现代人的EDC
[00:42] 别让大家闻到你今天过得多辛苦
[00:45] 现在夏日香香价值要699元
[00:47] 优惠只有到8月10号
[00:49] 有需要的朋友可以在我们的资讯栏
[00:50] 找到更多的说明连结
[00:52] 那这一半看到SpaceX的股价又继续落地
[00:54] 但我还是非常勇敢的在持续去加
[00:57] 后来就真的是越来越喜欢这家公司
[00:59] 其实我跟SpaceX的缘分是
[01:01] 缔结于在2024那时候去美国玩的时候
[01:03] 有一位听众就私讯我
[01:05] 跟我说有机会可以去参观
[01:07] SpaceX Hoffen的工厂
[01:08] 当时立刻就拿下这个机会
[01:11] 而且后来发现真的是千载难逢
[01:13] 他们好像里面的员工
[01:14] 他每年就是有限的额度
[01:17] 然后可以去找自己身边的朋友来看
[01:20] 这还有非常严格的身份审查跟确认
[01:23] 当时我有点类似说
[01:25] 就是不知道为什么有这么好的一个运气
[01:28] 然后可以搭上特快车就一起上去
[01:30] 不然有时候可能去run一些那种身份检查
[01:33] 背景检查就会花一阵子
[01:34] 特别是他们里面有一个
[01:35] 这个非常严格的
[01:37] 就是non-China policy
[01:39] 就是你只要是中国人的话
[01:40] 你是不可能可以进去的
[01:41] 那我们也知道说就台湾人在海外
[01:43] 很容易大家就会把你算成是part of China之类的
[01:46] 那所以本来以为说
[01:47] 完蛋了会卡关之类
[01:48] 就非常幸运的进去
[01:50] 那里面的各种接待跟服务呢
[01:53] 也都是非常的亲切
[01:54] 看到像是Falcon 9火箭
[01:56] 那也看到了
[01:57] Starlink的卫星
[01:58] 以及各式各样的火箭零组件
[01:59] 还有非常酷的公司文化
[02:01] 跟他们的办公室
[02:02] 跟一些仓储都有办法去看到
[02:04] 觉得印象非常深刻
[02:06] 真的觉得这是一个
[02:07] 超级伟大的工作跟事业
[02:09] 当时也因为太震撼了
[02:11] 所以回到饭店就问我儿子说
[02:12] 你要不要射火箭
[02:14] 当然我知道他妈射火箭
[02:15] 你要是天才
[02:15] 然后再来就是
[02:16] 就算你想要
[02:18] 你的身份不一定允许
[02:19] 他们可能要非常要求说
[02:20] 你是美国人之类的
[02:22] 但是我想法就是说
[02:23] 如果儿子那时候
[02:23] 他敢跟我讲说
[02:24] 他想要射火箭
[02:25] 即便他只是同言同意
[02:26] 我就会开始去规划说
[02:27] 怎么样可以移民到美国之类的
[02:29] 好在那时候
[02:29] 他是没有去做这样的一个选择
[02:31] 所以我就回到台湾
[02:33] 去过一个相对舒服
[02:34] 跟简单的生活
[02:34] 我想说如果你要去移民的话
[02:36] 一定是非常辛苦的
[02:37] 总之就是我对SpaceX
[02:39] 或是像是Tesla
[02:41] 都是非常喜欢
[02:41] 因为我本身算是
[02:42] 马斯克的一个粉丝
[02:43] 也算是马迷
[02:44] 所以像他的一些周边的产品
[02:47] 或是Tesla的汽车
[02:49] 再来如果他后面去出手机的话
[02:51] 全部都会买
[02:52] 然后一些那种有趣的小玩具
[02:54] 像是Boring Company
[02:55] 曾经有出过一个喷火墙
[02:57] 一开始朋友就有玩
[02:58] 玩完之后我自己喜欢
[02:59] 我自己也买了一把
[03:00] 那就觉得去收藏这些东西蛮有趣的
[03:03] 然后这次也有朋友帮我带了一个
[03:04] 超级酷的周边回来
[03:06] 是那个Magzilla
[03:07] 就是最早的Starship的一个发售平台
[03:10] 那大家如果看过影片就知道说
[03:12] Starship在落地回来的时候
[03:14] 会有一个像是筷子的机械手臂
[03:16] 伸出去
[03:16] 然后把这个火箭给接起来
[03:18] 那后来大家就戏称这个机械手臂为筷子
