[00:00] 欢迎收听谷爱,我是孙梦宫,本集节目由尼谷青赞助
[00:03] 戒烟如同投资,需要放弃短线刺激与快感,以追求长期健康复利
[00:07] 过去我很常抽烟,一天两包,聚会工作,休息时间一根接一根
[00:11] 直到后来为了自己与家人的健康才下定决心要戒烟
[00:14] 当初我主要是靠戒烟贴片成功戒掉烟瘾
[00:17] 身为过来人,我蛮鼓励大家可以尝试戒烟辅助品
[00:20] 今年8月,尼谷青戒烟口含定即将上市,使用简单零门槛
[00:24] 像薄荷钉一样放入口中即可快速缓解烟瘾
[00:26] 薄荷口感清新口气戒烟新手也容易接受
[00:29] 适合上班会议时使用
[00:31] 让偏好低调的戒烟族也能够随时随地的快速缓解
[00:34] 另外尼古钦戒烟喷雾是品牌独家剂型
[00:36] 一喷立即缓解
[00:38] 适合在社交通勤需要快速缓解不适的戒烟族群
[00:41] 尼古钦帮助戒除止烟电子烟以及加热烟
[00:44] 让你不被烟瘾打扰专注生活每一刻
[00:46] 只靠个人意志力戒烟成功率通常低于5%
[00:49] 过程中最难的并非下定决心要开始戒除
[00:52] 而是每次烟瘾来袭的瞬间
[00:53] 如何撑过戒断症状以及吸烟的冲动
[00:56] 尼古琴让戒烟不只是硬撑
[00:58] 而是帮助戒烟者在重要时刻缓解当下的烟瘾
[01:01] 一步步拿回生活中每一刻的主导权
[01:04] 加上加户股份有限公司
[01:05] 台北市中央区民生东路三段二号10楼
[01:06] 尼古琴戒烟口含第二号课
[01:08] 胃部药书字第029-054号
[01:10] 尼古琴街沿澎湖卫部要书字地
[01:12] 027835号
[01:13] 北市卫耀广字地
[01:15] 15060214号
[01:16] 好那明天对我来讲
[01:17] 是一个非常重要的日子
[01:19] 它就是红眼鹿笔的登场日
[01:21] 非常希望大家都可以
[01:22] 我相信啊
[01:23] 就要多数的听众
[01:24] 在我们的呼吁之下
[01:25] 一定把它放进去
[01:26] wishlist里面
[01:27] 那如果说你还没有的话呢
[01:28] 希望你可以去试玩
[01:29] 看看这一款游戏
[01:30] 你在steam是可以找到试玩的
[01:32] 那或者说如果
[01:32] 后面评价是蛮不错的
[01:34] 你想要试看看
[01:35] 你想要挑战看看
[01:36] 欢迎都去把这一款游戏找来玩
[01:38] 它是由台湾非常优秀的游戏开发团队
[01:40] 贝狗游戏
[01:41] 他们所参与开发
[01:43] 以及向南资本非常幸运
[01:45] 可以去参与投资这样子的一个优秀的团队
[01:48] 其实我们后续还是有一些游戏会持续的登场
[01:52] 像是下一款暗华夜战
[01:53] 预计在明后年会上
[01:54] 这一款大家在Steam上面
[01:56] 也是已经可以找到它的试玩
[01:58] 欢迎都去玩看看
[01:59] 同时我们也有一些游戏
[02:01] 是已经在市场上面在跑了
[02:03] 但是因为我们跟每个团队
[02:04] 可能签的deal是不一样
[02:06] 所以有些我们不会公布
[02:07] 但只能够说
[02:07] 这个算是我自己
[02:09] 非常美好的一两年
[02:10] 自己喜欢
[02:11] 且觉得很赞
[02:12] 很棒的团队
[02:13] 都可以把它收进来
[02:15] 去参与他们的一个成长
[02:16] 作为一个Evergreen Fund
[02:18] 我们不会去要求
[02:19] 我们的Founder
[02:20] 或是我们的团队
[02:20] 他们必须要交给我们
[02:22] 怎么样的一个ROI
[02:23] 或是怎么样
[02:23] 我们就希望说
[02:24] 我们给他们所需要的资源
[02:26] 我们也看准这些团队
[02:27] 当然也不是说
[02:28] 怎么随便乱花钱
[02:28] 随便找团队乱丢
[02:29] 我们也是知道说
[02:30] 他们有潜力
[02:31] 一个愿打一个愿挨
[02:32] 然后一起去做出一款
[02:34] 可能非常棒的游戏
[02:36] 然后一起把台湾的游戏
[02:37] 带到一个新的高度
[02:38] 那这可能也是
[02:39] 我自己在接下来
[02:40] 会比较想要去着重
[02:41] 跟努力的一个方向
