[00:00] 欢迎收听谷爱,我是孟公,本集节目由NordVPN赞助
[00:03] 7月的暑假正式开始,大家的旅游计划应该都已准备就绪
[00:07] 除了帮你规划行程,也要提醒大家NordVPN不只是VPN
[00:11] 而是一个全方位数位安全解决方案
[00:13] 只要一个APP就可以阻止钓鱼诈骗,提供反诈骗服务,进行暗网监控
[00:18] 还能够封锁弹出是广告等,为你的数位生活打造最坚实的防护网
[00:23] 当然旅游时想省钱,NordVPN依然是规划行程最实用的工具
[00:27] 面对贵松松的机票
[00:28] 透过切换不同地区比价
[00:30] 对于想要精打细算
[00:31] 控制预算的人来说
[00:33] 一键完成切换相当实用
[00:34] 除了比价
[00:35] 使用NordVPN也可以大大的提升网络安全保障
[00:38] 在规划行程时
[00:39] 常常在家里咖啡厅
[00:40] 或是外出使用各种网络环境查资料定行程
[00:43] 但公共网络在安全性上较难掌握
[00:46] 这个时候使用NordVPN
[00:47] 可以帮助加密网络连线
[00:49] 就算是在公共WiFi环境下
[00:51] 查询住宿机票
[00:52] 或是登录账号处理付款
[00:53] 也能够多一层保障
[00:54] 同时连线速度稳定
[00:56] 不太会影响实际的操作体验
[00:58] 如果之后人已经在国外
[00:59] NordVPN也可以切换回台湾的IP
[01:01] 连接熟悉的网站或常用服务
[01:03] 使用上会更加顺畅
[01:05] 像我自己也会使用NordVPN
[01:06] 来跨区使用一些软体
[01:08] 或像是手游索区可以靠它解决
[01:10] 而且现在NordVPN
[01:11] 不只是支援手机平板跟电脑
[01:13] 也支援Smart TV和Apple Vision Pro
[01:15] 一个账号最多
[01:16] 可以同时使用于10台装置
[01:18] 不论在家或是外出
[01:19] 都能够灵活使用
[01:20] 下载透过资讯栏的专属连接
[01:22] norbpn.com
[01:23] 或在结账的时候输入优惠码
[01:25] 立即想好期间限定优惠
[01:28] 购买两年方案加送四个月
[01:30] 并提供30天退款保证
[01:32] 不满意都能够随时取消零风险尝试
[01:34] 红眼鹿比真的超屌
[01:36] 我现在心中是那种百感交集
[01:39] 因为一开始确实是蛮紧张的
[01:41] 虽然它不是我们销南资本
[01:44] 唯一一个投资
[01:45] 我们后面还有很多游戏要登场
[01:47] 但是它是第一个
[01:48] 就是在我们头后上市的游戏
[01:50] 所以你说不紧张是骗人的
[01:53] 心中一定是百感交集
[01:55] 一方面是看到一个作品
[01:57] 终于要登场了
[01:58] 二方面是担心说
[01:59] 会不会不小心有bug
[02:00] 还是说网友的口味
[02:02] 可能不喜欢之类的
[02:04] 那担心说会不会
[02:05] 我们的第一款作品
[02:06] 假设没有获得巨大成功的话
[02:08] 那后面的几款作品怎么办
[02:10] 有没有可能就大家头洗下去
[02:12] 然后头就没了之类的
[02:14] 那你说钱不见了怎么样
[02:15] 对我们来讲
[02:16] 真的是小事
[02:17] 就是钱赔掉
[02:18] 也不在意
[02:19] 反正你看我现在股票
[02:20] 整天在跌
[02:21] 那早就已经不知道
[02:21] 跌掉几个销单资本了
[02:23] 但是心中的想法是
[02:24] 我觉得钱赔掉没有关系
[02:26] 可是这种理念
[02:28] 然后跟对梦想的一种
[02:29] 执着跟热血
[02:31] 因为我们每个参与的股东
[02:33] 几乎从小就是打游戏长大
[02:34] 大家想看着台湾游戏
[02:36] 可以顺利的登场世界舞台
[02:38] 我就觉得
[02:39] 我不知道
[02:39] 我在心中许下非常多愿望
[02:41] 都是希望他成功
[02:42] 可能是最近
[02:43] 就是心中想最多的事情
[02:46] 所以最后面看到
[02:48] 红颜露比的登场
[02:50] 在既期待
[02:51] 同时又有一点
[02:52] 怕受到伤害的心情之下
[02:54] 把这个游戏买下来
[02:56] 开始玩
[02:56] 打过第一个BOSS
[02:58] 因为前面的demo
[02:59] 已经是大家都打过第一个BOSS
[03:01] 所以你知道到这边
[03:02] 绝对是没问题的
[03:03] 然后到第二个
[03:04] 然后到第三个
[03:05] 然后到老婆叫你去吃饭
[03:06] 你说没空
[03:07] 你要打电动
[03:07] 到晚上可能不睡觉
[03:09] 喝咖啡在那边尻
[03:10] 到早上一起继续玩
[03:12] 你就知道说
[03:12] 干 中了
[03:13] 这真的中了
[03:14] 这个就是
[03:14] 我自己本身也超级喜欢的游戏
[03:17] 所以其实是充满很多的感动
[03:19] 就是我已经不需要去看
[03:21] 说什么同时在线人数多少
[03:22] 我一开始在网上发的时候
[03:24] 是1000
[03:24] 后来只有摸到2000
[03:25] 这个其实以一个
[03:26] 这种独立制作游戏来说
[03:28] 算是很不错的成绩
[03:29] 后来也很幸运的
[03:31] 看到一些直播组
[03:32] 海外有一个叫什么
[03:33] Elijah是不是
[03:35] 然后这个直播组
[03:36] 他同时在线观看了8000多
[03:38] 然后最后面这个影片的存档
[03:39] 有10万多人观看
[03:41] 我非常期待在这个周末
[03:42] 会不会去引起一种
[03:44] 在海外的风潮
[03:45] 越来越多海外的直播组
[03:46] 去开箱去玩这一款游戏
[03:48] 但是其实不用看他们怎么样玩
[03:50] 不用看他们怎么评论
[03:52] 我就已经知道说这款游戏中了
[03:53] 那最感动我是看到那个Elijah
[03:56] 他在最后面的差不多15分钟左右
[03:59] 他把游戏打破之后
[04:00] 就是NG Plus破关之后
[04:02] 解除了真结局
[04:03] 然后他在那边感叹说
[04:04] 这真的是一款超赞的游戏
[04:07] 他believe这个游戏会gain some traction
[04:09] 就一定会再去一重
[04:11] 然后他觉得这是很美丽
[04:13] 做了很好的游戏
[04:14] 那其实跟我的想法
[04:16] 是完全一样
[04:16] 虽然那时候
[04:17] 我根本还没有打破
[04:17] 因为这个游戏的难度偏高
[04:20] 就是真的是
[04:21] 需要稍微花一点时间
[04:23] 那如果说你不擅长
[04:24] 玩Soul-like游戏的朋友们
[04:26] 所谓Soul-like就是魂系
[04:27] 简单来讲就是说
[04:28] 它刻意把难度做到很高
[04:29] 你可以玩剧情模式
[04:31] 那它里面可以去设定
[04:32] 你的伤害倍率
[04:33] 你就调大一点
[04:34] 就变成说
[04:34] 你那一刀
[04:35] 可能就可以把王打残这样
[04:37] 那这样子可能就会让
[04:38] 你的游戏体验变得好
[04:39] 但绝大多数的玩家
[04:40] 我相信跟我一样
[04:41] 如果是喜欢soul like的话
[04:42] 那我们是喜欢那一种
[04:44] 就是你一次又一次
[04:46] 义无反顾的把自己往王的脸上丢
[04:49] 然后一直被他杀掉
[04:50] 死了几十次
[04:52] 一百次
[04:52] 两百次
[04:53] 然后接着把游戏通关
[04:55] 当你通关之后呢
[04:57] 如果说你把这个直播影片放到网路上
[04:59] 大家就会说你熟悉的令人心疼
[05:01] 因为你每一个这个招式
[05:04] 怎么样去做闪躲
[05:06] 怎么样去做counter
[05:07] 你都是经历过无数次的死亡
[05:09] 才可以打过去
[05:10] 所以Soul Like游戏甚至有点像是我们自己人生的写照
[05:13] 那以前我玩Soul Like游戏
[05:15] 怎么讲我最早其实不是他的粉丝
[05:17] 我是后来玩了就是爱尔登法环之后
[05:20] 才正式的变成Soul Like的粉丝
[05:22] 也就是魂系游戏的粉丝
[05:23] 然后我就一路去找这样子的游戏来玩
[05:27] 有些人说是自虐
[05:27] 但是如果说你懂得故中的奥妙的话
[05:30] 其实你会非常喜欢这种
[05:32] 就是你在把游戏玩完之后
[05:34] 你不只是体验了一个游戏
[05:35] 有些人会觉得游戏玩完好像什么就没了
[05:37] 但你真的就学会一些东西
[05:38] 你再次回去打那些网队来说
[05:40] 其实都是很轻松的
[05:41] 你的神经好像都接好了之类的
[05:43] 所以你是真的会学习到一些东西
[05:45] 那看着自己
[05:46] 跟我们湘南资本去投资的
[05:49] 这个非常优秀的Bagel游戏
[05:51] 所做出来的游戏最后的呈现
[05:53] 不管是它的画面
[05:54] 音乐
[05:55] 或是在每个非常intense的
[05:58] 那个Boss Rush的战斗之中
[05:59] 大家回到修道院
[06:00] 坐在炉火旁边喝个汤
[06:02] 配上很抒情很抒压的配乐
[06:05] 然后跟一些可爱的NPC
[06:07] 以及最后面你发现
[06:08] 路比是可以换颜色的
[06:09] 达到NG Plus之后
[06:10] 就会觉得这个游戏有非常多的深度
[06:14] 它是用一个像素风呈现
[06:15] 那当然像素风
[06:16] 有些人喜欢
[06:17] 有些人不喜欢
[06:18] 但我自己是非常喜欢
[06:19] 那在像素风的这样的一个
[06:21] 有点怀旧
[06:22] 有一点舒服的氛围之下
[06:24] 同时又带有了非常hardcore的
[06:26] 打王的要素
[06:27] 然后跟我觉得它剧情的
[06:29] 这个深度跟感染力也非常的强大
[06:32] 那同时
[06:33] 因为我们去打一些游戏的时候
[06:35] 其实有时候我们自己心中会希望
[06:37] 某一种剧情发生
[06:39] 虽然蛮多游戏
[06:40] 他们喜欢去做一个
[06:41] 就是让你非常难过
[06:43] 非常难受的一种体验
[06:45] 那他把它称为是某一种
[06:46] 残破跟残缺的
[06:48] 一种美丽或什么的
[06:49] 可是我不知道
[06:50] 在这个时间点
[06:51] 我可能需要的比较多
[06:52] 是那种心灵上的治疗
[06:54] 所以那有一些剧情走向
[06:56] 刚好又切到
[06:57] 我内心中需要的东西
[06:58] 所以你还会打一打
[06:59] 不小心打到哭你知道吗
[07:01] 傻小
[07:01] 打游戏打到哭
[07:02] 太感动了
[07:03] 这到底是什么东西
[07:04] 那所以非常感谢
[07:06] 背狗游戏做出
[07:06] 这么棒的一个作品
[07:07] 也非常感谢GameWorks
[07:09] 辅导他们
[07:10] 然后以及
[07:10] 让向南资本
[07:11] 可以去参与他们
[07:13] 在他们需要帮助的时候
[07:14] 我们去挺一把
[07:15] 最后面这款游戏
[07:16] 顺利的上市
[07:17] 并且在我心中
[07:19] 他已经获得一个
[07:20] 就是至高无上的成就
[07:22] 就是不管最后面评价是怎么样
[07:24] 不管最后面卖了几套
[07:26] Steam的同时上线人数是多少
[07:28] 或者是
[07:28] 就是最后面在Twitch上面
[07:30] 是有多少人去观看
[07:31] 他已经无法改变的
[07:33] 就是我觉得
[07:34] 他是我人生非常重要的
[07:35] 一个里程碑
[07:36] 那我非常荣幸
[07:37] 我有这样的机会可以来参与
[07:39] 那我也非常感谢过去的自己
[07:41] 非常认真的工作
[07:42] 所以当时要掏钱去做创投
[07:44] 这种大家都感觉说你疯了吗
[07:46] 你干嘛不要去买一间房子
[07:47] 你干嘛不要干嘛
[07:48] 但我们就义无反顾的做下去
[07:49] 我非常感谢做出这样决定的自己
[07:51] 那当然就是最终非常谢谢
[07:54] 有欢迎路比这么棒的一款游戏
[07:56] 我有带来一个极好的周末
[07:59] 在外面家是有一点那种心风血雨
[08:01] 你做什么都不对啊
[08:02] 现在的环境就是你做什么都不对
[08:04] 你整天就是要烙赛
[08:05] 想说大约差小
[08:06] 你努力了半天
[08:07] 一点收获都没有
[08:08] 但最后面在游戏里面
[08:10] 本来以为说玩这种
[08:11] 你知道soul like的游戏
[08:12] 会虐待自己
[08:13] 但我发现一下
[08:14] 外面的世界比这游戏更难
[08:15] 游戏呢
[08:16] 我们义无反顾的
[08:17] 把自己丢进去
[08:18] 最后面就是会把它破关
[08:19] 但是外面的世界不一定
[08:21] 但我们希望外面的世界
[08:22] 最后面也是这样
[08:23] 那最后面也非常感谢
[08:25] 所有支持欢迎录比的
[08:26] 各路的听众地方捏软
[08:28] 各路豪杰
[08:30] 还有地方妈妈们
[08:31] 很多买给老公玩
[08:32] 那这里有一个小提醒
[08:34] 希望大家去写评价的时候
[08:35] 尽量不要写说什么
[08:35] 孟公爱您或什么的
[08:37] 因为这个太粉丝相关的东西
[08:39] 我自己也是不喜欢
[08:40] 然后再来就是
[08:40] 你知道那种游戏的粉丝
[08:42] 很多是很hardcore
[08:43] 他们看到他们可能也不喜欢
[08:44] 所以希望大家不要雷我
[08:45] 希望大家就是专心的
[08:46] 去写游戏的评价就好
[08:47] 那我下去看游戏的评价
[08:49] 其实就要多说下来
[08:49] 已经拉回正了
[08:50] 一开始哇
[08:51] 我一看
[08:52] 怎么全部都是在讲说
[08:53] 什么爱您撒小的
[08:54] 那还好我去跟团队
[08:56] 然后跟GameWorks
[08:57] 聊这件事情的时候
[08:58] 他们说没关系
[08:59] 他很温馨
[09:00] 大家很像那种可能不知道
[09:01] 就是国高中同学会之类的
[09:02] 但最后面就是有回归正轨
[09:04] 所以希望大家就专心在游戏的评论
[09:06] 那我们一定会再继续的
[09:08] 端出更多的好作品给大家
[09:09] 那也希望大家喜欢荒野鹿比
[09:12] 然后跟喜欢湘南资本
[09:13] 后面要推出的游戏
[09:14] 或者是不一定是湘南资本
[09:16] 但是是台湾人做出来的游戏
[09:18] 我希望大家都可以持续的支持下去
[09:20] 那在这边先跟大家说感恩啦
[09:22] 安智晟
[09:23] 多谢你
[09:24] Thank you very much
[09:26] 谢谢
[09:26] 希望大家都有美好的周末
[09:29] 希望下个礼拜市场就会转好
[09:32] 一切都会往更好的方向
[09:33] 大概这样
[09:34] 好那接下来我们来进入上的话题
[09:36] 那目前的市场
[09:37] 真的也蛮像魂系游戏的
[09:38] 而且不是一般魂系游戏的
[09:40] 什么开始的场景之类
[09:42] 是已经走到那个艾布雷菲尔
[09:43] 就是米凯拉的圣树那边
[09:46] 那那个城镇呢
[09:47] 就真的就是给你一种万念俱灰
[09:49] 全部人都在等米凯拉回来
[09:51] 但是米凯拉没有回来
[09:52] 那我们现实之中的米凯拉是谁
[09:54] 我不知道我感觉是川普啦
[09:56] 就是感觉川普应该是要讲一点话
[09:58] 突然说我们不想要打伊朗了
[10:00] 或什么的
[10:00] 虽然我自己觉得
[10:01] 加的下跌跟伊朗没有太大的关系
[10:03] 但就是需要一些那种catalyst
[10:05] 一些催化剂跑出来
[10:07] 可能是不知道Fed突然间决定
[10:09] 我们没有要收容
[10:11] 在大家预期可能开始拉高之后
[10:13] 告诉你说休息一下没事
[10:15] 其实我们觉得AI
[10:16] 真的是像那些科技巨头老板讲的
[10:18] 它是某个程度的通缩力量
[10:20] 所以不会有通膨
[10:21] 虽然我们在供应链上看
[10:23] 每个东西之前都在涨价
[10:24] 但就是如果它可以这样讲的话
[10:26] 说不定市场会扭转
[10:27] 或者是说川普出来讲一点话
[10:28] 市场就会扭转
[10:29] 当然我们之前有跟大家讲过
[10:31] 其实川普现在出来讲话的几率偏低
[10:33] 因为如果你今天是看Standard and Poor
[10:35] 就是标普500的话
[10:36] 它本身就是还在高位
[10:38] 所以它是里面的一些成分股
[10:41] 摔得比较重
[10:41] 当然台湾人觉得摔得很重的一个主因
[10:44] 或者说韩国人或者说日本人
[10:45] 是因为我们的股票里面
[10:47] 有蛮多都是那些AI Components
[10:49] 或是AI相关的东西
[10:50] 在美国这边你也是注意到说SOX
[10:53] 就是说费城半导体指数
[10:55] 大概也是摔掉了快要三成
[10:57] 到最低点的时候差不多是这样
[10:58] 所以当指数摔掉三成的话
[11:00] 大家是一定不会好受的
[11:02] 好像贵买是直接叼爆掉
[11:03] 所以像我自己最近
[11:05] 也是有那种有感的感受到
[11:06] 不会被引爆
[11:07] 就算你可能有躲进去
[11:08] 胜亏股一点或什么的
[11:09] 但无法改变的
[11:10] 就是你每天都一直在输钱
[11:11] 就是每天都在输钱
[11:12] 稍微的找到一些新的题材
[11:14] 好像我可能在本周
[11:16] 就是有看到说
[11:16] AMD有一个Advancing AI
[11:18] 我就往AMD的一些相关概念股去压
[11:21] 他们是带一些正报宠民
[11:23] 但是他没有办法带来的是
[11:25] 像你美股的部位
[11:26] 或是你台股的其他部位
[11:27] 所带来的一些负报酬
[11:29] 所以就大概已经是往两成多去跑了
[11:32] 再继续往下跑
[11:33] 如果跑到什么两成五三成的话
[11:35] 我可能会再做更激进的保守的做法
[11:38] 因为其实真的不知道
[11:39] 现在到底发生什么事情
[11:40] 所以现在的行情越来越让我感觉到
[11:43] 很像去年的三月
[11:45] 可能我们在过去的节目
[11:46] 一直在讲这样的感受
[11:47] 我觉得现在越来越像
[11:49] 就是你不知道在叠什么
[11:50] 就是认真说你在市场上
[11:52] 像我们去找一些那种买方的朋友
[11:54] 然后或是一些
[11:55] 可能在海外大券商的朋友
[11:57] 大家都在讨论
[11:58] 到底发生什么事
[11:59] 其实大家都众说纷纭
[12:01] 就是你没有办法明确的找到
[12:03] 有某一个理由
[12:03] 去导致这样一个现象
[12:04] 前面可能
[12:05] 如果说你要用产业面的角度来说
[12:06] 可能是像是K3 Kimmy
[12:08] 这样的一个东西
[12:09] 对市场造成一些影响
[12:11] 可是后来
[12:12] Kimmy这个事件在市场上
[12:14] 其实算是已经被大家消化完了
[12:16] 在我们上一集有跟大家聊到说
[12:18] 其实最终大家发现说
[12:20] 它的用量只会更大
[12:21] 所以大家找不太到是有什麼樣的一個直接理由去解釋這一波下跌就是有可能畢竟其實我們四五月的节目老师讲话都开始昂瞎了都开始说每天不知道干嘛都在处置股都一直在涨已经涨到就是什么运动员变成是我的本业
[12:36] 我整天都去运动
[12:37] 结果一下回想那段时间我发现说
[12:39] 那时候可能真的是过得太爽
[12:41] 所以现在就是那一种你的获利该被回吐
[12:44] 就是该被惩罚的一个时间点
[12:45] 所以目前还是会先暂时把它想象成为是某一种估值的修正
[12:50] 只是这次的估值修正是非常变态的
[12:52] 因為其實有蠻多東西
[12:54] 特別是我們沒有辦法去點名一些標的
[12:56] 應該可能比較中小
[12:57] 但是我們自己有在注意的某一些設備股
[12:59] 它跌到10倍股以下
[13:01] 它甚至跌到7、8倍股
[13:02] 就是如果你用明年的EPS算的話
[13:04] MAR超低
[13:05] 台灣的一些板材PCB相關的東西
[13:08] 跌到超低那種10倍左右
[13:10] 你想說這到底是什麼東西
[13:12] 為什麼他們的估值可以跌到這麼便宜
[13:14] 當然像這樣的事情過去也發生過幾次
[13:16] 有幾次應該說絕大多數就是證明
[13:19] 就是市場在瘋狂在亂殺
[13:21] 後面就回去
[13:21] 可是也有幾次怎麼樣
[13:23] 就是他是走在前面市場先跌
[13:26] 所以其實我們家都是非常擔心說
[13:27] 會不會是有些市場不知道的東西
[13:29] 現在正在作動著
[13:31] 類似像是去年的3月
[13:32] 一開始在跌的時候
[13:33] 大家都不知道在跌什麼
[13:34] 然後後來反彈之後
[13:35] 川普拿出小板板
[13:36] 崩沙
[13:37] 那當然就跌完了
[13:38] 真的下去就跌完了
[13:38] 所以現在有點像是說
[13:40] 可能等到消息開出來就跌完了
[13:42] 只是等到消息開出來
[13:43] 你不知道要多久
[13:44] 你不知道還會繼續
[13:45] 殘虐大家到什麼時候
[13:47] 像在禮拜五的晚上的時候
[13:49] 台子又破底了
[13:50] NQ也是破底
[13:51] 本来破底之后有拉回来
[13:53] 我想说this is it
[13:54] no lower就这里
[13:55] 但尾盘又再下去
[13:56] 所以老实讲不知道
[13:58] 会不会下来要不要trigger一个新的麦芽出来
[14:00] 真的太难说了
[14:02] 所以现在形态真的变得蛮难看的
[14:04] 我自己在心中的期待是应该要快点拉上去
[14:07] 如果拉不上去的话
[14:08] 随着自己的净值的drawdown越来越高
[14:12] 我预计就大概可能到两层五三层
[14:14] 其实一般可能不会到这么深才去再改新的策略
[14:17] 只是因为今年还OK
[14:18] 所以就会觉得再多吃一点
[14:20] 那我可能也受不了
[14:21] 我就要再去修正一下
[14:22] 可能就开始要拉现金出来之类的
[14:24] 那过去一阵子是在各种部位之间调来调去
[14:27] 可是有点发现说
[14:29] 好像也没有什么意义
[14:30] 多调多错
[14:31] 那不然说从台积电的财报开出来
[14:33] 他的财报其实是非常好的
[14:35] 然后崩掉嘛
[14:36] 那再来Google的财报开出来
[14:38] Google的财报我们只能去评论
[14:39] 我们觉得是非常好
[14:41] 而且已经证明说
[14:42] AI就是可以赚钱的东西
[14:44] 那很多人就讲说他现金有转付
[14:46] 可是现金有转付
[14:47] 其实如果听我们节目知道
[14:48] 几个月前我们就跟大家说
