[00:00] 欢迎收听谷爱,我是孟公,本集节目由比如我赞助
[00:03] 现在国际乳清原料的价格越来越贵
[00:05] 选错品牌就像是挑错选股
[00:07] 成本都出去了,获利却没跟上来
[00:09] 比如我专注做蛋白补充这一块
[00:12] 不卖保健概念,不搞复杂配方
[00:14] 就是把蛋白质的来源,成分比例
[00:16] 这些基本的东西做好,让你补得到位
[00:18] 如果说有乳糖不耐,喝乳清容易胀气
[00:20] 或者吃全素的人
[00:22] 植物蛋白是你的最佳优质解
[00:24] 完整六种植物蛋白的来源
[00:26] 大豆,豌豆,糙米都在里面
[00:28] 一份20克以上的蛋白质
[00:29] 膳食纤维
[00:30] 维生素
[00:31] 矿物质一起补充
[00:32] 没有以上困扰的人
[00:33] 也可以考虑浓缩乳清
[00:35] 是平正高中棒球队的指定补给品
[00:38] 口味有12种
[00:38] 很多人从苹果牛奶口味入坑
[00:41] YouTube酒面也特别喜欢喝这一个
[00:43] 喝起来真的有点像
[00:44] 小时候喝金苹果的味道
[00:46] 不知道从哪开始就可以选择这一个
[00:48] 最后这一个最屌
[00:49] 零酒精的乳清纺啤酒
[00:51] 有在健身的人最怕聚餐
[00:53] 桌上一堆啤酒喝下去爆热量
[00:55] 这款比一般啤酒
[00:56] 或者快乐肥宅水热量少一半
[00:59] 每罐还能够补充10克的蛋白质
[01:01] 不用为了聚餐破功
[01:02] 还能够喝到一样的气泡爽感
[01:04] 我觉得这个非常懂健身仔的痛点
[01:07] 有需要的可以在网址直接搜寻
[01:09] BERULE
[01:10] 记得结账的时候输入我的折扣码
[01:12] GOOAYE
[01:13] 全管满2000限制有100元
[01:15] 现在乳清长很凶
[01:17] 这折扣很珍贵
[01:18] 或直接到我的影片下方的资讯栏
[01:20] 提供给所有有需要的朋友们
[01:21] 好那我真的觉得时间的推进之后
[01:23] 会让一个人慢慢的长大了
[01:25] 好像這一波行情當然是殺的非常嚴重
[01:27] 好像截至今天的話
[01:29] 我大概是已經跌回去5月初左右的一個淨值了
[01:32] 那Maximum Drawdown大概是抓可能大概25到28%
[01:36] 還沒有細算
[01:37] 但大概就是回這樣子
[01:38] 那以這樣子的成績
[01:40] 在我們的同業之中
[01:41] 因為我們不可能每個都去問大家狀況怎麼樣
[01:43] 可是有分享的
[01:44] 就像說像有些他最高的時候
[01:46] 他今年可能是賺到好幾倍
[01:48] 有些很誇張6到8倍的
[01:50] 那他們可能大概Drawdown就是一個50幾%左右
[01:53] 那這算合理
[01:54] 因為他賺的時候非常快
[01:55] 它是下來回多一點是正常的
[01:57] 像我自己的話
[01:58] 最高大概是到200多%左右
[01:59] 所以在今年這個行情
[02:01] 目前回20幾30
[02:02] 覺得還OK
[02:03] 但是其實很害怕的是
