[00:00] 欢迎收听谷外,我是羡慕公,本期节目由Osen 8电极家用提纸机赞助
[00:04] 最近台股一天涨跌上千点,大家都知道杠太大会出事
[00:07] 结果看自己的腰围不知道开了几倍杠,还说没关系
[00:10] 只是衣服缩水,最近水肿,过几天自然回来等等的,这就是标准的凹单
[00:15] 投资亏损至少会打开对账单,看到底套了多少
[00:17] 身体的亏损却常常选择不认裂
[00:19] 提纸机塞到床底,健康检查一直延,等到整排报告红字才发现早就被追缴保证金
[00:25] Osen 8电极家用体质机
[00:27] 不只是量体重
[00:27] 配置伸缩式手把
[00:29] 8个电极片分析四肢跟躯干
[00:31] 提供多达58项的身体数据
[00:33] 除了体质率
[00:34] 还可以掌握肌肉量
[00:35] 骨骼肌内脏脂肪
[00:36] 也能够追踪颈围
[00:37] 上臂围
[00:38] 胸围
[00:38] 腰围
[00:39] 臀围和大腿围
[00:40] 毕竟体重只是骨架
[00:41] 身体组成才是基本面
[00:42] 减少零点几公斤
[00:44] 不代表已经反转向上
[00:45] 周末吃完火锅
[00:46] 重了1公斤
[00:47] 也不用立刻恐慌杀低
[00:55] 自动生成图表
[00:56] 每天整理你的成长期趋势
[00:58] 机器最多支援24位用户
[01:00] 也有报音模式
[01:01] 抱着宝宝测量之后
[01:02] 可以自动扣除成人的体重
[01:04] 全家人都能够建立
[01:05] 自己的身体追踪记录
[01:07] 脂肪被套放着
[01:08] 通常都只会越套越深
[01:10] 与其继续对体脂凹单
[01:11] 不如现在就把数据摊开
[01:13] 开始优化人生
[01:14] 现在点击我们资讯链联结
[01:15] 使用手机FB或是LINE登录
[01:17] 想出一面千元专属优惠
[01:20] 那最后呢
[01:21] 在这边推荐给大家
[01:21] 这台好机器免用千元就可以把多功能提子机带回家
[01:25] 非常的好用
[01:26] 在影片会收下了朋友们
[01:27] 好那今天是大儿子的五岁生日
[01:29] 对我来讲时间真的是过得太快了
[01:31] 我的印象还停留在去年的生日
[01:33] 那因为朋友说有一张照片是我抱走儿子
[01:36] 那祝他生日快乐
[01:37] 那没有想到这么快又进入到新的一年
[01:40] 那新的一年呢
[01:42] 觉得这个孩子的成长算是非常的明显了
[01:45] 那除了现在已经有点像是那种小型的青春期少年之外
[01:49] 开始有很多自己的意见
[01:50] 自己的想法
[01:51] 有时候又不想要出门
[01:52] 那或者是呢
[01:53] 会义正言迟的去指控他的父母
[01:56] 给的零食或者说饮料不够多之类的
[01:59] 那亦或是呢
[02:00] 有时候我们叫他出去
[02:01] 他就会开始会讲一些像是
[02:03] 要出去的地方是你们要去的
[02:05] 又不是我要去的
[02:06] 反正就很有自己的想法
[02:07] 那当然有时候心中会闪过一丝念头
[02:10] 就是妈的以前我们这样子的话
[02:11] 直接就被屌爆招
[02:13] 直接让妈给你一巴掌
[02:14] 直接扁你之类的
[02:15] 你就不敢了
[02:16] 那可是问题就是我们在这个新的时代呢
[02:18] 我们知道不可以用旧的方法
[02:20] 所以虽然你知道说
[02:21] 以前那些方法好像很好用
[02:23] 但在我自己的使用上
[02:25] 还是尽量的去避开
[02:26] 对小孩子使用暴力
[02:28] 目前我是没有去打过我的孩子
[02:30] 当然对他的一些指教是会有
[02:32] 还是会叫他去罚站
[02:34] 还是会请他好好地说明一下
[02:36] 自己为什么会做错一些事情
[02:38] 这个该有的教育基本上还是有
[02:40] 但他算是在
[02:41] 至少在我们自己的心目中
[02:43] 这是在爱中长大的孩子
[02:45] 虽然我有时候心中会想说
[02:47] 你知道就像我们爸妈
[02:48] 带我们的房子
[02:48] 我相信他们一定是尽力了
[02:50] 可是你要我们去靠北
[02:51] 一定可以靠北一堆东西
[02:52] 所以有可能我孩子长大的时候
[02:54] 他还是可以靠北一堆东西
[02:55] 即便可能跟我同辈的各位
[02:57] 也不一定
[02:58] 就我们节目其实蛮多的长辈
[03:00] 反正总之就是
[03:00] 我们可能算是就成年人的
[03:02] 大家可能会觉得说
[03:04] 其实我们小时候长大的方式
[03:05] 是非常hardcore的
[03:06] 或是以前学校都有提法
[03:08] 会贬你会叫你半顿
[03:09] 会叫你手要去掉水桶之类的
[03:12] 那现在这个时代
