[00:00] 歡迎收聽股癌,我是孟恭,本期節目由NordVPN贊助
[00:03] 8月已經是暑假的下半場了
[00:05] 如果你正打算趁著夏天的尾巴再衝一波出國旅遊
[00:09] 或是正在規劃接下來的中秋國慶假期
[00:11] 那這份數位清單你一定要收下
[00:14] 我們的老朋友NordVPN已經進化成為全方位數位安全解決方案
[00:18] 一個APP就可以防堵釣魚詐騙,阻擋惡意軟體跟老人廣告
[00:22] 出國旅遊時透過一鍵切換IP跨區比價
[00:25] 常能夠搜到更划算的機票飯店
[00:28] 而在機場跟飯店使用公共WiFi
[00:30] NordVPN的全程加密連線
[00:32] 則能夠保護你的個資跟信用卡資訊
[00:34] 讓你非常的安心
[00:36] 那像我自己還會使用NordVPN跨區
[00:38] 來使用一些軟體跟手遊
[00:39] 而且現在NordVPN不只是支援手機平板跟電腦
[00:43] 也已經支援Smart TV跟Apple Vision Pro
[00:45] 一個賬號最多可以同時使用於實臺裝置
[00:48] 不論是在家跟外出都能夠靈活的使用
[00:51] 下載透過資訊欄的專屬連結
[00:53] nordvpn.com slash gooay
[00:55] 或在結賬的時候輸入優惠碼GOOAYE
[00:58] 立即享有期間限定優惠
[01:00] 購買兩年發案加送四個月
[01:01] 並提供30天退款保證
[01:03] 不滿意都能夠隨時取消
[01:05] 零風險嘗試
[01:06] 終於騰出時間
[01:07] 跟老婆大概在晚上9點多10點的時候
[01:10] 跑去看了奧德賽
[01:11] 它是一部非常棒的電影
[01:12] 後來發現在網路上
[01:14] 對它的蠻多批評跟指教
[01:16] 原來是一堆人
[01:18] 根本連電影都沒有看過
[01:19] 據來說大家說
[01:20] 是我們在搞政治正確的一些角色
[01:22] 他們其實在電影裡面
[01:23] 出現的時間是很短的
[01:24] 或是他其實並不是
[01:25] 特別關鍵的角色
[01:27] 所以我覺得像導演
[01:28] 他想要在裡面去插一些
[01:30] 就是人家把它稱為
[01:31] 是政治正確的色彩
[01:33] 這我覺得還OK
[01:33] 雖然我自己不是那種
[01:34] PC的信奉者
[01:35] 我也很討厭就是用
[01:37] 政治正確的名號
[01:38] 然後到處去cancel別人
[01:39] 但是我覺得
[01:40] 如果有些人想要去
[01:41] 散播他的進步價值
[01:43] 那透過無傷大雅的方式
[01:45] 那又怎麼樣
[01:45] 就讓我們可能也會去散播一些
[01:47] 我們認為是對的價值
[01:48] 所以我覺得網路上一些
[01:49] 去抹他的人
[01:50] 講的有點太誇張了
[01:51] 就他們可能真的沒有去
[01:52] 看過這部電影
[01:53] 他們只是聽人家講
[01:54] 或是看到casting裡面的一些角色
[01:56] 不喜歡就拿出來大編特編
[01:58] 那整體來說
[01:59] 我覺得是一部非常好看的片子
[02:00] 而且不知道為什麼
[02:01] 給我一個非常強烈的
[02:02] 它其實就是奧本海默的續集
[02:03] 就是給我一種
[02:05] 因為我們如果講下去
[02:06] 就變得有點劇透
[02:07] 但反正總之我就覺得
[02:08] 它就像是奧本海默的續集
[02:10] 然後只是它是
[02:11] 可能是史詩
[02:12] 跟有一點魔幻的味道在裡面
[02:14] 但整體來看
[02:15] 是一部很棒的片子
[02:16] 而且它裡面的配樂
[02:18] 有一段Siren出來的音樂
[02:20] 不知道為什麼
[02:21] 它只用四個音符
[02:22] 而且可能還是故意用那種走音的感覺
[02:24] 可是那四個音符到下都還
[02:26] 烙印在我的腦子裡面
[02:28] 那我本來以為
[02:28] 就是又是Hans Zimmer做的音樂
[02:30] 就話也不是
[02:30] 好像是另外一位也是大師做的
[02:32] 所以真的是覺得諾蘭
[02:34] 她不管是在拍片的題材
[02:36] 或是呈現跟音樂的選擇上面
[02:38] 都算是我自己蠻喜歡的一個導演
[02:41] 那這邊也算是推薦給大家
[02:43] 那在看電影的前一個小時
[02:44] 也出了一個小drama
[02:46] 反正就是我岳母在路上跟人家起糾紛
[02:48] 那接著對方就說要報警
