[00:00] 歡迎收聽股癌,我是聖夢宮,本集節目由Sally贊助
[00:03] 最近發現身邊去美國的人好像變多
[00:05] 不管是旅遊、出差還是準備開學的留學生都有
[00:08] 以前大家出國最麻煩的是網路
[00:10] 現在eSIM已經很成熟
[00:12] 很多人落地直接連線,這件事情算是解決了
[00:15] 反而開始遇到另外一個問題
[00:16] 就是有些服務會需要一組當地的電話號碼
[00:19] 最近Sally推出了一個新功能
[00:21] 如果去美國可以直接加購美國的電話號碼
[00:23] 像是訂餐廳、叫車、註冊當地的服務
[00:26] 或者接收驗證、簡訊都方便很多
[00:28] 不用再另外找門號或是其他的方案
[00:31] 我自己出國本來就都是用Sally
[00:32] 出發前在APP裡面把eSIM買好
[00:35] 飛機落地直接連上網
[00:36] 不用換SIM卡也不用找WiFi
[00:38] 另外他們的Sally超級方案除了eSIM流量之外
[00:41] 還整合了VPN廣告阻擋
[00:43] 機場貴賓室快速通關跟航班延遲保障
[00:46] 我覺得很多產品最後競爭的其實不是功能有多少
[00:49] 而是能不能夠把要分開處理的事情整合在一起
[00:52] 旅行也是一樣
[00:53] 少處理一點瑣事就可以把時間花在真正重要的事情上
[00:57] 現在下載Sally App
[00:58] 輸入優惠程式碼GOOAYE
[01:00] 或是透過資訊欄的連結
[01:01] 就可以享有eSIM方案八五折優惠
[01:03] 好那今天是一個非常重要的日子
[01:06] 在這邊先祝各位地方爸爸們
[01:08] 爸爸節快樂
[01:09] 那如果說你是想當爸的
[01:11] 因為我們這邊有蠻多的聽眾會跑來
[01:12] 希望他的這個備孕可以順利的
[01:15] 那些地方爸媽們
[01:16] 我們也希望說這些準爸爸們
[01:19] 可以順利的當上老爸
[01:21] 那至於那些單身的
[01:23] 我是覺得
[01:23] 如果你要考慮當老爸的話
[01:25] 可以稍微再等一下
[01:26] 不一定要這麼急
[01:27] 因為當老爸之後
[01:28] 其實你的生活會有蠻多的改變
[01:31] 在下的一個社會主流風氣
[01:33] 其實大家對於母親
[01:35] 我覺得都是充滿感恩
[01:36] 不然像我自己也很常在節目
[01:38] 跟大家呼籲說
[01:39] 其實這些要去面臨生產的女性
[01:41] 實在是非常非常的偉大
[01:43] 所以我們能夠讓就讓
[01:44] 有時候你就不要跟人家吵架
[01:46] 跟你講說晚上吃什麼
[01:47] 你想說你他媽你要問幾次
[01:49] 但你就把你他媽你要問幾次
[01:51] 這句話給省下來
[01:52] 就好啊
[01:53] 然後就儘量的去提議
[01:54] 雖然最後面可能繞一圈
[01:56] 又繞回去原點
[01:57] 但就儘量去做一些忍受
[01:59] 因為我覺得其實女性
[02:00] 在這個世界上
[02:01] 已經承受了夠多了
[02:03] 去過母親節
[02:04] 或者說母親節的東西
[02:05] 不可以亂送
[02:06] 這個已經變成是社會的主流
[02:07] 以前有一些天兵
[02:09] 包含像我自己也會覺得說
[02:10] 媽媽可能整天在打掃
[02:12] 那你就買一個吸塵器
[02:13] 給她當媽媽節禮物
[02:14] 後來大家都告訴你說
[02:15] 不能這樣子
[02:16] 因為打掃是兩個人的事情
[02:17] 對沒錯
[02:18] 所以我們都開始懂得這件事情
[02:19] 所以大家的民智開始開了之後
[02:22] 大家對母親都非常尊重
[02:24] 可是我也注意到
[02:25] 就是這個世界上對父親
[02:26] 或者說對爸爸
[02:27] 跟對一個家庭裡面男性角色
[02:29] 是這樣子
[02:31] 就是我知道有蠻多人的創傷
[02:32] 是來自於所謂的富全社會
[02:34] 或是云云的
[02:35] 但有時候你的創傷
[02:36] 其實是你老爸這樣對你
[02:38] 跟我們世界上其他男生沒有關係
[02:39] 因為我們不會這樣對我們的女人
[02:41] 或者對我們的女兒
[02:42] 或者我們的母親
[02:43] 所以很多人是把自己的創傷投射給大家
[02:46] 然後就覺得這個世界上
[02:47] 很多男生都是怎麼樣
[02:48] 然後爸爸做什麼就是應該的
[02:50] 那媽媽非常辛苦
[02:51] 但是我要推廣的是
[02:52] 其實父親本身也是很辛苦
[02:54] 特別是
[02:55] 其實在我們這邊的教育
[02:56] 我不敢講全世界的狀況
[02:57] 到底是怎麼樣
[02:58] 可是以亞洲的教育來講
[02:59] 我們從小男生被灌輸了叫什麼
[03:01] 男兒有淚不輕彈
[03:03] 但到下一代到兒子
[03:04] 我相信這件事情就改善了
[03:06] 大家就是說你該哭就哭
[03:07] 可是在我們這一代
[03:08] 就是你男生只要敢去示弱
[03:11] 或者說表示出自己
[03:13] 懦弱的那一面
[03:14] 害怕的那一面
[03:15] 有時候是會被看沒有
[03:16] 甚至是會被嘲笑的
[03:18] 所以很多男生
[03:19] 就是有苦都是往自己的心裡去
[03:21] 我自己身為一個
[03:23] 但我現在覺得說
[03:25] 對於靠爸這件事情
[03:26] 大家是定義的非常的嚴格
