[00:00] 欢迎收听谷爱,我也是孟公
[00:01] 本集节目由乔治庸国际有限公司赞助
[00:04] 不知道大家有没有发现
[00:05] 每次要出国才会突然觉得自己的行李箱需要升级
[00:08] 轮子不好推,东西不好拿
[00:10] 甚至要把整个箱子撑开
[00:11] 像是在机场办家家酒
[00:13] 如果刚好想要换新的
[00:14] 可以看这一款
[00:15] Aruana Hema 2.0前开式、侧开式刹车行李箱
[00:19] 全新罗马柱外形简约耐看
[00:22] PC箱体耐磨耐用
[00:23] 前开设计很好用
[00:25] 我知道,要拿笔电、护照
[00:26] 不用整箱翻超方便
[00:28] 但这款还给你侧开设计
[00:30] 整理东西更顺手
[00:31] 多段式铝合金拉杆
[00:33] 轻又耐用
[00:34] 还有隐藏式手机架
[00:35] 方便后机追剧
[00:36] 最实用的是可刹车避震轮
[00:39] 不用一直追着行李跑
[00:40] 反正行李箱不用天天买
[00:42] 但真的要买就买一颗
[00:43] 让自己旅行心情好一点的
[00:45] 现在国外团购价2880元起
[00:47] 台湾本岛免运优惠只有到9月15号
[00:50] 有需要的朋友可以在我们资讯栏
[00:51] 这边找到更多的说明与连结
[00:53] 好那最近的复建之旅
[00:54] 做得越来越顺利
[00:56] 我觉得最主要还是多亏于有去加入功能性训练
[00:59] 这个东西大概也才靠了几个月而已
[01:02] 但是我大概每个月都会跑去上
[01:04] 这样算起来可能是15堂左右的课
[01:07] 反正就是非常紧锣密鼓游客就上
[01:09] 除此之外还会有自己独立的训练
[01:12] 去加强自己的体格
[01:14] 所以我觉得久而久之就发现
[01:16] 自己的身体的状况是变得越来越好
[01:18] 而且是很结实
[01:19] 可以有感的感受到
[01:20] 就除了自己本身重训会接触到的三大项
[01:23] 三个主要的肌群之外
[01:25] 其他一些平常比較不會注意到的
[01:27] 像是可能在髖附近
[01:30] 接大腿那一段的肌肉
[01:31] 就現在一摸就是有一塊東西在那之類的
[01:34] 我覺得它是一個非常好的體驗
[01:36] 再來就是對自己的體態跟生活的一些感受度
[01:40] 有很大的影響
[01:41] 一些老聽眾應該要知道說
[01:43] 我本身是下背痛的一個患者
[01:46] 嚴格上來說他也不是說什麼
[01:47] 真的有什麼疾病之類的
[01:49] 可能就是因為久坐
[01:50] 因為如果說今天去照X光
[01:52] 或是去找一些物理治療師
[01:54] 他們都認為說
[01:54] 这个应该不是说你的脊椎
[01:57] 或者说什么底下关节有什么问题之类的
[02:00] 这应该就是偏向是因为你很常坐着
[02:03] 那就会导致你大腿前侧这边的肌肉是缩短的
[02:07] 导致你的身体会开始有一些失衡的状况产生
[02:10] 如果你又翘脚的话
[02:11] 那恭喜发大财全中
[02:13] 这时候就会让你的下腰
[02:15] 或者说可能下背这部分的肌肉
[02:18] 它会需要去代偿
[02:19] 所以久而久之就会导致说
[02:21] 你可能每天睡醒就会觉得下背痛
[02:22] 那下背痛这块
[02:24] 我试着用各式各样的方法去解决
[02:26] 以前有一些那种比较治标不治本的方法
[02:28] 就是我在脚下面去垫个枕头
[02:31] 那后来知道为什么这样会有用
[02:32] 因为你在脚下面去垫枕头的话
[02:34] 某个时候上会让你的下背更可以贴起床
[02:37] 简单来说就是因为你的下背
[02:39] 跟你的腿的肌肉已经失衡
[02:41] 所以你会有一点看起来像是骨盆前倾
[02:43] 但它可能不是定义上真正的骨盆前倾
[02:46] 可是姿态上看起来会是那样子
[02:48] 那导致你的下背是长期处在发力的一个状态
[02:51] 他要去代償
[02:52] 可能你的两腿不均衡的一个
[02:54] 发力的行为
[02:56] 所以就会导致下背呢
[02:57] 他会很常有酸痛的状况产生
[02:59] 那也因为说你枕头垫高
[03:01] 所以你下背就会相当程度的
[03:03] 可以贴齐床面
[03:04] 可以舒展
[03:04] 就会暂时的好一点
[03:06] 但也就真的只是暂时的好一点
[03:08] 那后来之后
[03:09] 我跑去尻了网球之后
[03:10] 就发现说
[03:10] 就下背可能本来在一个恐怖平衡
[03:12] 那下打网球又有很多扭腰的动作
[03:15] 就导致说妈腰直接整个炸开
[03:16] 那好在也在打网球的这段时间
[03:19] 刚好是接触了功能性训练
[03:20] 刚好也去多看了一些文献
[03:23] 跟一些专业的教练的指导之后
[03:25] 大概可以理解到
[03:27] 其实下背痛的很主要的核心
[03:29] 除了说你可能是骨头
[03:30] 或是肌肉真的有损伤之外
[03:33] 如果你排除掉前面两个点
[03:35] 你还是会痛的
[03:35] 多半就是因为你久坐
[03:37] 导致你双腿失衡
[03:38] 或者说你的姿态不佳
[03:39] 导致你双腿失衡所造成
[03:42] 就是你下背要跑出来带长
[03:44] 随着这阵子的训练
[03:45] 我觉得我下背的状况
[03:47] 有逐渐的在改善
[03:49] 那我觉得功能训练
[03:50] 它很有趣的一点是
[03:51] 就像说像我现在在巴厘岛健身房
[03:54] 那以前我去健身房
[03:55] 我觉得怎么样
[03:55] 可能就那种最热门的器材
[03:57] 握推 深蹲
[03:59] 然后或者说拉背 硬举之类的
[04:01] 那这些东西就是很常会有很多人
[04:03] 或是如果说你没有去找到
[04:05] 什么神秘司机的话
[04:06] 那可能就是去找自由杠
[04:08] 或是哑铃之类的
[04:09] 那这边总是非常多人
[04:11] 可是我现在自己的训练
[04:12] 我觉得蛮有趣的是
[04:13] 身体会开始告诉你说
[04:15] 你可能需要什么样子的一些训练
[04:17] 像我的功能训练的教练
[04:19] 他非常着重的是
[04:20] 像以前如果你去做握推的话
[04:22] 反正就是躺平
[04:23] 不然就是斜躺
[04:24] 可能45度角这样往上推
[04:25] 可是我的教练的意思是
[04:27] 他自己本身也是做重训起家的
[04:30] 后来他就发现说
[04:31] 他要的是变强
[04:32] 不只是说什么
[04:33] 只是肌肉变大或是变壮
[04:35] 肌肉变大变壮
[04:36] 可是他可能只有在特定的
[04:38] 某些地方
[04:39] 就在说像你握推这个姿势
[04:40] 是除非你要更加那种
[04:41] 大力四互推之类的
[04:42] 不然你日常生活中
[04:44] 可能这样子的动作比较少
[04:45] 可是我们有很多动作
[04:46] 是需要扭腰全身要去發力的
[04:48] 所以像他訓練我去做
[04:50] 可能類似握推的動作
[04:52] 當然不是真的握
[04:52] 就是推的這個動作的時候
[04:54] 他會教我是一隻手是拉
