[00:00] 歡迎收聽股癌,我是聖孟恭,本集節目由讓我緊張又興奮的老朋友Dr.情趣贊助。
[00:05] 18歲以下人到走廊,3、2、1。
[00:09] 七夕情人節快樂,送情人最佳禮物,誠心推薦特斯拉。
[00:13] 濕答答的是,上次業配完結果湧入不少男性聽眾私訊抱怨這支母湯,因為買來送給女伴,結果女伴滿意度太高反而對特斯拉吃醋了。
[00:21] 兄弟別傻了,研究表示最令女性迷戀的性經驗不是第一次,而是第一次男生用了按摩棒助性的高潮性經驗。
[00:28] 然而唯一能夠再超越的就是用了特斯拉 Model Socks 的高潮體驗,完全跟一般按摩棒不在同一個檔次上。
[00:35] 要說 Model Socks 有多猛,伊隆馬斯克可能不敢這樣子設計。
[00:38] 它外部搭載了吸損機制、吸填、拍頂震全部灌入,無擋火力全開,更結合逆天伸縮衝刺機構,有如開掛,完全不留武德。
[00:47] 還不買來送給你的女友老婆讓這支特斯拉 Model Socks 成為你送的,如果她自己買了,那以後的開心報表就不是你送的了。
[00:55] 快快快按下播放暫停鍵,火速上Duct請去,輸入代碼gooay888,超爽限則250搶購特斯拉Model Socks,搭配七系檔期滿滿活動優惠到爆,確認下單完再回來,節目可以稍後停,變新的女友不等人,詳情見我們資訊,有訓練朋友可以去參考看看。
[01:13] 在上集跟大家分享完關於功能性訓練相關的內容之後,然後就有蠻多的地方聽眾都想跑來問我說教練是哪一個,在哪裡上課。
[01:21] 那這邊一併就是給大家一個統一的建議啦,簡單來說就是你去找一下你們附近的場館,當然你可以先用一些關鍵字去找,就看他有沒有去做功能性訓練嘛。
[01:31] 那再來就是進去找到一個你覺得身材是非常棒的教練,接著就直接跟他上就對了。
[01:36] 那當然講這個可能聽起來有點膚淺有點北蘭,但是我自己理出來的結論是這樣,當然這可能是我的結論,我尊重每個人有不同的結論。
[01:43] 如果這個教練他的身材就是你想要成為的對象,他就是你的理想型,當然不是說耍Gay那種,你想變成他啦,你找他學,不管他教你的是不是功能性訓練,沒差啦,老實講,你說正要去解決什麼下背痛這些姿態,他一定是殊途同歸的,絕對不是說什麼只有某一派方法可以去解決這個問題,我相信各種方法一定都有辦法去或多或少去解決你想要去鎖定的某一種問題,如果沒辦法解決,那教練也可以幫你引薦給別人嘛。
[02:10] 其實當時我會去發現我的教練也是因為我自己在那邊推拉的時候
[02:14] 然後就發現說怎麼有一個教練他每次都在那邊做很奇怪的東西
[02:17] 而且我注意到他大多數的時間都不是在幫別人上課
[02:20] 他是自己在那邊狂拷狂練
[02:22] 後來是因緣際會之下就透過老婆知道說原來就是那一位教練
[02:27] 也才知道說原來他做的東西叫做功能性訓練
[02:29] 然後發現了這一切
[02:30] 但老實講如果不是因為我有找到一個我覺得體態已經趨近於完美的人
[02:36] 然後想要去跟他學習的話
[02:37] 我也不會去自動自發跑去上什麼功能性訓練
[02:40] 所以我覺得那個動機其實很重要
[02:42] 就像我跟大家分享
[02:43] 當年可能我對英文會有一些啟發是因為
[02:47] 我媽買給我一台iPod Photo
[02:49] 然後這個iPod Photo裡面有Coplay的歌
[02:51] 也不知道是誰關在裡面的很奇怪
[02:52] 因為這個音樂讓我對英文產生濃厚的興趣
[02:56] 如果說你沒有產生濃厚的興趣之前
[02:59] 人家想要去推坑你說來我們一起學英文
[03:02] 透過的方式怎麼看課本什麼
[03:04] 你一定也看不下去
[03:05] 所以產生興趣是非常重要
[03:06] 所以對我來講就是你一定要先去找到一個非常強烈的動機
[03:11] 動機最好的一個方法
[03:13] 當然我知道有些地方爸爸非常的懂事
[03:15] 都會去找那種漂亮的女教練
[03:17] 但我自己的想法講
[03:18] 但我相信女教練也有非常專業非常強大的
[03:20] 可是我們的力量一般來講就是比女生大
[03:23] 絕大多數的狀況之下
[03:24] 所以你當然想要找一個就是她力量是在比你更大
[03:27] 她可以來cover你的
[03:28] 當然你如果力量沒有比女教練大
[03:30] 你透過女教練訓練當然也是沒有什麼問題
[03:32] 總之就是去找一個甚至你可以講木牆都沒問題
[03:35] 就是去找一個體態好然後非常強壯的人然後說我要變成像你這個樣子
[03:40] 那我覺得就可以解決大多數的問題
[03:42] 總之開啟第一步需要有一個非常強大的動機
[03:45] 那你可能可以去透過搜尋
[03:47] 比如說功能訓練訓練然後看到附近的場館
[03:50] 那就是找一個你覺得順眼的教練
[03:52] 然後就下去試看看
[03:54] 我覺得一定會有非常不錯的收穫
[03:56] 那我們家已經從八一島回來
[03:58] 那接下來又要休息幾天之後會再一次的出國
[04:01] 因為沒有辦法就我覺得暑假待在家裡跟孩子整天關在一起
[04:04] 還是非常痛苦的事情,就連我們可能稍微回來幾天而已,那還是透過這個姑姑的協助呢,有找一些課去讓他上啦,不然整天在家其實小朋友真的會把家拆掉,那我們自己也會覺得非常辛苦,可是跟小朋友出去玩的這段時間真的是建立了非常多很棒的回憶,那我覺得孩子是非常天真可愛的,就是我們上回在節目跟大家分享說,感覺這個傢伙好像是過太爽,他竟然覺得在這種非常舒服、要價不菲的度假村裡面呢,嫌無聊,有時候還在抱怨的東西,那下次我就帶他去住,
[04:34] 但那個是我們身為爸爸然後會想說要去試著就讓他看不同的世界不一樣的體驗
[04:40] 可能因為這樣子他的價值觀建立會更加的完善才會有這樣子的想法
[04:44] 但其實小朋友他們是非常單純的東西
[04:47] 他不像說你在可能20歲30歲以後交往到的對象
[04:50] 因為我自己覺得就是可能在學生時期之前都還是有那種純純的愛戀
[04:54] 你開一台那種超破的摩托車載他都沒有問題
[04:57] 可是年紀越來越大沒有辦法大家一定就會漸漸的走向一些物質化
[05:01] 那只是說物質化的程度是高是低
[05:04] 到時候可能就會失去一些童貞。
[05:06] 跟著,也講失去童貞有點怪怪,反而就是那種童年的純真。
[05:11] 因為以孩子的角度來說,我覺得他們很特別的一點是,
[05:15] 像我現在跟我的兒子有一個小小的約定,
[05:18] 就是他只要有表現不錯的時候,我就會給他一個乖寶寶印章。
[05:22] 我是沒有真的拿一個物理的印章去蓋他,因為我也很懶。
[05:25] 其實我在想想,我覺得我應該要去買一個印章,真的拿一個小本本出來蓋。
[05:29] 但反正總之我就自己去計算,然後他自己也會去計算。
