[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由菲利普電壺刀贊助。
[00:03] 我是菲利普電壺刀用戶,由於鬍子多長得快又濃,需要出門的時候每天都得刮。
[00:08] 電壺刀好不好用,差異很明顯,一旦用到好的就很難回去。
[00:12] 選擇菲利普很大的原因是因為旋轉式三刀頭,能夠一次把不同方向生長的鬍鬚給刮乾淨,
[00:17] 不用來回刮,減少反覆摩擦,整體貼耳度很好,像下巴、下顎這些難處理的地方也能夠快速地刮乾淨。
[00:23] 如果說你每天都刮,可以升級飛利浦旗艦9系XP9404,它的微提切懸弧刻機會用提起鬍鬚在深入切除。
[00:32] 最有感的是一般電弧刀可能下午就冒出鬍渣,這一台可以乾淨到晚上。
[00:36] 還有輕膚舒適塗層能夠降低50%的摩擦力。
[00:39] 搭配三大AI會依照鬍鬚密度、刮鬍動作和力道自動調整刮得乾淨又舒服。
[00:45] 如果常出差、旅行或跑業務,可以選新上市的攜帶型S716,機身比iPhone還輕,卻搭載旗艦9系。
[00:52] 同款刀頭和全新升級的BLDC馬達,刮鬍還有柔替、強勁兩種模式,最長80天免充電,也支援無線充電,放進包包裡隨時都可以保持好狀態。
[01:03] 8月26日到29日股癌限定優惠買旗艦9系,送飛利浦智能音波牙刷和高速護髮吹風機,買攜帶型S716送安之軒限量磁吸票卡和無線充電盤。
[01:15] 全款在想滿萬送千,想升級這次千萬別錯過。
[01:19] 那我希望可以在我們資訊欄這邊找到更多的說明連結
[01:22] 好 這個禮拜跟家人跑來北海道旅遊
[01:24] 然後在出發之前
[01:25] 還有一個林口當地的地方爸爸跟我講說
[01:27] 千萬不要去北海道
[01:30] 我說為什麼不要去北海道
[01:31] 他說會遇到熊
[01:32] 然後我以為說他講的熊就是
[01:34] 你可能在一些報導會看到
[01:35] 就北海道最近有一些熊害嘛
[01:37] 結果不是
[01:37] 他講說因為他上次來北海道就是七月
[01:39] 然後股票他媽的跌到爛掉
[01:41] 每天都在跌
[01:41] 跌到他快要死噴出來
[01:43] 然後我想說好吧
[01:44] 那我就來破除這個迷信
[01:46] 結果沒想到到北海道中
[01:47] 這個體驗也不是非常好
[01:48] 至少比7月好多,就是震盪而已,沒有什麼方向性,但至少停留在差不多的位置,特別是昨天跟今天就出現一些反彈,所以我覺得還OK啦,就是在股票體驗上還OK。
[02:03] 但是在旅遊的體驗上算是也長了一些見聞了,因為我們平常之前都是跑去東京嘛,東京可能一年會去好幾次之類的。
[02:12] 你以為說你去東京會了解什麼日本的文化、當地的風土、民情?沒有,我覺得東京相較之下是一個非常世俗化的地方,也就是你去裡面住的各種飯店,因為東京的那幾個五星飯店基本上蠻多都已經跑透了,所以大多數就是跟你在世界各地會住到飯店的體驗是差不多的。
[02:32] 這次來到北海道,我請A君安排一下,反正就是當地找個不錯的東西啦
[02:37] 基本上預算是沒有什麼問題,就這樣往上開讓大家舒服就好
[02:43] 所以他不管是在定山西、小村、雜黃,直接往最貴的方向去訂就好
[02:49] 那你想說,這個最貴的可能跟過往的體驗是差不多啦
[02:52] 反正就是一個你想像中飯店該有的樣子,可是到這邊真的是不太一樣
[02:58] 他真的是有一種你進入了日本文化的感覺
[03:01] 一則以喜 一則以憂
[03:03] 一喜的部分就是你真的感受到日本人的那種一絲不苟的樣貌
[03:08] 憂的部分真的也是蠻辛苦的
[03:11] 就像是說像我們前面住的兩間飯店
[03:14] 他們都會有一些神奇的規則跟規矩
[03:17] 就像是說你可能今天就是有一個人不吃
[03:21] 以前你如果不吃會怎麼樣
[03:22] 人家說OK沒有問題
[03:24] 反正你不吃就不吃
[03:25] 他也就是跟你算錢
[03:26] 這都是沒有問題的
[03:28] 可是如果你今天這個人不吃
[03:29] 他就會開始問你說你要不要吃其他東西
[03:31] 你真的不要嗎?那你要改掉的話,那請問一下你明天早餐是不是這個人也不吃什麼的?他就會跟你帶20個問題出來,然後再就是拿行李回去的時候也會開始跟你問一堆問題,請問這間是幾男幾女?好,他其實在行前就已經一直寄心,我想說你有這麼多東西好問嗎?就狂問你,每一間住幾個男生幾個女生,小朋友是在哪一間?我想說這個其實我們自己可以處理,而且我們回他的方式應該說就是Chill,就是沒有關係,我們自己會安排,他不行,他就是要打破砂鍋問到底。
[04:01] 你可以說服務到家,可是某程度上也是給你一種無形的壓力。
[04:05] 除了這種東西會狂問之外,然後再來就是早餐時間到。
[04:09] 像其中一間飯店是他要帶你上餐廳,其實可以理解,因為每個房間都會有自己的一個包廂。
[04:16] 餐廳是某一個區域,然後這個區域每個人都是有自己的一個小包廂,進去要脫鞋子之類的。
[04:22] 所以他帶你去是OK的,但你的想像就是你可能到現場,然後接著他就把你帶到你的包廂。
[04:27] 不是,他要求說你要在房間等他,然後接著他會來敲門,敲門之後你就要跟他去,可是問題是你是來放假的,你不是來他媽7點半8點要起床的,可是他老兄就是8點就到你的門口這樣,然後敲死上最大聲那種,那當然開門之後他一定是露出滿滿的微笑,早安,要帶你去餐廳,那時候他OK,那我們稍微準備一下再過去,然後接著幾分鐘後再敲門,原來這個老兄在外面等你,他就說那你好的時候再跟我說,但他就提醒你說我在外面等。
[04:57] 第二天就跟他說沒關係你可以不用等我了
[04:59] 所以他一樣先來敲門
[05:01] 然後接著看到我兒子
[05:02] 因為早上還要跟我泡澡
[05:03] 一早把我挖起來泡
[05:04] 泡完看到我兒子穿一條內褲就跑去開門
[05:07] 他說那沒有關係
[05:08] 那我們就在餐廳那邊等你
[05:10] 他說好那終於我們待會再自己過去就好
[05:12] 然後接著我開門出去
[05:13] 他沒有在外面
[05:14] 不知道為什麼突然那種鬆一口氣的感覺
[05:16] 覺得好像隨時被監視
[05:17] 然後接著稍微往旁邊走靠北
[05:19] 然後廊道的底端看到一個老兄
[05:21] 兩隻手交叉在老二前面跟你行一個大禮
[05:24] 然後接著他就要帶你上餐廳
[05:26] 所以真的會有那種倒吸一口氣的感覺想說這到底是什麼變態的地方
[05:30] 然後再來就是你出門的時候一開始鑰匙我們自己帶著
[05:34] 後來跟我們講說鑰匙不能自己帶著請你把門鎖上之後然後把鑰匙給我們
[05:38] 然後老婆就直接拿鑰匙給他說那個門沒有鎖沒有關係
[05:41] 他說Please lock the door
[05:43] 我說OK啦沒有關係我們裡面沒有鎖Please lock the door
[05:45] OKOKすみません然後趕快回去lock the door
[05:48] 想說到底在幹嘛然後你要回房間的時候
[05:51] 也不是說回房間就是你從外面開車你們才在飯店的門口
[05:55] 他們一定是盯著監視器啊,他們就看到說你的車來了,你知道那不是什麼園區,那個就是馬路隔壁而已,所以他一定是隨時都在看著,你就知道他在看你就對了,那你車子一停下來,他們就已經出來拿鑰匙給你。
[06:07] 就有些人一定會覺得說,啊,這個是很棒的服務什麼,可是不然我覺得,媽,creepy到爆炸。
[06:12] 但除了這些很奇怪的日式在地的服務之外,因為他不是只有一間飯店這樣,就是媽,我們住的幾家飯店是這樣,所以就讓我覺得真的是還蠻恐怖的。
[06:22] 不過房內的各種設施或是吃的東西跟景觀都是無從挑剔、極好。日本人真的是把事情都處理得非常好。
[06:31] 像有一間飯店是直接就看到那個定山溪,它的景觀是很漂亮的。另外一間飯店它外面是類似被挨到的森林。
[06:41] 可是這兩家飯店都有一個特色,就是它沒有刻意的,像有些飯店會它知道這個門口是一個井,所以它會造井,它可能弄一個草皮或什麼。
[06:50] 這幾個地方的風景是很特別的。
[06:55] 它看起來像是原始的樣子,原始的森林或是原始的溪谷。
[07:00] 但同時你知道它有去做一些點綴,這個地方不應該有那個花,它這個地方有種某一種花。
[07:05] 然後這個樹的樣子太漂亮了,它不像是原本長在那邊的樹,可是它盡可能讓它看起來是原始的風貌。
[07:12] 這個我覺得蠻特別的。
[07:14] 這幾個地方是非常有力量的,雖然查了一下好像是滿一般的碳酸溫泉之類的,可是泡完可能是因為溫度開得夠高吧,我覺得真的有非常放鬆的感覺。
