[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由三生買贊助。
[00:03] 接食品的原則大家知道吃過好才可以接,這次三生買寄東西來挑了五樣,講幾個。
[00:09] 一口蒜味糯米腸,把香腸跟糯米包一起,大腸包小腸做成一口一個,不用切不會散。
[00:15] 蒜香肉排,蒜味重到不用客氣,肉大片又厚,而且醃好了不用再處理。
[00:20] 椒鹽胖胖翅,那個翅真的超胖,椒鹽入味,不用刷醬,不用固火,皮烤脆之後配啤酒超危險。
[00:26] 蜜汁熱排本來以為會死甜結果沒有烤到肉直接離骨啃完手指還得舔個幾下
[00:31] 整箱都是這個邏輯全部醃好只要負責烤
[00:34] 想像一下這個畫面炭火起來熱排放上去蜜汁滴到炭上滋滋滋旁邊的蝦子慢慢變紅糯米腸烤到外皮有點焦
[00:42] 這些東西不用會做菜只要會固活就好
[00:45] 其實中秋最花時間的不是烤而是採買跑一堆地方分量抓不準買太少尷尬買太多冰箱塞不下
[00:51] 三生買這次做兩個組合四單組跟重倉烤肉組
[00:55] 不確定的就先試單,確定的可以直接重倉。試單組12樣,4-6個人,原價2045,這一檔1699。
[01:02] 重倉組17樣,一整箱8.5公斤,10-12個人,試單組全部都有,熱門加倍再多5樣。
[01:09] 馬來西亞白蝦、雪花燒肉、腹鞋豬肋條、生豆包、還有一尾蒲燒鰻,那個鰻是口壺的白鰻,不是隨便一條鰻魚,要烤就要烤好的,再送你日本A5和牛。
[01:19] 原價4225J檔3249現成快1000,官網有100多樣,你自己去挑的話可以結帳輸入GOOAY全佔9折,懶得挑就買組合直接幫你代鈔。
[01:30] 烤肉這種行情一年只有一次,沒有回檔可以等,大概就是這樣,連結在資訊欄這邊有興趣的朋友可以去看看,組合點進去就是優惠價不用輸代碼,現在下單中秋節前到貨。
[01:41] 正式進入9月備賽月,我本來想法是說大概會花9-10月的時間要去準備11月要跑的New Balance,那也不是馬拉松,反正就是那種10公里的小小馬子,我不知道正確的定義叫什麼,因為我從來都沒有跑過10公里,所以本來想法是就是要靠9-10月的密集練習,那這樣子可能就可以趕上在11月的時候完成比賽。
[02:04] 那當然其實那時候去做這些規劃的時候都還不知道說自己會去瘦了大概快10公斤那也不知道有在做什麼功能訓練跟打網球之類的
[02:13] 還是那時候已經開始打網球反正就是那時候應該都還沒有規劃到這些東西所以本來想說啊兩個月的時間應該是有點緊繃但是相信用意志力可以把它考過去就非常意外的
[02:23] 因為本來想說9月1號開始訓練嘛那剛好在禮拜天好像是8月31號的時候就想說反正也沒事下午在那邊閒閒的乾脆就去跑步好了
[02:31] 然後就意外的一次把10公里跑完了。這是我第一次直接跑到10公里。
