[00:00] 歡迎收聽股癌,我是孟恭。本集節目由ZZSleeper減二度兩感忘憂診贊助。
[00:05] 上次介紹忘憂診的時候大盤42000,很多人問現在是不是太高,現在47000。
[00:10] 大家開始想早知道那時候就多買一點,42000的時候想要等拉回,真的拉回又想再看看。
[00:15] 一路看到47000終於決定進場,買完第一件事還是擔心是不是買在高點。
[00:20] 市場走了5000點,人也跟著繞了一圈,最後共同點還是一樣,晚上仍然睡不著。
[00:25] 投資人真的是蠻忙的,有部位要顧,沒部位也會怕錯過,白天看台股,晚上看美股,手機放下了,腦袋還在算明天到底是要加碼還是減碼。
[00:34] 股票歸股票,人生還是得休息,不要讓頸椎跌破支撐。
[00:38] ZZ Slipper 減二度量感忘憂診是物理治療師聯手設計,有三種高度可以調整加上雙弧度切面,不管正睡、側睡都可以照自己的睡姿去調。
[00:48] 枕心用涼感清水棉支撐感接近記憶枕,但躺起來又多了一點羽絨枕的柔軟,不會只有硬撐著脖子的感覺。
[00:55] 裡面還有一層WinCool涼感紗內枕套,主打負二度涼感,平常睡覺容易覺得熱,喜歡枕頭涼一點的人這個差異比較有感。
[01:04] 枕頭當然不會告訴你明天該買還是賣,42000會煩,47000還是會煩,躺起什麼時候能夠讓人家完全放心了。
[01:12] 但至少躺下來的時候脖子可以先不用跟著盤絲一起震盪。
[01:16] 資訊欄有主委聽眾專屬的優惠使用手機 FB 和 Line 登入吉祥無二折
[01:21] 好那蠻多時候會跟大家聊到說就當你今天有一個想法你就要立刻去做嘗試嘛
[01:27] 你不要等到說可能東風俱備所有東西都弄好才開始
[01:31] 因為一般來講你不一定會等到那個東風
[01:33] 所以呢其實不管是在我們自己的投資工作裡面有時候會出現先買再研究
[01:38] 然後再來就是可能在自己加入的一些創業的領域去投資一些小店
[01:43] 甚至像是瀟南資本,其實對我來說都是我對一些東西有熱情,那我可能不一定是了解全貌,但就是先把它做下去。
[01:51] 那最近有一個我覺得蠻北蘭的案例可以跟大家分享,總之就是反正我們瀟南現在應該會開始往海外去做投資,除了這個台灣的團隊之外呢,那我們會開始去物色一些歐洲啊或者其他亞洲的電玩同修們,那找到不錯的我們可能就願意把資金打進去。
[02:08] 最近就有接下一個團隊說他們會去TGS,所以可以在TGS上面跟我見面。
[02:14] 剛好我們的一些partner之前有幫我安排,有TGS,然後說在前面的Business Day,就是專門給企業主或是一些投資方去參加的那幾天,就類似說電腦展前面幾天是給一些商務人士去的。
[02:28] 然後說有弄到票要讓我去,可是我心中就一直覺得TGS是什麼?台北Game Show,就是我就一直覺得這個是在台北。
[02:36] 所以當我去接觸到這個外國團隊的時候,我也想說哇太巧了吧,對方竟然剛好要來台北耶,那這樣不就是超棒的嗎?
[02:43] 我就說那我跟我的partner呢,就是可以在TGS上跟你見面或什麼的。
[02:48] 然後最後面真的是突然間靈光乍現。
[02:51] 就是一般來講,因為現在他的生活中的事情已經夠多了,所以有蠻多東西我都是等到可能最後的一兩天,其實從小時候都這樣,就是讓我暑假作業都最後一天才寫。
[02:59] 反正時間快到了,然後再趕快準備一下,看是怎麼樣再去,反正就求來就打,不會提早去做太多的單機。
[03:04] 那一天我突然就靈光乍現就覺得
[03:07] 那不然先來規劃一下說TGS到的時候我到底該怎麼樣去做準備啊
[03:12] 白天我可能可以做什麼那晚上可以幹嘛
[03:14] 然後才發現不對啊台北Game Show的時間根本就不是下個禮拜啊
[03:18] 那另外一個TGS時間剛好在下個禮拜是什麼 Tokyo Game Show
[03:21] 幹原來在東京
[03:22] 原來在東京
[03:24] 所以呢身為一個這個遊戲資本的創頭創始人呢
[03:29] 我是不知道說原來TGS就是東京電玩展
[03:32] 其實我之前也都沒有去參加什麼電玩的展會
[03:35] 我就是一個非常喜歡打電動
[03:36] 然後在我的Steam的Library裡面有超級多遊戲的一個玩家
[03:40] 其實我在這之前是沒有去參與說任何什麼遊戲開發的圈子
[03:45] 或是去認識一些遊戲的創作者之類的
[03:48] 我沒有啦我最多就是買你的遊戲
[03:50] 然後可以抖內我就多抖內
[03:52] 所以我是一個非常稱職的消費者
[03:53] 但我都沒有往上去做認識之類的
[03:55] 我根本就不知道說原來TGS是東京電玩站
[03:58] 所以當我知道這件事的時候
[03:59] 我真的覺得還好那一天突然間靈感乍現,然後想要先看一下,因為一般來講我都是最後一刻才動作那一種,甚至我會覺得我如果太早去準備一些東西,像上幾集跟大家分享說跟Sony Ventures還有Twitch的創辦人有去聊了一下關於遊戲跟新科技的投資,那這些東西如果太早準備的話,其實我反而會不知道要講什麼東西,所以我是那種就我做事情要在一定的壓力之下,特別是我知道火要燒屁股的時候,我的創作的效率就會非常好,我就可以很快地去做,然後我會覺得我做事情要在一定的壓力之下,特別是我知道火要燒屁股的時候,我的創作的效率就會非常好,我就可以很快地去做,然後我會覺得我做事情要在一定的壓力之下
[04:29] 這幾天我已經很快的把事情做完,真的是靈感乍現,還要有去做查詢,不然我真的覺得,不知道欸,如果我是前一天才發現的話,隔天機票不知道買不買得到,但就提早發現,趕快就把機票準備一下,然後才知道說這次的電玩展是辦在千葉。
[04:46] 千葉我想說以前可能看一些,就有一些印象,好像說可能漫畫或是一些動漫的劇情在千葉之類,這個地方你很常聽到,所以你心中想的是千葉應該是一種大城市吧。
[04:59] 在我的角度,反正就是東京附近,東京超級大的,橫濱在我看來好像也是東京的一環,就是整個超級大的一個都會圈。
