[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由MakeEasy贊助。
[00:03] 很多人換新手機,第一個買的就是透明殼,剛裝上去看起來很漂亮,但最常遇到的問題,用一陣子開始發黃,最後只能夠認賠換殼。
[00:11] 透明殼除了好看,更重要的是能不能夠長期持有。
[00:14] MakeEasy的Bright 360M透明抗黃磁吸支架手機殼,經過UV照射192小時後不發黃,可以保留新機用的顏色跟透明感,不需要一直短線進出更換手機殼。
[00:24] 還有10年不發黃保固,透明殼不用擔心變色,用起來更安心。
[00:28] 360度旋轉支架可以依照觀看需求調整不同傾斜角度,平常追劇、看盤或是工作都可以直接使用。
[00:35] Bright 360M的支架搭配新機不同顏色設計,呈現原機原色加上金屬按鍵,整體質感大提升。
[00:42] 平常如果你容易摔手機或是需要更高規格防護,可以選擇Odyssey Ultra M 終極防摔磁吸支架掛繩手機殼。
[00:49] 最高可以達到25英尺高規格防摔,同樣有360度旋轉支架,搭配25ml FitLock Utility Strap,機能快拆掛繩,手機可以直接掛在身上,需要使用時1秒快速拆卸,日常移動更方便,也可以減少手機落地的風險。
[01:04] 搭配Lens、藍寶石鏡頭貼,把鏡頭的刮傷和碰撞風險一起顧好。
[01:08] 與其一直換殼,一直認賠,不如一開始就把手機的防摔抗黃支架跟鏡頭防護配置完整。
[01:14] 現在點擊我們資訊欄連結前往MAC EASY的官網輸入國外專屬的優惠碼GOOAYE首字母要記得大寫立即享有訂單92折優惠
[01:22] 好那開頭要先跟大家推一個超棒的東西喔就是白色可樂呢不好意思啊可是以前我都一直覺得白色可樂是不入流的可樂
[01:31] 你跟我講你喝白色可樂對不起我們可能沒有辦法當朋友
[01:34] 雖然聽起來像是玩笑話或是有些人覺得說幹嘛這樣不是因為白色可樂那不是人喝的東西
[01:40] 我如果去你家,那我們今天吃披薩,你把百事可樂拿出來,對不起,我要去7-11去買我自己的飲料,你這個飲料我是無法接受的。
[01:46] 那可是最近百事可樂他們出了一個叫生可樂的東西,太厲害了,我覺得真的太厲害了,而且他一樣是零卡,這個東西是一定要推廣的,就只要有好的產品,我們一定都會推廣給大家,我們不是那種盲信者。
[01:59] 甚至呢,如果他這個東西越做越好,我也不排除,我就變成百事可樂的一個信奉者。
[02:03] 好的東西一定要讓大家知道
[02:06] 深可樂我覺得要去買來喝看看
[02:09] 雖然這跟我們節目一點關係都沒有
[02:11] 但我就是開頭想要跟大家推薦一下這個
[02:13] 昨天去跟幾個資深美少男美少女吃飯的時候
[02:17] 他們在聊自行車
[02:19] 我就發現其實自行車就是中年人的戰鬥陀螺
[02:24] 差不多是這樣的一個意思
[02:26] 小時候你可能拜託你爸媽去買一個幾百塊的陀螺給你
[02:30] 等到你變成中年人你有經濟自主權之後
[02:33] 他們就是花幾萬幾十萬去升級裝備
[02:36] 那求了什麼?
[02:36] 就讓我童年單純可以被量化的快樂
[02:39] 還有怎麼樣?
[02:39] 還有可以把人家幹倒那樣的一個感受
