[00:00] 歡迎收聽股癌,我是謝孟恭,本期節目由善存益生菌贊助。
[00:30] 更有感有效才敢推薦給你。
[00:32] 那另外,擅存還有舒眠、益生菌、食品及植萃成分擁有五大晚安因子。
[00:36] 添加專利舒眠、番紅花、多果專利益生菌、Gaba、芝麻素、色胺酸等可以幫助放鬆好入睡,讓你天天吃好安心,想睡就睡,睡醒精神好。
[00:46] 好菌天天吃,養成好體質,天天精神好,投資財富靠自己,投資健康就讓擅存來幫你。
[00:52] 9月19到9月30號,擅存股癌秘密賣場,限折200折價券加碼送棉花糖枕頭收納包。
[00:59] 有興趣的朋友可以在資訊欄這邊找到更多的說明與連結。
[01:29] 這就是我自己最喜歡的地方,因為我自己是一個很辛苦的人,所以我自己也很辛苦。
[01:35] 就算你是坐計程車,也可能遇到塞車的問題之類的。
[01:39] 所以最後想一想就決定好了,反正就是住在旁邊就好。
[01:43] 只是最後發現我自己的通行友人,他們都還是住在東京比較靠市區的地方,他們是通勤進來,就是互相羨慕。
[01:48] 我就說你們那邊感覺比較好玩,我說這邊好近喔,確實是超級近的,最後選擇一家叫做牧章興大谷的,我只要過一條馬路就到了。
[01:55] 非常非常的方便
[01:56] 那飯店整體的素質跟水平也都蠻好的啦
[01:59] 其實就是符合日本人他們的各式各樣的評價的一些小Drama
[02:05] 反正簡單來說他不會給你太高的評價
[02:07] 所以當我看到那個評價的分數是這樣
[02:09] 我就想說這個地方會不會是個雷
[02:10] 但想說反正來都來了
[02:12] 我就是來工作的
[02:13] 所以也不要想太多
[02:14] 那最終發現說這個飯店是還蠻不錯的
[02:16] 雖然一開始差一點出
[02:18] 然後簡單來講就是因為那時候是用Agoda去訂房嘛
[02:21] 那到這邊飯店的人員就跟我講說
[02:24] 你的房間是吸煙房喔
[02:26] 我說他媽為什麼是吸煙房
[02:27] 給他看我阿公帶我
[02:28] 剛剛說我上面明明就寫說是non-smoking
[02:30] 他說你這個是request
[02:31] 你這個是要求的訂單
[02:33] 那並不是說確定的訂單
[02:35] 你只是要求說你要non-smoking
[02:37] 可是我們沒有non-smoking
[02:39] 那時候心中就立刻涼一半
[02:40] 所以我就趕快反正出包了嘛
[02:42] 那就立刻去做補救
[02:44] 問他說你有沒有大一點的房間
[02:45] 你就直接把我升到你最好的房間去
[02:47] 他說可是大一點的房間還是吸煙房
[02:49] 那時候心中就閃過無數個念頭
[02:51] 然後最後面覺得好了好了
[02:52] 反正來都來了
[02:53] 就這樣吧,以前也不是他沒有在網咖睡覺過啊,日本的吸煙房可能就很像網咖,只是我覺得比較嚴重,就是有一些那種比較小的飯店,你會注意到他們的一些什麼塑膠panel,
[03:01] 不然說像什麼冷氣的牆上的控制器啊,或是一些排風口,就會很噁心,就像是那種土黃色,煙膠油長期熏的那種感覺。
[03:10] 那就想說,反正來都來了吧,好啦,你就還是幫我升到比較大的房間,比較大的房間可能至少就是相對通風吧。
[03:17] 我是忘記說我房間零多少錢,可是光是升級房間就額外再付了15萬日元出去吧。
[03:25] 最後面在走廊上心裡就非常猶豫,因為一到這個樓層靠北就是那種網咖的煙味,然後想說這到底是什麼鬼。
[03:33] 還有一進房間,我的猜測是對的,比較大的房間就是沒有煙味,可能這一間就剛好大家進來都不會抽煙之類的,還是說它真的就是散的比較快。
[03:41] 大房間有自己的客廳,兩張床,又可以泡澡,什麼東西都有,真的是蠻大的一間空間,就沒有聞到太多的煙味,所以在住宿這方面終於是安心的。
[03:54] 出發前我也準備了名片,因為我自己是沒有名片這種東西,上次去 Startup Sphere 的活動的時候,人家要換名片,我都沒有名片。
[04:03] 有些團隊是想要認識我們,我就說你去上網 Google 我們,你就找到信箱,我後來發現說這樣是一個可能比較不禮貌的事情,所以一定要準備名片。
[04:11] 於是就跑去印名片,只是我自己想要的名片是那一種我沒有要搞到很花俏,但是我就想要低調奢華的一個味道。
[04:18] 所以我第一個想到的就是American Psycho,美國殺人魔那一部,Patrick Bateman,也就是蝙蝠俠那個演員,一時間忘記要叫什麼。
[04:26] 反正總之這位演員他就是把一個那種psychopath, sociopath演得非常的好。
[04:32] 他後面看到了Geraltto的名片,他覺得說這個人的名片做得太好,他就很忌妒,一直看一直冒冷,人家問他說你怎麼了?
[04:40] 然後反正就把這個人殺掉
[04:42] 那很北來就有一幕是他們在比較名片
[04:44] 那他們的名片都是長得蠻類似的
[04:47] 就是可能是細節上的一些差距
[04:49] 也演出說這些人到底是多有病
[04:51] 反正就是白底黑字
[04:53] 所以我就覺得說就是要白底黑字
[04:55] 那要低調奢華
[04:56] 可能要用比較好的紙之類的
[04:58] 再來要燙黑
[04:59] 壓凹什麼的
[05:00] 這就是我心中想法的名片
[05:03] 那只是要做出我要的名片
[05:05] 是沒有辦法在東京電玩展前完成的
[05:07] 所以我就還是要我想要的名片
[05:10] 但是你可不可以給我一個緊急備用的,所以就直接用一個印刷的版本。
[05:14] 當然子也是故意選那種相對高一點幫助的,就覺得說要讓自己舒服嘛,自己看了要喜歡。
[05:20] 那就是名片也準備好,那飯店也OK,所以就直接去挑戰電玩展。
[05:25] 那也非常感謝帶路的一些朋友,還有幫我們搞到陣的一些朋友。
[05:29] 整體的這個體驗是非常好,因為有上網看到人家說什麼光是排隊進場就可以搞到崩潰,
[05:34] 然後他們在那邊拉人龍,就日本人喜歡搞什麼那種整理券那種玩法,
[05:39] 這就是我們在拍攝的地方,我們會讓你們去那邊排隊,大家都很喜歡排隊的,也都蠻守規矩的,但是覺得就很瘋,就什麼都要排隊,我們拿到這個特殊票券就可以快一點進場了。
[05:50] 畢竟我們也是在談生意的嘛,也不是說什麼單純的亂逛,所以有這樣的福利也是挺好的,可以立刻的去接觸到自己有興趣的團隊或是好玩的東西。
[06:00] 看了一些比較大的場館,裡面都是知名IPR大的,那個我就覺得說並沒有印象特別深刻。
[06:08] 因為簡單來講就是遊戲這種東西本來就是你在家裡就可以直接下載Demo或是一些影片來看,所以你到現場去,除非你是炮哥,就是你要去拍那種Show girl,不然他們也沒有準備太多的周邊的東西在那邊跟大家互動,只有少數幾個,像洛克人那一攤他有準備一些東西,蠻多的其實就只是把東西展出來給你看,其實你在家都可以自己玩到。
[06:28] 所以簡單來講說可能是像去看人啦,如果真的是用展會來說,電腦展真的比較好玩。
[06:36] 在稍微看了一下這些比較大的IP跟廠商之後,進入我們的主軸去看這些 Indie Games,也接觸到了有在信箱中跟我們聯繫的日本團隊。
[06:49] 雖然是日本團隊,但是他們的成員幾乎都是各地的外國人,他們只是在日本去成立他的Studio。
[06:56] 完成指定任務後,接下來就是到處看團隊。
[07:01] 注意到蠻多有趣的遊戲也發現了他們的痛點,蠻多都在表示說他們現在其實是需要一個優質的發行商加行銷。
[07:11] 蠻多人都有類似的一個痛點,剛好我們校男是可以去滿足這個問題的,或是我們可以去協助做處理。
[07:18] 簡單來說,我們幫自己的定位就是,我們不是只是掏錢來支持,我們是掏錢加不會有太多廢話,
[07:25] 這就是我自己的看法,不會想要拐你、不會想要跟你要一堆Cut,同時可能還可以幫你解決你不擅長處理的一些法務或是說簽約以及發行、行銷什麼的,這個我們都是有相關的股東是可以去處理這些事情的。
[07:41] 所以跟這些團隊也算是相談甚歡,走到他們的攤位上,不管你是用Keyboard、Mouse還是用PlayStation跟Xbox的手把去玩他們的遊戲,我覺得就是我自己看上的幾款遊戲。
[07:54] 這幾個股票的投資者們的評價是?
[08:24] 這就是馬爾根三個宅男在那邊排隊打遊戲,負責人很認真在那邊介紹的,看起來有點破的那些,蠻多都還蠻有趣的,有注意到這個一個小現象。
[08:34] 也不是說那些花錢的想把自己弄好的人就是不會創作遊戲或什麼的,反正就是一個覺得蠻有趣的觀察稍微的說一下。
[08:43] 有很多款遊戲都很棒,那也有認識到一款是來自於西班牙的,我剛剛說我老婆也是西班牙Alicante來的,
[08:51] 然後就直接就聊上線了,然後交換一些聯絡方式,覺得他們的遊戲真的都是做的還蠻不錯的。
[08:57] 也不知道這個校內有沒有機會就開始去投一些海外的團隊,當然我們還是會聚焦台灣的團隊為主,只是我們發現說我們最後面匯聚出來的力量跟資金的量體,其實我們是可以往海外去進攻的。
[09:09] 所以也就是稍微的看了一些這些海外的團隊,當然後面有蠻多東西要去思考,不然說投後管理要怎麼樣做。
[09:16] 再來就是可能會先盡量的去集中一些Portfolio在至少就亞洲區吧,管理比較方便。
[09:23] 那後面如果說可以進歐洲區的話,再看我們的Hub可能要弄在哪裡,要怎麼樣去做處理之類的。
[09:28] 但我們現在是真的有接觸到那種可能一些在歐洲甚至是美洲的團隊,這個是蠻令人意外的啦。
[09:35] 那看下來覺得充滿了生命力,這些新創的遊戲團隊開發者,不知道怎麼去跟他們講話就覺得很高興。
[09:42] 就覺得說這些人真的在燃燒自己的熱血跟生命
[09:47] 然後在做一個可能自己覺得很酷的事情
[09:49] 他可能也是跟我一樣
[09:50] 就是小時候喜歡打遊戲
[09:52] 只是我們選擇了不一樣的道路
[09:53] 我就是比較世俗
[09:54] 我跑去賺錢
[09:56] 也不是他們不賺錢
[09:56] 我的意思是說他們就選擇了一個可能是Stake is bigger
[10:01] 他們賭比較大
[10:02] 玩比較大
[10:03] 但希望說我們有機會可以去協助他們
[10:06] 不管是單純的就是一個消費者
[10:08] 所以那些不錯的遊戲我都把它加入Game list
[10:11] 在Wishlist裡面我就是一定會去玩它,也希望說就是笑男可以去參與他們的一個成長,這個是心中的一些規劃。
[10:18] 再來也跟自己的一些股東們,因為我們的股東其實就是來自各方,然後他們有些也是來東京電玩展去談另類的生意,就是跟遊戲不一定是相關的,可能一些周邊。
[10:32] 我覺得有點像是說反正就是tag along,就跟著,然後看人家開會講什麼就坐在旁邊,交換名片。
[10:39] 我會覺得這個其實蠻有趣的一個過程
[10:41] 你好你好
[10:42] 然後我的名片給你
[10:43] 其實換的時候好像也不能說幹嘛
[10:45] 但不知道這個就是可能是商務旅行的一個真諦吧
[10:49] 就是大家都帶一堆名片
[10:50] 然後在那邊交換來交換去
[10:51] 所以我現在一看就有桌上一堆名片
[10:53] 也不知道怎麼樣去做使用
[10:55] 因為已經很習慣於說
[10:56] 其實我覺得我們自己算是比較幸運的一個存在
[10:59] 那種得天獨厚的感覺
[11:00] 就是因為自己在台灣也算是一個小名人
[11:04] 所以其實有蠻多很好的project
[11:06] 就是我們根本就不用動
[11:07] 他們就是自己餵到我們的面前
[11:09] 所以我們在這個Dial Sourcing這部分已經有一定程度的優勢了
[11:14] 那跑來東西電玩展就是人生地不熟嘛
[11:16] 所以就會有那種陌生開發的一個滋味
[11:19] 就會感受到說你這個名片遞出去其實你也不一定會有什麼結果
[11:24] 但就交交朋友嘛
[11:25] 這個是我平常不會做的事
[11:26] 因為我現在就已經密集過阿康
[11:27] 我就是只想說起來跟我平常認識任何人
[11:29] 可是為了笑男
[11:31] 為了這個台灣的遊戲或是為了我們的Portfolio
[11:34] 那我要做的事情就是我要去認識大家
[11:37] 所以我就是時常的掛上我的微笑然後跟大家換名片
[11:41] 其實也是看到了蠻多有趣的畫面
[11:45] 聽大家在那邊開會也是覺得蠻玩的
[11:48] 即便它不一定跟我的業務相關
[11:49] 所以簡單來說商務之旅是有趣的
[11:52] 雖然可能蠻多那種很常要出差的一定心中想說
[11:55] 媽的你是因為第一次你很新鮮你才覺得好玩
[11:58] 對我相信就如果說這個是變成我每個月都要去這個東西
[12:01] 我說不定就不會喜歡了
[12:02] 但久久一次是蠻喜歡的
[12:04] 下次還會說服老婆說我還是要再去
[12:06] 大概這樣子
[12:07] 好那最近有一個我覺得蠻好笑的事情
[12:09] 就是我在我的股癌的臉書上面呢
[12:12] 然後就轉貼了一篇WCCF Tech
[12:15] 他所提到AMD要去轉價
[12:17] 然後他可能在晶圓帶光這邊被TSMC漲了10%
[12:20] 然後把這個價格轉出去
[12:21] 那就如既往就是我的做法呢
[12:25] 會稍微的短評一下
[12:26] 那我的這個短評呢
[12:28] 其實我自己有發現
[12:29] 就是他比較偏向是有限合法重圍是易事流
[12:31] 下面的聽眾所寫的
[12:32] 那我就看到漫報的Many呢
[12:35] 他在下面就寫到說
[12:36] 再給我發展個五年的話呢,我的這些點評可能會變成是某一種牽絲題。
[12:40] 那下面有另外一個聽眾就寫到說,很有趣的是我的節目可能是講得非常的直白,
[12:46] 可是看我的寫的內容會比較偏向是好像我就是意識流,我就是把想到的東西寫出來,我也不在意大家看不看得懂。
[12:53] 真的是這樣,恭喜答對。
[12:54] 但是我並不是說不在意,就是I don't care, I don't give a shit about you,不是這樣子。
[12:58] 他有點像是說,最早我當然也會想把事情講清楚,只是後來就因為真的沒有那麼多美國時間了,在節目裡面面呢已經是需要去把蠻多東西啊起承轉合給好好說好,所以呢我們的貼文其實已經變成是某個程度上是答案號了啦,對我來說是一種答案號了,就是我其實不太在意主要多數的啊就是一般聽眾哦,你聽不聽得懂,我只在意就是可能看得懂一些關鍵字的人,你會不會藉由我所貼出的情報然後來跟我去做一些討論,所以它是一個特化的結果,那看起來可能對有些人來說會像甜熟,
[13:31] 就像是即便我們的節目已經相對的講得很淺白了,可是你很常在Q&A看到聽眾講說什麼聽了一兩年聽不懂,然後終於可能第三年才開始聽懂之類的,那沒有辦法,那就是一種專業啦,我們已經盡量的去用相對直白的方式去跟大家講,只是說如果每一集我們都要類似一些那種科普頻道,要跟你講起承轉合的話,那沒完沒了,這個是沒有辦法的,所以還是要以我的工作做一個核心,也就是股市的交易,所以對我來說獲取情報可能是最重要的東西,那如果意外的讓大家可以有一些收穫,
[14:01] 那就太好了,但其實沒有辦法去顧及到每個人的水準不同,然後可以了解到的東西是什麼。
[14:07] 所以就要說,如果這一篇文要把它拉到節目上講的話,就要先定義清楚,漲價的人是誰?TSMC漲多少?10%?消息是不是真的?也可以討論一下。
[14:17] 接著,漲的對象是誰?AMD。當然不會只有漲AMD,如果要漲的話,一定是大家都漲。
[14:21] 其實市場已經有在傳說,就是在明年可能我們最大的Foundry,它就是有機會會去做漲價,非常合理。
[14:28] 畢竟就像是Jensen自己講的,他也覺得台積電的價格是太便宜。
[14:32] CC我也自己提到說這些記憶體長的真是令人羨慕,但是他還是要跟客戶共同成長。
[14:39] 不過我們都知道說,如果說真的很缺的話,這個價格去做一些調整去反映一些成本,其實都是一個非常合理的操作。
[14:47] 接著可能就去探討說,AMD被掌握的產品是什麼,就開始切嘛,是CPU還是GPU,就每個東西都要去做討論。
[14:53] 結果我的文章竟然不是這樣寫,我是直接罵跳針,開頭直接講說AMSRP的參考價值不高。
[14:59] 這句話的意思是什麼?因為AMSRP就是一個標準售價,它只是你在過去你知道各種components都在漲價,你說一個板卡上面有的東西,
[15:08] 其實不是只有上面的Manchip或者說GDR在漲價,一些相關的像是被動元件,其實大家的價格都在跟著跑,
[15:16] 甚至裡面的這個板子,這個價格也都有跟著上去,甚至是Socket都有在動。
[15:22] 所以這些東西因為都在漲價MSRP不一定會及時跟著調整反映在消費者這邊所看到的就是我有看到漲價可是我好像沒有看到NVIDIA像AMD這樣子對外宣布或是說有消息傳出來說我要去漲價為什麼?
[15:36] 那就是我後面寫的那一段因為NVIDIA的賣法是怎麼樣它是一個Set一起出去也就是我的GPU可能是搭載著GDR這一包我是一個Set賣出去給下游的AIC
[15:47] 這主要在定義嘛AIC是什麼意思我就再寫一下就如果要認真寫會是這樣那AIC這邊呢我收到的東西是漲價的我當然覺得把它反映到終端讓客人知道說其實現在實際的價格是怎樣是往上跑的所以即便NVIDIA它並沒有對外宣布或是沒有rumor跑出來但大家所看到的價格就是往上跑的
[16:05] 所以第一段就變成這樣可是想說這個文章明明就在寫AMD為什麼我要先講NVIDIA因為我覺得NVIDIA的顯示卡漲價才是最重要的一個環節
[16:13] 所以就算這一篇明明就在寫AMD,可是我就覺得說我要先去講這個NVIDIA這一段,然後接著才帶到AMD。
