[00:00] 歡迎收聽股癌,我是聖孟恭,本集節目由Sally贊助。
[00:03] 最近是不是很多人開始在看9月要去哪玩,因為今年的中秋節跟教室節剛好接在一起,9月25到28號直接4天的連假。
[00:11] 4天其實蠻適合出國,不用請太多假,找個近一點的地方吃吃喝喝,換個環境就很爽。
[00:16] 但我自己覺得出國最麻煩的從來不是買機票,而是一些有的沒有的事情,比如說網路。
[00:21] 以前還要租Wi-Fi機買SIM卡,現在我都直接使用eSIM方便非常多,我自己出國都使用Sally。
[00:26] 出發前在APP裡面弄好,到了當地開通就能用,不用換卡,也不用到機場才在找免費Wi-Fi。
[00:32] 而且Sally本身還有內建VPN跟廣告阻擋,像人在國外的時候有時候連飯店、咖啡廳的公共Wi-Fi,有VPN至少多一層保護。
[00:40] 廣告阻擋則是在你查餐廳、查交通的時候可以少看到一堆很煩的廣告,瀏覽起來會乾淨很多。
[00:46] 如果你用的是Sally超級方案,另外還有機場貴賓室、快速通關跟航班延遲保障。
[00:52] 所以如果你9月連假剛好要出國網路這種東西就先處理好不要到了國外才再搞。
[00:57] 先要下載Sally App輸入我們的優惠代碼GOOAYE或是透過資訊欄連結就可以享有eSIM方案8、5折優惠。
[01:04] 好那昨天上傳了一張跑去打棒球的照片。
[01:07] 這個是反正最近有一些朋友在組織棒球隊就說大家可以稍微的一起練習一下那後面可以一起打個球之類的。
[01:15] 所以在過程中其實他們就已經非常認真地在訓練
[01:19] 包含說像去大羅格打擊訓練或是一些球場去練習投接球等等的
[01:23] 那只是因為一開始我在雷嘛
[01:25] 就是在過去幾集有跟大家分享
[01:27] 那時候我一直以為說TGS是台北電玩展
[01:29] 後來才知道是東京電玩展
[01:30] 所以本來要練球的時間就跑去電玩展了
[01:33] 那直到這個禮拜在昨天終於有時間跑去練球
[01:37] 然後就直接對上東元國小的一軍
[01:39] 那很多人看到這個照片講說怎樣大人打小孩欺負小朋友
[01:43] 你們要不要去查一下東元國小是什麼東西,他們是世界冠軍,非常的厲害。
[01:49] 這個球賽也算是幫我們上了一課,本來想說打小學生應該會相對簡單一點吧,雖然其實我們在之前就已經有了解到說一些像台灣或是日本的小學生,
[01:59] 那個就是套一句讓子彈飛裡面的台子,這他媽八歲,這根本就不是八歲,這超高超壯超強的,他們是球速媽的,就比那個大魯閣速度還快,
[02:08] 其實找他們練習我覺得是非常可敬的對手
[02:11] 你也感覺出來這些小朋友他已經有在讓我們了
[02:14] 不然說是怎樣子
[02:15] 有時候他故意站著給你三振
[02:16] 三振掉了就是說
[02:18] 這個小朋友後面來領獎學金
[02:20] 非常感謝給大叔們面子
[02:22] 因為對方是非常年輕的小朋友
[02:25] 我們這邊就是銀髮族
[02:26] 也不是說真的滿頭銀髮
[02:28] 有些人是中年、古神
[02:30] 可能有一些白頭髮蠻多的
[02:32] 像我們這種少中年的
[02:35] 我覺得也差不多了
[02:36] 至少現在的白頭髮數量隨便數也有個10根左右,所以就是每個人保底都有好幾根白頭髮才可以在那邊打。
[02:43] 對上這些小朋友,特別是他們每天在運動或跑去打比賽,他們真的非常非常的強大。
[02:47] 但在他們的稍微的放水跟讓之下,包含說像有一個小朋友去當球神,他那個好球袋比人家客廳還大,就是給一個超大的好球袋,然後這些大叔隨便亂丟,Strike 都是給你好球。
[03:01] 不過這次的棒球訓練我自己是玩得非常開心的
[03:05] 我本來以為說幾個朋友他們組織是
[03:08] 反正就是大家來玩一玩嘛 體驗而已
[03:10] 結果發現大家都超認真的耶
[03:12] 然後在防守的時候也是
[03:14] 雖然我以前到現在都會去看一些國際賽的棒球
[03:18] 可是對於規則也不是說真的非常的了解
[03:21] 然後真的被教練拍上去說你去站二壘
[03:23] 我會想說那我現在要站哪裡
[03:25] 好像站在壘包上不對嘛
[03:26] 你有看到棒球賽就知道說
[03:27] 那你可能要稍微往一壘方站
[03:29] 2壘跟3壘之間要給游擊手,只是要跑防守的時候也不知道怎麼跑啊,亂跑,但是好險就是有一些朋友他是非常的理解,就是說如果球是往這個1壘的方向去,往那個外野方向跑的話,那你就要往那個方向去支援,然後接著游擊手就會補上來,反之如果往3壘方向的話,那就變成是你要去站壘包,然後游擊手就會去往3壘方向去做支援。
[03:50] 這些雖然沒有人點是不太會,但是只要下去跑一下馬上就會熟悉,立刻就把一些規則給pick up起來。
[03:59] 自己在大陸隔長遠的訓練,說來有點汗顏很北藍,因為畢竟還是打小孩,但我至少有打安打,第一球上去就成功的打出安打,蠻高興的。
[04:12] 在跑累的時候,覺得自己的功能訓練的所有種種都回到我自己身上,跑得非常快,扭力也是極好。
[04:20] 所以還蠻慶幸自己有去做一些訓練
[04:23] 那後面應該還是會跟著這些快樂好朋友去打一些有趣的比賽
[04:27] 反正就是至於於人
[04:28] 那我覺得今年如果要去做一個總結的話
[04:32] 我覺得就是運動之年
[04:33] 這個是可能想都沒有想到
[04:34] 在去年或是像我們自己的節目
[04:36] 每年都會大概講一下
[04:37] 下一年我的目標大概是什麼
[04:39] 有時候會超出自己的想象
[04:40] 根本沒有想到說
[04:41] 今年可能從三四月開始會瘋狂的開始運動
[04:45] 然後接著就改變了自己的人生
[04:47] 不然說像這次去打球
[04:49] 因為基本上雖然我還沒有去參加過他們正式的練球
[04:52] 可是裡面的蠻大一部分的人我都是認識的
[04:56] 我就想說是不是因為我之前沒有來練球跟大家鬧到
[04:59] 因為前面先有一個跟我年紀差不多的朋友進來
[05:04] 然後我想說他應該是有看到我
[05:05] 但他完全沒有屌
[05:06] 我還就直接走進去跟另外一個朋友講話
[05:07] 那後來是一個前輩的年紀比我大了一輪
[05:12] 但也算是有蠻密集在交流的朋友
[05:15] 然後他就默默的走到我隔壁坐下
[05:17] 然後也都沒有跟我講話
[05:18] 我想說是不是我不練球真的是得罪到大家
[05:21] 很不好意思
[05:22] 還想說待會要怎麼樣跟大家道歉
[05:24] 然後記得突然間
[05:24] 幹媽你謝孟恭你怎麼變那麼瘦
[05:27] 就是他們都嚇到我變那麼瘦
[05:28] 然後他認不出來
[05:30] 再想說媽怎麼會有一個人穿我們的球衣
[05:32] 然後坐在這裡
[05:33] 這是誰的朋友
[05:34] 就是我
[05:35] 所以獲得這樣子的一個feedback
[05:37] 其實我心中是覺得非常的高興
[05:39] 那昨天也跟自己的功能教練
[05:42] 去做了自己的體脂跟肌肉量的測試
[05:45] 一般我就是在家裡用那種家用的
[05:47] 最後先講說家用的有點像是快樂錶,你還是要用那種正式的機台很大一台,你手要去握那種比較厚重的握把,那個量起來比較準一點。
[05:56] 那更講究的好會去講說可能在運動前或是流汗後之類的,然後去量,然後再去看說那個數值大概是怎樣,因為它隨著你身體裡面的水分變化,其實量出來的數值就不太一樣之類的。
[06:05] 但反正總之我之前是用,就是所謂的快樂錶,家用的那種去量,然後就發現我的肌肉量完全沒掉,結果掉脂肪。
[06:12] 這次就是 Moment of Truth, 重要去面對真正的機器,然後量出來肌肉量果真是沒有掉,可能還有一點反增,掉的主要就是脂肪跟體重。
[06:23] 所以我覺得今年的變化是回想起來可能是在過去幾年最讓自己開心的,我講的是各種面向,不管是在工作、交易、賺錢甚至是孩子或什麼的人,當然很多都是很開心,有一些很棒的時刻,但是把自己的身體搞好。
[06:41] 我覺得是很特殊的一個體驗,包含自己身邊的一些長輩大哥們在聊天的時候就有提到說,像你這樣就是一個很勵志的故事,我們這些大叔現在也都開始跑去運動。
[06:54] 我覺得是蠻好的啦,就是自己動用一點點微博的影響力,去告訴大家說其實我們是辦得到的。
[07:01] 因為你本來如果沒有人在旁邊去做示範的話,你心中真的會懷疑啦。
[07:04] 如果你在幾個月前跟我講說可以這樣子去減體重然後把自己的身體練到很韌的話
[07:10] 這個我自己也不太相信
[07:12] 但最後面就是成功的達成
[07:14] 當然就是用那種非常科學化的方式
[07:15] 然後按照教練的安排按部就班的推過去
[07:18] 那最主要就是說你要去避免自己的怠惰
[07:22] 因為畢竟我覺得練習跟運動是這樣
[07:25] 你可能在做完的時候會很爽
[07:26] 那可是在當下或者是在你知道接下來要去運動的
[07:31] 那個都是很不好受的
