[00:00] 歡迎收聽股癌,我是謝孟恭。本集節目由我們的鑽戒老朋友Alox亞歷斯贊助。
[00:05] 前陣子提到人與人的信任崩解中有待修復,鑽戒是資訊落差非常大的東西。
[00:09] 很多兄弟買張股票才爆看三個月,真的要求婚了反而Google一下就刷卡。
[00:13] 這個玩法會出事,股票買錯可以停損,求婚就只有一次。
[00:16] 那所以第一次買可以不懂,但不應該因為不懂就多繳學費。
[00:20] 鑽石的刻拉、顏色、進度、切工每一項都會影響價格。
[00:23] 雅力士讓我覺得最有信任感的地方是他們的鑽石價格直接放官網上,自己就可以先看,不用進門市才在那邊猜。資訊透明,你會知道自己的錢花在哪。
[00:31] 再來你也可以直接講預算,他喜歡什麼風格,甚至是你們兩個的愛情故事。他們會幫你推薦最適合的款式,選擇也很多,男女界超過1000款鑽戒萬事通,不是只能從30款裡面去應選。
[00:43] 如果你真的不知道他喜歡什麼也不用硬猜。雅力士有求婚鑽戒外戒,你可以用對方的生日、交往紀念日去選一顆有對應意義的寶石跟款式。
[00:52] 讓這顆戒指本身就有你們的故事,這個覺得蠻合理的,因為求婚最怕就是你認真準備,結果戒指完全不是他的菜。
[00:59] 那不如就先用一顆有意義的戒指完成求婚,接著再一起回到門市挑真正喜歡的對第一次求婚的兄弟,壓力也小很多。
[01:06] 雅力士做珠寶20年全球19間門市,服務超過30萬對,新人眾一輩子只買一次的東西,一次就要買對。
[01:12] 中點來了即時起到12月7號亞歷斯週年慶買婚戒送牌鑽手鍊週抽婚戒免單最高抽百萬現金股外聽眾有專屬優惠到門司見賞下單前出示股外FB跟Telegram裡面的貼文截圖再送一對珍珠耳環購物站結帳輸入折扣碼GOA想全站9折起那連結放在資訊欄這邊有興趣的朋友可以點進去預約見賞
[01:34] 好那在這裡先祝大家中秋節快樂就是每次有這種佳節的時候呢那不免的跟大家打個招呼然後直接提醒一下
[01:41] 如果說你在連假期間要出去記得要先上個廁所這個是非常重要的
[01:47] 像我從以前到現在我覺得最困擾我的東西就是我每天早上時間到Nature Calling我就一定要去完成我該做的事
[01:55] 所以有時候當今天這個行程是一大早其實我心理壓力會非常大
[01:59] 我就會想要在提早一個小時起然後趕快狂灌冰咖啡先讓自己疏通一下
[02:04] 不然就真的會出事情在路上有時候那整個塞住你根本也不是說你現在想要去找個地方停下來就可以的
[02:11] 你就是媽的就卡死了,這個真的是不知道,我可能上輩子有可能在通勤過程之中拉到死掉之類的,所以我這輩子超級怕這種事情,所以覺得每次都會跟大家分享,提醒大家一定要好好的上廁所,要好好的飲水控管,不要說什麼媽的出門前狂喝之類的。
[02:27] 那今年的中秋節呢,就是帶大兒子出來日本玩,小兒子沒有辦法,因為我們今年在參加活動,所以怕說他會坐不住,結果沒有想到的是大兒子也坐不住。
[02:38] 我上次是第一次跑去練習,他們已經練一陣子了,我第一次跑去練,然後我的第二場,就是我第二次正式的比賽,就在東京巨蛋。
[02:48] 我們的球隊把東京巨蛋租了下來,我之前是不知道說原來東京巨蛋是可以租啦,但蠻北蘭的,他們還是會派出相關的人員,不管是在門口去收票驗票的檢查逆的行李,
[03:00] 然後在裡面的主審、幫忙計分的日本人員全部都弄得非常的專業,第一次去參加那種正式比賽的感覺。
[03:11] 雖然蠻北蘭的,就是我上一場是跟東元國小的友誼賽,那就是我第一場比賽,第一場正式的棒球賽。
[03:18] 然後到現在第二場就在東京巨蛋,就跟自己一些快樂好朋友打棒球。
[03:23] 我們先稍微的打了一下那種快樂壘球,就是讓大家可以上去揮個三球。
[03:29] 弄完之後就進入了壘球比賽
[03:32] 在壘球比賽這裡打了一個安打
[03:35] 蠻開心的
[03:36] 然後就覺得說我在這邊解了一個成就
[03:38] 我在這裡打了一個安打
[03:39] 但後來在棒球比賽的時候就是被三振掉了
[03:42] 心情就極差
[03:43] 好像已經完全忘記說
[03:45] 你可以跑來這邊打球本身就是一個很快樂的事情
[03:48] 不然我的心情就很差
[03:49] 就說為什麼會被三振
[03:50] 我都已經在大魯閣練這麼久了
[03:52] 我從以前就一直在那邊很認真打棒球
[03:55] 然後後來我回來飯店
[03:56] 我跟我老婆講這件事
[03:57] 我說還好你們離開前
[03:59] 有看到我比較好的那一面,就是有成功打安打,然後後面我被strike out,他說所以strike out的意思,因為我傳給他,我說被strike out,他說那個不是說你把球打出去就strike out很好,因為他還回我說DP,就是我們的一個暗語,dope,就是說厲害,結果那其實是我剛想說沒有啦,就是我被三振掉,我說那至少你前面有看到我打一個安打,他說你那個打得蠻鳥的,我說什麼叫鳥,那個就是安打,安打就是安打,他說因為那個球就是感覺是,其實老實講就是一個他媽鳥安啦,就是那種很早落球的感覺,然後我打了一個安打,然後他就說你那個打得蠻鳥的,我說什麼叫鳥,那個就是安打,安打就是安打,他說因為那個球就是感覺是,其實
[04:29] 這幾個月的功能訓練,跟那種接下來要去跑馬拉松,也不是馬拉松,4公里,好像蠻廢的,仔細想想,我每個東西都沒有做到很到位,反正都是摸一點摸一點,但這些訓練真的是有幫助到我,我覺得我跑壘速度還蠻不錯,順利的站上去,雖然被我老婆吐槽,那個感覺就是你可能意外賽道上去,他說你為什麼沒有辦法,像你在大陸格那樣子,就是你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒辦法,你沒
[04:59] 我剛說這個就是現實跟模擬的差別啦
[05:02] 類似說你去做模擬交易每個人真的會發現自己是股神
[05:06] 可是在現實中有太多東西要考慮啦
[05:08] 就是在模擬裡面他可能會出固定的題目啊
[05:13] 或是他有一些pattern或是你沒有心理上的一些壓力要去面對的話
[05:17] 那就是會表現的相對好啦
[05:18] 那我覺得像大魯閣裡面打
[05:20] 因為畢竟那個就是機器嘛
[05:21] 機器大概可能九成的球都是好球啊
[05:24] 那偶爾丟一些壞球
[05:25] 壞球都是那種超明顯的壞球
[05:27] 所以你只要抓到Pattern,在外加那個LED螢幕會顯示投手的丟球的方式都是固定的嘛,所以不停的重複不停的練習,其實你就是有辦法就是每球都把它撈出去,可是真的進入到比賽的時候,那個感覺還是不太一樣。
[05:40] 那就覺得說這個東西應該是要多練,如果沒有多練的話,確實是沒有辦法表現得很好。
[05:47] 但有些人真的蠻強的,有些人非常有天分,看著這些地方的爸爸們蠻多都蠻強的。
[05:54] 其中有一段我真的覺得是我最有感觸的
[05:57] 就是有兩個地方爸爸他們都帶兒子去打
[06:00] 小朋友可能看起來都是大學生吧
[06:03] 差不多就是那種大學的年紀
[06:05] 然後跟爸爸的互動都非常好
[06:07] 這個我還蠻意外的
[06:08] 因為在我自己的認知裡面
[06:10] 就是小朋友大概到高中大學之後
[06:12] 可能就不想鳥爸爸了
[06:13] 這個我們在節目也講過很多次
[06:15] 因為可能我們在同一輩的人都是這樣子的一個情形
[06:18] 我不知道這種新一代的人
[06:20] 雖然他們算是我的前輩
[06:22] 年紀比較大一些
[06:23] 至少不是我們這一代長大的小孩,就是現在可能大學生這一些人。
[06:28] 我已經看了好幾個好像都是這樣子,就是跟家裡的互動是還蠻好的。
[06:31] 從小可能他也不會對這個小朋友很嚴厲,就是說稍微的有一點適性發展,讓他長成一個他自己喜歡的形狀,然後在旁邊熏熏善幽。
[06:42] 這樣養出來的孩子,你看跟父親一起在打球,他可以互相cover你知道嗎?
[06:47] 爸爸留下了一些殘雷,他上來就把人家K掉超帥的,不管是偷或是打都表現得很好,爸爸就幫小孩錄影。
[06:56] 小孩在爸爸上去的時候,也會幫爸爸加油跟幫爸爸錄影,他會互相Tap一下。
[07:01] 我就在想說,我跟我兒子一樣有這樣子的時刻,一轉頭,我兒子不見了。
[07:06] 我想說我兒子跑去哪?趕快傳訊息給我老婆說,你們去哪?我們在寶可夢咖啡,因為你兒子覺得太無聊就先離開了。
[07:13] 這個可能就是還有待加強啦,這還要訓練啦,這個小朋友畢竟也才五歲,我不會想要立刻逼迫他說你要跟那些哥哥一樣,但我覺得那個就是我的生涯目標了,這一次來這邊打完球之後的生涯目標就是我希望等到我的孩子可能長到十五十七歲的時候呢,他不會嫌棄他爸,甚至他會很驕傲的跟他爸去參加不管什麼樣的比賽都可以,也不一定只要球類啊,就是他喜歡的東西,就算他打躲避球,我希望我可以跟他一起打躲避球,我覺得這是一個超棒的方式。
[07:43] 富子Go就是超棒的目標
[07:45] 你就要往這個方向去努力
[07:46] 所以這些前輩展示給我看到的東西學起來了
[07:50] 希望可以把它做好
[07:51] 這次來到東京也是我第二次到成田機場
[07:56] 上次到成田機場是因為在牧章那邊
[07:59] 就它離成田是比較近
[08:00] 以前我都知道說要挑雨田
